"","1642.MS00516","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00621","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00606","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00530","1642.MS00601","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00602","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00482","1642.MS00612","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00461","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00433","1642.MS00559","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00361","1642.MS00431","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00442","1642.MS00341","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00505","1642.MS00633"
"1642.MS00516",0,1,-0.845,1,-0.831,-0.816,1,1,-0.99,-0.935,1,1,1,-0.992,1,1,-0.423,-0.894,1,1,-0.772,-0.821,1,-0.313,-0.988,1,0.991,-0.937,-0.967,1,-0.589,-0.616,0.869,1,1,1,1,-0.922,-0.958,-0.372
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0,1,1,1,1,1,1,1,1,1,1,-0.285,1,1,1,1,1,0.579,0.986,1,1,0.998,1,1,1,1,1,1,0.894,1,1,1,0.983,1,0.992,1,1,1,1
"1642.MS00621",-0.845,1,0,1,-0.734,-1,1,1,-0.951,-0.594,1,1,1,-0.998,1,1,0.102,-0.957,1,1,-0.871,0.0920000000000001,1,-0.781,-0.883,1,0.994,-0.457,-0.188,1,-0.256,-0.636,0.948,1,1,1,1,-0.313,-0.596,-0.657
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,0,1,1,1,1,1,1,1,0.889,0.972,1,0.6,0.505,1,1,0.94,1,1,1,1,1,1,1,1,1,1,0.829,1,1,1,0.943,1,1,1,1,1,1
"1642.MS00541",-0.831,1,-0.734,1,0,-0.896,1,1,-0.978,-0.586,1,1,1,-0.828,1,1,-0.174,0.0740000000000001,1,1,0.156,-0.899,1,0.696,-0.711,1,0.892,0.176,-0.938,1,-0.75,0.527,0.942,1,1,1,1,0.63,-0.598,-0.702
"1642.MS00606",-0.816,1,-1,1,-0.896,0,1,1,-0.968,-0.752,1,1,1,-1,1,1,0.0960000000000001,-0.859,1,1,-0.69,-0.418,1,-0.466,-0.877,1,0.99,-0.236,-0.456,1,-0.317,-0.402,0.978,1,1,1,1,0.169,-0.598,-0.628
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0,-0.97,1,1,-1,-0.958,0.999,1,0.0469999999999999,0.946,1,1,1,-1,1,1,-1,1,1,-0.998,1,1,1,1,1,1,1,-0.988,-1,-1,-1,1,1,1
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,-0.97,0,1,1,-0.968,-1,0.957,1,-0.662,0.152,1,1,0.48,-0.904,1,1,-0.998,1,1,-0.934,1,1,1,0.925,1,1,1,-1,-0.998,-1,-1,1,1,1
"1642.MS00530",-0.99,1,-0.951,1,-0.978,-0.968,1,1,0,-0.885,1,1,1,-0.994,1,1,-0.646,-0.976,1,1,-0.91,-0.389,1,-0.751,-0.996,1,0.964,-0.823,-0.93,1,-0.906,-0.918,0.872,1,1,1,1,-0.896,-0.887,-0.441
"1642.MS00601",-0.935,1,-0.594,1,-0.586,-0.752,1,1,-0.885,0,1,1,1,-0.922,1,1,0.418,-0.657,1,1,-0.0649999999999999,-0.183,1,-0.161,-0.748,1,1,-0.431,-0.433,1,-0.581,-0.319,0.99,1,1,1,1,-0.202,-0.316,-0.015
