"","1642.MS00606","1642.MS00433","1642.MS00633","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00361","1642.MS00413","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00442","1642.MS00505","1642.MS00524","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00612","1642.MS00522","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00431","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00601","1642.MS00516","1642.MS00541","1642.MS00530","1642.MS00621","1642.MS00559","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00602","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00606",0,0.0256623189428,0.025659372963,0.1125541540962,0.0356415086401,0.0241698156455,0.1056674457672,0.0918153374726,0.0979013920352,0.0935983572395,0.0936471979739,0.0243781830104,0.0210288799396,0.0238710323945,0.1119293471848,0.0940331017489,0.0243819109367,0.0886988663234,0.0231174403432,0.0934945508532,0.0235362998241,0.0227234747708,0.0972362579665,0.0231925096641,0.100384610115,0.0234160688469,0.0220151200927,0.0217621253033,0.0203823425075,0.0200407529828,0.020569148494,0.0910005717704,0.0198237101266,0.087762036625,0.0971794163212,0.0928556854673,0.0257154904012,0.0994838178122,0.0413404466617,0.1028702931981
"1642.MS00433",0.0256623189428,0,0.0304162128166,0.1071211075026,0.028891910935,0.0204519789301,0.0935007341374,0.0764221596642,0.0865922293401,0.0764115494817,0.0740592857629,0.0225317197383,0.0224253986479,0.0242583544934,0.104356518135,0.0793259646174,0.025641675369,0.0714752429486,0.0268328953517,0.077748493971,0.0243107483914,0.0257693131432,0.0885355450505,0.0183253803188,0.0788477513185,0.0255012164702,0.0243278383883,0.0283347049881,0.022895565488,0.024579434282,0.0223903257605,0.0767847827894,0.0264795039301,0.0725798964582,0.0825345401531,0.077782753979,0.0210268922605,0.0825023786601,0.0300344270594,0.0874759573804
"1642.MS00633",0.025659372963,0.0304162128166,0,0.1418146512626,0.0356348344046,0.0302362099046,0.1273111363935,0.1015846817768,0.1130136429686,0.100744255889,0.0983234126538,0.0273023349886,0.0254618063488,0.0275304502211,0.1405567781563,0.1022681370725,0.0249731439163,0.0962707521214,0.0262137635912,0.1016226243278,0.0236881588999,0.0260617098541,0.1220017338713,0.0270289994424,0.1060746219922,0.0277391115251,0.024091368952,0.0256032984968,0.0242270826594,0.0242081792598,0.0263204409922,0.1044316241723,0.0242952463687,0.0973504976313,0.1084671468511,0.1095349643429,0.0273652249884,0.1123351783861,0.0365096674989,0.1164233880637
"2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences",0.1125541540962,0.1071211075026,0.1418146512626,0,0.1055752697594,0.1098785191922,0.013683089698,0.0257530300737,0.015177558162,0.056963864181,0.0588177355044,0.1188836273238,0.1021900610625,0.1220105118511,0.0144038618248,0.067089068219,0.1251929150916,0.0664856436941,0.1127705431983,0.0552395694336,0.122401935758,0.1163407524843,0.0180813553961,0.1010302402834,0.0512611762864,0.1208353341772,0.1202699802329,0.1121318424676,0.1119405420764,0.1182953971729,0.1176799597138,0.0317862332899,0.1204567897952,0.0540271733989,0.017728468412,0.0320086508858,0.1000736320232,0.0202912122481,0.0998284810983,0.0132628267158
"1642.MS00361",0.0356415086401,0.028891910935,0.0356348344046,0.1055752697594,0,0.024204095578,0.0942540491502,0.0799629003051,0.0857368393504,0.0869483184306,0.0752237041081,0.0307679485434,0.028143252096,0.0355929504625,0.1073055028963,0.0847988055926,0.0283823358503,0.0819289868668,0.0299805729711,0.0816261262775,0.0364198261249,0.0314521902484,0.0922278060559,0.021942933611,0.0811778343738,0.0347757520708,0.0317188253924,0.0331348977433,0.030073207705,0.0342234292049,0.0328829037544,0.0813728975956,0.0329785326168,0.0800089809756,0.0833632120477,0.0835397034076,0.0223535805903,0.0806572391795,0.0185309968757,0.0852625348577
"1642.MS00413",0.0241698156455,0.0204519789301,0.0302362099046,0.1098785191922,0.024204095578,0,0.0998508511987,0.0830862989945,0.0905437539904,0.0817701833264,0.0806356026956,0.0203718591344,0.0217719915779,0.0232321110102,0.1111915556627,0.0830798329049,0.0231469351527,0.0775252026032,0.0255943979935,0.0827333603897,0.0237579482936,0.0241382565234,0.0949873583787,0.0173494762431,0.0860046169242,0.0250546111916,0.0220964882151,0.0278891296548,0.0205755404458,0.0242634438977,0.0217064741455,0.0811978511811,0.024302156731,0.0776546038456,0.0874040972674,0.0839514011668,0.0212441515639,0.0887821974766,0.0239607437482,0.091951671595
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",0.1056674457672,0.0935007341374,0.1273111363935,0.013683089698,0.0942540491502,0.0998508511987,0,0.0209494612361,0.0168624499049,0.0548550735422,0.0390397008166,0.1083820016712,0.0940444595708,0.1142008733572,0.0157765858034,0.0587939024096,0.1158514017337,0.0572354183036,0.1003036360766,0.0485937967507,0.1155176625896,0.1063137419444,0.0178575748402,0.0932615918403,0.0318683251206,0.1096134258352,0.112232630791,0.1015553148906,0.1047344305534,0.1147435927975,0.1059668267915,0.0266877523701,0.1147873283681,0.0496891838603,0.0153484821853,0.0253723791888,0.0895861419479,0.0171265745768,0.0936230879223,0.0127734200676
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.0918153374726,0.0764221596642,0.1015846817768,0.0257530300737,0.0799629003051,0.0830862989945,0.0209494612361,0,0.0220393527337,0.0401945022096,0.0408729976642,0.0909255032108,0.078568765891,0.0922989710951,0.0256523291953,0.0375525779415,0.0993656588144,0.0452410644064,0.084276845298,0.0411126708695,0.0956608208011,0.0933924027845,0.0216787797186,0.0755547076803,0.0353566174868,0.0912119311282,0.0928449036054,0.0889971163404,0.088288180219,0.0951181984164,0.0869251718562,0.0242336407289,0.0951011440731,0.0370281167288,0.0181983911589,0.02788331819,0.0782272696843,0.0210851582835,0.0793781149102,0.0182753842696
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0.0979013920352,0.0865922293401,0.1130136429686,0.015177558162,0.0857368393504,0.0905437539904,0.0168624499049,0.0220393527337,0,0.0455993376647,0.0367187039032,0.1007534452489,0.0842305171066,0.1032732287796,0.0198772413351,0.0535706119413,0.1106644170136,0.0493650558318,0.0910555887865,0.0424639909214,0.1052013398194,0.1001102426283,0.0174161508745,0.0811597837775,0.0351302335161,0.0993714218811,0.1030566136166,0.0944039555421,0.0959146253058,0.1025682266237,0.1001572931713,0.0238037919592,0.1016401087956,0.0416039421121,0.0160085454279,0.023564287516,0.0833372188548,0.017844553861,0.0815878171594,0.0138171607471
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0935983572395,0.0764115494817,0.100744255889,0.056963864181,0.0869483184306,0.0817701833264,0.0548550735422,0.0401945022096,0.0455993376647,0,0.0507597124743,0.0900438508193,0.0786968102959,0.0894104937256,0.0504802518881,0.0374531752038,0.1054310066356,0.0338940050795,0.0914407169376,0.0213094182812,0.0941297094603,0.0988245492016,0.0284626403332,0.0754924916772,0.0520759956757,0.0951451514419,0.0920335573274,0.0969092009482,0.087001534461,0.0880634532503,0.0830294922328,0.0265679641453,0.095096465911,0.0239771295494,0.0419958365278,0.0344927111139,0.0844032455113,0.0484524202606,0.0799880940406,0.0487035275862
