"","1642.MS00606","1642.MS00433","1642.MS00633","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00361","1642.MS00413","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00442","1642.MS00505","1642.MS00524","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00612","1642.MS00522","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00431","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00601","1642.MS00516","1642.MS00541","1642.MS00530","1642.MS00621","1642.MS00559","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00602","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00606",NA,-1.50316050487414,-2.02428017270256,-0.237135467783504,-1.58075969994534,-3.6122273103542,0.368129987937729,0.812992446543481,0.512210663734203,5.40815567336478,1.19265885075885,-2.92315891144917,-2.80674056701049,-2.34312906935687,0.0372991015547162,8.24673985502246,-2.31486236101723,6.21828843484931,-2.89042491394128,6.51261883909817,-1.28456367786185,-3.25174718599725,0.158224795345374,-2.44510468934017,2.64616253936954,-3.25762836953136,-3.08238767803186,-4.37579372259763,-1.8076033816246,-2.44499038999053,-1.6686508676347,2.10295863553728,-2.8200874159224,7.08346885634552,1.18864184787998,1.67593691859641,-2.08136350858239,0.571663721802105,0.0991828194374738,0.350749209699539
"1642.MS00433",-1.50316050487414,NA,-2.14251644684493,-0.768459151854671,-3.93040502837877,-3.26131740768472,-0.816172227616241,-2.14392097887039,-0.902034517510747,0.615285633984191,-0.874666734507375,-1.1550556137266,-2.86448432219407,-1.01539328702672,-0.64090924579045,3.54840083488472,-2.32791659500075,1.01335679498668,-2.76435706160646,0.811197762727879,-1.35225213868243,-2.15695958024924,-0.216252404033923,-3.94496298324931,-0.592772692683576,-2.56347233932019,-2.49433385119168,-2.57743988083147,-1.61146368374346,-1.66219873718656,-1.24991396016635,0.184666816296716,0.0575341648728029,1.09113028798147,-1.14430709849898,-0.178169729966524,-3.74979882131409,-0.91027171608973,-2.9212435571809,-1.93251310663435
"1642.MS00633",-2.02428017270256,-2.14251644684493,NA,2.26404486342802,-2.76667086266099,-2.07484674424299,2.68286641665576,3.33025032741722,2.36992141998082,5.35285794494748,1.40081063252983,-3.68420339379658,-1.6861867617999,-1.36683183533087,2.12296700695996,8.47746108125412,-2.58153193014799,7.37454639591869,-2.12834441133021,6.95979553398021,-3.13169857260139,-2.31638165286516,1.96041178601739,-2.32003509741636,3.12316930218791,-2.75602035878469,-3.3782099753221,-3.54513655535496,-3.04198920244687,-2.14824671851986,-2.12186308274808,3.95083999356495,-3.10579398959402,7.67035330323156,3.00098605733857,3.64818733154125,-2.80962505506736,1.69620372558836,-3.26781481777155,2.30366024203808
"2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences",-0.237135467783504,-0.768459151854671,2.26404486342802,NA,-1.3500031255614,-0.569299465614669,-5.17139466528337,-5.33770284687422,-3.862949084412,-4.53809180288312,-3.4182895028353,0.206679347409043,-1.1068400070243,0.606141715769571,-4.32203746292336,-3.32492918887534,0.429745979680704,-4.0957540037771,-0.354823367761928,-4.31218658869915,0.577764892919007,-0.228525913951462,-5.31889023196292,-1.18520674372233,-3.96968732659091,0.389275028884968,0.285684031897511,-0.461770556541873,-0.420781811908148,0.50432298043816,0.101049322255707,-6.16267776635489,0.637915096890419,-3.80002030329189,-5.17101298493471,-4.72086934266818,-1.45571927949982,-5.81688088480693,-1.54416234526901,-6.52808467634847
"1642.MS00361",-1.58075969994534,-3.93040502837877,-2.76667086266099,-1.3500031255614,NA,-5.50992880912828,-1.37446568678464,-1.71074071891529,-1.66260981908189,0.599775990899967,-1.72090071007404,-3.08111695705496,-3.33506533089888,-2.16697824475666,-0.779135807937307,1.98243630111281,-3.43686662489754,0.717346612911669,-2.86325641919208,-0.00556746324420435,-2.08651387761031,-2.40778860965994,-0.734574451284757,-4.96010944057182,-1.08064479734029,-3.03437703130737,-3.03236714269663,-2.45940024111398,-3.24354816849727,-2.32006018415496,-1.49205169850986,-0.625922879569098,-3.39699292554954,0.80792016056889,-2.06539521130232,-0.89110684417713,-5.41441898838559,-1.79178306878758,-4.84194649604595,-2.56260110544149
"1642.MS00413",-3.6122273103542,-3.26131740768472,-2.07484674424299,-0.569299465614669,-5.50992880912828,NA,-0.378516198334544,-1.16870274097237,-0.474128044670237,0.94038512781783,-0.619529363788647,-4.15287008095539,-3.05216255192947,-2.19888888531274,-0.156516889816287,3.13025798006287,-3.62690519673261,1.48286396111266,-3.50608577873836,1.85351035183912,-2.53800540479078,-3.13494160163537,-0.0899552537397648,-4.24870836265475,0.414576834796894,-3.09436863051257,-3.6591131358467,-3.34844246710829,-4.0928123464438,-2.59157030487063,-2.56104953383898,0.0675131620907272,-2.10827864535862,1.56490435785593,-0.615157270549807,0.0578024241622646,-4.20475855771537,-0.75907761640933,-3.92916817793911,-1.1596240838316
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",0.368129987937729,-0.816172227616241,2.68286641665576,-5.17139466528337,-1.37446568678464,-0.378516198334544,NA,-4.77833978361346,-3.8926779775923,-4.25007000660539,-4.59119061454372,0.449423941366765,-0.899015673679532,1.24628260013,-5.81813665500818,-3.28747004192679,0.991128063046861,-4.40273351753246,-0.255242389324167,-4.16342988205258,1.29725560387672,0.0966137484704856,-5.06524595279157,-1.02923726401059,-5.30560319500107,0.591121420243995,0.894759838612934,-0.339825037040087,0.0675771496446969,1.35207841196154,0.206508916266076,-5.18356471991955,1.51155185216464,-3.70706051443631,-5.65350274285498,-6.15926917577898,-1.5375051739065,-5.80896409445598,-1.34717390827803,-6.0884123702958
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.812992446543481,-2.14392097887039,3.33025032741722,-5.33770284687422,-1.71074071891529,-1.16870274097237,-4.77833978361346,NA,-3.93431730930811,-5.95395038505016,-5.85072385252273,0.171961709088413,-1.06029982494921,1.55992860905785,-6.79338669560167,-6.0488354107882,1.60604391397729,-5.45304128064824,-0.581389949488338,-7.32314548892576,1.7576483921841,0.866948743126669,-6.0841796748542,-1.57043648317337,-6.96524045229608,0.387003597531909,0.759768265723613,0.81344054048708,-0.106520320327548,1.82208167966699,-0.166392217508558,-6.5572356447771,2.94953726111345,-6.17370603709117,-7.14635638186677,-6.53095909546514,-1.68178609027909,-6.84836001251606,-2.36582887621471,-7.8698483349216
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0.512210663734203,-0.902034517510747,2.36992141998082,-3.862949084412,-1.66260981908189,-0.474128044670237,-3.8926779775923,-3.93431730930811,NA,-5.31166814510687,-5.11911454118695,0.401409160943738,-1.15167440088674,1.07783637332406,-4.6045711210529,-4.35277727623091,1.43413838259586,-4.53405604487388,-0.432957135575939,-5.02369224304308,1.09076440216913,0.376255653093463,-7.31989200087996,-1.57043772740945,-5.30841009093915,0.435436020729927,0.932051913238018,-0.329121895034088,0.113186439723501,1.405593684996,0.702126140212732,-6.91476388526366,1.27782738465994,-4.81984742987553,-5.40703034533236,-7.36853184006092,-1.52867003096502,-6.58646453604501,-2.23756277467565,-5.17895859883902
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",5.40815567336478,0.615285633984191,5.35285794494748,-4.53809180288312,0.599775990899967,0.94038512781783,-4.25007000660539,-5.95395038505016,-5.31166814510687,NA,-3.58599255811948,3.61106864231828,-0.212531879642922,4.25603692789473,-5.4621843204385,-4.61440093276967,5.20302723212975,-5.55689297164426,2.58364887294192,-5.69569421118624,3.8735043223206,3.75631027487732,-5.21141046546419,-0.762766098501606,-3.83385065884968,5.27581889084328,3.55044550006095,4.67696962676773,1.72698214686381,4.69229377253997,1.22697918779073,-6.87669289504113,5.97969983407321,-7.85691326885146,-5.34795047018357,-6.49788553093251,2.05130953669218,-4.12523911011234,-0.982011301563172,-5.37664195432037
