"","1642.MS00608","1642.MS00355","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00378","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00479","1642.MS00453","1642.MS00472","1642.MS00459","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00548","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00549","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00409","1642.MS00534","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00425","1642.MS00537","1642.MS00391","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00335","1642.MS00393","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00362","1642.MS00617","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00443","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00416","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00608",0,0.7048,0.9348,0.677,0.9512,0.8852,0.9482,0.558,0.5318,0.5822,0.4962,0.5666,0.9476,0.912,0.561,0.5322,0.964,0.5132,0.9172,0.607,0.597,0.9288,0.5862,0.556,0.6182,0.919,0.6788,0.5608,0.9192,0.6178,0.526,0.9676,0.5464,0.9752,0.5616,0.9074,0.659,0.939,0.5734,0.9128
"1642.MS00355",0.7048,0,0.9364,0.512,0.9486,0.901,0.944,0.6382,0.685,0.7066,0.68,0.697,0.9434,0.9282,0.6304,0.638,0.9554,0.66,0.925,0.6132,0.6374,0.9298,0.614,0.6474,0.615,0.9268,0.5802,0.591,0.9298,0.5302,0.723,0.9568,0.6576,0.9694,0.7008,0.917,0.5332,0.9332,0.6524,0.9234
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.9348,0.9364,0,0.9404,0.7708,0.8652,0.7292,0.9316,0.9262,0.9232,0.9388,0.939,0.7488,0.801,0.9064,0.9374,0.6194,0.9258,0.8378,0.9392,0.9332,0.8232,0.9242,0.929,0.9298,0.7466,0.9296,0.9244,0.747,0.9226,0.9302,0.7496,0.9212,0.8504,0.9396,0.7584,0.9346,0.4626,0.9304,0.7408
"1642.MS00378",0.677,0.512,0.9404,0,0.9524,0.9034,0.942,0.6068,0.6562,0.6654,0.6608,0.6426,0.9466,0.926,0.5896,0.612,0.9604,0.6264,0.9234,0.589,0.637,0.9288,0.5944,0.618,0.586,0.9266,0.567,0.5662,0.9292,0.5564,0.695,0.9608,0.6028,0.9722,0.652,0.916,0.5216,0.9364,0.5998,0.922
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.9512,0.9486,0.7708,0.9524,0,0.8614,0.6532,0.943,0.9498,0.9452,0.9556,0.9552,0.3734,0.854,0.9366,0.957,0.6596,0.9458,0.891,0.9546,0.9448,0.7212,0.9382,0.9446,0.9516,0.896,0.9496,0.9508,0.8834,0.944,0.955,0.8098,0.9468,0.5406,0.9588,0.8752,0.9486,0.6876,0.947,0.8632
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8852,0.901,0.8652,0.9034,0.8614,0,0.8776,0.8832,0.8774,0.8756,0.8648,0.8938,0.841,0.6302,0.8504,0.9024,0.9064,0.8652,0.6996,0.8886,0.871,0.8494,0.8756,0.8956,0.909,0.8058,0.9012,0.8772,0.7448,0.8662,0.8758,0.9226,0.8798,0.9398,0.8944,0.708,0.9008,0.8436,0.8934,0.7216
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",0.9482,0.944,0.7292,0.942,0.6532,0.8776,0,0.9328,0.9364,0.9308,0.9428,0.939,0.596,0.8622,0.921,0.948,0.5506,0.9276,0.8834,0.9444,0.9328,0.7364,0.9242,0.9354,0.9434,0.8938,0.9378,0.935,0.8762,0.9292,0.9428,0.753,0.935,0.5826,0.941,0.8838,0.9426,0.5958,0.9362,0.8768
"1642.MS00479",0.558,0.6382,0.9316,0.6068,0.943,0.8832,0.9328,0,0.5324,0.5056,0.5202,0.517,0.9356,0.9072,0.5236,0.4442,0.9508,0.4686,0.9044,0.5084,0.4996,0.92,0.4742,0.4552,0.511,0.9146,0.5814,0.4766,0.9114,0.582,0.5426,0.953,0.5162,0.9642,0.553,0.8976,0.657,0.9242,0.5086,0.9018
"1642.MS00453",0.5318,0.685,0.9262,0.6562,0.9498,0.8774,0.9364,0.5324,0,0.5676,0.4738,0.5492,0.9402,0.8974,0.4998,0.5474,0.956,0.4748,0.8982,0.566,0.6036,0.9174,0.5652,0.5496,0.6128,0.909,0.6472,0.543,0.9064,0.5582,0.4928,0.9574,0.5282,0.9694,0.5084,0.8916,0.6434,0.9232,0.5452,0.9028
"1642.MS00472",0.5822,0.7066,0.9232,0.6654,0.9452,0.8756,0.9308,0.5056,0.5676,0,0.5708,0.5738,0.9314,0.9066,0.5478,0.551,0.952,0.5178,0.9084,0.5864,0.5826,0.9196,0.5368,0.5378,0.5708,0.9084,0.6336,0.5434,0.9086,0.6114,0.582,0.9534,0.5464,0.9642,0.5946,0.893,0.663,0.9202,0.5216,0.9026
