"","1642.MS00608","1642.MS00355","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00378","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00479","1642.MS00453","1642.MS00472","1642.MS00459","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00548","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00549","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00409","1642.MS00534","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00425","1642.MS00537","1642.MS00391","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00335","1642.MS00393","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00362","1642.MS00617","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00443","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00416","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00608",0,1,1,0.936,1,1,1,-0.239,-0.63,0.295,-0.948,-0.17,1,1,-0.00700000000000001,-0.679,1,-0.859,1,0.483,0.339,1,0.091,-0.285,0.612,1,0.996,-0.191,1,0.779,-0.667,1,-0.315,1,-0.199,1,0.951,1,0.00299999999999989,1
"1642.MS00355",1,0,1,-0.992,1,1,1,0.548,0.952,1,0.945,0.99,1,1,0.411,0.401,1,0.798,1,0.0249999999999999,0.415,1,-0.026,0.627,-0.021,1,-0.573,-0.342,1,-0.952,1,1,0.803,1,0.992,1,-0.948,1,0.685,1
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",1,1,0,1,-0.436,1,-0.66,1,1,1,1,1,-0.208,1,1,1,-0.998,1,1,1,1,0.996,1,1,1,0.968,1,1,0.974,1,1,-0.752,1,-0.546,1,0.988,1,-1,1,0.966
"1642.MS00378",0.936,-0.992,1,0,1,1,1,-0.042,0.76,0.875,0.808,0.52,1,1,-0.274,-0.032,1,0.288,1,-0.404,0.406,1,-0.312,0.177,-0.442,1,-0.702,-0.669,1,-0.768,0.986,1,-0.104,1,0.705,1,-0.972,1,-0.201,1
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",1,1,-0.436,1,0,0.963,-0.954,1,1,1,1,1,-1,0.942,1,1,-0.954,1,1,1,1,-0.773,1,1,1,1,1,1,0.998,1,1,-0.316,1,-1,1,0.994,1,-0.928,1,0.982
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,0.963,0,1,1,1,1,1,1,0.986,-0.102,1,1,1,1,0.926,1,1,1,1,1,1,1,1,1,0.998,1,1,1,1,0.996,1,0.96,1,1,1,0.992
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",1,1,-0.66,1,-0.954,1,0,1,1,1,1,1,-0.99,0.996,1,1,-0.999,1,0.998,1,1,-0.56,1,1,1,1,1,1,1,1,1,-0.74,1,-1,1,1,1,-1,1,1
"1642.MS00479",-0.239,0.548,1,-0.042,1,1,1,0,-0.685,-0.885,-0.759,-0.893,1,1,-0.676,-1,1,-0.996,1,-0.921,-0.947,1,-0.998,-0.998,-0.922,1,-0.152,-0.998,1,0.128,-0.431,1,-0.786,1,-0.392,1,0.95,1,-0.886,1
"1642.MS00453",-0.63,0.952,1,0.76,1,1,1,-0.685,0,0.03,-0.99,-0.466,1,1,-0.916,-0.488,1,-0.984,1,-0.214,0.46,1,-0.24,-0.383,0.541,1,0.844,-0.476,1,-0.308,-0.963,1,-0.619,1,-0.872,1,0.832,1,-0.468,1
"1642.MS00472",0.295,1,1,0.875,1,1,1,-0.885,0.03,0,0.0800000000000001,0.018,1,1,-0.087,-0.329,1,-0.758,1,0.21,0.132,1,-0.613,-0.456,-0.128,1,0.733,-0.39,1,0.686,0.384,1,-0.197,1,0.416,1,0.96,1,-0.743,1
"1642.MS00459",-0.948,0.945,1,0.808,1,1,1,-0.759,-0.99,0.0800000000000001,0,-0.596,1,1,-0.897,-0.541,1,-0.988,1,-0.35,-0.003,1,-0.431,-0.174,0.451,1,0.93,-0.748,1,-0.153,-0.948,1,-0.864,1,-0.944,1,0.752,1,-0.532,1
"1642.MS00486",-0.17,0.99,1,0.52,1,1,1,-0.893,-0.466,0.018,-0.596,0,1,1,-0.418,-0.986,1,-0.996,1,-0.575,0.413,1,-0.328,-0.652,-0.118,1,0.663,-0.527,1,0.465,-0.26,1,-0.567,1,-0.623,1,0.946,1,-0.771,1
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",1,1,-0.208,1,-1,0.986,-0.99,1,1,1,1,1,0,0.964,1,1,-0.954,1,1,1,1,-0.642,1,1,1,1,1,1,1,1,1,-0.34,1,-1,1,1,1,-0.942,1,0.992
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,0.942,-0.102,0.996,1,1,1,1,1,0.964,0,1,1,0.998,1,-0.003,1,1,1,1,1,1,0.992,1,1,0.154,1,1,0.998,1,0.972,1,-0.17,1,0.996,1,-0.086
"1642.MS00387",-0.00700000000000001,0.411,1,-0.274,1,1,1,-0.676,-0.916,-0.087,-0.897,-0.418,1,1,0,-0.324,1,-0.968,1,-0.75,-0.08,1,-0.75,-0.119,-0.432,1,-0.239,-0.93,1,-0.658,-0.471,1,-0.929,1,-0.858,1,0.106,1,-0.745,1
"1642.MS00548",-0.679,0.401,1,-0.032,1,1,1,-1,-0.488,-0.329,-0.541,-0.986,1,1,-0.324,0,1,-0.994,1,-0.996,-0.972,1,-0.994,-0.993,-0.984,1,-0.586,-0.998,1,0.468,-0.284,1,-0.474,1,-0.448,1,0.974,1,-0.879,1
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",1,1,-0.998,1,-0.954,1,-0.999,1,1,1,1,1,-0.954,0.998,1,1,0,1,1,1,1,-0.412,1,1,1,0.986,1,1,0.986,1,1,-0.921,1,-0.976,1,0.994,1,-1,1,0.984
"1642.MS00549",-0.859,0.798,1,0.288,1,1,1,-0.996,-0.984,-0.758,-0.988,-0.996,1,1,-0.968,-0.994,1,0,1,-0.763,-0.65,1,-0.97,-0.956,-0.348,1,0.444,-0.957,1,-0.437,-0.956,1,-0.929,1,-0.909,1,0.787,1,-0.918,1
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.926,0.998,1,1,1,1,1,1,-0.003,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.471,1,1,0.998,1,1,1,0.257,1,1,1,0.576
"1642.MS00409",0.483,0.0249999999999999,1,-0.404,1,1,1,-0.921,-0.214,0.21,-0.35,-0.575,1,1,-0.75,-0.996,1,-0.763,1,0,-0.972,1,-1,-0.722,-0.995,1,-0.972,-1,1,0.194,0.393,1,-0.692,1,-0.655,1,0.774,1,-0.895,1
"1642.MS00534",0.339,0.415,1,0.406,1,1,1,-0.947,0.46,0.132,-0.003,0.413,1,1,-0.08,-0.972,1,-0.65,1,-0.972,0,1,-1,-0.719,-0.616,1,-0.389,-0.994,1,0.307,0.747,1,0.738,1,0.951,1,0.974,1,0.465,1
"2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences",1,1,0.996,1,-0.773,1,-0.56,1,1,1,1,1,-0.642,1,1,1,-0.412,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.943,1,-0.95,1,1,1,0.806,1,1
"1642.MS00425",0.091,-0.026,1,-0.312,1,1,1,-0.998,-0.24,-0.613,-0.431,-0.328,1,1,-0.75,-0.994,1,-0.97,1,-1,-1,1,0,-0.954,-0.998,1,-0.962,-1,1,-0.351,0.119,1,-0.707,1,0.028,1,0.725,1,-0.949,1
"1642.MS00537",-0.285,0.627,1,0.177,1,1,1,-0.998,-0.383,-0.456,-0.174,-0.652,1,1,-0.119,-0.993,1,-0.956,1,-0.722,-0.719,1,-0.954,0,-0.863,1,-0.134,-0.93,1,0.556,-0.112,1,-0.182,1,0.336,1,0.974,1,-0.774,1
"1642.MS00391",0.612,-0.021,1,-0.442,1,1,1,-0.922,0.541,-0.128,0.451,-0.118,1,1,-0.432,-0.984,1,-0.348,1,-0.995,-0.616,1,-0.998,-0.863,0,1,-0.996,-0.998,1,0.32,0.966,1,-0.77,1,0.0129999999999999,1,0.727,1,-0.992,1
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.968,1,1,1,1,1,1,1,1,1,1,0.992,1,1,0.986,1,1,1,1,1,1,1,1,0,1,1,-0.974,1,1,0.96,1,1,1,-0.796,1,0.673,1,-0.976
"1642.MS00335",0.996,-0.573,1,-0.702,1,1,1,-0.152,0.844,0.733,0.93,0.663,1,1,-0.239,-0.586,1,0.444,1,-0.972,-0.389,1,-0.962,-0.134,-0.996,1,0,-0.992,1,-0.316,0.996,1,-0.118,1,0.513,1,0.0760000000000001,1,-0.552,1
"1642.MS00393",-0.191,-0.342,1,-0.669,1,1,1,-0.998,-0.476,-0.39,-0.748,-0.527,1,1,-0.93,-0.998,1,-0.957,1,-1,-0.994,1,-1,-0.93,-0.998,1,-0.992,0,1,-0.503,0.089,1,-0.767,1,-0.204,1,0.243,1,-0.907,1
"2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.974,1,0.998,0.998,1,1,1,1,1,1,1,0.154,1,1,0.986,1,0.471,1,1,1,1,1,1,-0.974,1,1,0,1,1,0.974,1,0.992,1,-1,1,0.779,1,-1
"1642.MS00362",0.779,-0.952,1,-0.768,1,1,1,0.128,-0.308,0.686,-0.153,0.465,1,1,-0.658,0.468,1,-0.437,1,0.194,0.307,1,-0.351,0.556,0.32,1,-0.316,-0.503,1,0,0.815,1,-0.191,1,0.514,1,-0.813,1,0.0369999999999999,1
"1642.MS00617",-0.667,1,1,0.986,1,1,1,-0.431,-0.963,0.384,-0.948,-0.26,1,1,-0.471,-0.284,1,-0.956,1,0.393,0.747,1,0.119,-0.112,0.966,1,0.996,0.089,1,0.815,0,1,-0.02,1,-0.86,1,0.994,1,0.406,1
"2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences",1,1,-0.752,1,-0.316,1,-0.74,1,1,1,1,1,-0.34,0.998,1,1,-0.921,1,0.998,1,1,0.943,1,1,1,0.96,1,1,0.974,1,1,0,1,-0.695,1,1,1,-0.918,1,0.962
"1642.MS00430",-0.315,0.803,1,-0.104,1,1,1,-0.786,-0.619,-0.197,-0.864,-0.567,1,1,-0.929,-0.474,1,-0.929,1,-0.692,0.738,1,-0.707,-0.182,-0.77,1,-0.118,-0.767,1,-0.191,-0.02,1,0,1,-0.984,1,-0.029,1,-0.996,1
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",1,1,-0.546,1,-1,0.996,-1,1,1,1,1,1,-1,0.972,1,1,-0.976,1,1,1,1,-0.95,1,1,1,1,1,1,0.992,1,1,-0.695,1,0,1,1,1,-0.959,1,0.992
"1642.MS00443",-0.199,0.992,1,0.705,1,1,1,-0.392,-0.872,0.416,-0.944,-0.623,1,1,-0.858,-0.448,1,-0.909,1,-0.655,0.951,1,0.028,0.336,0.0129999999999999,1,0.513,-0.204,1,0.514,-0.86,1,-0.984,1,0,1,0.866,1,-0.813,1
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.988,1,0.994,0.96,1,1,1,1,1,1,1,-0.17,1,1,0.994,1,0.257,1,1,1,1,1,1,-0.796,1,1,-1,1,1,1,1,1,1,0,1,0.949,1,-1
"1642.MS00343",0.951,-0.948,1,-0.972,1,1,1,0.95,0.832,0.96,0.752,0.946,1,1,0.106,0.974,1,0.787,1,0.774,0.974,1,0.725,0.974,0.727,1,0.0760000000000001,0.243,1,-0.813,0.994,1,-0.029,1,0.866,1,0,1,0.518,1
"2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences",1,1,-1,1,-0.928,1,-1,1,1,1,1,1,-0.942,0.996,1,1,-1,1,1,1,1,0.806,1,1,1,0.673,1,1,0.779,1,1,-0.918,1,-0.959,1,0.949,1,0,1,0.767
"1642.MS00416",0.00299999999999989,0.685,1,-0.201,1,1,1,-0.886,-0.468,-0.743,-0.532,-0.771,1,1,-0.745,-0.879,1,-0.918,1,-0.895,0.465,1,-0.949,-0.774,-0.992,1,-0.552,-0.907,1,0.0369999999999999,0.406,1,-0.996,1,-0.813,1,0.518,1,0,1
"2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.966,1,0.982,0.992,1,1,1,1,1,1,0.992,-0.086,1,1,0.984,1,0.576,1,1,1,1,1,1,-0.976,1,1,-1,1,1,0.962,1,0.992,1,-1,1,0.767,1,0
