"","1642.MS00443","1642.MS00549","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00425","1642.MS00416","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00335","1642.MS00393","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00343","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00479","1642.MS00391","1642.MS00387","1642.MS00617","1642.MS00409","1642.MS00472","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00378","1642.MS00430","1642.MS00548","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00537","1642.MS00459","1642.MS00453","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00362","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00608","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00355"
"1642.MS00443",0,0.021809149342,0.0974855259575,0.0239929117821,0.0213532043938,0.1121303131107,0.0259834993284,0.0229307404505,0.1168590493566,0.0319913536733,0.0851987488954,0.0201677519429,0.1031204446752,0.0992653769153,0.1247662278128,0.0281416967263,0.0224320173858,0.0230113883424,0.0220263455773,0.0237150881052,0.0196403161039,0.0259056279998,0.0926900340333,0.086956213091,0.1071773896188,0.0301273806923,0.0214200720988,0.0215829108226,0.1016986803614,0.025815836023,0.0229184028706,0.0219167120855,0.0895721118257,0.0897651379907,0.0296997937017,0.1005556655301,0.0262021509243,0.0902796235107,0.085541127414,0.0330885085919
"1642.MS00549",0.021809149342,0,0.0888373745435,0.0195137351595,0.021373730794,0.1014529915012,0.0254860897045,0.0199467116475,0.1057820911461,0.0295905672175,0.0802861484537,0.0184969496955,0.0958437913098,0.0919246282593,0.1093623191366,0.0200743661195,0.0181879994744,0.0220351174519,0.0209468149006,0.0199445626386,0.0183163760919,0.0209956906437,0.0858545667829,0.0831574156711,0.0999824177248,0.0279590808853,0.0199816211736,0.0180430275824,0.0930844610795,0.0206724709145,0.0188025611673,0.0199990982986,0.0847272936858,0.0854096474426,0.0255430744289,0.0928050266056,0.0233283128016,0.084669768497,0.0806761052827,0.0304596133252
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0974855259575,0.0888373745435,0,0.0804830744468,0.0950471596983,0.0455194305853,0.0762326064386,0.0815607452366,0.0397931614134,0.0829088882035,0.0409387777377,0.1055684333689,0.0414748654445,0.0356524961019,0.0600794925151,0.0802528296961,0.0895280503657,0.0887115094586,0.0807949065041,0.1000733200996,0.079536294254,0.0858481892583,0.038124734292,0.0353085327761,0.0312820762843,0.0780724104913,0.0868633214592,0.0960494472888,0.0470670663394,0.0913546813223,0.0967429650622,0.0940930363256,0.0187089681637,0.0342967348313,0.0752297566624,0.0260477179197,0.103203193516,0.019624685393,0.0214723729653,0.0789356423069
"1642.MS00425",0.0239929117821,0.0195137351595,0.0804830744468,0,0.0195202090568,0.0907288857888,0.0195474820416,0.0178160249426,0.0908087939367,0.0254137426778,0.0706564159802,0.0201112357202,0.0865377652897,0.0769724388014,0.1002266729968,0.0197190050771,0.0184777577307,0.0194602330467,0.0214289845547,0.0269274224077,0.0171464215809,0.0202115529178,0.0789599361654,0.0770619965783,0.084966789629,0.0225967275117,0.0197694784118,0.0198701024381,0.0818068784392,0.0212262711942,0.0207150364335,0.0231213107803,0.0776420202315,0.0795886238202,0.021237971293,0.0814021954503,0.0267309674063,0.0777624198702,0.0736128327491,0.0257464586668
"1642.MS00416",0.0213532043938,0.021373730794,0.0950471596983,0.0195202090568,0,0.1092887130654,0.0221942509242,0.0190359628143,0.1083781636051,0.0280024228934,0.0856701419754,0.0191076836921,0.1005438726385,0.0920393074994,0.1168877086608,0.024928705121,0.0202819812666,0.0188698397795,0.0213839079658,0.0258848900972,0.0180421285906,0.0210662119574,0.0924063765838,0.0874601109795,0.1010362181661,0.0239052109954,0.0187409346035,0.0195538834919,0.0951192820328,0.0219492977032,0.0213063204804,0.0238249293093,0.0893732790845,0.0916013361608,0.0253235341584,0.0954393667328,0.0263299471724,0.0898314223186,0.0859680902672,0.028889620715
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.1121303131107,0.1014529915012,0.0455194305853,0.0907288857888,0.1092887130654,0,0.0882467380086,0.0946060371133,0.0166144913699,0.0950962519113,0.0424804371143,0.1220883387312,0.0130699277006,0.0230029353592,0.0120930819407,0.0849480897379,0.1007379031167,0.1024675530249,0.0946814410911,0.1094758390918,0.0906324044176,0.0992449154507,0.0246479914126,0.0517838782248,0.027932428713,0.0812531822702,0.0945621121397,0.1066866986176,0.020440247367,0.1047245121045,0.1066323817114,0.0999577983529,0.0483208929059,0.0477316240236,0.0839638514741,0.0253456801245,0.1163941912352,0.0481838005768,0.0483728062394,0.0835120065754
"1642.MS00335",0.0259834993284,0.0254860897045,0.0762326064386,0.0195474820416,0.0221942509242,0.0882467380086,0,0.021286245143,0.0887704797709,0.0223935223448,0.0709399367019,0.0260320768205,0.0873664464469,0.0718946716915,0.0972576889515,0.0252247448244,0.0235139145561,0.021275791554,0.0224203344311,0.0340842908131,0.0196504305798,0.0261480815511,0.0749572258645,0.0757525614916,0.0824472133496,0.0196791434814,0.0206245956768,0.0261279739942,0.0820377445816,0.0278968982195,0.0272015036569,0.0282809044083,0.0779726527744,0.081415446255,0.022721859533,0.0767036088134,0.0340526570848,0.0744864660357,0.0714781252102,0.0219978396283
"1642.MS00393",0.0229307404505,0.0199467116475,0.0815607452366,0.0178160249426,0.0190359628143,0.0946060371133,0.021286245143,0,0.0993145698844,0.0229809265132,0.0720197741717,0.0207875625924,0.0916964471446,0.0843418161333,0.1033234462221,0.0212134505977,0.019516674398,0.0193888921748,0.0189579920432,0.024818687765,0.0174070033311,0.0201239735926,0.0810048085001,0.0786208315001,0.0906941468046,0.0231783746971,0.019497230569,0.0210316775736,0.0865242738015,0.0229055999109,0.019371979079,0.0225035320483,0.0790373841544,0.0814466422394,0.0213333784886,0.0858683582416,0.0255276754515,0.0793252066919,0.0750066072619,0.0252013689155
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",0.1168590493566,0.1057820911461,0.0397931614134,0.0908087939367,0.1083781636051,0.0166144913699,0.0887704797709,0.0993145698844,0,0.098022332119,0.054155710252,0.1224174423418,0.0192237852543,0.0129113065741,0.0219931590185,0.0889468315276,0.1040391209567,0.1024593352607,0.0987766948609,0.1182369854897,0.0918773138993,0.1011067545714,0.0263305520555,0.0605707128196,0.0191283096158,0.0887826679328,0.0994090129399,0.1080472549147,0.0176886509953,0.1050858217814,0.112826562988,0.107333304301,0.047402077561,0.0505786540236,0.0916776741049,0.0172170634383,0.121486052392,0.0475963721637,0.0491283365623,0.086910080301
"1642.MS00343",0.0319913536733,0.0295905672175,0.0829088882035,0.0254137426778,0.0280024228934,0.0950962519113,0.0223935223448,0.0229809265132,0.098022332119,0,0.0759026274572,0.0313796041522,0.0959444132016,0.0833051383965,0.1109227259165,0.0319861782631,0.0302953959172,0.0268612629737,0.0251429761152,0.0408506465793,0.0252117904349,0.030290027833,0.081005488977,0.0845680071022,0.0925816129635,0.0189757019377,0.0239338681039,0.0330385021774,0.0924810739236,0.0347174267571,0.0294023962363,0.0314510830767,0.0848046664459,0.0863613370753,0.0195976223357,0.0852419935268,0.0354344670136,0.0827276385044,0.0797596675535,0.0181419511551
