"","1642.MS00443","1642.MS00549","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00425","1642.MS00416","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00335","1642.MS00393","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00343","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00479","1642.MS00391","1642.MS00387","1642.MS00617","1642.MS00409","1642.MS00472","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00378","1642.MS00430","1642.MS00548","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00537","1642.MS00459","1642.MS00453","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00362","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00608","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00355"
"1642.MS00443",NA,-2.75347699788714,6.72938307697992,-2.5598639260421,-4.69974923295073,0.814833429896367,-2.25413869895692,-3.50054354814895,1.73067019833311,-2.1214927676755,5.22395154650269,-3.52303752225964,0.885860154227147,2.20484343638072,0.657821494641961,-2.16876810881062,-2.63652330188387,-5.12023902407537,-2.38387819463346,-0.592266559315705,-3.27504253454371,-3.82056843315531,0.379882798800852,4.3318608952559,4.05358520809674,-2.20557246989415,-3.0559128098984,-3.71320204949031,1.13702957236316,-3.41461922773517,-2.82632468275115,-1.66600437380729,4.59061880970425,6.26619008781739,-1.3940826654259,3.49575532635837,-2.57040436783292,6.03709285169396,3.94369451640535,-2.24923901392075
"1642.MS00549",-2.75347699788714,NA,4.63280616802286,-4.05506955423955,-4.28866503303715,0.12023573180381,-3.70607843370018,-5.28503745978914,0.551394251008295,-3.2416490970911,5.84138028591895,-3.5136998156608,0.3475602006927,1.30161792757668,-0.795502814542059,-5.10849616107463,-5.27435537713777,-5.04113883941329,-4.09108254193875,-4.3292251396797,-6.02333571989796,-5.71605187673734,-0.12466431746001,4.32286294311885,3.01246478320813,-3.1839227684246,-5.56515321134333,-5.42536860212892,0.0842547223131507,-4.30360210695348,-5.60631640157897,-1.87254730869077,3.9975940243012,4.88557868817559,-3.00477331688302,2.32274460063648,-1.60463114514027,5.30116189488313,3.41849375444222,-2.56293825342326
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",6.72938307697992,4.63280616802286,NA,0.698163365039218,5.73106607211714,-7.29060087450417,-0.454261493915559,1.18914828380561,-6.04370074760441,1.07193742644259,-7.01351800282596,4.90904271404006,-8.14795150350122,-8.63685611950532,-5.9692839489506,0.649501403015445,3.04000423287281,1.79298680832194,3.69528449132391,10.2026863395268,0.216817544319015,3.53756747629055,-4.3365534142881,-6.38408018774234,-5.61045355010038,-0.754350344687063,4.96511706937517,3.39771838950438,-6.39218346060898,3.63334757680089,7.55362829451344,5.41406822641937,-7.0400801104473,-4.7441972010418,0.767639852617254,-6.16251729427303,8.94802959580255,-6.35107135061459,-6.29406585654363,-0.463893538029669
"1642.MS00425",-2.5598639260421,-4.05506955423955,0.698163365039218,NA,-4.39659048776544,-0.659999361501156,-4.46937632248065,-4.79009116487212,-0.890132971125512,-3.50266808653416,3.37009402862583,-4.6276188915478,-0.61490406442763,-1.31291202797139,-1.44072178488667,-5.00737673973536,-4.42031573558706,-4.45317364850482,-1.99098998949639,0.606952288432902,-5.72081590274527,-4.92954865342161,-0.755893627327098,0.570226872500627,0.258796852420822,-3.52213754060163,-4.83752303313552,-5.01495375091224,-1.1677351820026,-3.90746517861988,-4.59454743761708,-1.05046060007456,0.525710542775542,1.30198975861694,-4.91673399582005,0.0501666225253441,-1.20182096362274,0.98555602003404,0.111149899485116,-2.70716457540092
"1642.MS00416",-4.69974923295073,-4.28866503303715,5.73106607211714,-4.39659048776544,NA,0.757903493689138,-4.32570317197071,-4.90407847765731,0.86365995478904,-3.01127632203875,6.41057907522511,-5.45018517877219,0.726776493388552,0.921155125090806,-0.0595901803333765,-3.85537004885424,-4.2683770619278,-4.34166580421453,-4.38029285292339,-2.86066781877892,-5.57755777569349,-4.37060519938537,0.511890985142219,4.58664642775501,3.29320858312363,-3.65386117086676,-5.74190811822834,-5.29472266875172,0.197867827555831,-3.94450296555222,-5.62002804121485,-1.70011293796666,4.43065330064309,6.78486935701614,-3.7247407786292,2.72245752116157,-2.870848483343,5.76335469723757,4.02202452729244,-2.89388725436801
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.814833429896367,0.12023573180381,-7.29060087450417,-0.659999361501156,0.757903493689138,NA,-1.03818650524606,-0.428788190208081,-4.673304613296,-0.608230669332292,-2.87654287475164,1.43941935186721,-6.80174912407627,-2.33840825228895,-6.71110110130212,-1.12542160610692,0.0987343577204525,-0.0704594941440307,-0.117251871361184,0.732090367204184,-0.750925260817725,0.0318612169380124,-3.88901166800406,-5.85596144226244,-6.51179327625134,-1.66726528745974,-0.438002344378721,0.307693408362345,-5.08472090797225,0.296725832108402,0.490349292430182,0.015133713114503,-6.07173098383872,-3.85883044485904,-1.29008330859348,-5.72186453098367,1.3069113612065,-2.90974235040801,-2.99408077732627,-1.32586318458928
"1642.MS00335",-2.25413869895692,-3.70607843370018,-0.454261493915559,-4.46937632248065,-4.32570317197071,-1.03818650524606,NA,-3.29946050505768,-1.40452567516363,-3.41680868333336,1.0380519133183,-2.65778340971224,-0.757282875360003,-2.03284784634122,-1.90125293016534,-2.78869698852209,-2.99387200010516,-2.95878274205654,-2.61040371147115,0.141255737013266,-3.89831024641863,-2.92566096674131,-1.21232530858856,-0.0832135212105323,-0.249809557256946,-3.76735995311768,-5.66964008050856,-2.82661973768495,-1.57402186096303,-2.09204865511613,-3.33423211455657,-1.7481911229016,-0.0320203028234581,0.818713030583492,-2.97062694076398,-0.781060669674483,-1.61878574826157,-0.164248209592706,-0.676116511355655,-3.48504608787266
"1642.MS00393",-3.50054354814895,-5.28503745978914,1.18914828380561,-4.79009116487212,-4.90407847765731,-0.428788190208081,-3.29946050505768,NA,-0.17795457788813,-3.78896094962164,3.45018819554168,-3.05977553746542,-0.168979060487212,-0.551600618800869,-1.2808567825321,-4.28573200370924,-4.55047011230924,-5.60374103931161,-3.90831467835012,-1.12384748684812,-5.84095233912387,-4.94479177228872,-0.556272432039693,1.08196755271899,1.09236038762691,-3.11326014435484,-5.1593227543146,-4.87377228435543,-0.807130176070455,-2.92159834014931,-6.1352090623043,-1.32219371441933,0.960525698187769,1.76202048750582,-3.87951214932506,0.661800641565653,-1.70370618231103,1.52564854445194,0.672689159465796,-2.61480427096641
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",1.73067019833311,0.551394251008295,-6.04370074760441,-0.890132971125512,0.86365995478904,-4.673304613296,-1.40452567516363,-0.17795457788813,NA,-0.763649925441345,-4.02404606951029,2.14544714576604,-4.80460521160592,-6.47156365527093,-5.03054705540965,-1.33088751745825,0.420415008092994,-0.113657598961783,0.316080668114428,2.47074433047513,-0.873572524780076,0.152537520060165,-4.12205997943591,-3.11248780153197,-8.27898041658662,-1.80711296824033,-0.233342303526118,0.463775756346396,-6.39391348590521,0.439771922497729,1.53343562723118,0.894267955591331,-4.42100729145077,-3.73584302787903,-1.21015106310537,-7.36569937584881,2.41420212691207,-4.64769165753193,-4.24393303438056,-1.55598855138088
"1642.MS00343",-2.1214927676755,-3.2416490970911,1.07193742644259,-3.50266808653416,-3.01127632203875,-0.608230669332292,-3.41680868333336,-3.78896094962164,-0.763649925441345,NA,0.886264681419962,-2.29847354899084,-0.0250812392084726,-1.31611110321682,-0.8758359208622,-2.48201201871339,-3.23279863484479,-3.02653375663105,-3.51149053717377,0.404579695190582,-3.30909704165803,-4.02846227744645,-1.11393571192937,2.14718961114576,0.900629146736386,-3.69394209468497,-4.12356076327765,-2.29000582849193,-0.790762389601433,-1.97323660032009,-3.10926900742,-2.23429023191065,1.93024882310991,2.77712840293068,-5.91039743630216,0.019387392943446,-1.67556827508998,2.14104203115459,0.91091108090828,-6.16886039873366
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",5.22395154650269,5.84138028591895,-7.01351800282596,3.37009402862583,6.41057907522511,-2.87654287475164,1.0380519133183,3.45018819554168,-4.02404606951029,0.886264681419962,NA,3.78348316570861,-3.19888853097553,-5.34900292866201,-4.19357059249967,1.33730114049942,5.17056670399139,3.50464283440675,3.89883719512092,8.27580313557204,3.27683001779215,5.02126784194547,-4.05774991304341,-8.23221610999036,-5.55595569132314,0.933454738060139,4.55577316503308,6.04465458474417,-4.57739309242966,5.6826756584874,5.40510481223842,4.91878574441005,-8.94719535358079,-6.1952955306749,0.744748252962776,-5.60329011595757,7.88834693494107,-8.41571131231703,-8.51384419737596,0.201763537547996
"1642.MS00486",-3.52303752225964,-3.5136998156608,4.90904271404006,-4.6276188915478,-5.45018517877219,1.43941935186721,-2.65778340971224,-3.05977553746542,2.14544714576604,-2.29847354899084,3.78348316570861,NA,1.83345565984592,2.16491380568568,1.10213513541348,-3.21407933489494,-4.69475167903334,-4.60213717703513,-2.08141173060542,-2.83208951502774,-5.05598528965787,-5.32008516028297,1.53812973016341,4.57510104998679,4.21476316757799,-3.21053079943506,-3.24131735515357,-4.83136497572992,1.8420432872083,-2.99148672032702,-2.9708571951069,-1.74649249985482,4.9245725376723,2.7896669120695,-3.33848706407861,3.79825668502457,-3.24701150729773,5.49114389279514,3.57246390996194,-2.66662906749762
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.885860154227147,0.3475602006927,-8.14795150350122,-0.61490406442763,0.726776493388552,-6.80174912407627,-0.757282875360003,-0.168979060487212,-4.80460521160592,-0.0250812392084726,-3.19888853097553,1.83345565984592,NA,-6.02935515873615,-6.93813018438801,-1.1618273069738,0.326978267968075,0.165369743949389,0.175425429361401,1.22508660419383,-0.650881253824911,0.429750225361622,-3.68817517783993,-6.10725125253202,-6.47271207833441,-1.55578038348796,-0.327988525953216,0.421097275420134,-5.42887589510756,0.435073302309494,0.817784473690079,0.170573150392495,-7.07634440550145,-4.37405658458273,-1.2984763967654,-6.16900765647705,1.86077830287663,-3.50899014805809,-3.67495452513475,-1.29564159880313
"2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences",2.20484343638072,1.30161792757668,-8.63685611950532,-1.31291202797139,0.921155125090806,-2.33840825228895,-2.03284784634122,-0.551600618800869,-6.47156365527093,-1.31611110321682,-5.34900292866201,2.16491380568568,-6.02935515873615,NA,-1.61935145164848,-1.32725068440882,0.291691679329364,-0.456458423253058,0.102171054881684,4.64714742929109,-1.53189492722781,0.347347930891072,-4.49063902120353,-5.89882449129,-7.64400575760692,-1.99257006219764,0.0446744657793407,0.594409328271004,-1.17713361186488,0.495521723792169,2.27744719683091,1.81639447026685,-8.05215423796357,-5.25004917451669,-2.05944589835461,-6.41710133289823,-0.157488516861063,-7.62454738889561,-7.677302396919,-2.49639405828784
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",0.657821494641961,-0.795502814542059,-5.9692839489506,-1.44072178488667,-0.0595901803333765,-6.71110110130212,-1.90125293016534,-1.2808567825321,-5.03054705540965,-0.8758359208622,-4.19357059249967,1.10213513541348,-6.93813018438801,-1.61935145164848,NA,-2.42513275887542,-0.704695942529609,-0.837959774066132,-0.767859886816016,1.06438212068649,-1.31004972438673,-0.438314892358936,-3.95080933442599,-4.42140233156318,-5.23738174775397,-2.21927281215445,-1.30833592835267,-0.598385817462551,-5.28806343975131,-0.570495114060927,-0.139770706756569,-0.463329607495994,-5.02762005872523,-3.69272061714026,-2.42606621486551,-4.84199091841975,1.44619153055189,-4.60744067967306,-4.96504893768207,-2.24755267160443
