"","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00408","1642.MS00605","1642.MS00549","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00475","1642.MS00474","1642.MS00612","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00391","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00587","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00438","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00608",0,0.9676,0.493,0.96,0.5524,0.9186,0.9186,0.9464,0.9648,0.5244,0.554,0.488,0.5132,0.9482,0.5808,0.5166,0.5542,0.9048,0.914,0.6182,0.9206,0.5528,0.8996,0.8846,0.9652,0.9056,0.6676,0.9466,0.9388,0.968,0.5398,0.9628,0.5396,0.593,0.941,0.608,0.9274,0.9438,0.9326,0.9218
"2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences",0.9676,0,0.9618,0.643,0.9568,0.8996,0.8818,0.749,0.8078,0.966,0.9584,0.9626,0.954,0.6206,0.9626,0.9582,0.965,0.8916,0.8964,0.965,0.8916,0.9676,0.8882,0.9024,0.5438,0.8922,0.98,0.4528,0.7424,0.5968,0.96,0.5484,0.9586,0.9628,0.765,0.9676,0.7194,0.6678,0.8338,0.8936
"1642.MS00598",0.493,0.9618,0,0.9516,0.4894,0.9088,0.9136,0.9364,0.9626,0.5678,0.5548,0.4852,0.495,0.9398,0.5944,0.5138,0.5022,0.8854,0.9154,0.6502,0.912,0.5472,0.8796,0.8808,0.9518,0.9014,0.7194,0.9382,0.9274,0.962,0.5468,0.957,0.5522,0.594,0.9322,0.6346,0.9212,0.9274,0.92,0.9048
"2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences",0.96,0.643,0.9516,0,0.9474,0.9026,0.8562,0.5104,0.4592,0.9434,0.9472,0.9512,0.9432,0.656,0.9484,0.9376,0.9574,0.8934,0.8644,0.9472,0.8616,0.9498,0.8866,0.8788,0.6578,0.8488,0.9688,0.5986,0.6466,0.581,0.9452,0.677,0.9426,0.9526,0.607,0.9498,0.5548,0.6068,0.6912,0.8762
"1642.MS00625",0.5524,0.9568,0.4894,0.9474,0,0.8936,0.899,0.9292,0.957,0.5654,0.5282,0.5368,0.4784,0.9352,0.6086,0.5266,0.4802,0.8696,0.8922,0.6488,0.8988,0.5544,0.868,0.8632,0.9496,0.8842,0.708,0.93,0.9214,0.958,0.5416,0.951,0.5452,0.5896,0.9222,0.6464,0.9084,0.924,0.91,0.8896
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9186,0.8996,0.9088,0.9026,0.8936,0,0.8946,0.8048,0.9132,0.9212,0.9024,0.911,0.8978,0.8722,0.9102,0.915,0.9146,0.5898,0.667,0.9334,0.6032,0.9326,0.6612,0.7222,0.859,0.647,0.9522,0.8352,0.8562,0.9058,0.9092,0.9136,0.9202,0.9222,0.8188,0.9374,0.7472,0.8356,0.8052,0.6374
"2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences",0.9186,0.8818,0.9136,0.8562,0.899,0.8946,0,0.8558,0.8058,0.9008,0.8942,0.9104,0.8978,0.7994,0.9036,0.8926,0.927,0.8768,0.8762,0.915,0.8974,0.9182,0.86,0.7916,0.8558,0.878,0.9416,0.8424,0.7588,0.7858,0.903,0.8332,0.8926,0.923,0.8312,0.9148,0.862,0.779,0.8374,0.8958
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.9464,0.749,0.9364,0.5104,0.9292,0.8048,0.8558,0,0.6248,0.9354,0.931,0.9374,0.9238,0.6612,0.9336,0.9242,0.9372,0.8078,0.7526,0.9376,0.7432,0.941,0.805,0.8246,0.696,0.7426,0.9634,0.6474,0.6486,0.6394,0.9314,0.7578,0.9276,0.9402,0.5124,0.9392,0.5326,0.6014,0.599,0.8064
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",0.9648,0.8078,0.9626,0.4592,0.957,0.9132,0.8058,0.6248,0,0.9426,0.9546,0.9598,0.9486,0.707,0.954,0.9446,0.964,0.9138,0.8912,0.9504,0.8904,0.9568,0.907,0.891,0.8182,0.8722,0.9748,0.7684,0.6368,0.6338,0.9538,0.8178,0.9462,0.963,0.6874,0.9536,0.6646,0.7128,0.7244,0.8918
"1642.MS00531",0.5244,0.966,0.5678,0.9434,0.5654,0.9212,0.9008,0.9354,0.9426,0,0.5804,0.5484,0.5098,0.9426,0.5742,0.5076,0.5708,0.9066,0.9122,0.5976,0.9204,0.5286,0.9004,0.8814,0.96,0.9056,0.6734,0.942,0.9272,0.9604,0.5534,0.957,0.4912,0.595,0.9348,0.5948,0.9232,0.9336,0.921,0.9156
