"","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00408","1642.MS00605","1642.MS00549","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00475","1642.MS00474","1642.MS00612","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00391","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00587","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00438","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00608",0,1,-0.931,1,-0.323,1,1,1,1,-0.736,-0.326,-0.94,-0.838,1,-0.213,-0.776,-0.314,1,1,0.406,1,-0.348,1,1,1,1,0.802,1,1,1,-0.573,1,-0.606,0.197,1,0.276,1,1,1,1
"2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences",1,0,1,-0.986,1,0.946,0.632,-0.888,-0.516,1,1,1,1,-0.994,1,1,1,0.88,0.927,1,0.88,1,0.842,0.958,-1,0.893,1,-1,-0.87,-0.998,1,-1,1,1,-0.803,1,-0.951,-0.976,-0.123,0.894
"1642.MS00598",-0.931,1,0,1,-0.922,1,1,1,1,-0.183,-0.373,-0.936,-0.941,1,0.087,-0.805,-0.862,1,1,0.847,1,-0.462,1,1,1,1,0.994,1,1,1,-0.471,1,-0.405,0.159,1,0.721,1,1,1,1
"2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences",1,-0.986,1,0,1,1,0.759,-1,-1,1,1,1,1,-0.962,1,1,1,0.998,0.936,1,0.909,1,0.996,0.984,-0.956,0.8,1,-0.99,-0.972,-1,1,-0.962,1,1,-0.996,1,-1,-0.994,-0.921,0.986
"1642.MS00625",-0.323,1,-0.922,1,0,1,1,1,1,-0.034,-0.58,-0.347,-0.96,1,0.482,-0.6,-0.942,1,1,0.871,1,-0.274,1,1,1,1,0.992,1,1,1,-0.437,1,-0.385,0.237,1,0.868,1,1,1,1
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.946,1,1,1,0,1,0.98,1,1,1,1,1,0.996,1,1,1,-0.404,0.814,1,-0.222,1,0.526,0.986,0.898,0.632,1,0.992,1,0.99,1,0.97,1,1,0.998,1,0.954,0.958,0.996,0.411
"2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences",1,0.632,1,0.759,1,1,0,0.998,-0.267,1,1,1,1,0.288,1,1,1,1,1,1,1,1,1,0.888,0.761,1,1,0.937,-0.018,-0.644,1,-0.26,1,1,0.988,1,1,0.192,0.992,1
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",1,-0.888,1,-1,1,0.98,0.998,0,-0.992,1,1,1,1,-0.913,1,1,1,0.99,0.652,1,0.529,1,0.978,1,-0.897,0.546,1,-0.887,-0.91,-0.988,1,-0.864,1,1,-1,1,-0.998,-0.972,-0.932,0.982
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",1,-0.516,1,-1,1,1,-0.267,-0.992,0,1,1,1,1,-0.916,1,1,1,1,0.972,1,0.958,1,0.996,0.969,-0.231,0.869,1,-0.618,-0.986,-0.99,1,-0.508,1,1,-0.962,1,-0.99,-0.889,-0.906,0.972
"1642.MS00531",-0.736,1,-0.183,1,-0.034,1,1,1,1,0,0.048,-0.334,-0.858,1,-0.212,-0.855,-0.00600000000000001,1,1,0.129,1,-0.698,1,1,1,1,0.846,1,1,1,-0.343,1,-0.926,0.229,1,0.126,1,1,1,1
