"","1642.MS00625","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00399","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00570","1642.MS00391","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00411","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00587","1642.MS00408","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00612","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00475","1642.MS00605","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00549"
"1642.MS00625",0,0.0986943196744,0.0256576365738,0.094201993751,0.1131242212479,0.0904792440613,0.0946867595223,0.1356074359181,0.0289753375373,0.1093678349011,0.110744297108,0.1127746561781,0.1020309031144,0.0953275679798,0.0326954866745,0.0301459168151,0.0992874519371,0.0256328061717,0.1017792000703,0.0265402903589,0.0267130119252,0.0229030196639,0.1085337365145,0.0245558101614,0.0936159788626,0.1359210986723,0.0978271937483,0.1309942930636,0.0280234711055,0.1252114293665,0.0254881427329,0.0292272299311,0.0268556113006,0.1231851957549,0.0950505837573,0.0241730839339,0.130887246867,0.0240402884114,0.1056939878547,0.0220835297296
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0986943196744,0,0.0944332040864,0.0377648225634,0.0573860913585,0.0309662587735,0.0349414139409,0.0718763164948,0.1009278803563,0.0537619668918,0.0539205582371,0.0665850066803,0.0485684759268,0.0333963538337,0.1020011615643,0.100210187802,0.0530742931543,0.0936340858957,0.0384020253471,0.1115643400291,0.1151114193685,0.0884778503357,0.0563232312121,0.1083927687441,0.035952814014,0.0702184883268,0.0321730269112,0.0830343530182,0.1101205289679,0.0735940947961,0.1080319518287,0.0950022685841,0.1072637429697,0.0685736051736,0.0347329666971,0.1029645940327,0.072181720285,0.1012668645605,0.0473803010606,0.0962931097425
"1642.MS00438",0.0256576365738,0.0944332040864,0,0.0879071721523,0.1027993717901,0.0864353905763,0.0920858999447,0.1110385432678,0.0196420202877,0.0993744087187,0.0966114169889,0.0962509238582,0.0902053813489,0.0950630621662,0.0276279958125,0.0219202660398,0.0898893115557,0.0203945269693,0.0922805098967,0.0240883488728,0.025602925195,0.0212843183828,0.0960986318472,0.0251089460904,0.0900945448871,0.1149024369782,0.0945493664923,0.1253495995053,0.0274081334919,0.1179469874608,0.025885656927,0.0248179313515,0.0273999621935,0.1146744754927,0.090012497992,0.0227636447775,0.1121541739712,0.0257791249638,0.0922800659982,0.0223873379229
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",0.094201993751,0.0377648225634,0.0879071721523,0,0.0451324752945,0.0333788329697,0.0304782348365,0.055375184906,0.09569430626,0.0435533402912,0.0441366759391,0.038729893409,0.037219620444,0.0391838648233,0.0930553169924,0.093236042807,0.0384536621199,0.0891438921501,0.0365524761433,0.1073018915451,0.1142587930944,0.0811559081923,0.044919747203,0.1073294689323,0.0275312255787,0.0556304832481,0.0316372515462,0.0605663100386,0.1049040369073,0.0608244481204,0.1027969026608,0.0868141157349,0.1052108485337,0.0571475132823,0.0279411290802,0.0963827649593,0.0573203283183,0.0968501116894,0.0368427185622,0.0920251216843
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.1131242212479,0.0573860913585,0.1027993717901,0.0451324752945,0,0.0545058059312,0.050853729629,0.0212188641056,0.105244355065,0.0219615405131,0.0226664124486,0.0466897215026,0.0203392613593,0.0480153170717,0.1083726076562,0.1077423232613,0.0242299398377,0.1025113458127,0.0280848386287,0.1195495686341,0.1250653283374,0.0995229178683,0.0196572943174,0.1190171260378,0.0509394635072,0.0210447937801,0.0412471700766,0.0185485882868,0.121257118792,0.0226698998913,0.1144034706052,0.0987714390594,0.1219860782664,0.0246989392418,0.0444652786726,0.107450081014,0.0133747951868,0.1094392172551,0.0154756501079,0.1049433588118
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0904792440613,0.0309662587735,0.0864353905763,0.0333788329697,0.0545058059312,0,0.0189345422142,0.0711624657571,0.0948010297949,0.0420790286009,0.0484090890619,0.0671172465302,0.0440052373216,0.0277511551201,0.093813759814,0.0951352738284,0.042015246755,0.0870942079948,0.0404652079994,0.1086042100023,0.1106801530182,0.0817699652592,0.0471802101499,0.1009510329104,0.0324182888516,0.0689048267026,0.028258962014,0.0660958763762,0.1041000122771,0.0588060038602,0.1005873700223,0.088580434431,0.1028926080724,0.0593517272622,0.0323933964767,0.0967062799317,0.0704821390173,0.0939607833484,0.0483173789494,0.0909734973712
"2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0946867595223,0.0349414139409,0.0920858999447,0.0304782348365,0.050853729629,0.0189345422142,0,0.0648376788435,0.0995502994379,0.0408691631576,0.0451033056182,0.0564595586835,0.0417468143797,0.0326534876586,0.0983161949034,0.0980416910362,0.0389437260086,0.0912464795487,0.0375654875466,0.1105840877743,0.1176028618347,0.0826755130678,0.0445754956975,0.1068215812829,0.031412455905,0.0624766103203,0.0317243138167,0.0652386878332,0.1083036400716,0.061375949545,0.1052210794875,0.089738395984,0.1051539310172,0.0590889459305,0.0321897853808,0.099462924188,0.0636860023374,0.0971148157789,0.044684802695,0.0939938810119
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",0.1356074359181,0.0718763164948,0.1110385432678,0.055375184906,0.0212188641056,0.0711624657571,0.0648376788435,0,0.1097589271602,0.0269211890664,0.0229032000759,0.047747223268,0.0236163472169,0.0560007685819,0.1177424512147,0.109172119504,0.0323590509924,0.1109998722387,0.0312719033988,0.127539390112,0.1360477206167,0.106733496369,0.0251823179146,0.1334795832657,0.0595048596124,0.014217201798,0.0477928477983,0.021761060021,0.1338156556206,0.0277138224639,0.1192455677954,0.1029116370624,0.1355738922689,0.0314775087404,0.0483317564138,0.1220796380248,0.0182897210497,0.1224960425102,0.0238162425053,0.1152112423434
"1642.MS00399",0.0289753375373,0.1009278803563,0.0196420202877,0.09569430626,0.105244355065,0.0948010297949,0.0995502994379,0.1097589271602,0,0.1019254083884,0.1001571533198,0.0980369915472,0.094297303408,0.1047965940821,0.0273780008011,0.019597637163,0.0950452418607,0.0213928941604,0.0950715157487,0.0240299879845,0.0259491145403,0.0231337058579,0.0992837841677,0.0301452952184,0.0972141622921,0.1125678873598,0.1017154207888,0.1223165761634,0.0266537020965,0.1194312550982,0.0244886834387,0.0243014743768,0.0275282529667,0.1126694150414,0.0979306630822,0.0239966111172,0.112963328351,0.0274548667158,0.0957652318934,0.0241740574236
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",0.1093678349011,0.0537619668918,0.0993744087187,0.0435533402912,0.0219615405131,0.0420790286009,0.0408691631576,0.0269211890664,0.1019254083884,0,0.023557835421,0.0538045519907,0.0246939303027,0.0468602850339,0.1030933271714,0.1024654812971,0.0275455329298,0.0982675446323,0.0307273458418,0.1175760723218,0.120344029517,0.0941021970636,0.0178244346206,0.115982043098,0.0466880927138,0.0234972278834,0.0362424135394,0.0215095138082,0.1177074382306,0.0152176219342,0.1110328716373,0.0946290031521,0.1182254550919,0.0189903580357,0.0424784634287,0.1055366467439,0.0238566313753,0.1083790014559,0.0288357845807,0.1014759157385
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.110744297108,0.0539205582371,0.0966114169889,0.0441366759391,0.0226664124486,0.0484090890619,0.0451033056182,0.0229032000759,0.1001571533198,0.023557835421,0,0.0520751972683,0.0162452213269,0.040249423656,0.1044103693986,0.0989256012097,0.0199992225738,0.0977815683159,0.0247586805345,0.1146419067017,0.1195482611814,0.0940633188939,0.0219372129545,0.1150804134417,0.0392600766407,0.0202067508621,0.0316044079102,0.0283829490576,0.1182583469043,0.0276408537711,0.1069582751485,0.091963044764,0.1167080572339,0.0255076469696,0.0338055593931,0.1039069929033,0.0263791961118,0.1068644370903,0.0271716262739,0.1009636305706
"2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences",0.1127746561781,0.0665850066803,0.0962509238582,0.038729893409,0.0466897215026,0.0671172465302,0.0564595586835,0.047747223268,0.0980369915472,0.0538045519907,0.0520751972683,0,0.0373419317901,0.0650820198475,0.1055563506059,0.0981786269564,0.0386166764254,0.0939686972594,0.0474647564555,0.1131610517186,0.1205531059556,0.090581156509,0.0409357812648,0.1162507935541,0.0570074791903,0.047673051234,0.0570102483381,0.0569781679158,0.120187229041,0.0609886219713,0.1053833586259,0.092334253813,0.1224168787613,0.0581869387755,0.0560842569414,0.1038965034995,0.0536935571478,0.1058457259252,0.0424436363885,0.0985056311673
"2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences",0.1020309031144,0.0485684759268,0.0902053813489,0.037219620444,0.0203392613593,0.0440052373216,0.0417468143797,0.0236163472169,0.094297303408,0.0246939303027,0.0162452213269,0.0373419317901,0,0.0413964421064,0.0961888805944,0.0927171722411,0.0186498242651,0.0903335557282,0.0201008580894,0.107302032392,0.1103369694819,0.0865345167142,0.0223470813518,0.1068006513721,0.033882627695,0.0209420099704,0.0295361948254,0.0283453580297,0.1077000776529,0.0287249574436,0.1008512750135,0.0869576903065,0.108122447196,0.0290435358172,0.0303999619771,0.0980422554671,0.0245469896618,0.0983287263419,0.0219488611918,0.0941440405893
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0953275679798,0.0333963538337,0.0950630621662,0.0391838648233,0.0480153170717,0.0277511551201,0.0326534876586,0.0560007685819,0.1047965940821,0.0468602850339,0.040249423656,0.0650820198475,0.0413964421064,0,0.102824383165,0.1004371426755,0.0392750663858,0.0949498168384,0.0374963306957,0.1110530486666,0.1195495484339,0.0881635009024,0.0409398430456,0.1069736761154,0.0341247941509,0.0653191597628,0.0318067452345,0.0663306959502,0.1080967292274,0.0558648663024,0.1058474917755,0.0937548634977,0.107670489327,0.0488491411171,0.0309803947713,0.1017851064993,0.061240979701,0.0992848092217,0.0455377204287,0.0944712862643
"1642.MS00570",0.0326954866745,0.1020011615643,0.0276279958125,0.0930553169924,0.1083726076562,0.093813759814,0.0983161949034,0.1177424512147,0.0273780008011,0.1030933271714,0.1044103693986,0.1055563506059,0.0961888805944,0.102824383165,0,0.0282730825794,0.0962159450379,0.0303385958182,0.09758027427,0.0274715393065,0.03000345541,0.028426769613,0.1048156186877,0.0359753531375,0.0918787064652,0.1143523018118,0.0993446303859,0.1223827572965,0.0303386419134,0.1184426122474,0.0262845110571,0.026681067055,0.0328594430121,0.1140419149276,0.0939570220749,0.0276841131887,0.1197809263497,0.0329382319215,0.1040613215706,0.0277607062895
"1642.MS00391",0.0301459168151,0.100210187802,0.0219202660398,0.093236042807,0.1077423232613,0.0951352738284,0.0980416910362,0.109172119504,0.019597637163,0.1024654812971,0.0989256012097,0.0981786269564,0.0927171722411,0.1004371426755,0.0282730825794,0,0.0935190345823,0.0222682493533,0.0946043955353,0.0244157854687,0.0255605076343,0.0234083341742,0.0991011242511,0.0307324782137,0.0945084427476,0.1110859075194,0.099816214158,0.1247366418323,0.0297911099619,0.1213637260932,0.0258079980707,0.0229245094933,0.0288671693645,0.1143820851193,0.0946646346561,0.0236370060551,0.1115216870494,0.0295527760287,0.0981161501532,0.0246999624357
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",0.0992874519371,0.0530742931543,0.0898893115557,0.0384536621199,0.0242299398377,0.042015246755,0.0389437260086,0.0323590509924,0.0950452418607,0.0275455329298,0.0199992225738,0.0386166764254,0.0186498242651,0.0392750663858,0.0962159450379,0.0935190345823,0,0.091158482405,0.0260664522116,0.1051341647664,0.1095583650957,0.0856236885704,0.0254634290701,0.1061120431624,0.0349199193089,0.0281954853,0.0323275573697,0.0356177195614,0.1064376449525,0.0351342395859,0.0973369333922,0.0859449875267,0.10580896569,0.0315177634083,0.0307406433245,0.095019570996,0.0315286367414,0.0976423965339,0.0268915196896,0.092313797976
"1642.MS00411",0.0256328061717,0.0936340858957,0.0203945269693,0.0891438921501,0.1025113458127,0.0870942079948,0.0912464795487,0.1109998722387,0.0213928941604,0.0982675446323,0.0977815683159,0.0939686972594,0.0903335557282,0.0949498168384,0.0303385958182,0.0222682493533,0.091158482405,0,0.091931936156,0.0253997954752,0.0282822778633,0.0209535714934,0.0955063997214,0.0289788895735,0.0895365463885,0.1137656301481,0.0934195886202,0.1235040038516,0.0284364659984,0.1156424301827,0.0264845102225,0.0248812797355,0.0294408257863,0.1126797586686,0.090632532702,0.0227936960466,0.1127905397694,0.0281749435201,0.0920521872747,0.0222211836818
"2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences",0.1017792000703,0.0384020253471,0.0922805098967,0.0365524761433,0.0280848386287,0.0404652079994,0.0375654875466,0.0312719033988,0.0950715157487,0.0307273458418,0.0247586805345,0.0474647564555,0.0201008580894,0.0374963306957,0.09758027427,0.0946043955353,0.0260664522116,0.091931936156,0,0.1089233395333,0.1127563341895,0.0860772271818,0.0299197554251,0.1071571340973,0.030948439107,0.0297828133034,0.0250683869303,0.0414147342539,0.1083800878612,0.040407738058,0.1028877383745,0.0885730324888,0.1060517367244,0.0378623524269,0.0262844556335,0.0972443721693,0.0321778166187,0.0998014600823,0.0255047457441,0.093796619425
"1642.MS00531",0.0265402903589,0.1115643400291,0.0240883488728,0.1073018915451,0.1195495686341,0.1086042100023,0.1105840877743,0.127539390112,0.0240299879845,0.1175760723218,0.1146419067017,0.1131610517186,0.107302032392,0.1110530486666,0.0274715393065,0.0244157854687,0.1051341647664,0.0253997954752,0.1089233395333,0,0.0244420108701,0.0244441861672,0.1140437924225,0.0264603849866,0.1060156787635,0.131813052478,0.1126278924273,0.1386322653401,0.0257930185594,0.1350180408393,0.0216422462802,0.0251048853835,0.0259545797281,0.1291268337828,0.107503373384,0.0200098881675,0.1301861497202,0.0275862078358,0.1114913748516,0.022166776292
