"","1642.MS00625","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00399","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00570","1642.MS00391","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00411","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00587","1642.MS00408","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00612","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00475","1642.MS00605","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00549"
"1642.MS00625",NA,8.48829725558797,-4.07596907357456,9.32042844960735,0.679601935475544,7.57541527980169,8.42044692619289,2.48498991143994,-4.23822042616942,1.76402165195971,2.74073137498659,3.86663581276915,1.28402841297812,6.78190175368399,-4.55217526454261,-4.50939409169114,1.67550453031183,-3.30362483111185,3.14350735024267,-3.93572403543941,-3.68497849296743,-5.53751265134959,1.57305671593754,-2.35217129343865,6.84769267573982,3.65854388840053,7.34977025868668,0.849870113106422,-2.37183822254318,0.602034619806331,-4.73963106302135,-4.48385809711072,-3.05216068085081,1.81870422015022,8.04507514905813,-4.05671185451768,1.14174204707257,-2.4989244906595,1.47766685791201,-4.87333485841196
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",8.48829725558797,NA,1.70921367060147,-5.54807864035773,-2.39588126127594,-3.99296576539863,-5.12679157224725,-3.11818445133015,2.29982344381415,-3.4249583701989,-3.23565001131075,-3.67409496668767,-3.18234265480831,-5.55514031479617,0.858869629754581,2.62121288252863,-2.29832879267222,3.39959636425006,-4.98920053561213,7.89591566681601,9.32009589009899,2.18402990562825,-4.14100691695061,7.76129651455523,-6.30190158278707,-3.72966061203702,-6.364444664861,-2.20082401288765,9.15602394039542,-3.22089348578872,9.39576739199055,3.2456215543762,8.9372639729723,-3.97072549587207,-5.60690835272919,7.46064491123662,-2.9315768947784,6.31995012111975,-5.09747161183315,6.26244371457157
"1642.MS00438",-4.07596907357456,1.70921367060147,NA,1.52976508309009,-0.323934104534909,4.12329232453302,1.42829078869644,-0.457436603969722,-6.54426671208414,-0.284139578879283,-0.0786893375934104,0.323802947935447,-0.437980853807937,1.90544356577543,-6.48315376819326,-3.72300674699492,-0.165316564664186,-4.78354531672985,0.171181219557793,-5.63171777274469,-3.56108834071466,-4.7999683880903,-0.622968174825889,-2.50602395610595,1.18649141703505,0.15615988791919,1.5591282353239,-0.146160954136732,-3.0974840617565,-0.375426049459651,-3.79873189344208,-5.15690781299663,-3.03292480013041,-0.0335405851720417,1.48637124412536,-4.42357273774234,-0.694183678694743,-3.12255440725084,-0.724834604164297,-5.28743230527098
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",9.32042844960735,-5.54807864035773,1.52976508309009,NA,-2.34886343020739,-7.48961739056293,-8.72741264040276,-4.20306502184996,2.12710182717531,-4.90456672919263,-4.2825477184432,-4.27251218173728,-3.51870928794005,-5.80147025561666,0.61132268577657,2.21920364589756,-2.96609138254538,3.886737266787,-4.79934871731006,9.86571417045971,11.626622514141,2.00470119119284,-5.9563983060368,10.2825331567207,-10.8324627115947,-5.19395536489404,-9.96466233335263,-3.26031353103361,9.30098005131357,-4.72466791062061,10.5285212752875,2.53362415204742,11.0917021982002,-5.17251954465644,-9.4031849212558,8.06618089297311,-3.33879946385753,7.27328408580489,-5.14936255698035,7.01312176503901
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.679601935475544,-2.39588126127594,-0.323934104534909,-2.34886343020739,NA,-2.20712635594991,-2.38142808789506,-5.42639324374941,-0.199044251577591,-5.28437161375017,-6.8187442084286,-2.07635607430962,-8.31348507994083,-5.85404955070091,-0.415580812336897,-0.104437709234362,-6.13533781111267,-0.0792040638258684,-7.15164263419261,0.942794612758946,1.21055729044169,-0.328443419140952,-7.00735552546327,0.965393699084778,-2.69159828270716,-6.53060261636872,-8.32864297325288,-5.2547993969308,1.07129989912645,-6.04823084895655,0.689952909486931,-0.574901229387271,1.07365265017641,-5.63897371499288,-6.57229412997685,0.266908987113459,-6.36183925118625,0.361896376814874,-5.89912821252614,0.0600276736738051
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",7.57541527980169,-3.99296576539863,4.12329232453302,-7.48961739056293,-2.20712635594991,NA,-7.1227075476648,-3.33580331723477,7.93227572692379,-3.41695542956874,-3.37588174006666,-2.55623542171279,-4.99494914171307,-7.38089866833838,4.46961129524668,4.71529317116528,-5.46740034584117,5.71574017728788,-4.05904754668389,8.14569060004613,8.81643243193605,3.90259614025645,-5.12465380403452,6.97849386933854,-7.88254914576607,-3.64371392286246,-8.86588680772064,-3.07175971100813,8.49922212844925,-4.17604568253121,9.32384678295814,3.88622911963668,8.92715157953177,-4.44466708938655,-7.91493099126593,8.32714466544724,-2.87928175191355,6.29357134252826,-5.11781768021726,7.14432573295445
"2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences",8.42044692619289,-5.12679157224725,1.42829078869644,-8.72741264040276,-2.38142808789506,-7.1227075476648,NA,-3.79621746625861,2.11258272254632,-3.15439940563006,-3.80729966507139,-3.97738709642706,-5.41977118627067,-7.08719331502981,0.628328438065902,2.24144453527876,-6.11210140799872,3.6398277696793,-4.86717968829178,7.1155475536284,8.45554244437748,1.74315218428664,-5.83611456790078,6.84909146497059,-8.74061388403918,-4.25366274652003,-8.31973288897776,-3.13330685493238,10.1961297827847,-4.13576890745359,9.9232027982039,1.93093080496389,10.2041090656448,-4.37466598259952,-8.21140444080236,7.89375980616756,-3.30427594576065,7.03446563633547,-5.73271674191256,6.6877969812144
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",2.48498991143994,-3.11818445133015,-0.457436603969722,-4.20306502184996,-5.42639324374941,-3.33580331723477,-3.79621746625861,NA,-0.561118824297522,-5.44979474040613,-5.44835372218444,-4.0993478701665,-6.241458266477,-5.44750424703964,-0.527661492897039,-0.735625924810547,-4.775258947564,-0.34932198202627,-5.54771224183306,1.35654044586774,2.36124118634022,-0.828093593929917,-6.24826583905907,2.03042221209178,-4.09188701520449,-6.09364199033173,-7.22209153087389,-5.44951955766925,1.8364535142979,-6.10123759038225,0.639963884398159,-1.31273181410194,2.13328194013636,-5.5547927374922,-6.84620627308959,1.22131138679643,-5.5765358981977,0.559391656947491,-6.47987003489535,0.0472773107771814
"1642.MS00399",-4.23822042616942,2.29982344381415,-6.54426671208414,2.12710182717531,-0.199044251577591,7.93227572692379,2.11258272254632,-0.561118824297522,NA,-0.233441789608132,0.183051716642311,0.393646265291475,-0.187991726528698,2.72695068563603,-5.6752240014121,-6.07351754385254,0.0919211448944858,-5.58581648974626,0.505056637680692,-5.39988829064614,-3.9292410307773,-4.11525324640547,-0.478516196248963,-2.55012250417494,1.92622749847477,-0.0457702842322571,2.19001806515789,-0.206037627946849,-3.8385067664292,-0.46999069418804,-4.50040748550424,-5.38072625420983,-4.02120686899952,-0.166391213234666,2.34075689480223,-3.60491241892535,-0.616070106968907,-3.29334013414522,-0.390672573300503,-4.74617420705678
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",1.76402165195971,-3.4249583701989,-0.284139578879283,-4.90456672919263,-5.28437161375017,-3.41695542956874,-3.15439940563006,-5.44979474040613,-0.233441789608132,NA,-5.11564017936071,-3.65384402802573,-5.76842491724587,-4.79085720992959,-0.584076671365065,-0.250717962591296,-5.11702882312681,-0.015804666843474,-5.69047119925884,2.09438123855175,2.63239572591879,-0.565763540928317,-6.50327434744593,2.16232422482718,-4.70159659155211,-5.27098120022837,-7.08064346417296,-5.11760376226881,2.25944529003971,-5.03400798283942,1.56199001178963,-0.943078525701182,2.5860934887503,-5.1624857423171,-5.98076287057549,1.54195798530552,-5.75882177879527,1.27385785065251,-5.3503981063819,0.398102867298572
