"","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00621","1642.MS00547","1642.MS00357","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00385","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00593","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00374","1642.MS00629","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00432","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00394","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00523","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00339","1642.MS00552","1642.MS00368","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0,0.9358,0.9248,0.9298,0.9356,0.545,0.836,0.7442,0.6778,0.9288,0.6918,0.7078,0.6614,0.9464,0.4598,0.8858,0.8436,0.9306,0.9292,0.6672,0.8682,0.6394,0.6446,0.9314,0.5906,0.8258,0.9234,0.6002,0.9452,0.943,0.6036,0.5924,0.6104,0.9388,0.9444,0.9596,0.692,0.9292,0.8736,0.8334
"1642.MS00622",0.9358,0,0.4494,0.496,0.6634,0.9448,0.8494,0.903,0.9286,0.5682,0.9302,0.9546,0.9554,0.6206,0.9552,0.8904,0.8458,0.6514,0.484,0.9312,0.895,0.9498,0.927,0.5292,0.9118,0.894,0.4998,0.9518,0.5852,0.5556,0.9314,0.9214,0.9,0.7094,0.6238,0.762,0.944,0.5108,0.8872,0.8476
"1642.MS00621",0.9248,0.4494,0,0.5006,0.6364,0.9396,0.8554,0.893,0.9238,0.556,0.9236,0.9538,0.9526,0.588,0.9468,0.8964,0.8468,0.64,0.5106,0.9272,0.8898,0.942,0.9184,0.516,0.9118,0.8926,0.4944,0.9458,0.5728,0.5302,0.9262,0.9142,0.8934,0.6934,0.581,0.7584,0.9394,0.48,0.8916,0.8524
"1642.MS00547",0.9298,0.496,0.5006,0,0.634,0.9468,0.8816,0.9126,0.93,0.5772,0.9288,0.953,0.9532,0.6004,0.9512,0.9116,0.8736,0.6606,0.5432,0.927,0.914,0.9458,0.9244,0.5264,0.9168,0.9172,0.5212,0.9482,0.593,0.5448,0.9326,0.924,0.9098,0.6718,0.5594,0.754,0.9442,0.5252,0.9076,0.8746
"1642.MS00357",0.9356,0.6634,0.6364,0.634,0,0.9488,0.8984,0.9158,0.9342,0.518,0.9234,0.9508,0.9518,0.7042,0.9526,0.917,0.8846,0.59,0.6786,0.9256,0.914,0.9462,0.9302,0.5878,0.9222,0.9248,0.5882,0.9552,0.6278,0.656,0.9378,0.9292,0.914,0.5708,0.6394,0.5398,0.9446,0.6544,0.9112,0.8896
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",0.545,0.9448,0.9396,0.9468,0.9488,0,0.883,0.8664,0.7082,0.945,0.7608,0.7252,0.7042,0.9538,0.5504,0.8828,0.8948,0.949,0.9418,0.6512,0.8824,0.6324,0.6692,0.9508,0.63,0.887,0.943,0.5334,0.9626,0.9546,0.4608,0.5288,0.5644,0.9502,0.9618,0.9698,0.6148,0.9476,0.8746,0.8742
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",0.836,0.8494,0.8554,0.8816,0.8984,0.883,0,0.776,0.8646,0.8654,0.8566,0.9256,0.9064,0.9134,0.8892,0.7168,0.5458,0.892,0.8556,0.871,0.7642,0.8924,0.8546,0.8654,0.7854,0.6138,0.8626,0.8958,0.9086,0.9018,0.8474,0.8354,0.8208,0.9184,0.9178,0.9276,0.8828,0.8804,0.7454,0.5446
"2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences",0.7442,0.903,0.893,0.9126,0.9158,0.8664,0.776,0,0.8558,0.899,0.821,0.9018,0.8654,0.929,0.8266,0.903,0.743,0.9056,0.9048,0.839,0.8974,0.839,0.8026,0.8962,0.8416,0.8722,0.8916,0.8558,0.914,0.9242,0.8424,0.8102,0.8184,0.9186,0.9282,0.9396,0.8166,0.9024,0.8958,0.7558
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.6778,0.9286,0.9238,0.93,0.9342,0.7082,0.8646,0.8558,0,0.9236,0.5664,0.5558,0.4928,0.9462,0.7312,0.7946,0.8612,0.9302,0.929,0.5594,0.7432,0.4892,0.536,0.9272,0.477,0.8584,0.9284,0.696,0.9458,0.94,0.6474,0.6578,0.5964,0.9376,0.9454,0.9584,0.6876,0.9266,0.8064,0.8088
"1642.MS00385",0.9288,0.5682,0.556,0.5772,0.518,0.945,0.8654,0.899,0.9236,0,0.9238,0.9496,0.9502,0.6452,0.954,0.8986,0.8486,0.587,0.5912,0.9256,0.8898,0.9436,0.9198,0.5114,0.9156,0.8942,0.4732,0.9516,0.5866,0.6128,0.9312,0.92,0.8948,0.595,0.605,0.6276,0.94,0.5626,0.8912,0.8586
