"","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00621","1642.MS00547","1642.MS00357","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00385","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00593","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00374","1642.MS00629","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00432","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00394","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00523","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00339","1642.MS00552","1642.MS00368","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0,1,1,1,1,-1,0.963,-0.164,-0.776,1,-0.715,-0.826,-0.931,1,-1,1,0.97,1,1,-0.854,1,-0.936,-0.904,1,-0.992,0.93,1,-0.984,1,1,-0.978,-0.994,-0.992,1,1,1,-0.782,1,1,0.959
"1642.MS00622",1,0,-0.982,-0.813,0.984,1,1,1,1,0.294,1,1,1,0.808,1,1,1,0.954,-0.839,1,1,1,1,-0.326,1,1,-0.755,1,0.553,0.149,1,1,1,0.996,0.908,1,1,-0.564,1,1
"1642.MS00621",1,-0.982,0,-0.73,0.924,1,1,1,1,0.208,1,1,1,0.45,1,1,1,0.933,-0.4,1,1,1,1,-0.487,1,1,-0.775,1,0.42,-0.202,1,1,1,0.994,0.513,0.998,1,-0.846,1,1
"1642.MS00547",1,-0.813,-0.73,0,0.848,1,1,1,1,0.294,1,1,1,0.533,1,1,1,0.98,-0.091,1,1,1,1,-0.515,1,1,-0.584,1,0.562,-0.18,1,1,1,0.947,0.004,1,1,-0.459,1,1
"1642.MS00357",1,0.984,0.924,0.848,0,1,1,1,1,-0.75,1,1,1,1,1,1,1,0.195,0.988,1,1,1,1,0.322,1,1,0.358,1,0.81,0.973,1,1,1,-0.4,0.872,-0.928,1,0.976,1,1
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",-1,1,1,1,1,0,1,0.941,-0.719,1,-0.299,-0.765,-0.838,1,-1,0.994,1,1,1,-0.94,0.994,-0.954,-0.9,1,-0.99,0.996,1,-1,1,1,-1,-0.998,-1,1,1,1,-0.978,1,0.996,0.989
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",0.963,1,1,1,1,1,0,0.875,1,1,1,1,0.998,1,0.978,0.972,-0.869,1,1,1,1,1,1,1,0.996,-0.273,1,0.998,1,1,0.996,0.996,1,1,1,1,1,1,0.998,-0.831
"2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences",-0.164,1,1,1,1,0.941,0.875,0,1,1,0.95,0.994,0.924,1,0.284,1,0.565,1,1,0.986,1,0.926,0.836,1,0.998,1,1,0.856,1,1,0.966,0.842,0.99,1,1,1,0.766,1,1,0.758
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",-0.776,1,1,1,1,-0.719,1,1,0,1,-0.978,-1,-1,1,-0.766,0.988,1,1,1,-0.99,0.743,-1,-0.998,1,-1,1,1,-0.8,1,1,-0.833,-0.768,-0.889,1,1,1,-0.7,1,0.998,0.998
"1642.MS00385",1,0.294,0.208,0.294,-0.75,1,1,1,1,0,1,1,1,0.94,1,1,1,0.32,0.706,1,1,1,1,-0.69,1,1,-0.958,1,0.497,0.882,1,1,1,0.0629999999999999,0.708,-0.028,1,0.191,1,1
"2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences",-0.715,1,1,1,1,-0.299,1,0.95,-0.978,1,0,-1,-0.996,1,-0.587,1,0.998,1,1,-0.852,0.984,-0.824,-0.95,1,-0.871,1,1,0.172,1,1,0.0189999999999999,-0.1,-0.53,1,1,1,-0.076,1,0.996,0.992
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",-0.826,1,1,1,1,-0.765,1,0.994,-1,1,-1,0,-1,1,-0.658,0.998,0.998,1,1,-0.986,0.891,-0.988,-0.998,1,-1,1,1,-0.7,1,1,-0.83,-0.797,-0.983,1,1,1,-0.669,1,0.988,0.986
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",-0.931,1,1,1,1,-0.838,0.998,0.924,-1,1,-0.996,-1,0,1,-0.84,1,1,1,1,-0.958,0.978,-0.994,-0.986,1,-1,1,1,-0.916,1,1,-0.924,-0.918,-0.924,1,1,1,-0.77,1,0.998,0.994
"1642.MS00593",1,0.808,0.45,0.533,1,1,1,1,1,0.94,1,1,1,0,1,1,1,1,0.994,1,1,1,1,0.916,1,1,0.9,1,0.907,0.075,1,1,1,0.986,-0.725,1,1,-0.735,1,1
"2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences",-1,1,1,1,1,-1,0.978,0.284,-0.766,1,-0.587,-0.658,-0.84,1,0,1,0.994,1,1,-0.784,0.996,-0.886,-0.811,1,-0.98,0.954,1,-0.992,1,1,-0.962,-0.972,-0.964,1,1,1,-0.756,1,0.994,0.974
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.994,0.972,1,0.988,1,1,0.998,1,1,1,0,0.998,1,1,0.994,-0.144,0.998,0.998,1,0.956,0.982,1,0.997,1,1,0.964,0.982,0.964,1,1,1,1,1,-0.471,0.942
