"","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00593","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00432","1642.MS00547","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00448","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00621","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00374","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00552","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00385","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00368","1642.MS00622","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00339","1642.MS00357","1642.MS00394","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",0,0.1213165656848,0.0660998927614,0.0245411708801,0.1051481446798,0.1116056817336,0.0211929294796,0.022523123575,0.0546103467683,0.0303545050097,0.125326058605,0.0190822339834,0.0523130609037,0.0171851967588,0.116478065999,0.0237837083931,0.1150034243335,0.0446801877928,0.0207493378619,0.121547721436,0.0217163887264,0.1245499743415,0.0215192480847,0.0931008757857,0.0228922305566,0.0267210941343,0.1274773983279,0.0971584589723,0.1103621154975,0.0205529023965,0.0286079346303,0.0251612629096,0.1002187655366,0.0526507272621,0.0541284683998,0.0981480542445,0.1004641533488,0.1074707647244,0.0547218211249,0.0498129083813
"1642.MS00593",0.1213165656848,0,0.1123036379637,0.1220444083936,0.0297904897524,0.0267362590057,0.108684570257,0.1335306686734,0.1081019586687,0.1152418550282,0.0295755170366,0.1128604822517,0.1045276076167,0.1147417224159,0.0241173091631,0.125313538724,0.027864079387,0.1091846508554,0.1254299035399,0.0438083622757,0.1323131664005,0.0225571302302,0.117952949841,0.033486218841,0.1135763792314,0.1154885552804,0.0287927181884,0.04723578005,0.0312383730675,0.1251800467056,0.1234784949823,0.1087704882831,0.0366734181555,0.1140178772964,0.106658647153,0.0335283726226,0.0384238844405,0.0332323400593,0.1171204731813,0.111273838773
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0660998927614,0.1123036379637,0,0.0607070786581,0.0862204471075,0.0985175824884,0.045453776969,0.0654483235217,0.0480769843863,0.0553036366075,0.1107560441148,0.0520839904561,0.0421892913431,0.0549275718946,0.101470739721,0.0653234143667,0.0966209999683,0.0323418101692,0.0595190963133,0.0918742358922,0.0642212978041,0.1125188359451,0.0630625204473,0.082857359247,0.0507117348052,0.0454069393349,0.1145459682705,0.0928918718824,0.1000852691883,0.0694111262486,0.05473836247,0.0562086221856,0.0828688129583,0.0291398610536,0.0447037619716,0.087084892293,0.089801430477,0.0897761842823,0.0659016778334,0.0428719904892
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0.0245411708801,0.1220444083936,0.0607070786581,0,0.0982131911768,0.109431450975,0.0306938148739,0.0241487067995,0.0478147656284,0.0278414565058,0.1201595780968,0.0250486448391,0.0432970352369,0.0264983464605,0.1122846947608,0.0286204886397,0.1146551190932,0.0448583858181,0.0279468997687,0.1183838199936,0.0119020346196,0.1224623259348,0.0316050459407,0.091285932444,0.0289678234959,0.0248371246842,0.1254026188528,0.0967540886186,0.1082809127639,0.0281874178057,0.0289444855115,0.0297524268959,0.0979344795519,0.0605300881453,0.0499772541836,0.0967110289418,0.0948136017299,0.1044131280505,0.0383839318481,0.0434933886528
"1642.MS00432",0.1051481446798,0.0297904897524,0.0862204471075,0.0982131911768,0,0.0256511825054,0.0835842552644,0.109785164618,0.0851281574865,0.0899499810294,0.0263906911825,0.0903366855064,0.0784533603878,0.0941816425271,0.0278424922766,0.103648054547,0.0265567398001,0.0872480220003,0.1035096898043,0.0483919315776,0.1058495921964,0.0261345855956,0.0993979164779,0.0254243189154,0.0894641989459,0.0934564388677,0.0276989832796,0.0353341818151,0.026143211432,0.1078151707313,0.0970060047596,0.0885556087728,0.0307207681988,0.0882196205699,0.0846415578923,0.0259414708371,0.0267401247253,0.0235789722118,0.0889423319742,0.0896794824085
"1642.MS00547",0.1116056817336,0.0267362590057,0.0985175824884,0.109431450975,0.0256511825054,0,0.0946328726288,0.1168393526538,0.0934968022709,0.1058055131499,0.027107218308,0.0992665447458,0.0902560535501,0.1031253595636,0.0250533022343,0.1159331989704,0.0229996015648,0.0961291581763,0.1124012505039,0.0467417308515,0.1179666998796,0.0254796641956,0.1060288353924,0.0302290150066,0.0984845090736,0.1038649185904,0.0267334489791,0.0438460474156,0.0232270332063,0.1151458113471,0.1085197941125,0.0996330092524,0.0272046089426,0.0969717187636,0.0931817532887,0.0346051977766,0.0353710161864,0.0267683456417,0.0995780332263,0.0941240557154
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",0.0211929294796,0.108684570257,0.045453776969,0.0306938148739,0.0835842552644,0.0946328726288,0,0.0329927905981,0.0443381642623,0.0300505367897,0.1052885327244,0.0211162431172,0.0383557752348,0.020374491595,0.0999089930594,0.0325319680978,0.0990810587444,0.0347188546479,0.0274196284999,0.1072884899024,0.0294715007196,0.107761430677,0.0284309630065,0.0802578125302,0.0238672741551,0.0277466934559,0.1092998708149,0.0926431811999,0.0938638676332,0.0292289989969,0.0262659884505,0.0263770590751,0.0860432135891,0.0351951630734,0.0417773836753,0.0836481080489,0.0885257806938,0.0937141574556,0.0487059918692,0.0442317149785
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",0.022523123575,0.1335306686734,0.0654483235217,0.0241487067995,0.109785164618,0.1168393526538,0.0329927905981,0,0.0533980704155,0.0167767794382,0.1304885890321,0.0247040158329,0.0560932921874,0.0221352578147,0.1235801347695,0.0113796367963,0.1294785409285,0.0413829229415,0.0205306954388,0.1056811174154,0.0175896853011,0.1286511872074,0.0377994462117,0.0960099596861,0.024879013891,0.0198089185964,0.1376926255427,0.0966308019261,0.1207006340076,0.025235582569,0.0175264231734,0.0244027790952,0.1087252544128,0.0624883591525,0.0608435024047,0.0976991344424,0.100486520461,0.1145693537267,0.0521758907399,0.0496293193789
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0546103467683,0.1081019586687,0.0480769843863,0.0478147656284,0.0851281574865,0.0934968022709,0.0443381642623,0.0533980704155,0,0.0423903849041,0.1095022334278,0.0407408336721,0.0300728410384,0.0461671188437,0.0987940002775,0.0560759331104,0.0938503400277,0.0353031899599,0.0562936492996,0.0911396755689,0.0474391928741,0.111693174709,0.058739831574,0.0824253192848,0.0453467358746,0.039268633402,0.1124545487509,0.0893398760218,0.0941243285894,0.0607679205821,0.0460290041934,0.0490697465227,0.081527839256,0.0405399857969,0.0257911383301,0.0876314003832,0.0888105446159,0.0856322172484,0.0377278456171,0.0308501930881
"2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences",0.0303545050097,0.1152418550282,0.0553036366075,0.0278414565058,0.0899499810294,0.1058055131499,0.0300505367897,0.0167767794382,0.0423903849041,0,0.111449682921,0.0262082953731,0.0432316629265,0.0255847122235,0.1051882409843,0.0174230143352,0.1074316093675,0.0359035357654,0.0252446320599,0.1076196018654,0.0240411319893,0.1119418101385,0.0300488165623,0.0889886682066,0.0251685882739,0.021207880147,0.1207244398027,0.0936783117914,0.1057713403582,0.0360607058491,0.019345137079,0.0246318677974,0.0933791367447,0.0496266235287,0.0470194260604,0.0878204793129,0.0911364498241,0.1008709438327,0.0420329858453,0.0399987749149
