"","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00593","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00432","1642.MS00547","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00448","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00621","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00374","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00552","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00385","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00368","1642.MS00622","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00339","1642.MS00357","1642.MS00394","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",NA,0.629886491308417,-2.92285574643984,-5.32981091060382,-0.716579840452541,-0.145562685121973,-6.77537211386904,-6.03333435502811,-5.35477244632708,-5.79288282104197,0.996572213830079,-3.88340958290377,-5.48788456106742,-4.16581651728417,0.521844873817224,-6.01178113662118,0.605347963273432,-7.22034861520723,-5.79458355421421,0.655710569938615,-4.96453731502084,0.863996436087553,-4.26948774844139,-1.79527430318779,-6.45101494611856,-5.97304370717621,1.38191453249777,-1.855001857167,-0.0731803038721,-4.76979000977416,-5.56914334214119,-6.26162872527691,-0.80437459054145,-3.57733499420812,-4.32043203356373,-1.27199540550688,-1.2412644501454,-0.694076672663297,-3.64192756582822,-4.91865553141757
"1642.MS00593",0.629886491308417,NA,8.17226092509088,1.86038525127973,-4.57161035717722,-2.58083596414888,2.59466813295787,1.87951582920658,8.93463158247188,3.69963428672996,-4.88772865243142,1.38791874635746,8.07221625558901,1.0145005724341,-3.95289332444282,3.05954357852931,-4.44680331931054,6.53703120607654,2.47191356270375,-1.82113512514449,0.739412600187625,-4.91296099787647,1.44436404535074,-3.58558379591469,1.94273390184663,3.99744599997389,-3.94711477411529,-2.37027007988433,-3.98122280041726,0.900317096630182,3.11315693944767,1.14259308719775,-4.02817507495438,8.56798814764261,5.3173275621947,-4.55868166236569,-3.25128305910697,-3.22341303592401,3.26194138163991,5.99024615812566
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",-2.92285574643984,8.17226092509088,NA,-3.93729230246975,1.81724711342679,3.41311958826084,-3.24573899171725,-4.17154885536215,-2.79836949281937,-3.31196734745188,7.34909197459301,-3.86792522484527,-6.83589865267394,-3.22894374781361,7.33397164120337,-2.24440782814337,7.55745802088266,-6.72197728898015,-4.60277565143445,1.62476223101074,-2.96295506384432,7.42533537197865,-4.1226831226858,1.00320576578924,-4.33499246299061,-3.5659178416681,10.3056807398879,-0.269291957100213,8.15952727765497,-3.77146995492351,-3.2752715615524,-4.4348777953402,1.6480165860593,-5.23522302905309,-6.2875082666628,-0.174275309545707,1.00359444720338,3.78921849643683,-3.93636232503329,-6.09125912977104
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",-5.32981091060382,1.86038525127973,-3.93729230246975,NA,-0.52436787543406,0.453843473684957,-5.81193628866442,-6.05314498003313,-5.39103431696708,-5.33301230161548,1.67086436681019,-4.06537022214419,-6.91099609972048,-5.08855616321954,1.42970724462674,-5.61722783631622,1.72601210068143,-7.19907957098128,-6.45189055251723,1.42179325038564,-7.52958664221197,2.05041632481955,-5.20691501557276,-1.5929517871685,-6.09782191445031,-5.21266682766149,2.3842087056106,-1.54037091743955,0.751135784426041,-5.99650463390756,-5.30026559891797,-6.4937890166911,-0.644805852666418,-3.73798768809318,-4.14922739195445,-1.01239406205706,-1.21813149405652,-0.0498053993284609,-4.49599585876883,-4.47113868031546
"1642.MS00432",-0.716579840452541,-4.57161035717722,1.81724711342679,-0.52436787543406,NA,-1.78102592027875,-0.587039346651339,-0.282351212517191,3.54797826230678,-0.56966643109851,-2.26110062751735,-0.803723470389368,3.85895802590165,-0.803065171519156,-3.14055278542564,-0.885579825723272,-2.34900218498007,1.29896860771502,-0.147557616647482,2.75112587674758,-0.739317735652554,-5.44652298054843,-0.710360343439255,-3.16641308454452,-1.11853557148241,1.10536500281067,-2.88565558340509,-2.82657637131002,-3.44355949805866,-0.606608714996574,0.158742248673941,-1.238589854355,-2.45079767653118,2.40435856200333,4.2044638654991,-4.99846355837546,-3.64098613684081,-4.3045656451826,-0.115201069946319,1.83743638618237
"1642.MS00547",-0.145562685121973,-2.58083596414888,3.41311958826084,0.453843473684957,-1.78102592027875,NA,0.752594083732148,0.360130315025879,4.23897414000394,1.30804161051416,-2.07230572909228,0.299693238259097,3.36696350081334,0.182297475267125,-1.81545996189704,-0.134690234933557,-3.36391422822663,2.41573711559371,0.796451566397085,-0.0943814645460137,-0.0424869984940192,-3.71349824693058,-0.0481795251034687,-1.89159440279662,0.0370958352543425,2.23989254802668,-1.48484642650935,-1.61523169380394,-2.82159029013683,0.157416552433645,1.50694330316374,0.292709573054738,-2.28046071144575,3.35031357657417,3.35939810140012,-1.71249318102585,-1.64348980701745,-1.52468550991932,0.935357153217685,1.81775913495563
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",-6.77537211386904,2.59466813295787,-3.24573899171725,-5.81193628866442,-0.587039346651339,0.752594083732148,NA,-5.71604100881758,-5.43953449676563,-6.89289513502211,2.25080995124819,-3.87199507220211,-6.27425851198532,-6.04536301986383,2.219874788098,-5.94077823846366,2.17348544419099,-7.74190811004092,-6.47440651224848,2.49508293842581,-7.72154679554132,2.63627991976803,-6.89319455305,-1.13508833546462,-6.51247372163466,-5.89431675463579,3.47021152125569,-0.862731819567607,1.25171720440793,-5.8326208436166,-6.4776246881694,-7.856056991977,0.0843870466882346,-4.2181841138388,-4.80767505961105,-1.16216040549868,-0.573303245146995,0.545661014623568,-3.86927545520528,-5.08377106742251
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",-6.03333435502811,1.87951582920658,-4.17154885536215,-6.05314498003313,-0.282351212517191,0.360130315025879,-5.71604100881758,NA,-4.8528317973844,-5.49529858172718,1.44598984916717,-4.09841088610222,-5.1391152013924,-5.20303624174622,1.4877293499366,-6.38527419704916,2.25656748564203,-8.64515419666674,-6.18557302356101,-1.03158033933621,-5.9472953543707,1.53447104597312,-3.10396149954838,-1.87447762873782,-5.30533749134728,-7.47074421931615,2.81617900007859,-1.87907331324453,1.02394814524589,-5.36538002467467,-5.48016779988069,-6.18576073292922,-0.302925341845423,-3.82830207579863,-4.22609294452211,-1.51038471191787,-1.3447685610833,0.155541095124092,-4.40750351090769,-5.83677485378926
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.35477244632708,8.93463158247188,-2.79836949281937,-5.39103431696708,3.54797826230678,4.23897414000394,-5.43953449676563,-4.8528317973844,NA,-5.38350640755214,9.1662789786783,-5.8099004811568,-5.70727933587884,-5.15108184480418,9.65544230638283,-5.20548205150741,9.9188809826454,-6.0169952617626,-3.97220399710929,3.14954314647085,-5.79599952677641,9.50748247536268,-4.27809865254124,2.86813933618636,-4.94619915674161,-4.03120131348039,12.4544937516771,0.113664431623188,10.0174734802362,-4.92943190015484,-3.01161075904503,-5.33419965660047,4.29446653852681,-5.64639165258014,-7.1357884187642,0.617622174274348,2.43889102653665,4.51450554970242,-5.260511212277,-7.80625517123327
"2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences",-5.79288282104197,3.69963428672996,-3.31196734745188,-5.33301230161548,-0.56966643109851,1.30804161051416,-6.89289513502211,-5.49529858172718,-5.38350640755214,NA,1.47923094654681,-5.04083337228443,-5.51946426725558,-5.01623775896751,1.71706975983985,-5.82887998237355,1.98191771491674,-8.45515308714456,-6.48657548396883,1.27329007056222,-6.00578228245224,1.95760544030643,-6.42766112071279,-0.718376771763542,-5.65188431007286,-6.1143303151277,3.42219658734392,-1.23424303726566,1.69075663093613,-5.2319399591961,-7.30756054822333,-6.8535235292151,-0.136427029380582,-5.35061688991011,-5.32218328645372,-1.0389164805492,-0.771711620419593,0.644639200324165,-4.53370448846602,-4.97674593706205
