"","1642.MS00489","1642.MS00404","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00421","1642.MS00487","1642.MS00458","1642.MS00533","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00595","1642.MS00531","1642.MS00604","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00480","1642.MS00592","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00425","1642.MS00390","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00465","1642.MS00335","1642.MS00490","1642.MS00331","1642.MS00363","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00550","1642.MS00443","1642.MS00578","1642.MS00556","1642.MS00505","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00489",0,0.5918,0.9484,0.7138,0.9068,0.9592,0.9626,0.941,0.5636,0.4198,0.5714,0.4934,0.9258,0.5526,0.5992,0.5238,0.5792,0.9244,0.572,0.5378,0.9268,0.5386,0.5802,0.659,0.9388,0.5406,0.6498,0.4452,0.642,0.624,0.9188,0.921,0.568,0.5118,0.5222,0.5856,0.5436,0.5624,0.9582,0.9684
"1642.MS00404",0.5918,0,0.9282,0.6896,0.8438,0.9402,0.9468,0.9258,0.4816,0.5778,0.4784,0.5104,0.887,0.4814,0.5824,0.5576,0.5482,0.8732,0.6082,0.5096,0.8828,0.5946,0.5266,0.66,0.909,0.588,0.622,0.6026,0.6008,0.5678,0.8716,0.8612,0.5304,0.564,0.5444,0.68,0.5172,0.5654,0.936,0.948
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",0.9484,0.9282,0,0.9654,0.886,0.7446,0.5236,0.6034,0.9372,0.9538,0.9318,0.9394,0.8756,0.9426,0.913,0.9374,0.9454,0.874,0.9488,0.9334,0.891,0.939,0.932,0.9524,0.6572,0.93,0.9386,0.9472,0.9358,0.938,0.833,0.8588,0.9438,0.9334,0.9492,0.9556,0.937,0.9408,0.5948,0.6656
"1642.MS00599",0.7138,0.6896,0.9654,0,0.9226,0.967,0.9764,0.9566,0.69,0.6984,0.687,0.689,0.945,0.6682,0.6666,0.7028,0.673,0.9426,0.7474,0.6614,0.9426,0.6998,0.7124,0.777,0.954,0.7454,0.765,0.732,0.7638,0.7422,0.9396,0.9414,0.6588,0.7068,0.6916,0.7708,0.6798,0.7066,0.9712,0.9774
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",0.9068,0.8438,0.886,0.9226,0,0.9378,0.9106,0.8954,0.864,0.9046,0.8438,0.888,0.7264,0.8524,0.893,0.8868,0.8744,0.7734,0.9144,0.8728,0.7348,0.8998,0.8756,0.9258,0.8626,0.8926,0.9066,0.9006,0.8978,0.8854,0.7052,0.7692,0.8656,0.8832,0.8886,0.9326,0.8706,0.8862,0.9278,0.9218
"2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences",0.9592,0.9402,0.7446,0.967,0.9378,0,0.7598,0.5984,0.9504,0.9624,0.951,0.9502,0.8978,0.9578,0.913,0.9366,0.9574,0.8592,0.9526,0.95,0.9212,0.9458,0.9446,0.9554,0.8266,0.9398,0.9376,0.9574,0.935,0.9412,0.8404,0.8322,0.9572,0.939,0.962,0.961,0.948,0.9528,0.6112,0.79
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.9626,0.9468,0.5236,0.9764,0.9106,0.7598,0,0.6754,0.955,0.966,0.9508,0.9598,0.8966,0.9634,0.935,0.959,0.9588,0.8992,0.9616,0.948,0.921,0.9572,0.9484,0.962,0.6952,0.9478,0.9502,0.966,0.9468,0.9526,0.8606,0.8824,0.9586,0.9478,0.959,0.965,0.955,0.957,0.641,0.4528
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.941,0.9258,0.6034,0.9566,0.8954,0.5984,0.6754,0,0.9326,0.9438,0.9278,0.9348,0.7868,0.939,0.8998,0.9354,0.9372,0.7354,0.9398,0.9308,0.8598,0.9348,0.923,0.9496,0.7226,0.9324,0.933,0.946,0.9236,0.9288,0.752,0.7426,0.9354,0.9276,0.9382,0.9556,0.9304,0.9366,0.4772,0.7498
"1642.MS00421",0.5636,0.4816,0.9372,0.69,0.864,0.9504,0.955,0.9326,0,0.5488,0.5264,0.5442,0.9076,0.5008,0.5808,0.5628,0.5688,0.896,0.5564,0.5286,0.9056,0.57,0.464,0.573,0.9222,0.5396,0.547,0.5514,0.5442,0.4994,0.8966,0.886,0.5654,0.5534,0.5456,0.6182,0.5272,0.5184,0.947,0.9578
"1642.MS00487",0.4198,0.5778,0.9538,0.6984,0.9046,0.9624,0.966,0.9438,0.5488,0,0.5522,0.5084,0.927,0.5442,0.6108,0.5338,0.5652,0.927,0.575,0.5368,0.925,0.5448,0.5652,0.6482,0.9396,0.5476,0.6514,0.4632,0.6356,0.6186,0.9214,0.9214,0.56,0.5298,0.5096,0.5964,0.533,0.5546,0.9596,0.9692
