"","1642.MS00489","1642.MS00404","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00421","1642.MS00487","1642.MS00458","1642.MS00533","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00595","1642.MS00531","1642.MS00604","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00480","1642.MS00592","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00425","1642.MS00390","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00465","1642.MS00335","1642.MS00490","1642.MS00331","1642.MS00363","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00550","1642.MS00443","1642.MS00578","1642.MS00556","1642.MS00505","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00489",0,0.536,1,0.982,1,1,1,1,-0.042,-1,0.122,-0.96,1,-0.324,0.57,-0.761,0.221,1,-0.154,-0.473,1,-0.584,-0.014,0.919,1,-0.629,0.906,-1,0.892,0.733,1,1,-0.00800000000000001,-0.867,-0.791,-0.046,-0.346,-0.418,1,1
"1642.MS00404",0.536,0,1,0.908,1,1,1,1,-0.924,0.414,-0.906,-0.603,1,-0.958,0.693,0.122,0.171,1,0.854,-0.518,1,0.818,-0.603,0.988,1,0.521,0.807,0.644,0.636,0.004,1,1,-0.184,0.348,-0.106,1,-0.322,-0.036,1,1
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",1,1,0,1,1,-0.685,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.932,1,1,1,1,1,0.869,0.992,1,1,1,1,1,1,-0.998,-0.974
"1642.MS00599",0.982,0.908,1,0,1,1,1,1,0.907,0.93,0.907,0.884,1,0.666,0.641,0.968,0.737,1,1,0.568,1,0.966,0.973,1,1,1,1,0.996,1,1,1,1,0.496,0.99,0.899,1,0.842,0.97,1,1
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,0,1,0.998,1,1,1,1,1,0.958,1,1,1,1,0.998,1,1,0.99,1,1,1,1,1,1,1,1,1,0.849,1,1,1,1,1,1,1,1,1
"2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences",1,1,-0.685,1,1,0,-0.814,-0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,0.998,1,1,1,1,1,1,1,-0.986,-0.638
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",1,1,-1,1,0.998,-0.814,0,-0.984,1,1,1,1,0.998,1,1,1,1,0.992,1,1,1,1,1,1,-0.95,1,1,1,1,1,0.776,0.976,1,1,1,1,1,1,-0.996,-1
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",1,1,-1,1,1,-0.996,-0.984,0,1,1,1,1,0.99,1,1,1,1,0.66,1,1,1,1,1,1,-0.334,1,1,1,1,1,0.873,0.817,1,1,1,1,1,1,-1,-0.832
"1642.MS00421",-0.042,-0.924,1,0.907,1,1,1,1,0,-0.261,-0.273,-0.121,1,-0.815,0.651,0.182,0.482,1,-0.168,-0.258,1,0.317,-1,-0.244,1,-0.378,-0.48,-0.345,-0.424,-0.942,1,1,0.388,0.0489999999999999,-0.13,0.771,-0.246,-0.833,1,1
"1642.MS00487",-1,0.414,1,0.93,1,1,1,1,-0.261,0,-0.116,-0.886,1,-0.41,0.821,-0.58,0.0660000000000001,1,-0.029,-0.442,1,-0.405,-0.195,0.903,1,-0.496,0.948,-1,0.885,0.7,1,1,-0.0600000000000001,-0.611,-0.882,0.196,-0.462,-0.489,1,1
