"","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00592","1642.MS00363","1642.MS00489","1642.MS00578","1642.MS00459","1642.MS00458","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531","1642.MS00487","1642.MS00600","1642.MS00331","1642.MS00425","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00505","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00595","1642.MS00480","1642.MS00490","1642.MS00599","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00404","1642.MS00604","1642.MS00335","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00556","1642.MS00533","1642.MS00443","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","1642.MS00421","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0,0.0239186798586,0.1082606114708,0.1053259806515,0.076138676088,0.1227780868585,0.1131692620872,0.1026562690847,0.0913939607468,0.0357392346259,0.0992421674611,0.0466791129606,0.1115615552666,0.1210446846989,0.1175462595392,0.08160336046,0.0843628936213,0.0395970329943,0.0894487933155,0.0380877794755,0.0329703927124,0.1083155018721,0.0864717707882,0.0918735828078,0.1195977721924,0.1101242549435,0.0462928297156,0.0853664054761,0.1018801181417,0.084376946895,0.0541256875097,0.0451953163281,0.1029068746859,0.114678860868,0.1030802278567,0.0523259915171,0.0255403294963,0.1019228377194,0.0862667091822,0.0332479460508
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0239186798586,0,0.1029032870703,0.1006145141223,0.0732600296652,0.1120063371495,0.1109298694799,0.0986026880924,0.0883521861838,0.0332191952275,0.0951505439976,0.0427297094288,0.1061392453463,0.1149796905686,0.1113079935721,0.0784512235714,0.0813952976255,0.0421728834618,0.0862285915966,0.0399197874562,0.0334395575769,0.1033078002077,0.0830531641416,0.0876956448858,0.1111766796305,0.1041002606637,0.0477173978208,0.0824609083483,0.0973460834294,0.0808809048202,0.0569733362174,0.0412000162999,0.0986290394706,0.1070533581902,0.0996057904003,0.0554635477313,0.0214719325817,0.0973684551598,0.0823577706283,0.0274870884567
"1642.MS00550",0.1082606114708,0.1029032870703,0,0.0234182470234,0.0284655143837,0.0225331995754,0.0221010352408,0.0234254230493,0.0272216783503,0.1080308766401,0.0310593465557,0.1149254112169,0.0221315300221,0.0246097228328,0.024400237828,0.0285671502631,0.0242253599597,0.1031745142691,0.0212938847906,0.0913752294925,0.1065385030963,0.0266131442589,0.0309457382093,0.02303945045,0.0212958282199,0.0572084466368,0.1146898779876,0.027733874286,0.0244302260172,0.0320194350783,0.1324756775135,0.118048211855,0.0261060279646,0.0221453453332,0.0281953228659,0.1337210290739,0.1043058523634,0.0212176357508,0.0244574488319,0.1023165122808
"1642.MS00592",0.1053259806515,0.1006145141223,0.0234182470234,0,0.0288094657548,0.0240183263187,0.0251584750433,0.0224211584818,0.0243723337864,0.1161023969795,0.0368389339013,0.1240022374841,0.0224071771278,0.0231141079463,0.0214493461878,0.0306815416549,0.025569684045,0.1064241099019,0.0208929131521,0.0886031717518,0.1019406146022,0.0218683930276,0.0310499304114,0.0271536357613,0.0213815911574,0.0533885220935,0.1188141482195,0.025640456948,0.0217216173702,0.033289617523,0.1347310041245,0.1256413392593,0.0249307751857,0.0232953200084,0.0240455345085,0.1339745664107,0.1017710372921,0.0266217507602,0.026134022116,0.0982851619564
"1642.MS00363",0.076138676088,0.0732600296652,0.0284655143837,0.0288094657548,0,0.027168393843,0.0323923932357,0.0262341657075,0.0252848663022,0.0840436990837,0.0273451279964,0.0828891364643,0.0304145836422,0.029512279298,0.0332530049524,0.0208154243842,0.020468997068,0.0767919613663,0.0247382793806,0.062835375676,0.0921911565033,0.0306842336193,0.0305926867238,0.0241916361112,0.0248663511032,0.051668659311,0.08672834263,0.0245473578273,0.0301414312658,0.0211656323124,0.1028764570217,0.0869161743698,0.0283051072865,0.0282525924013,0.0273728080553,0.1028161275987,0.0765907325373,0.0262467131842,0.0219738902818,0.0787537452069
"1642.MS00489",0.1227780868585,0.1120063371495,0.0225331995754,0.0240183263187,0.027168393843,0,0.0235934392696,0.0251463408072,0.0287008883554,0.1187787919213,0.0303024061797,0.1282152597897,0.0224978757385,0.0194362406644,0.0250331974201,0.0270875583863,0.0232073655057,0.11180706874,0.0206244609891,0.0901225261988,0.1197614671679,0.0273779956034,0.0299045394677,0.0230919823966,0.0184596456711,0.0496602516251,0.1317096687463,0.0282206040056,0.0258178209276,0.029317306265,0.1468020717191,0.1328917994353,0.0268358790439,0.0219482801591,0.0228433381016,0.1456123415922,0.1167954508255,0.0205802011934,0.0257624226644,0.1165678705582
"1642.MS00578",0.1131692620872,0.1109298694799,0.0221010352408,0.0251584750433,0.0323923932357,0.0235934392696,0,0.026822722395,0.0324936084405,0.1126852465462,0.0318627612367,0.1165893253746,0.0238852730993,0.0246578388794,0.0229484804716,0.0310885750197,0.026010767151,0.1069936095674,0.0234397417123,0.1007105356612,0.1255744277486,0.0295651708294,0.0329613211433,0.023300511972,0.0225288194964,0.0589369574887,0.1179212204207,0.0317337916249,0.0280807667861,0.0335560599183,0.1331367017719,0.1204832369777,0.0296862378046,0.0232925750196,0.0297753529963,0.1366057575789,0.1115315546784,0.0212537260518,0.0283738095699,0.1111232341549
"1642.MS00459",0.1026562690847,0.0986026880924,0.0234254230493,0.0224211584818,0.0262341657075,0.0251463408072,0.026822722395,0,0.022573890771,0.1115254435443,0.0319613513955,0.1167377983111,0.0233693386084,0.0253508920397,0.0262849547165,0.0270989460827,0.0230691494473,0.1000527196499,0.0203585926274,0.0809911442369,0.0965943942156,0.0234334883745,0.029175496184,0.0264153567447,0.022998592667,0.0300432875873,0.1151389179703,0.0228604079452,0.0253617102508,0.0299001939458,0.1296738554772,0.1192622617051,0.0247560033856,0.0232687569003,0.0257168275181,0.1311081860754,0.102742694176,0.0261701212197,0.0227932109408,0.0968243273898
"1642.MS00458",0.0913939607468,0.0883521861838,0.0272216783503,0.0243723337864,0.0252848663022,0.0287008883554,0.0324936084405,0.022573890771,0,0.1039517721059,0.0378924021887,0.109444311808,0.0270887383388,0.0276143128305,0.0297531284026,0.0285912801839,0.0251474056126,0.09408589923,0.0236584515377,0.0778235079732,0.0892293997803,0.0241851560578,0.0329677854096,0.0294805092592,0.0245887289593,0.0513309112049,0.1070065579116,0.0230290331866,0.02488512521,0.0316967602076,0.1211119024895,0.1112740716431,0.0252446610945,0.026210103875,0.0277787838477,0.1208928410368,0.0916362829878,0.029085666958,0.0252092163946,0.0872444778408
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.0357392346259,0.0332191952275,0.1080308766401,0.1161023969795,0.0840436990837,0.1187787919213,0.1126852465462,0.1115254435443,0.1039517721059,0,0.0979704577019,0.0209469012979,0.1154788933789,0.1232992674038,0.1163092966136,0.0826133939337,0.0887843799444,0.0270838297938,0.0953366242952,0.055388303347,0.0568650997623,0.1127425002293,0.0923487007006,0.0988861126665,0.1158084037892,0.1251181609531,0.0245040807475,0.0963709876813,0.1098001434497,0.086585463197,0.0324511668095,0.0173357369761,0.1085042192916,0.1157185395894,0.1106483453908,0.025194584325,0.0345928921078,0.1041256505795,0.0946556633277,0.0394751921092
