"","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00592","1642.MS00363","1642.MS00489","1642.MS00578","1642.MS00459","1642.MS00458","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531","1642.MS00487","1642.MS00600","1642.MS00331","1642.MS00425","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00505","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00595","1642.MS00480","1642.MS00490","1642.MS00599","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00404","1642.MS00604","1642.MS00335","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00556","1642.MS00533","1642.MS00443","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","1642.MS00421","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",NA,-8.95792376193194,10.5584316219471,11.4291347018632,-0.653640632003562,10.9022048442638,3.15165751765579,9.80518578851967,7.30715474274675,-3.2122568597967,2.35155467859475,-4.53877768009677,10.3993515453745,11.9379075895062,12.3208186520574,-0.0729353693558369,0.662234381614046,-4.81040302991566,0.625497269384468,-7.66253215359614,-6.10328753965781,12.1046308996012,3.90550919160295,1.21263921916764,6.05413247794167,1.88195382318362,-5.90388967967226,5.81274225231498,7.42299111082577,0.113179834822911,-5.18955467865957,-3.08099453554085,9.28782624052976,13.9002423724714,8.73283276119236,-6.56289433593764,-7.10583115948059,5.75923244646269,2.33936428920315,-2.25581685912895
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",-8.95792376193194,NA,8.97610403608838,9.83277805076932,-1.08061663921228,8.2206993373381,3.45764569767434,8.41768654301933,5.86050502805885,-4.25094271849406,1.79943743170225,-4.12173626435609,8.94499073336044,10.5149611766397,11.3300612480158,-0.411554007332703,0.366422189477495,-5.37155901101261,0.416652329774744,-8.0943981638258,-8.5316721515649,11.6770026659374,1.8986674163813,0.836435318297561,4.96558366719911,1.30457907756116,-6.49948529709444,4.84120519158348,5.80503062428691,-0.395420305966545,-6.47960443850405,-3.62728275378412,8.50182045310614,11.8076460089196,7.18619887650748,-7.70769590255554,-8.75333368730678,4.88273509987007,1.56342448778816,-8.22325734975328
"1642.MS00550",10.5584316219471,8.97610403608838,NA,-5.00014004554123,-3.59142233718486,-4.54618669277425,-5.98727440192376,-5.83313162341063,-3.38009680791051,1.94511607131252,-5.31911444653242,1.78998833326506,-5.09153730398734,-4.10992546244863,-3.96250501960031,-4.22341840143497,-4.84415394281971,0.616401142829229,-5.59881727511686,5.85200153786462,8.14674748095784,-2.45630091102012,-2.14062244105968,-4.01068981001781,-5.31667570865361,0.314741352693821,0.927193421641968,-3.19518387517175,-5.17047295860307,-2.58365242152401,0.614176060507663,1.36902735014013,-2.09980450937661,-4.21543959567734,-2.47312360578684,1.13994500773398,7.48095602298774,-6.93660145702546,-6.14878809082671,5.70692667334315
"1642.MS00592",11.4291347018632,9.83277805076932,-5.00014004554123,NA,-3.04140508276328,-4.71785953701116,-6.13676114441483,-6.11086007479134,-3.40870324311133,2.96411838835645,-1.97896569909244,2.73506374716565,-6.06386617449472,-6.39609615793397,-7.7331378311567,-3.14067257022066,-3.32869483022706,1.46809794949066,-4.44498306331663,5.91072879368701,7.73833163227544,-5.51834597861123,-1.62565971517597,-2.79245544861705,-7.19253087963073,0.404339207537014,1.89547692713892,-2.82784204956975,-6.93911314469474,-1.69691763709688,0.829327093425004,1.90117623092217,-2.86065461075272,-5.35882160466155,-3.98484277428634,1.23218488873789,8.30348381726457,-5.57254340422351,-3.34259520768332,5.50535189747556
"1642.MS00363",-0.653640632003562,-1.08061663921228,-3.59142233718486,-3.04140508276328,NA,-3.32840420721672,-3.83139455393342,-4.85699943099738,-4.56654708568572,-1.2971088868679,-4.70972587892982,-1.77371462278283,-3.72855813706359,-2.5276022266773,-2.45284782890498,-5.8860771500867,-6.01806181982603,-2.28501205942467,-4.25187682648399,-1.70004648142754,1.11973988623425,-2.09725141889223,-3.35411034244074,-3.9942486639816,-5.15593805408823,-0.597716443228429,-2.16883967514233,-4.2586272122242,-2.5922440001014,-3.60150857845458,-1.17578168843838,-1.70007461402987,-2.76855301592783,-3.8363299965067,-2.36664252753204,-1.14713676212865,-0.935817361758559,-5.23946149863047,-5.14787394740701,-0.921830496099416
"1642.MS00489",10.9022048442638,8.2206993373381,-4.54618669277425,-4.71785953701116,-3.32840420721672,NA,-4.33241268096077,-4.53145432412681,-1.77947039018369,2.56317103695984,-3.70455530470859,2.72012831523715,-4.48924547052977,-4.45463177337526,-4.31092534107805,-4.62350794405237,-4.55244476081911,1.09256445158014,-4.52309367233671,4.25333147322572,8.39850721844207,-2.75190801270647,-2.96651846747726,-3.56817954199948,-6.20935707371453,-0.620583220334939,2.60937412622705,-2.48462869244219,-2.86337720955738,-2.77872011397175,1.2224647878948,2.37615469284756,-2.34704681531569,-4.73330090309611,-4.51699731180055,1.71227146344427,8.06777110328373,-5.28310981110647,-3.39549111343972,6.83928201317734
"1642.MS00578",3.15165751765579,3.45764569767434,-5.98727440192376,-6.13676114441483,-3.83139455393342,-4.33241268096077,NA,-6.7165496620282,-4.2435596433937,0.908539671404472,-5.34928309479869,0.722175339851407,-5.81010632236922,-3.66734131228697,-5.53597700157771,-4.69683371469856,-6.1409065548602,0.104643206283636,-5.90450507841734,1.76487922987145,4.44328168675968,-4.87262740643717,-2.50920917143002,-3.02324140683436,-3.24722908075029,0.0696863034481291,0.107221317592303,-4.5457961918819,-4.75510755538764,-3.02438282255146,0.155270324612412,0.637410098447273,-3.87451388704654,-4.64310362736671,-6.11920531484346,0.544362095343643,2.91339055375069,-5.26989159816859,-5.64947314987166,2.38691364272314
"1642.MS00459",9.80518578851967,8.41768654301933,-5.83313162341063,-6.11086007479134,-4.85699943099738,-4.53145432412681,-6.7165496620282,NA,-5.22279857917426,2.36423877386815,-3.84190352568395,1.58096607152929,-3.96997904049836,-3.57333789427416,-4.58911518587675,-5.04992518237769,-5.38843442526434,0.270662565253081,-5.79783972165693,3.64608568182409,5.43756615127358,-4.31755829241544,-3.54851431333542,-4.26883179537814,-4.27382273884168,-2.13180469329053,1.00934919465537,-4.66130628687212,-2.77027872367897,-3.64335891971928,0.409027103133413,1.19546544522827,-3.68815102515343,-5.10166899784574,-3.18780440222628,0.736507126426532,8.13563285333992,-6.30667804085589,-4.67915292974515,4.42159770715521
"1642.MS00458",7.30715474274675,5.86050502805885,-3.38009680791051,-3.40870324311133,-4.56654708568572,-1.77947039018369,-4.2435596433937,-5.22279857917426,NA,1.83186933843915,-2.14666086601793,1.06071544103901,-4.01101332121222,-2.18190187150931,-3.64246200688148,-4.69566103323565,-3.29150517358289,-0.0901866480607304,-3.40561227230696,3.36244695671343,4.65134559387268,-2.20530479237667,-1.58634841512005,-1.96655769226604,-4.11481477477848,-0.094992587869349,0.413487895981509,-4.08715913265079,-2.21179122658741,-2.66909704062628,0.0382479005472662,0.796027900811341,-2.89085742783944,-2.99911157931286,-1.02326073767574,0.331537178894456,5.79683015615765,-4.54377223239834,-4.31299872701894,2.90229968944916
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",-3.2122568597967,-4.25094271849406,1.94511607131252,2.96411838835645,-1.2971088868679,2.56317103695984,0.908539671404472,2.36423877386815,1.83186933843915,NA,-0.694796046029558,-5.92237346636507,2.7217792371109,2.90423528156335,3.15569191934126,-1.45002702534522,-0.69616074037985,-4.15277341411938,-0.376519392185158,-4.00349716795131,-3.41613759634935,3.15350585468423,0.0902467787875672,-0.13381231970234,1.70338144068313,1.03614130451852,-7.1355340929241,0.912141175541739,1.8160172107853,-1.33346041165955,-3.72431219754827,-7.69170767409955,2.19096753279231,3.235145991579,1.77844710685862,-7.1351825037547,-4.06601088880065,1.14706005264016,-0.211365895776809,-3.48362881127309
"1642.MS00390",2.35155467859475,1.79943743170225,-5.31911444653242,-1.97896569909244,-4.70972587892982,-3.70455530470859,-5.34928309479869,-3.84190352568395,-2.14666086601793,-0.694796046029558,NA,-1.16319648893183,-3.46213679331842,-2.44987396217331,-3.51784347620266,-7.97159764294727,-7.08961213901795,-1.3520196574529,-4.38374975157117,0.334124209693301,2.9979379641871,-0.276782629730677,-3.73661691711547,-4.28699613692225,-3.12735855148303,-1.05837688091901,-1.43516877500052,-3.997624816409,-2.25235826577708,-7.92945204783818,-0.595647770884615,-0.871317450836152,-3.7947008873679,-3.25949134694997,-3.05975176481223,-0.350859137497847,1.34553757382802,-4.9372528395608,-5.82091457245491,1.32607015283603
"2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences",-4.53877768009677,-4.12173626435609,1.78998833326506,2.73506374716565,-1.77371462278283,2.72012831523715,0.722175339851407,1.58096607152929,1.06071544103901,-5.92237346636507,-1.16319648893183,NA,2.18376576652655,3.05635614177018,2.6822475210506,-1.68706447064148,-1.12643680024982,-6.08745920974392,-0.686811413194698,-5.36886550674618,-2.60556225955261,2.91581438593384,0.44728665774937,-0.29760855603276,1.8972213215962,0.484170908021586,-5.9004129832675,0.411380608448641,1.19232826600785,-1.91641502705611,-5.34724091635098,-7.03522046735724,1.66478139250685,2.56231132908133,1.30383792792161,-6.09921796905128,-5.06773385587882,0.317357281723114,-0.732791238195446,-4.52680653405881
"1642.MS00531",10.3993515453745,8.94499073336044,-5.09153730398734,-6.06386617449472,-3.72855813706359,-4.48924547052977,-5.81010632236922,-3.96997904049836,-4.01101332121222,2.7217792371109,-3.46213679331842,2.18376576652655,NA,-3.95385599194518,-6.10142757307048,-3.85578319331041,-3.83873278822719,0.962268699264631,-5.67918357980395,5.93237902450429,7.16977094197342,-3.92652717049228,-1.91433912964976,-3.72240408869687,-4.74983547654147,0.126764918047475,1.53943907498381,-3.20148011100734,-5.03031188037802,-2.81220811471438,0.765435408451745,1.71470268076776,-1.7082058500105,-4.26462270362914,-4.17254036850568,1.19089012363283,8.67516782335323,-5.24591445090939,-6.1780763202904,6.16700549507259
"1642.MS00487",11.9379075895062,10.5149611766397,-4.10992546244863,-6.39609615793397,-2.5276022266773,-4.45463177337526,-3.66734131228697,-3.57333789427416,-2.18190187150931,2.90423528156335,-2.44987396217331,3.05635614177018,-3.95385599194518,NA,-6.1663378743993,-3.37206210764288,-3.73779470188251,1.37493091333432,-3.94546744628085,6.00594014608347,8.9115706806082,-3.63195737335376,-3.04034377056928,-2.91678675156948,-6.32245706517465,-2.43185643768407,2.40295746864013,-2.63688952851913,-4.37921903661928,-2.48197975364813,1.24601614316757,2.57560474648613,-1.88537777406746,-4.58670886078336,-2.77857549089241,1.82138611486901,9.24838399420451,-5.35832837381573,-3.7586253119766,7.02820471740996
"1642.MS00600",12.3208186520574,11.3300612480158,-3.96250501960031,-7.7331378311567,-2.45284782890498,-4.31092534107805,-5.53597700157771,-4.58911518587675,-3.64246200688148,3.15569191934126,-3.51784347620266,2.6822475210506,-6.10142757307048,-6.1663378743993,NA,-3.19237634447968,-3.26902376106535,1.61440552435058,-4.13429055543046,7.54152016724201,9.50996388053329,-4.68604987431368,-2.11960777652898,-2.69553463855817,-6.90115359812908,-0.595345383345629,2.27172892572026,-3.03163191955263,-6.63800252761424,-1.7797067843037,0.978360609370399,2.2794773521297,-2.80494706111161,-4.39334309495473,-4.19186936290218,1.53381569667311,9.99525869590053,-4.1790960666447,-4.18247383433013,7.40231847421142
"1642.MS00331",-0.0729353693558369,-0.411554007332703,-4.22341840143497,-3.14067257022066,-5.8860771500867,-4.62350794405237,-4.69683371469856,-5.04992518237769,-4.69566103323565,-1.45002702534522,-7.97159764294727,-1.68706447064148,-3.85578319331041,-3.37206210764288,-3.19237634447968,NA,-7.05553865444447,-2.35894543850642,-4.68625218391455,-1.32286113842595,1.5454627473143,-1.79692016791446,-4.09182711197584,-4.79721556807589,-4.81218954297674,-0.849236001079539,-2.07508561684031,-4.59621088470014,-2.93497292628507,-4.10768735396639,-1.29281268807095,-1.64143583106086,-3.85878055087657,-4.36809837683553,-3.71222317444021,-1.11329505054779,-0.320437178197066,-5.6274521878882,-5.95902835808217,-0.308205824213484
