"","1642.MS00622","1642.MS00402","1642.MS00510","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00533","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00562","1642.MS00408","1642.MS00548","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00409","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00474","1642.MS00391","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00572","1642.MS00397","1642.MS00418","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00584","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00552","1642.MS00441","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","1642.MS00498","1642.MS00414"
"1642.MS00622",0,0.4916,0.5856,0.9272,0.9568,0.8806,0.5158,0.9162,0.495,0.503,0.5084,0.5556,0.9554,0.5,0.5804,0.9218,0.515,0.646,0.9522,0.5,0.5586,0.5396,0.9556,0.9192,0.5606,0.9534,0.5954,0.879,0.8826,0.7176,0.9406,0.9396,0.6238,0.5442,0.9516,0.9554,0.8872,0.5928,0.5656,0.5634
"1642.MS00402",0.4916,0,0.5658,0.9208,0.9514,0.8902,0.5018,0.9052,0.4608,0.4948,0.489,0.531,0.9478,0.45,0.5424,0.9162,0.5058,0.5664,0.9414,0.5132,0.5138,0.481,0.9488,0.91,0.5044,0.9452,0.5848,0.8854,0.873,0.6526,0.9416,0.9306,0.5934,0.5016,0.952,0.943,0.8826,0.5478,0.528,0.5094
"1642.MS00510",0.5856,0.5658,0,0.9424,0.9594,0.9316,0.517,0.933,0.5766,0.457,0.4896,0.4186,0.9618,0.5342,0.462,0.9378,0.4926,0.463,0.9576,0.474,0.4654,0.5314,0.9606,0.9278,0.5388,0.9576,0.4956,0.9224,0.9254,0.6316,0.9562,0.9458,0.5016,0.4762,0.9584,0.9588,0.9262,0.5576,0.4654,0.5548
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.9272,0.9208,0.9424,0,0.8982,0.839,0.9338,0.8266,0.9102,0.9328,0.929,0.9442,0.8678,0.9226,0.9294,0.819,0.9322,0.9342,0.8882,0.9352,0.9278,0.9326,0.8222,0.9036,0.9362,0.896,0.9504,0.7414,0.7122,0.9448,0.8766,0.8446,0.9524,0.9336,0.8932,0.841,0.7546,0.9486,0.9342,0.9362
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.9568,0.9514,0.9594,0.8982,0,0.909,0.9598,0.5432,0.9436,0.9566,0.952,0.9616,0.6152,0.9446,0.961,0.655,0.9446,0.955,0.4104,0.9562,0.9564,0.9578,0.7864,0.815,0.9516,0.8604,0.9628,0.8606,0.8824,0.965,0.5238,0.6584,0.9616,0.9546,0.4074,0.7544,0.901,0.967,0.951,0.9574
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.8806,0.8902,0.9316,0.839,0.909,0,0.9054,0.8258,0.8894,0.8998,0.8996,0.9254,0.9252,0.888,0.914,0.8198,0.9074,0.9286,0.9098,0.906,0.9092,0.9078,0.9064,0.9094,0.9102,0.948,0.9332,0.623,0.6712,0.9372,0.901,0.8904,0.9342,0.9084,0.899,0.9076,0.6672,0.9364,0.9144,0.9146
"1642.MS00533",0.5158,0.5018,0.517,0.9338,0.9598,0.9054,0,0.927,0.5414,0.492,0.5524,0.4952,0.9586,0.5238,0.596,0.9304,0.4652,0.5778,0.9536,0.5032,0.561,0.5374,0.9538,0.9232,0.5308,0.9454,0.517,0.9048,0.8982,0.7162,0.9522,0.9404,0.5056,0.5334,0.9616,0.9542,0.906,0.5702,0.5072,0.562
"2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences",0.9162,0.9052,0.933,0.8266,0.5432,0.8258,0.927,0,0.8978,0.9202,0.9156,0.9316,0.7098,0.9044,0.9222,0.6588,0.9112,0.9272,0.4096,0.9192,0.9206,0.914,0.7622,0.777,0.9198,0.8676,0.9372,0.7556,0.8058,0.942,0.6242,0.6664,0.9346,0.9162,0.5718,0.766,0.8144,0.9366,0.924,0.917
"1642.MS00387",0.495,0.4608,0.5766,0.9102,0.9436,0.8894,0.5414,0.8978,0,0.5144,0.47,0.5502,0.9442,0.4734,0.5252,0.9062,0.5096,0.5534,0.9372,0.525,0.4968,0.484,0.9376,0.9022,0.4894,0.9338,0.604,0.8704,0.866,0.6254,0.927,0.9214,0.6096,0.5118,0.9418,0.9372,0.8754,0.5658,0.5452,0.4854
"1642.MS00562",0.503,0.4948,0.457,0.9328,0.9566,0.8998,0.492,0.9202,0.5144,0,0.4692,0.4364,0.9564,0.4878,0.4788,0.9228,0.4674,0.5028,0.9526,0.4286,0.4572,0.5318,0.9544,0.9196,0.535,0.95,0.531,0.8978,0.8944,0.6324,0.9478,0.9382,0.5428,0.4544,0.9554,0.9524,0.9058,0.5914,0.4844,0.5432
"1642.MS00408",0.5084,0.489,0.4896,0.929,0.952,0.8996,0.5524,0.9156,0.47,0.4692,0,0.4832,0.9576,0.4564,0.4594,0.9206,0.4824,0.5024,0.9472,0.4734,0.4428,0.477,0.954,0.9114,0.4978,0.9486,0.575,0.8884,0.8902,0.5842,0.9462,0.936,0.5884,0.4452,0.9518,0.953,0.8996,0.5438,0.4806,0.475
"1642.MS00548",0.5556,0.531,0.4186,0.9442,0.9616,0.9254,0.4952,0.9316,0.5502,0.4364,0.4832,0,0.9638,0.5332,0.4802,0.9338,0.4788,0.4916,0.9584,0.459,0.471,0.5476,0.9606,0.9342,0.5392,0.9608,0.4952,0.9192,0.9194,0.6322,0.9504,0.9472,0.4976,0.476,0.9622,0.9606,0.9226,0.5624,0.4464,0.5454
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",0.9554,0.9478,0.9618,0.8678,0.6152,0.9252,0.9586,0.7098,0.9442,0.9564,0.9576,0.9638,0,0.95,0.9624,0.6528,0.9448,0.9576,0.6586,0.9542,0.9552,0.9568,0.6684,0.8598,0.9568,0.6808,0.9644,0.8482,0.8582,0.9646,0.5976,0.5392,0.9612,0.9586,0.615,0.5358,0.895,0.969,0.952,0.9584
"1642.MS00423",0.5,0.45,0.5342,0.9226,0.9446,0.888,0.5238,0.9044,0.4734,0.4878,0.4564,0.5332,0.95,0,0.5166,0.9146,0.4962,0.5508,0.9402,0.4998,0.4922,0.4928,0.946,0.902,0.49,0.9436,0.5784,0.8794,0.8738,0.6454,0.9358,0.929,0.5888,0.4766,0.9478,0.9436,0.8836,0.553,0.5226,0.4902
"1642.MS00409",0.5804,0.5424,0.462,0.9294,0.961,0.914,0.596,0.9222,0.5252,0.4788,0.4594,0.4802,0.9624,0.5166,0,0.9314,0.5282,0.4762,0.9544,0.5172,0.4448,0.5234,0.9554,0.923,0.5448,0.9586,0.5748,0.91,0.9062,0.601,0.9562,0.9428,0.5916,0.4582,0.9602,0.9566,0.9084,0.5552,0.5228,0.509
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.9218,0.9162,0.9378,0.819,0.655,0.8198,0.9304,0.6588,0.9062,0.9228,0.9206,0.9338,0.6528,0.9146,0.9314,0,0.9202,0.934,0.6876,0.9262,0.9274,0.9268,0.7528,0.835,0.931,0.8798,0.9448,0.771,0.781,0.9404,0.606,0.6912,0.944,0.9276,0.6462,0.6986,0.7802,0.9492,0.9276,0.9202
"1642.MS00474",0.515,0.5058,0.4926,0.9322,0.9446,0.9074,0.4652,0.9112,0.5096,0.4674,0.4824,0.4788,0.9448,0.4962,0.5282,0.9202,0,0.5382,0.9414,0.4476,0.5074,0.5048,0.9466,0.913,0.5126,0.9462,0.4866,0.8998,0.9022,0.6738,0.9412,0.9274,0.5,0.4884,0.9504,0.9438,0.905,0.5518,0.4674,0.5158
"1642.MS00391",0.646,0.5664,0.463,0.9342,0.955,0.9286,0.5778,0.9272,0.5534,0.5028,0.5024,0.4916,0.9576,0.5508,0.4762,0.934,0.5382,0,0.9516,0.5384,0.4506,0.5248,0.9528,0.926,0.5268,0.9424,0.576,0.9184,0.9132,0.5706,0.9508,0.9422,0.5596,0.4718,0.958,0.9504,0.9176,0.5574,0.5142,0.5242
"2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences",0.9522,0.9414,0.9576,0.8882,0.4104,0.9098,0.9536,0.4096,0.9372,0.9526,0.9472,0.9584,0.6586,0.9402,0.9544,0.6876,0.9414,0.9516,0,0.95,0.948,0.947,0.7776,0.7956,0.9492,0.8528,0.9594,0.8478,0.871,0.9616,0.6042,0.6374,0.9548,0.9494,0.4702,0.7568,0.8842,0.9626,0.95,0.951
"1642.MS00572",0.5,0.5132,0.474,0.9352,0.9562,0.906,0.5032,0.9192,0.525,0.4286,0.4734,0.459,0.9542,0.4998,0.5172,0.9262,0.4476,0.5384,0.95,0,0.495,0.5346,0.9566,0.9178,0.5194,0.9508,0.4832,0.8962,0.8958,0.6466,0.9476,0.9378,0.5112,0.4928,0.956,0.953,0.9036,0.5822,0.4698,0.545
"1642.MS00397",0.5586,0.5138,0.4654,0.9278,0.9564,0.9092,0.561,0.9206,0.4968,0.4572,0.4428,0.471,0.9552,0.4922,0.4448,0.9274,0.5074,0.4506,0.948,0.495,0,0.5006,0.9482,0.9212,0.4896,0.9472,0.5766,0.9046,0.9008,0.5638,0.949,0.9346,0.5696,0.442,0.9574,0.9494,0.9036,0.559,0.483,0.4932
"1642.MS00418",0.5396,0.481,0.5314,0.9326,0.9578,0.9078,0.5374,0.914,0.484,0.5318,0.477,0.5476,0.9568,0.4928,0.5234,0.9268,0.5048,0.5248,0.947,0.5346,0.5006,0,0.9464,0.9206,0.4888,0.9564,0.55,0.8958,0.8962,0.6112,0.9476,0.9342,0.5562,0.4906,0.9562,0.9486,0.903,0.481,0.5172,0.448
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",0.9556,0.9488,0.9606,0.8222,0.7864,0.9064,0.9538,0.7622,0.9376,0.9544,0.954,0.9606,0.6684,0.946,0.9554,0.7528,0.9466,0.9528,0.7776,0.9566,0.9482,0.9464,0,0.9232,0.9586,0.8228,0.9636,0.8292,0.8192,0.9616,0.7868,0.657,0.959,0.9518,0.7836,0.6086,0.8588,0.964,0.9484,0.9544
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.9192,0.91,0.9278,0.9036,0.815,0.9094,0.9232,0.777,0.9022,0.9196,0.9114,0.9342,0.8598,0.902,0.923,0.835,0.913,0.926,0.7956,0.9178,0.9212,0.9206,0.9232,0,0.917,0.8292,0.9434,0.8744,0.8936,0.9402,0.845,0.8198,0.9392,0.9222,0.847,0.8788,0.8948,0.9456,0.9272,0.926
"1642.MS00396",0.5606,0.5044,0.5388,0.9362,0.9516,0.9102,0.5308,0.9198,0.4894,0.535,0.4978,0.5392,0.9568,0.49,0.5448,0.931,0.5126,0.5268,0.9492,0.5194,0.4896,0.4888,0.9586,0.917,0,0.9448,0.5742,0.9078,0.9056,0.5998,0.9534,0.939,0.5704,0.529,0.9596,0.9536,0.912,0.547,0.531,0.496
"2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences",0.9534,0.9452,0.9576,0.896,0.8604,0.948,0.9454,0.8676,0.9338,0.95,0.9486,0.9608,0.6808,0.9436,0.9586,0.8798,0.9462,0.9424,0.8528,0.9508,0.9472,0.9564,0.8228,0.8292,0.9448,0,0.9674,0.908,0.9034,0.9594,0.9058,0.7406,0.9626,0.9538,0.8874,0.6932,0.9222,0.971,0.9466,0.9586
"1642.MS00584",0.5954,0.5848,0.4956,0.9504,0.9628,0.9332,0.517,0.9372,0.604,0.531,0.575,0.4952,0.9644,0.5784,0.5748,0.9448,0.4866,0.576,0.9594,0.4832,0.5766,0.55,0.9636,0.9434,0.5742,0.9674,0,0.9316,0.9332,0.6918,0.9572,0.951,0.4634,0.5592,0.9656,0.962,0.932,0.563,0.5036,0.5698
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0.879,0.8854,0.9224,0.7414,0.8606,0.623,0.9048,0.7556,0.8704,0.8978,0.8884,0.9192,0.8482,0.8794,0.91,0.771,0.8998,0.9184,0.8478,0.8962,0.9046,0.8958,0.8292,0.8744,0.9078,0.908,0.9316,0,0.553,0.9314,0.8408,0.8194,0.9286,0.8974,0.844,0.8312,0.6298,0.928,0.9074,0.9074
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8826,0.873,0.9254,0.7122,0.8824,0.6712,0.8982,0.8058,0.866,0.8944,0.8902,0.9194,0.8582,0.8738,0.9062,0.781,0.9022,0.9132,0.871,0.8958,0.9008,0.8962,0.8192,0.8936,0.9056,0.9034,0.9332,0.553,0,0.933,0.8618,0.819,0.9298,0.9022,0.8666,0.823,0.643,0.9306,0.9054,0.9084
"1642.MS00360",0.7176,0.6526,0.6316,0.9448,0.965,0.9372,0.7162,0.942,0.6254,0.6324,0.5842,0.6322,0.9646,0.6454,0.601,0.9404,0.6738,0.5706,0.9616,0.6466,0.5638,0.6112,0.9616,0.9402,0.5998,0.9594,0.6918,0.9314,0.933,0,0.9622,0.9474,0.6848,0.6046,0.9636,0.9594,0.932,0.647,0.6242,0.5784
"2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences",0.9406,0.9416,0.9562,0.8766,0.5238,0.901,0.9522,0.6242,0.927,0.9478,0.9462,0.9504,0.5976,0.9358,0.9562,0.606,0.9412,0.9508,0.6042,0.9476,0.949,0.9476,0.7868,0.845,0.9534,0.9058,0.9572,0.8408,0.8618,0.9622,0,0.6076,0.956,0.945,0.5272,0.7796,0.881,0.958,0.9448,0.9484
"2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences",0.9396,0.9306,0.9458,0.8446,0.6584,0.8904,0.9404,0.6664,0.9214,0.9382,0.936,0.9472,0.5392,0.929,0.9428,0.6912,0.9274,0.9422,0.6374,0.9378,0.9346,0.9342,0.657,0.8198,0.939,0.7406,0.951,0.8194,0.819,0.9474,0.6076,0,0.9452,0.9372,0.6696,0.6218,0.861,0.95,0.9372,0.9372
"1642.MS00552",0.6238,0.5934,0.5016,0.9524,0.9616,0.9342,0.5056,0.9346,0.6096,0.5428,0.5884,0.4976,0.9612,0.5888,0.5916,0.944,0.5,0.5596,0.9548,0.5112,0.5696,0.5562,0.959,0.9392,0.5704,0.9626,0.4634,0.9286,0.9298,0.6848,0.956,0.9452,0,0.5654,0.9642,0.9566,0.933,0.5756,0.5038,0.5788
"1642.MS00441",0.5442,0.5016,0.4762,0.9336,0.9546,0.9084,0.5334,0.9162,0.5118,0.4544,0.4452,0.476,0.9586,0.4766,0.4582,0.9276,0.4884,0.4718,0.9494,0.4928,0.442,0.4906,0.9518,0.9222,0.529,0.9538,0.5592,0.8974,0.9022,0.6046,0.945,0.9372,0.5654,0,0.9582,0.9536,0.9004,0.5458,0.4712,0.4798
"2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences",0.9516,0.952,0.9584,0.8932,0.4074,0.899,0.9616,0.5718,0.9418,0.9554,0.9518,0.9622,0.615,0.9478,0.9602,0.6462,0.9504,0.958,0.4702,0.956,0.9574,0.9562,0.7836,0.847,0.9596,0.8874,0.9656,0.844,0.8666,0.9636,0.5272,0.6696,0.9642,0.9582,0,0.7722,0.8884,0.9692,0.9554,0.9604
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.9554,0.943,0.9588,0.841,0.7544,0.9076,0.9542,0.766,0.9372,0.9524,0.953,0.9606,0.5358,0.9436,0.9566,0.6986,0.9438,0.9504,0.7568,0.953,0.9494,0.9486,0.6086,0.8788,0.9536,0.6932,0.962,0.8312,0.823,0.9594,0.7796,0.6218,0.9566,0.9536,0.7722,0,0.8678,0.9666,0.948,0.9506
