"","1642.MS00622","1642.MS00402","1642.MS00510","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00533","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00562","1642.MS00408","1642.MS00548","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00409","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00474","1642.MS00391","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00572","1642.MS00397","1642.MS00418","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00584","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00552","1642.MS00441","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","1642.MS00498","1642.MS00414"
"1642.MS00622",0,-0.852,0.115,1,1,1,-0.749,1,-0.845,-0.829,-0.794,-0.194,1,-0.818,0.089,1,-0.731,0.909,1,-0.857,-0.203,-0.317,1,1,0.0409999999999999,1,0.575,1,1,1,1,1,0.832,-0.401,1,1,1,0.524,-0.004,0.042
"1642.MS00402",-0.852,0,-0.151,1,1,1,-0.81,1,-0.974,-0.834,-0.892,-0.536,1,-0.998,-0.472,1,-0.814,-0.217,1,-0.742,-0.742,-0.91,1,1,-0.782,1,0.508,1,1,0.764,1,1,0.49,-0.839,1,1,1,-0.153,-0.556,-0.726
"1642.MS00510",0.115,-0.151,0,1,1,1,-0.851,1,-0.038,-0.998,-0.97,-1,1,-0.678,-0.996,1,-0.964,-1,1,-0.992,-0.998,-0.696,1,1,-0.603,1,-0.938,1,1,0.312,1,1,-0.952,-0.991,1,1,1,-0.387,-0.994,-0.406
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,0,0.97,1,1,0.992,1,1,1,1,0.948,1,1,0.994,1,1,0.986,1,1,1,0.798,1,1,0.952,1,0.829,0.497,1,0.945,0.992,1,1,0.992,0.812,0.953,1,1,1
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,0.97,0,1,1,-1,1,1,1,1,-0.99,1,1,-0.996,1,1,-1,1,1,1,-0.622,-0.313,1,0.142,1,0.619,0.947,1,-1,-0.985,1,1,-1,-0.832,0.996,1,1,1
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.054,0.914,1,1,1,1,1,1,1,0.85,1,1,1
"1642.MS00533",-0.749,-0.81,-0.851,1,1,1,0,1,-0.33,-0.939,-0.227,-0.916,1,-0.666,0.338,1,-0.99,-0.0669999999999999,1,-0.867,-0.201,-0.42,1,1,-0.55,1,-0.729,1,1,1,1,1,-0.86,-0.618,1,1,1,0.0660000000000001,-0.83,-0.098
"2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.992,-1,1,1,0,1,1,1,1,-0.81,1,1,-0.731,1,1,-1,1,1,1,-0.214,0.281,1,0.68,1,0.696,0.998,1,-0.994,-0.788,1,1,-1,-0.309,1,1,1,1
"1642.MS00387",-0.845,-0.974,-0.038,1,1,1,-0.33,1,0,-0.726,-0.972,-0.269,1,-0.964,-0.741,1,-0.78,-0.362,1,-0.641,-0.935,-0.916,1,1,-0.888,1,0.705,1,1,0.294,1,1,0.725,-0.802,1,1,1,0.0900000000000001,-0.37,-0.917
"1642.MS00562",-0.829,-0.834,-0.998,1,1,1,-0.939,1,-0.726,0,-0.983,-1,1,-0.93,-0.974,1,-0.998,-0.932,1,-1,-0.994,-0.463,1,1,-0.463,1,-0.588,1,1,0.428,1,1,-0.438,-0.99,1,1,1,0.474,-0.942,-0.366
