"","1642.MS00441","1642.MS00414","1642.MS00562","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00498","1642.MS00533","1642.MS00584","1642.MS00447","1642.MS00418","1642.MS00397","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00396","1642.MS00408","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00360","1642.MS00409","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00474","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00510","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00391","1642.MS00402","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00572","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00552"
"1642.MS00441",0,0.0207102635113,0.0227047926092,0.0911755324723,0.0204980979691,0.0231556472958,0.0251239664824,0.024309837968,0.0205243346142,0.0208605058455,0.0905335772766,0.1039811491412,0.022825782163,0.0198201177457,0.0936554231616,0.0216066628849,0.0291599250425,0.0184929222389,0.090485559186,0.0940984325384,0.0247941595959,0.0215204074925,0.1182689907901,0.0936670180221,0.0896761527232,0.0947000892501,0.1084236175723,0.0220999107569,0.1065295364167,0.1054204403634,0.1176928255841,0.0218448907211,0.1152827949558,0.0215878871019,0.0219133984081,0.1053753955199,0.022757764649,0.11409071922,0.0225848279094,0.0235386838447
"1642.MS00414",0.0207102635113,0,0.0254984938496,0.0930323940469,0.0230352152984,0.0271893352893,0.0265082390854,0.0247129730937,0.0192548103806,0.0196545544401,0.0893136345252,0.1049908785627,0.0213398341629,0.0213067138744,0.0939691216403,0.0236686583826,0.0238582585528,0.0197953081754,0.0892700920608,0.0951742070127,0.0273945599602,0.0233628184976,0.1186030812701,0.0941560096347,0.0904925082839,0.0946401620439,0.1072990586879,0.0237711695971,0.1065886471906,0.1056462096919,0.1183998841353,0.0242581413668,0.1175734251931,0.0217969508732,0.0233198378953,0.1052376933694,0.0258612053395,0.1162506329919,0.0215746692578,0.0249911893591
"1642.MS00562",0.0227047926092,0.0254984938496,0,0.08648246551,0.0225270371727,0.0218021758676,0.0253626101253,0.030808783811,0.0240149729519,0.0226318576364,0.0921041978859,0.1050091927745,0.0268159468822,0.0213721198463,0.0920812335661,0.0223154617088,0.0375496261518,0.0206489148115,0.0859197063656,0.0915965939384,0.022609608764,0.0196020566868,0.1137599543794,0.0909738712857,0.0867299380873,0.0938804745409,0.1076327071863,0.0218467682367,0.1069637767105,0.101383185076,0.1188110522432,0.0208135942756,0.1103183866141,0.0249388958603,0.0232694911026,0.103281015037,0.0193699870531,0.114994128157,0.0249457456724,0.0244694493641
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.0911755324723,0.0930323940469,0.08648246551,0,0.0922486048628,0.1058387875594,0.1074772627331,0.1092369589774,0.0943744162322,0.0854821135905,0.0419656491519,0.057660100635,0.0937072623097,0.0808063830496,0.0405531739328,0.081758903223,0.0935988775496,0.0839943228412,0.0310886743226,0.0428798245851,0.0928059493823,0.0973157188607,0.0672800995992,0.0623522460877,0.0286481454761,0.0418095177812,0.0673448860818,0.0966812562325,0.0566700020635,0.0616547915685,0.0835248818426,0.1019018815478,0.057369800547,0.0958370525316,0.0870686867818,0.0574789747553,0.0959979871998,0.06793956006,0.0791441116734,0.108730717652
"1642.MS00498",0.0204980979691,0.0230352152984,0.0225270371727,0.0922486048628,0,0.0221163659977,0.0240562968877,0.0259881843378,0.022094952479,0.0224493480945,0.091298904738,0.1052080969408,0.0243729677476,0.0217504741854,0.0944956461766,0.0241160597499,0.0327360469568,0.0201122735835,0.0889759114377,0.0963583639981,0.0255665132833,0.0194717395683,0.1181117349916,0.0962478459148,0.0921246566845,0.0952030878488,0.108686945754,0.0197741612441,0.1083620957531,0.1066077425849,0.1114465952751,0.0199084974345,0.1163823126744,0.0222038711688,0.0229224940586,0.105450046611,0.0212428599597,0.11213413322,0.0247381171602,0.0203908687104
"1642.MS00533",0.0231556472958,0.0271893352893,0.0218021758676,0.1058387875594,0.0221163659977,0,0.0245155857476,0.0294859054505,0.0248459910364,0.0238279621913,0.1092398379319,0.1227325271206,0.0256260774867,0.0237599491901,0.1112415390101,0.0241375548347,0.0381218402665,0.0235427851879,0.1018859117145,0.1112664023137,0.0245436720368,0.0202570737443,0.1359926626833,0.1125277402197,0.1075132699033,0.1127554015222,0.127203381593,0.0202352099109,0.1269177298968,0.1240444894861,0.1326855906437,0.0202432719776,0.1377848756598,0.0245953840116,0.0243496329634,0.1217572783859,0.0217766543023,0.1323187313152,0.0277038930152,0.021714187847
"1642.MS00584",0.0251239664824,0.0265082390854,0.0253626101253,0.1074772627331,0.0240562968877,0.0245155857476,0,0.0271532764856,0.0255807049407,0.0272144768102,0.1096122733021,0.126380635322,0.0290070708368,0.0278175313397,0.1129837270142,0.0299147285567,0.0395967665508,0.0248352217346,0.1076338762385,0.11555977209,0.0295109320592,0.0233586038393,0.1405284655778,0.1144808425226,0.1092349436391,0.1118181500823,0.1253793218253,0.0219992727156,0.1274739788828,0.1253800776882,0.1377993046896,0.021259876899,0.1379523927188,0.0256596849789,0.0295176044426,0.1244855461002,0.0230887533131,0.1353727994364,0.0305893963218,0.0229613169892
"1642.MS00447",0.024309837968,0.0247129730937,0.030808783811,0.1092369589774,0.0259881843378,0.0294859054505,0.0271532764856,0,0.0239946566895,0.0262380471902,0.10904250089,0.1227664467718,0.0265094828477,0.0267134914517,0.1106056830185,0.0295182196175,0.0332237576249,0.0242111189224,0.1074966205949,0.114194153744,0.0324388301465,0.0283487394258,0.1373262195847,0.1190859194284,0.1089768370822,0.1127488797547,0.1252293527293,0.0266105650715,0.1222342803737,0.1245312921479,0.1379263498767,0.0249194160412,0.1349001991277,0.0227918696468,0.0280836988116,0.1224490538911,0.028375808267,0.1319616354817,0.0285411973499,0.0259848623872
"1642.MS00418",0.0205243346142,0.0192548103806,0.0240149729519,0.0943744162322,0.022094952479,0.0248459910364,0.0255807049407,0.0239946566895,0,0.0210568638741,0.0935571063846,0.1053035086504,0.0218460252343,0.019595507266,0.0954855308519,0.0226578992925,0.0265252748168,0.0191119575173,0.0927376712163,0.0985444425663,0.0263289389766,0.0229693724681,0.121916850981,0.0998028157618,0.0932499022732,0.0983126350543,0.1113639535945,0.0233490023095,0.1106091372279,0.1109577361648,0.1238708711109,0.0221079340415,0.1216685354914,0.0210000380583,0.0226427741247,0.1084918614742,0.0226170893065,0.1207259473361,0.0216878337811,0.0239670421557
"1642.MS00397",0.0208605058455,0.0196545544401,0.0226318576364,0.0854821135905,0.0224493480945,0.0238279621913,0.0272144768102,0.0262380471902,0.0210568638741,0,0.0828056626658,0.092764190182,0.0208267131248,0.0202978393626,0.0868271263016,0.0212872657793,0.0231728878806,0.0186401830859,0.0804279920945,0.0856364799466,0.0260384177105,0.0218109060934,0.1083129997858,0.0846517942709,0.0814557695074,0.0857103316981,0.096689273501,0.0222777755658,0.0968800837152,0.0967469712979,0.10218925794,0.0210925525264,0.1058034032523,0.0210807510316,0.0221909210251,0.0943250606497,0.0243560320852,0.1029537377488,0.0205667382548,0.0236185478433
