"","1642.MS00441","1642.MS00414","1642.MS00562","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00498","1642.MS00533","1642.MS00584","1642.MS00447","1642.MS00418","1642.MS00397","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00396","1642.MS00408","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00360","1642.MS00409","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00474","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00510","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00391","1642.MS00402","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00572","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00552"
"1642.MS00441",NA,-4.78154076905321,-3.94370090083255,2.59701466096658,-4.97116234183555,-3.98842236800824,-5.23211541375648,-3.77164005959961,-5.1489689681331,-5.42771841354344,-0.0500303833829218,-0.0822868162230933,-4.69555520447294,-6.30613924187204,3.2815916603165,-4.1047970778753,-3.50496315128612,-6.91436481060589,3.02769695443514,0.278457000606096,-3.0718048391428,-4.16129277327812,0.129069164079528,0.483842594240674,2.70430234391459,0.265212620716246,0.485927278988776,-5.29483426499963,-0.387244037156497,-0.334426389855582,0.71582270781155,-5.59793839788598,0.212450920073859,-5.32068377532519,-3.38957837060938,1.20425818355411,-4.96236480807468,0.557199471423101,-4.56462623819309,-5.77131070358341
"1642.MS00414",-4.78154076905321,NA,-2.8674057841869,4.44404649651402,-4.45486941689969,-3.06791727735905,-4.73396882475997,-2.86207815685281,-5.14241456257183,-5.34539492671106,-0.00982262527334901,0.0224981199994656,-5.66784176018505,-3.33583085335969,5.56428265990115,-3.89748720029032,-5.08468066841218,-4.67881269665026,4.79689451593405,0.35922553712291,-3.03868819821199,-3.78535879710397,0.113835556666667,0.156133404930618,4.63753165821863,0.649916069981069,0.85040703174611,-4.21762335502786,-0.48469890867475,-0.403877714020079,0.782623367337649,-3.87548250085124,0.36661623535191,-4.62936707720796,-3.09923801496561,1.56056854974966,-3.07116560401941,1.15419850305888,-4.16677725958647,-5.64806324661047
"1642.MS00562",-3.94370090083255,-2.8674057841869,NA,2.22827121720529,-4.55849117190824,-3.7943075879029,-2.74038002410476,-0.749061734032679,-3.30709020228561,-3.90440255905216,0.240666346239605,0.0491305261315397,-2.04332274270979,-4.41881094136292,3.03334686713143,-4.03771659948046,-1.5135133231305,-4.99811251973867,2.56584905038614,0.0407155941460659,-3.00022690052749,-5.10392508870425,-0.195498916646317,0.384806075125635,2.41346611857004,0.459036739779687,0.576805385979098,-2.56890455184027,-0.173055230754818,-0.670411615984496,0.810248248095902,-4.40253573734454,-0.0633826406480831,-3.99920139401297,-2.1897704500101,1.05289232315552,-4.2698949888633,0.790235982050298,-1.57209842742626,-2.99414684274258
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",2.59701466096658,4.44404649651402,2.22827121720529,NA,3.01308075222813,11.0873627906393,9.44258989327993,8.65467950556237,7.53781349513241,1.47268403076975,-2.54259921592127,-3.57485631947248,6.17568224361333,1.30565718028858,-3.70240423340207,2.96577209854586,1.7134954076875,0.6716750587792,-8.15520788985129,-6.32490729569866,8.16863468343947,6.94830417106292,-5.21673824378524,-2.02592900687917,-7.73513231123622,-4.24766889300196,-3.50486841867337,3.30999223344141,-4.88665647310296,-5.25363027602511,-2.6422166528881,3.64288584129051,-4.46472309305784,2.29441110611891,5.85518879838865,-2.94347288256732,4.49577614922348,-3.20719736659284,2.74223856738921,8.76720149859525
"1642.MS00498",-4.97116234183555,-4.45486941689969,-4.55849117190824,3.01308075222813,NA,-3.73227355770764,-3.14235278642109,-3.35916413196232,-4.6416974784474,-4.11392673689841,0.113740838412675,0.0327689581924128,-4.07794097862518,-4.62567392631283,3.78004497647122,-3.34324814268053,-3.81070065473388,-5.45903651360483,3.37788883193911,0.29678869359428,-3.4910000089982,-4.54148495520981,0.0759426561596745,0.419437298669964,3.18892979224016,0.383502021929349,1.02853711882016,-3.81315482578028,-0.297526657898949,-0.374351624126041,0.48364029354147,-4.32971817593634,0.265828315772527,-5.27908763744984,-3.55965117924666,1.30444023325006,-4.6176794788083,0.506739412231057,-4.10922056279322,-4.9536205277371
"1642.MS00533",-3.98842236800824,-3.06791727735905,-3.7943075879029,11.0873627906393,-3.73227355770764,NA,-2.90087837509223,-2.41777126845134,-5.19719721910031,-4.8312983115011,2.40834353033833,1.17058596109234,-3.41431869352848,-4.30798995399095,13.4621212386967,-3.77549150164827,-2.96534813554272,-4.88768027432985,11.3078545600627,2.24504751496321,-4.12777640409684,-4.70681311794343,1.50223816715199,1.47623452507676,12.4315520596571,3.29516554718305,4.64689486903531,-5.37031371412034,2.19015551681078,1.05877505196285,2.52383232325853,-4.93920001627072,2.11366630712319,-3.73554317619389,-2.46078504800919,3.98154966629209,-4.31071475484625,3.17862727898964,-1.68421197729762,-4.71155791130035
"1642.MS00584",-5.23211541375648,-4.73396882475997,-2.74038002410476,9.44258989327993,-3.14235278642109,-2.90087837509223,NA,-4.07412924377117,-4.14105501854174,-3.87868546461548,2.06477500448111,1.08381403836456,-3.97906713016506,-3.08350189562837,10.8375864469101,-2.76840495130607,-3.06173694152918,-4.04366143061748,9.85608293174339,2.59575204446836,-2.79617868221372,-3.9724115551615,1.79084661235626,1.50492034429844,9.99335192176158,2.61040867954508,3.57613762651152,-3.5868620377489,2.04748076851451,1.16883338642574,2.33265695722445,-4.81994381809471,2.02305587199347,-4.06252273956922,-2.28505659160508,3.81832258470812,-2.93128620373177,3.10121268493553,-2.52655757663169,-2.00979278127138
"1642.MS00447",-3.77164005959961,-2.86207815685281,-0.749061734032679,8.65467950556237,-3.35916413196232,-2.41777126845134,-4.07412924377117,NA,-2.39664683766727,-3.40932675846338,2.08925160066337,0.892691530863766,-3.14093470750591,-2.08652717592603,10.3958034284936,-1.04111552548544,-1.84229190828134,-2.99008244577576,10.671918446944,2.20378922474043,-0.752426294448997,-1.92076175604009,1.35140378620366,1.67394028321894,10.0066608304535,2.52024688511792,3.04168480339304,-2.61100224457689,1.17639286881507,0.828348216811001,2.05925153159077,-3.72835259869198,1.59464381452741,-5.0652273372594,-1.97704346480791,3.29534232247131,-3.15028021315311,2.55764457804839,-1.92485439540973,-4.13334563650993
"1642.MS00418",-5.1489689681331,-5.14241456257183,-3.30709020228561,7.53781349513241,-4.6416974784474,-5.19719721910031,-4.14105501854174,-2.39664683766727,NA,-5.35991142097917,0.804421136928267,5.63988568454293,-5.42588832542495,-5.46106165075659,8.93349859459354,-4.32708967970786,-2.73127635823606,-5.73588668177959,8.42629956250419,1.44740485167378,-3.58501512309004,-3.49865626429464,0.616508633646644,0.592787468252759,8.20700336450322,1.28876773022604,2.25144471746344,-4.32862882977966,0.338985505086504,0.312353924863455,1.53499116400804,-3.99273363270463,0.948273565299073,-5.28743298414056,-2.7189719177311,2.60238337820746,-5.87600428388265,1.79958678815528,-3.75264316917199,-6.07729121760071
"1642.MS00397",-5.42771841354344,-5.34539492671106,-3.90440255905216,1.47268403076975,-4.11392673689841,-4.8312983115011,-3.87868546461548,-3.40932675846338,-5.35991142097917,NA,-0.703764569526903,-0.652542980920899,-4.78096910379812,-4.93499148335543,1.69530477526897,-5.75663545337357,-5.21235363795656,-5.85516844331293,0.973817613882498,-0.660472166676412,-2.23388179901519,-4.89728506100286,-0.582152546506505,-0.166918034988765,1.00943217791727,-0.730083500960733,-0.565541656336987,-5.0148059672438,-1.34681365079188,-1.08042545584916,-0.427656137967048,-5.88283047656842,-0.485929649813237,-4.98844916340285,-3.93013047185562,-0.045609619657061,-3.48988116744798,-0.505650094830402,-5.39670474662787,-6.55693240876848
