"","1642.MS00608","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00609","1642.MS00389","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00387","1642.MS00605","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00601","1642.MS00565","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","1642.MS00493","1642.MS00366","1642.MS00524","1642.MS00582","1642.MS00464","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00551","1642.MS00342","1642.MS00634","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00589","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00414","1642.MS00554"
"1642.MS00608",0,0.9384,0.9384,0.4994,0.6472,0.9376,0.9668,0.9412,0.9144,0.9434,0.7458,0.561,0.488,0.877,0.547,0.5256,0.5582,0.9454,0.679,0.5246,0.786,0.5654,0.5356,0.556,0.9486,0.578,0.6676,0.9466,0.526,0.6348,0.7476,0.676,0.9246,0.9604,0.941,0.6026,0.9604,0.9538,0.5724,0.5726
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0.9384,0,0.5908,0.9242,0.9418,0.6566,0.6086,0.63,0.9064,0.8952,0.9422,0.9106,0.9368,0.8642,0.9394,0.9442,0.9198,0.5546,0.951,0.926,0.9644,0.9376,0.9408,0.9266,0.5588,0.951,0.9616,0.726,0.9338,0.9426,0.9492,0.952,0.9046,0.6204,0.6902,0.9494,0.6612,0.568,0.9336,0.9464
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.9384,0.5908,0,0.9076,0.9238,0.5946,0.6252,0.5532,0.8112,0.8218,0.9268,0.8832,0.9236,0.8666,0.9206,0.9232,0.9092,0.4952,0.9288,0.9018,0.9512,0.9188,0.9232,0.9084,0.5796,0.9364,0.9506,0.615,0.9226,0.9216,0.9374,0.927,0.8372,0.6154,0.5668,0.9302,0.6494,0.5098,0.9124,0.9368
"1642.MS00609",0.4994,0.9242,0.9076,0,0.6304,0.9208,0.9598,0.9148,0.8756,0.9222,0.7454,0.5074,0.4954,0.8482,0.5566,0.5074,0.5464,0.9236,0.6944,0.469,0.8014,0.5006,0.4872,0.546,0.9356,0.5788,0.7022,0.9256,0.4694,0.567,0.7598,0.6228,0.8898,0.9466,0.9224,0.5974,0.9454,0.934,0.5526,0.5856
"1642.MS00389",0.6472,0.9418,0.9238,0.6304,0,0.9394,0.974,0.9356,0.9198,0.9366,0.6454,0.544,0.6526,0.8984,0.6052,0.6252,0.5398,0.9386,0.5016,0.5786,0.548,0.6088,0.6298,0.5914,0.951,0.6066,0.5872,0.9462,0.6332,0.621,0.6992,0.7308,0.9234,0.9618,0.9382,0.6858,0.9586,0.9472,0.5206,0.61
"2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences",0.9376,0.6566,0.5946,0.9208,0.9394,0,0.686,0.5194,0.8678,0.8558,0.948,0.9158,0.9326,0.8528,0.9368,0.9402,0.9234,0.603,0.9526,0.9256,0.9642,0.9348,0.9316,0.9294,0.6088,0.9462,0.9612,0.713,0.9304,0.9432,0.9448,0.9376,0.7806,0.7012,0.5204,0.9388,0.613,0.5998,0.9314,0.9398
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",0.9668,0.6086,0.6252,0.9598,0.974,0.686,0,0.6566,0.9176,0.8878,0.969,0.9522,0.9644,0.93,0.9694,0.9712,0.955,0.6346,0.9692,0.963,0.9818,0.9732,0.9698,0.96,0.5202,0.975,0.9772,0.6292,0.9698,0.9712,0.9732,0.9726,0.926,0.4818,0.6278,0.9696,0.6602,0.5566,0.9692,0.973
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",0.9412,0.63,0.5532,0.9148,0.9356,0.5194,0.6566,0,0.8468,0.8226,0.937,0.9018,0.9326,0.8704,0.9334,0.9384,0.9156,0.5666,0.941,0.9216,0.9568,0.9312,0.929,0.922,0.5862,0.9448,0.9588,0.6558,0.93,0.9386,0.949,0.9392,0.8378,0.661,0.5166,0.9386,0.6662,0.5348,0.9228,0.9432
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9144,0.9064,0.8112,0.8756,0.9198,0.8678,0.9176,0.8468,0,0.79,0.9352,0.8686,0.902,0.751,0.917,0.8972,0.9078,0.8826,0.9338,0.8832,0.9576,0.8912,0.9062,0.893,0.8766,0.9296,0.9428,0.8242,0.9076,0.9084,0.9372,0.8962,0.7342,0.9056,0.829,0.9338,0.8764,0.873,0.9082,0.9274
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.9434,0.8952,0.8218,0.9222,0.9366,0.8558,0.8878,0.8226,0.79,0,0.9376,0.9102,0.9326,0.863,0.9412,0.9354,0.9388,0.883,0.942,0.92,0.9588,0.9368,0.9308,0.9222,0.8522,0.9456,0.9608,0.8518,0.9336,0.9412,0.9502,0.9402,0.8558,0.88,0.8162,0.95,0.841,0.875,0.9362,0.9504
