"","1642.MS00608","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00609","1642.MS00389","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00387","1642.MS00605","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00601","1642.MS00565","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","1642.MS00493","1642.MS00366","1642.MS00524","1642.MS00582","1642.MS00464","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00551","1642.MS00342","1642.MS00634","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00589","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00414","1642.MS00554"
"1642.MS00608",0,1,1,-0.903,0.888,1,1,1,1,1,1,0.0780000000000001,-0.944,1,-0.472,-0.652,-0.22,1,0.97,-0.592,1,0.172,-0.401,-0.105,1,0.195,0.949,1,-0.602,0.919,0.998,0.994,1,1,1,0.509,1,1,0.106,-0.015
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",1,0,-1,1,1,-0.986,-1,-0.998,1,0.996,1,1,1,0.968,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-0.808,1,1,1,1,1,-0.996,-0.944,1,-0.95,-1,1,1
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",1,-1,0,1,1,-0.982,-0.998,-0.998,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-0.972,1,1,1,1,1,-0.998,-0.996,1,-0.974,-1,1,1
"1642.MS00609",-0.903,1,1,0,0.74,1,1,1,1,1,1,-0.812,-0.912,1,-0.248,-0.823,-0.389,1,0.997,-0.988,1,-0.825,-0.932,-0.218,1,0.223,0.996,1,-0.986,-0.037,1,0.74,1,1,1,0.474,1,1,-0.185,0.307
"1642.MS00389",0.888,1,1,0.74,0,1,1,1,1,1,0.537,-0.662,0.95,1,0.191,0.674,-0.775,1,-0.992,-0.123,-0.974,0.436,0.745,0.168,1,0.269,-0.407,1,0.755,0.483,0.857,1,1,1,1,0.986,1,1,-0.892,0.308
"2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences",1,-0.986,-0.982,1,1,0,-0.934,-1,1,1,1,1,1,1,1,1,1,-0.982,1,1,1,1,1,1,-0.994,1,1,-0.538,1,1,1,1,0.826,-0.904,-1,1,-0.992,-0.99,1,1
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",1,-1,-0.998,1,1,-0.934,0,-0.98,1,0.99,1,1,1,1,1,1,1,-0.994,1,1,1,1,1,1,-1,1,1,-0.994,1,1,1,1,1,-1,-0.998,1,-0.955,-1,1,1
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",1,-0.998,-0.998,1,1,-1,-0.98,0,1,0.99,1,1,1,1,1,1,1,-0.994,1,1,1,1,1,1,-0.996,1,1,-0.898,1,1,1,1,1,-0.968,-1,1,-0.922,-1,1,1
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983,1,1,1,1,0.912,1,1,1,1,1,1,1
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",1,0.996,1,1,1,1,0.99,0.99,0.996,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976,1,1,0.997,1,1,1,1,1,0.985,1,1,0.903,0.996,1,1
