"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00601","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00342","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00589","1642.MS00605","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00464","1642.MS00608","1642.MS00554","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00448","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00565","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","1642.MS00390","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00371","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00485","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00414","1642.MS00493","1642.MS00617","1642.MS00634","1642.MS00387"
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0,0.1095779120013,0.0275930432911,0.1166613135695,0.0582756145648,0.0919134078272,0.1015640890658,0.0257856326368,0.0510644269392,0.1299277812697,0.1234141847707,0.019743507162,0.1084519750128,0.1211984558485,0.1156613720645,0.0245295783708,0.1198897729955,0.118938875155,0.0228145170404,0.0958297688137,0.0172042437362,0.0229462741657,0.1166776721471,0.0941697383999,0.0201251036041,0.0973121064693,0.0353070629559,0.0248208706282,0.0193221506873,0.1227833444699,0.058193483245,0.0823513488813,0.1241357368982,0.0186138731674,0.1033470878714,0.1018973959864,0.109324244114,0.120080122316,0.1297338666502,0.09496425468
"1642.MS00570",0.1095779120013,0,0.0980572887856,0.0286771132912,0.0966386428278,0.0285533758717,0.0519685969781,0.0930358760576,0.0769831218919,0.0271646648812,0.0305156281425,0.1000607373721,0.025237722998,0.0273306865964,0.0262184718634,0.1041301328747,0.0287276250495,0.0280779906747,0.0958819833319,0.0247778363873,0.1039331750068,0.0973696854173,0.032889157743,0.0297678614995,0.1052286497208,0.0424215414749,0.0890793664867,0.0913053804532,0.1015354622485,0.0291657324394,0.0887168026248,0.0350923858202,0.0246481294868,0.1157582234927,0.0351318838094,0.030159363458,0.0289037968092,0.0288398804749,0.0474599302681,0.0307812905548
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",0.0275930432911,0.0980572887856,0,0.1062454820885,0.0419315924178,0.0859237946483,0.0993433555178,0.0215572314864,0.0545169278647,0.120405000727,0.1114265911836,0.0192237433353,0.096919138971,0.110583521753,0.1098342850841,0.0282953118093,0.1124242698621,0.1114376759329,0.0238277427536,0.0910270121709,0.0159541489836,0.0248515956813,0.1061770232173,0.0947510160475,0.0200812340213,0.098943668904,0.0343961626643,0.0231877524577,0.0237885957022,0.1071089335391,0.0384486194906,0.0890204781833,0.1133801160402,0.0258322738143,0.0950902473691,0.0963361262789,0.0974994775643,0.1069777844267,0.1160171204009,0.0883336156798
"1642.MS00601",0.1166613135695,0.0286771132912,0.1062454820885,0,0.0979526302099,0.0265238080625,0.0657310546189,0.0972682705242,0.0862153034172,0.0237370475961,0.0231267120085,0.1059686101304,0.0261861804253,0.0252017051608,0.0240055587801,0.1143414376298,0.0253727385164,0.0259217444479,0.1030133483358,0.0218359303414,0.1163034841593,0.1003295995276,0.0251704125977,0.0335600219473,0.1002833244651,0.0441447179843,0.097876873472,0.0977239654288,0.1082848814145,0.0227074558894,0.0911242164247,0.041529678267,0.023997322368,0.1297210919773,0.0290284877111,0.0256215618512,0.0242511640658,0.0261026018013,0.0391087860804,0.0268629474895
"2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0582756145648,0.0966386428278,0.0419315924178,0.0979526302099,0,0.0845184354347,0.0934957440274,0.0397828236222,0.036486738666,0.1136467439285,0.1024953581918,0.053198292262,0.0857487968226,0.1000586033244,0.1044015436187,0.0596911314265,0.1030555946657,0.1079603365167,0.039367044416,0.0879792452301,0.050800829271,0.033253125247,0.0959611618517,0.09926049938,0.0484194519732,0.0967400344635,0.0546844248268,0.0390888712138,0.0422043582267,0.0937341213716,0.0388957846191,0.0918404867143,0.1076724615793,0.0643523789652,0.0861228142311,0.0947426519511,0.0892226933966,0.1003609439535,0.0895513743102,0.0820688113686
"1642.MS00389",0.0919134078272,0.0285533758717,0.0859237946483,0.0265238080625,0.0845184354347,0,0.0539408188469,0.0763312357255,0.0689997850325,0.0304685408317,0.0302041749698,0.0892873608599,0.0261093970846,0.0335570986977,0.025676504973,0.0934876782507,0.0290636620193,0.0250312147084,0.0808361785107,0.0248149338485,0.0912221717237,0.0803389050191,0.0281038830855,0.0204716968266,0.0804356326808,0.0286407253911,0.0741258596672,0.0790433401443,0.0857463052106,0.0282179948589,0.0764196722636,0.0252580303226,0.025462548154,0.103942111713,0.0312203631266,0.019755490039,0.0244039342239,0.0294216629806,0.0366590572975,0.0211424575262
"1642.MS00342",0.1015640890658,0.0519685969781,0.0993433555178,0.0657310546189,0.0934957440274,0.0539408188469,0,0.0894775084738,0.0778706813854,0.0653279879987,0.0534147153746,0.0954597403465,0.053426869699,0.0572816890528,0.0551700364004,0.1113450345385,0.0649710843237,0.053767818244,0.1042715725427,0.0534979185925,0.1163890041956,0.0868231569811,0.0751244689569,0.0467714508533,0.1055321474468,0.036858176623,0.1048058776458,0.0847701045576,0.1093392175863,0.0573990124166,0.0899867024503,0.0274865123281,0.057331502121,0.1006866383432,0.0701908915672,0.0434688428418,0.0542641113083,0.0588307666525,0.060403303139,0.04681594118
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.0257856326368,0.0930358760576,0.0215572314864,0.0972682705242,0.0397828236222,0.0763312357255,0.0894775084738,0,0.0479604636515,0.1109852639328,0.1043763859432,0.0236020530063,0.0876333063532,0.1059302094712,0.098097888122,0.0264436738797,0.1032770574194,0.1044970107448,0.0203347797779,0.0839047652774,0.021041025064,0.0226718868584,0.097416946463,0.0850652767439,0.0172737729881,0.0842007591204,0.0305056109855,0.0217658995568,0.0201885644109,0.1021119892114,0.0392771996763,0.0765106961608,0.1010420515231,0.0274042547677,0.086665283638,0.0873527495517,0.0871912258156,0.0986423384987,0.1080322124529,0.0790551468996
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0510644269392,0.0769831218919,0.0545169278647,0.0862153034172,0.036486738666,0.0689997850325,0.0778706813854,0.0479604636515,0,0.1068093032465,0.0875917863301,0.054255832351,0.0712412595783,0.0869491811078,0.0901057399053,0.0611288838628,0.0939018088543,0.0938163450203,0.0469891124832,0.0753256922801,0.0549028637959,0.0436697995759,0.0851812660712,0.0835427958567,0.058979577806,0.0725627046773,0.0457637261357,0.0443913339254,0.0519225288591,0.0820617740014,0.0392785697545,0.0758226560323,0.0925783115445,0.062418910578,0.0810270752947,0.0830877547317,0.0759473053066,0.0892687958843,0.0797419909392,0.0695391731226
"1642.MS00589",0.1299277812697,0.0271646648812,0.120405000727,0.0237370475961,0.1136467439285,0.0304685408317,0.0653279879987,0.1109852639328,0.1068093032465,0,0.0246965564405,0.1217768223318,0.0299729481605,0.0254698276749,0.0215413802657,0.1287307798293,0.0227947000823,0.0240145530237,0.1147164700793,0.0224681075337,0.132625518292,0.1125558348446,0.0260301405067,0.0361386771078,0.110394784198,0.0515838468,0.1124815894844,0.1090640602427,0.1201699535879,0.0246718908149,0.1094669809411,0.0419261075435,0.0205881600249,0.1456482861347,0.0294034369717,0.0271444131605,0.0276559135263,0.0265343408141,0.0433947217353,0.0327275161817
