"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00601","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00342","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00589","1642.MS00605","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00464","1642.MS00608","1642.MS00554","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00448","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00565","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","1642.MS00390","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00371","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00485","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00414","1642.MS00493","1642.MS00617","1642.MS00634","1642.MS00387"
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",NA,-0.317907123631341,-5.4640035624703,1.52609741296699,-4.8461213506886,-1.24725543552238,-1.28674841402071,-5.81463196892917,-3.54987563604007,3.02040679865593,2.72378462013331,-6.78605898562169,0.945447466452627,2.30438053914757,1.29326502973066,-5.80689649386579,2.60521008312828,1.80504168412,-7.21915577886298,-0.845090160332521,-6.92163471457285,-6.29391869712419,2.15689988572547,-1.68482467184995,-6.89914734991925,-1.43235804277803,-4.2187806179557,-8.72835400940933,-7.59697634932987,3.07437432331773,-5.3798952761424,-2.35106999284179,2.52357405122316,-7.6556443500446,-0.433121409668288,-0.330722352101344,1.27607723797547,2.77599387374728,2.93166900381864,-0.575951614888659
"1642.MS00570",-0.317907123631341,NA,-0.588681676129831,-4.9496098437908,0.13699146798175,-5.46862218046322,-1.0779408847131,2.07485842774361,-0.237561725161424,-6.2818057854322,-4.05406358076041,-0.671541361345876,-4.79590136322944,-4.72236628151851,-5.34071897085867,-0.539299066544218,-5.29831097805739,-4.44277821197805,-0.510395489057221,-4.55141028247636,0.697152660812377,-0.368678046148168,-4.21266373234573,-5.12960800991757,-0.243993314340709,-2.67526909262064,-0.681130014566941,-0.544672788596262,-0.506599373525831,-5.18826688465653,-0.0882780000852294,-4.35754213466801,-6.02585116946202,-0.177776724769424,-2.69286988637658,-5.17257065054835,-4.5047630982345,-4.64808222136911,-1.9276603959707,-5.60010356071335
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",-5.4640035624703,-0.588681676129831,NA,1.54933822614077,-4.84851141021083,-1.08232088101526,-0.703909416032354,-7.20905289514092,-3.7712442852921,2.61236123232792,2.12276308742563,-5.57736524212221,0.315597656282786,1.66086699242811,1.50282543485671,-5.55983464720237,2.43860914341557,1.61720722663253,-3.08036650401457,-0.583746105715681,-5.33305171741482,-5.49371239133324,1.65782826048766,-0.571354359401702,-5.89917775599271,-0.409229295921694,-3.85102976826121,-5.84939319391352,-4.26814433154492,2.14350633866468,-3.93115989332982,-1.56874867379327,1.82772791680589,-4.72865815905409,-0.341962668564505,0.268856688936532,0.659945384985724,1.62467583099726,2.35762322251935,0.0367014761819406
"1642.MS00601",1.52609741296699,-4.9496098437908,1.54933822614077,NA,4.93271237847985,-3.79274422199384,1.98450307894645,2.53002114488731,5.51807718615292,-6.66839683051703,-3.76205447034337,0.890493739590436,-4.05061352212425,-3.45543364360253,-4.20732873104763,2.01833810478088,-4.61043313756142,-4.64135542574286,1.38908250177291,-3.97857620967996,0.996863059260735,1.63261775012866,-4.11848343992725,-4.01242435330057,0.470675669199679,-2.30743510921393,0.993862066822656,1.11322079503398,1.20274138595546,-5.33966285449951,5.19997679973219,-3.64291775917278,-5.35512978103788,1.87631748820307,-2.07906484385262,-3.86494639248365,-3.27958149508791,-2.43879590332667,-1.85370540352557,-3.41675005144143
"2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences",-4.8461213506886,0.13699146798175,-4.84851141021083,4.93271237847985,NA,-0.143139244792569,0.0877552273126721,-6.36667804264239,-7.9678998833488,7.33027362683475,6.51948468578596,-4.89153369185766,1.12680869498835,5.47762903625558,4.78909174303871,-4.52367221013409,6.48939398710126,6.25692577962319,-3.96971079612746,0.633759725224222,-5.56324819858477,-4.66576787044584,5.59712070292216,1.53176949481235,-4.78199425119063,1.47980238266696,-2.05024339873742,-5.30975899897065,-5.58139969498876,4.77689422301962,-6.58401616369903,-0.681269903006563,5.52503157379355,-3.30847250267941,0.734486277547882,3.19152399446007,2.99652747415625,5.9011066900406,2.4680360341369,1.99423974605781
"1642.MS00389",-1.24725543552238,-5.46862218046322,-1.08232088101526,-3.79274422199384,-0.143139244792569,NA,1.74859778927328,-0.681988578916361,-0.64510010818123,-3.07273193177565,-1.72778480900194,-1.09359520828066,-3.69034407413356,-1.47822709939664,-4.22184070243247,-1.0528674962699,-1.94099918740652,-2.31818358077635,-1.18088648369982,-3.7119950320373,-0.956257253226197,-1.30746636750972,-1.63764042278178,-5.55502393630757,-1.49704243819755,-4.34240796049375,-1.36879883509727,-1.05350113078803,-1.18954932682922,-2.79130805693205,-0.679901358298693,-4.08252497108105,-3.37180712787515,-0.805742337053123,-1.53902663854607,-3.89719110967391,-3.21628114389153,-1.15409546052171,-2.50038705137301,-3.90645954435354
"1642.MS00342",-1.28674841402071,-1.0779408847131,-0.703909416032354,1.98450307894645,0.0877552273126721,1.74859778927328,NA,-0.471585466243879,-0.545203409181602,0.234494333206833,-0.148951949985012,-1.43468182520477,-0.0867127522501013,0.581613416623513,-0.467948533102012,0.390000892544942,1.34116190878878,0.446694804255059,0.547089268697541,-0.485833098171357,0.062100380549603,-1.73576810703352,4.28270386883913,-0.597357638050738,0.0784420999452233,-0.715918263579688,0.122753909113878,-1.38303690821587,0.265742215456744,0.259743289866244,0.350906296766335,-2.35727224251987,0.122818209928356,-1.55529827873994,1.58534491150544,0.0196794078431428,0.518801633413825,0.950657813176133,-1.10933930482877,-0.408511717604095
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",-5.81463196892917,2.07485842774361,-7.20905289514092,2.53002114488731,-6.36667804264239,-0.681988578916361,-0.471585466243879,NA,-5.00728209547549,4.92826531779039,3.42749294093576,-6.29814037747027,1.42645599996852,3.45172713602751,2.84314849030419,-6.19593903356025,4.64906226398897,3.44020489428866,-7.80709499102227,0.98279631056819,-7.19540170087781,-7.04983540737504,3.18314865470116,-0.0634641141757606,-7.28385000054104,-0.406182183479789,-3.83311952880809,-8.151653093144,-6.50748444085339,3.69205004584976,-5.92948885035219,-1.72826739148,3.50946707007236,-6.96101344893137,0.305270849628829,1.04202269421447,1.75839034376274,3.56815964793586,3.01751526749376,0.353110032068498
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",-3.54987563604007,-0.237561725161424,-3.7712442852921,5.51807718615292,-7.9678998833488,-0.64510010818123,-0.545203409181602,-5.00728209547549,NA,6.92462054153398,6.25547006375597,-4.20883764754966,1.01864626822952,5.56543241399402,4.42202619199787,-4.42407992517837,8.61625233089392,5.57213771997313,-3.78731560003484,0.611756307412388,-4.48321663270717,-4.60050357149978,6.48931457757416,0.715392646551451,-3.20869983541613,-0.847015975288871,-4.00082071202486,-3.4901115029336,-3.75934208705817,6.07446793843022,-7.05309511357861,-1.10402528234218,5.83573443259685,-3.49514261563155,1.83444871871624,3.04342030603171,3.07113995850234,7.8210283020454,3.48181213915991,1.82366177008725
"1642.MS00589",3.02040679865593,-6.2818057854322,2.61236123232792,-6.66839683051703,7.33027362683475,-3.07273193177565,0.234494333206833,4.92826531779039,6.92462054153398,NA,-4.9545820312257,2.56192396708617,-3.81366481265823,-5.57409423610092,-5.13094134532885,4.34084321523645,-5.75184592698948,-6.54132651452972,3.62536959589026,-4.47641595783649,2.35273731532773,3.15694521777917,-5.77699508184009,-2.4681942086142,1.57830501401337,-1.13627294329537,1.99805402894851,2.38290571463651,2.27273202383851,-6.46469978009691,7.95983349109039,-3.27198637942225,-5.25336104637826,3.27954674886296,-2.19075487921848,-5.59449228709471,-3.65376638573171,-4.62033808888241,-1.7895368752265,-2.52042536587945
