"","1642.MS00457","1642.MS00517","1642.MS00402","1642.MS00353","1642.MS00450","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00384","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00423","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00628","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","1642.MS00526","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00466","1642.MS00434","1642.MS00639","1642.MS00331","1642.MS00362","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1001.SKB9","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00502","1642.MS00339","1642.MS00579","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00457",0,0.5156,0.4448,0.6546,0.4506,0.849,0.9442,0.9446,0.8952,0.4896,0.9262,0.5328,0.5452,0.9536,0.5358,0.9512,0.8548,0.442,0.9312,0.8714,0.4942,0.932,0.9264,0.642,0.4818,0.925,0.5362,0.4846,0.5034,0.6048,0.5304,0.8888,0.6446,0.987,0.9166,0.5702,0.6426,0.543,0.9226,0.9204
"1642.MS00517",0.5156,0,0.521,0.6144,0.5528,0.8806,0.954,0.95,0.912,0.5678,0.9426,0.5614,0.4794,0.9622,0.4374,0.9586,0.879,0.5188,0.9414,0.889,0.5402,0.9436,0.9354,0.6168,0.5008,0.9306,0.4688,0.5684,0.5044,0.5396,0.57,0.908,0.5518,0.9858,0.931,0.5026,0.5818,0.5372,0.9316,0.8416
"1642.MS00402",0.4448,0.521,0,0.6452,0.475,0.852,0.941,0.9414,0.8984,0.5256,0.9296,0.5306,0.5114,0.9496,0.531,0.9476,0.8454,0.45,0.9284,0.8676,0.504,0.9274,0.9214,0.6328,0.481,0.9172,0.5478,0.5028,0.5258,0.5842,0.5268,0.8862,0.6612,0.9866,0.912,0.5952,0.641,0.5644,0.9138,0.9164
"1642.MS00353",0.6546,0.6144,0.6452,0,0.662,0.9118,0.9654,0.9624,0.9374,0.6812,0.9528,0.6902,0.5638,0.964,0.6216,0.967,0.9168,0.6294,0.957,0.923,0.6872,0.9592,0.9488,0.5614,0.6834,0.9472,0.6354,0.629,0.692,0.5616,0.5116,0.9392,0.6974,0.9894,0.9448,0.6542,0.572,0.6678,0.9436,0.8746
"1642.MS00450",0.4506,0.5528,0.475,0.662,0,0.8742,0.946,0.9488,0.9068,0.5266,0.9382,0.55,0.5698,0.9556,0.5584,0.953,0.8718,0.4754,0.935,0.8858,0.4908,0.9334,0.9274,0.6256,0.4806,0.9244,0.5584,0.475,0.5446,0.6124,0.5772,0.9,0.6476,0.9876,0.9214,0.582,0.6388,0.5478,0.9234,0.9314
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.849,0.8806,0.852,0.9118,0.8742,0,0.9018,0.8928,0.78,0.879,0.8148,0.8806,0.8796,0.936,0.8928,0.92,0.7168,0.843,0.8872,0.7186,0.8624,0.8808,0.8814,0.9202,0.88,0.8728,0.8954,0.8782,0.8692,0.8914,0.8616,0.7246,0.9378,0.9768,0.855,0.912,0.9146,0.8918,0.8716,0.877
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",0.9442,0.954,0.941,0.9654,0.946,0.9018,0,0.5464,0.883,0.9504,0.8088,0.9484,0.9492,0.7252,0.9514,0.6284,0.903,0.9416,0.5278,0.8694,0.946,0.3164,0.6584,0.9612,0.949,0.8104,0.954,0.9518,0.9476,0.9494,0.9414,0.8676,0.9702,0.9636,0.5288,0.963,0.9502,0.9498,0.742,0.6438
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.9446,0.95,0.9414,0.9624,0.9488,0.8928,0.5464,0,0.8966,0.9468,0.7842,0.9452,0.947,0.7168,0.9486,0.6522,0.8942,0.9416,0.5374,0.8718,0.9464,0.5668,0.6512,0.961,0.9466,0.7984,0.95,0.9462,0.948,0.9426,0.944,0.8416,0.9656,0.9586,0.6386,0.9566,0.9528,0.9474,0.7172,0.7108
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8952,0.912,0.8984,0.9374,0.9068,0.78,0.883,0.8966,0,0.9204,0.9176,0.9114,0.9144,0.9038,0.9212,0.8928,0.7282,0.8946,0.809,0.6178,0.8926,0.8568,0.8664,0.9418,0.9124,0.7768,0.9222,0.9184,0.9,0.9236,0.9058,0.719,0.9528,0.9734,0.8348,0.9366,0.9384,0.9166,0.8114,0.7884
"1642.MS00541",0.4896,0.5678,0.5256,0.6812,0.5266,0.879,0.9504,0.9468,0.9204,0,0.9222,0.536,0.583,0.9572,0.5434,0.95,0.8864,0.5106,0.938,0.8956,0.5798,0.9366,0.9258,0.6608,0.5064,0.9252,0.5518,0.556,0.5754,0.629,0.5968,0.9104,0.6182,0.9846,0.9188,0.5466,0.6652,0.536,0.923,0.9164
