"","1642.MS00457","1642.MS00517","1642.MS00402","1642.MS00353","1642.MS00450","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00384","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00423","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00628","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","1642.MS00526","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00466","1642.MS00434","1642.MS00639","1642.MS00331","1642.MS00362","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1001.SKB9","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00502","1642.MS00339","1642.MS00579","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00457",0,-0.639,-0.99,0.756,-0.986,1,1,1,1,-0.86,1,-0.318,-0.318,1,-0.364,1,1,-0.992,1,1,-0.718,1,1,0.718,-0.864,1,-0.563,-0.824,-0.718,0.384,-0.382,1,0.672,1,1,-0.071,0.694,-0.194,1,1
"1642.MS00517",-0.639,0,-0.564,0.104,-0.23,1,1,1,1,-0.111,1,-0.134,-0.954,1,-0.998,1,1,-0.642,1,1,-0.345,1,1,0.291,-0.84,1,-0.992,0.0349999999999999,-0.812,-0.566,0.018,1,-0.666,1,1,-0.901,-0.282,-0.471,1,1
"1642.MS00402",-0.99,-0.564,0,0.626,-0.888,1,1,1,1,-0.523,1,-0.351,-0.713,1,-0.413,1,1,-0.98,1,1,-0.581,1,1,0.579,-0.856,1,-0.417,-0.665,-0.458,0.119,-0.436,1,0.856,1,1,0.283,0.667,0.172,1,1
"1642.MS00353",0.756,0.104,0.626,0,0.791,1,1,1,1,0.898,1,0.97,-0.586,1,0.238,1,1,0.351,1,1,0.955,1,1,-0.663,0.962,1,0.353,0.39,0.966,-0.637,-0.928,1,0.903,1,1,0.591,-0.594,0.862,1,1
"1642.MS00450",-0.986,-0.23,-0.888,0.791,0,1,1,1,1,-0.61,1,-0.114,0.0289999999999999,1,-0.032,1,1,-0.919,1,1,-0.836,1,1,0.473,-0.911,1,-0.313,-0.895,-0.216,0.481,0.266,1,0.72,1,1,0.016,0.571,-0.211,1,1
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0,1,1,1,1,0.644,1,1,1,1,1,0.858,1,1,0.958,1,1,1,1,1,1,1,1,1,1,1,0.914,1,1,1,1,1,1,1,1
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0,-0.998,0.998,1,0.028,1,1,-0.789,1,-0.96,1,1,-1,0.991,1,-1,-0.898,1,1,0.356,1,1,1,1,1,0.984,1,0.981,-0.999,1,1,1,-0.565,-0.938
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.998,0,1,1,-0.321,1,1,-0.828,1,-0.926,1,1,-1,0.996,1,-0.996,-0.898,1,1,0.106,1,1,1,1,1,0.851,1,0.966,-0.926,1,1,1,-0.738,-0.767
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0.998,1,0,1,1,1,1,0.998,1,1,0.982,1,0.976,0.071,1,0.992,1,1,1,1,1,1,1,1,1,0.958,1,1,0.996,1,1,1,0.998,0.978
"1642.MS00541",-0.86,-0.111,-0.523,0.898,-0.61,1,1,1,1,0,1,-0.481,0.046,1,-0.392,1,1,-0.747,1,1,0.219,1,1,0.808,-0.77,1,-0.47,-0.107,-0.023,0.632,0.318,1,0.193,1,1,-0.546,0.825,-0.519,1,1
"2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.644,0.028,-0.321,1,1,0,1,1,0.96,1,0.05,1,1,0.974,1,1,-0.302,-0.141,1,1,1,1,1,1,1,1,1,1,0.998,-0.121,1,1,1,0.972,0.551
"1642.MS00472",-0.318,-0.134,-0.351,0.97,-0.114,1,1,1,1,-0.481,1,0,-0.014,1,-0.451,1,1,-0.208,1,1,0.282,1,1,0.936,-0.603,1,-0.422,0.469,0.466,0.475,0.659,1,0.556,1,1,-0.122,0.746,-0.127,1,1
"1642.MS00384",-0.318,-0.954,-0.713,-0.586,0.0289999999999999,1,1,1,1,0.046,1,-0.014,0,1,-0.99,1,1,-0.752,1,1,0.32,1,1,-0.776,-0.122,1,-0.782,-0.21,0.496,-0.998,-0.429,1,-0.654,1,1,-0.912,-0.992,0.12,1,1
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,-0.789,-0.828,0.998,1,0.96,1,1,0,1,-1,1,1,-0.928,0.986,1,-0.817,-0.96,1,1,-1,1,1,1,1,1,1,1,0.57,-0.809,1,1,1,-0.946,-0.994
"1642.MS00471",-0.364,-0.998,-0.413,0.238,-0.032,1,1,1,1,-0.392,1,-0.451,-0.99,1,0,1,1,-0.392,1,1,0.487,1,1,0.113,-0.726,1,-0.998,0.188,0.271,-0.816,0.311,1,-0.95,1,1,-1,-0.74,-0.409,1,1
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.96,-0.926,1,1,0.05,1,1,-1,1,0,1,1,-0.95,0.996,1,-0.972,-0.994,1,1,-0.772,1,1,1,1,1,0.998,1,0.694,-0.932,1,1,1,-0.926,-0.982
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.858,1,1,0.982,1,1,1,1,1,1,1,0,1,1,0.346,1,0.998,1,1,1,1,1,1,1,1,1,0.858,1,1,1,1,1,1,1,1
"1642.MS00423",-0.992,-0.642,-0.98,0.351,-0.919,1,1,1,1,-0.747,1,-0.208,-0.752,1,-0.392,1,1,0,1,1,-0.621,1,1,0.13,-0.678,1,-0.406,-0.847,-0.295,-0.299,-0.681,1,0.738,1,1,-0.001,0.221,-0.003,1,1
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,-1,-1,0.976,1,0.974,1,1,-0.928,1,-0.95,1,1,0,0.986,1,-1,-0.76,1,1,-0.279,1,1,1,1,1,1,1,0.998,-0.944,1,1,1,-0.165,-0.996
