"","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00628","1642.MS00450","1642.MS00517","1642.MS00639","1642.MS00502","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00466","1001.SKB9","1642.MS00384","1642.MS00434","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00390","1642.MS00362","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00457","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00402","1642.MS00579","1642.MS00541","1642.MS00526","1642.MS00472","1642.MS00331","1642.MS00353","1642.MS00520","1642.MS00471","1642.MS00339"
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",0,0.0342496014572,0.0319371584413,0.0391118609741,0.0359300848089,0.0900944966129,0.0949577697447,0.0865272943574,0.0878252647466,0.0878804246085,0.0357003845992,0.034155449492,0.105320368627,0.1155304704586,0.0741036670546,0.0929739147556,0.0406347410716,0.0794380032609,0.0933033837035,0.0752918084765,0.0506589337523,0.0382609119944,0.0471514159959,0.0389342108852,0.0901987660824,0.0517440282475,0.0477859128376,0.0562845832457,0.0423037523131,0.0362594525645,0.0808954748708,0.0938859495777,0.101177674677,0.0907584269026,0.0833731594607,0.0756162220134,0.0820232888172,0.0933812564034,0.0829788320771,0.0799245740545
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",0.0342496014572,0,0.044243512971,0.0278633393824,0.0220986701849,0.0914082861612,0.0927370072819,0.0814508371199,0.0902024243964,0.0843451528464,0.0313889886086,0.0437673713592,0.0952874379139,0.0774602829812,0.0762037152176,0.0896231159163,0.0302892461191,0.0795148572738,0.0842428670074,0.0726838365397,0.0260251861307,0.0236869228785,0.0282538542653,0.0232189535354,0.0862078747697,0.0227828236891,0.0319246392369,0.0450527542997,0.0289791912657,0.0399806415311,0.0830608355254,0.0940751283365,0.0943703076568,0.0914190045034,0.0822372953971,0.0698929786425,0.0782920408267,0.0839887613516,0.0829240521703,0.0722610470896
"2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0319371584413,0.044243512971,0,0.0398501207589,0.0434892001297,0.0891049271959,0.0942055150094,0.0914667944458,0.0876763690327,0.1002685951047,0.0316401563814,0.0329570779191,0.107802228913,0.1031742293531,0.0848829937674,0.0912062937665,0.0418850569679,0.0800214591007,0.0978830717244,0.0798186812455,0.0482868400736,0.0361528776764,0.0486951236746,0.0413251095583,0.0867000550576,0.0682457454555,0.0469856116114,0.0529252150716,0.0447649058747,0.0301496707386,0.0840230271894,0.0984457383476,0.0994309494926,0.0914904086318,0.0853870460594,0.0865083097695,0.0882398773534,0.1113166075021,0.0934462873447,0.0913408074456
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",0.0391118609741,0.0278633393824,0.0398501207589,0,0.0207517840154,0.093361379665,0.0955046411122,0.0847743680523,0.092421868991,0.0866031647974,0.0383019373866,0.0397151368295,0.0963210983047,0.0818655035791,0.0779680953276,0.0922636185618,0.0150170843782,0.0828324094735,0.0872377529062,0.0745527339254,0.0211873325339,0.0179999687734,0.0192075437955,0.0268869946953,0.0869868386988,0.0235500191282,0.0174373507937,0.0351444917247,0.0211027957757,0.044832935368,0.0840808614798,0.0986948309028,0.0975693510814,0.0942639227586,0.0863122641235,0.0734686241069,0.0832323819087,0.0872917020723,0.0844695487534,0.0765338745884
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",0.0359300848089,0.0220986701849,0.0434892001297,0.0207517840154,0,0.0853224019369,0.0900326407547,0.0787347400775,0.0848457279558,0.081983559203,0.0319147721588,0.0442177631376,0.0962557755838,0.0835886426245,0.0728828788094,0.0880091197627,0.0218866022083,0.0784177828401,0.0842634314103,0.0707042641364,0.0247453199759,0.0160882152868,0.0246295819439,0.0273372423615,0.0816176042442,0.023780640651,0.0234730756778,0.0419651911826,0.0269375277258,0.0416719137565,0.0789081260917,0.0918614490105,0.0927866552909,0.0870550645332,0.0804969044952,0.0699671232476,0.078887329901,0.0790591576003,0.0785706300307,0.0707618454431
"1642.MS00628",0.0900944966129,0.0914082861612,0.0891049271959,0.093361379665,0.0853224019369,0,0.0226040998976,0.0237116816568,0.0239307344293,0.023977269001,0.0891735865933,0.0842154644055,0.0246561139651,0.1635878112617,0.0239718918363,0.0246043562377,0.0988118017098,0.0237086321349,0.0348095542122,0.0302723049448,0.1117741310984,0.0937292264692,0.0950013344934,0.098296141009,0.0220795599911,0.1116459521002,0.1009084010714,0.1028196201317,0.1079995314435,0.0761658479487,0.0238911298664,0.0218221359546,0.0267969046046,0.0211985747192,0.0258458689636,0.0287294893048,0.037137660611,0.0260381803034,0.0253048699643,0.0342025048994
"1642.MS00450",0.0949577697447,0.0927370072819,0.0942055150094,0.0955046411122,0.0900326407547,0.0226040998976,0,0.0234271706003,0.025570622817,0.022197627585,0.0958415642796,0.0903917901224,0.0204760757996,0.1623173370193,0.0234184208511,0.0195582850895,0.101631103698,0.021650940978,0.0281552024628,0.028552823379,0.1071027970739,0.0947671300022,0.0942883076106,0.0962498147232,0.0195654170708,0.1086273574346,0.1054077824474,0.1051227044295,0.1127171552224,0.0839557130394,0.0222047603618,0.0221568799252,0.0236017067093,0.0206114272115,0.0243494141713,0.0251681081212,0.0341749832996,0.0227765138882,0.0224074737631,0.0273874259014
"1642.MS00517",0.0865272943574,0.0814508371199,0.0914667944458,0.0847743680523,0.0787347400775,0.0237116816568,0.0234271706003,0,0.0205486931094,0.0207423013249,0.0863977921005,0.0824182496049,0.0187728533834,0.1400104915537,0.0220173499557,0.0230973320839,0.0898714911227,0.0218409870507,0.0288690063555,0.0270384664002,0.0966073516249,0.0872642861356,0.0869272729861,0.0873767868614,0.0190284497975,0.0985423008911,0.0947748795249,0.0949325367372,0.100916174768,0.0706808157269,0.0220163261465,0.0234604347564,0.024024782314,0.01926534142,0.0209548697023,0.0234412646373,0.0319441773704,0.0199263411045,0.018806016201,0.025737340841
"1642.MS00639",0.0878252647466,0.0902024243964,0.0876763690327,0.092421868991,0.0848457279558,0.0239307344293,0.025570622817,0.0205486931094,0,0.0243907519377,0.0906655682087,0.08364585952,0.0226710500402,0.1618385408573,0.0244783135414,0.026587788639,0.0957735792847,0.0252463927011,0.0349434855262,0.0295307708,0.1041474573943,0.0919659289795,0.0941548072669,0.0953876061157,0.0220872109949,0.1073432623474,0.0998943902904,0.0993173280099,0.1051366077414,0.0784099029685,0.0248161621726,0.0245563012438,0.0256625367486,0.0224922256287,0.0256103359809,0.0290882073837,0.0361749577613,0.0239345623676,0.0228191426828,0.0311090070911
"1642.MS00502",0.0878804246085,0.0843451528464,0.1002685951047,0.0866031647974,0.081983559203,0.023977269001,0.022197627585,0.0207423013249,0.0243907519377,0,0.0926418051471,0.0814686712437,0.0203159603297,0.1389240377942,0.0224272343881,0.0229121276862,0.0919888884155,0.0228488200032,0.0242820912507,0.0340032262976,0.0953467982643,0.0894614116184,0.0863194719003,0.0869837229819,0.02114853001,0.0980562584793,0.0941889139971,0.0935689503295,0.1015425511589,0.0748909396075,0.0237741059905,0.0210378914144,0.0200406000491,0.0215351098075,0.0211074011845,0.0233193189566,0.0390412691769,0.0174900669862,0.019356372358,0.025145740005
