"","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00628","1642.MS00450","1642.MS00517","1642.MS00639","1642.MS00502","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00466","1001.SKB9","1642.MS00384","1642.MS00434","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00390","1642.MS00362","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00457","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00402","1642.MS00579","1642.MS00541","1642.MS00526","1642.MS00472","1642.MS00331","1642.MS00353","1642.MS00520","1642.MS00471","1642.MS00339"
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",NA,-2.59591735697416,-7.18246590757911,-4.70738037680988,-4.44080672953418,6.58582562223607,8.08344578598732,1.96795147018049,4.66303513224268,0.874185375797916,-5.6526309157933,-5.32297352551185,4.51906621756863,-1.32156599183192,-0.182664533253858,6.70256069957192,-6.10389187753823,3.40699036702912,2.37624055066868,0.632635860353391,-4.78680439416127,-4.72779994082765,-3.4148113365482,-4.16228547361924,5.84188596887282,-2.33533609604833,-5.435622320578,-3.71221837795475,-4.91535793540945,-5.08478246842955,4.18413411124182,4.72810475640694,8.33754642095891,5.97628285246649,3.00004617635679,-0.0663510919087042,-0.185267609564383,0.591840332215501,1.26340662716349,-0.0149460269779034
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",-2.59591735697416,NA,-1.01821686376194,-4.92494649664473,-4.20679013444958,1.54772676688757,1.18106366581713,-0.257015330480101,0.884395166993655,-0.221342365852075,-5.35912086028728,-4.90404332255928,1.07245542734048,-2.00110916801317,-0.776709503305016,0.953515686748746,-6.8364683219508,-0.104033544404615,-0.433030666881332,-1.07177860308298,-6.15889021922396,-6.39771828198749,-3.72380457153404,-4.70480164316629,0.786022627125752,-5.51537888086909,-6.50023824576328,-3.6143530654972,-6.10788719872756,-2.90295802447427,0.566414112257915,1.17815275950614,1.16379028487952,1.14768373507283,0.0818401587842698,-1.15338298422641,-1.25982949385405,-0.473403758477475,-0.000309967714937238,-1.23974068389695
"2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences",-7.18246590757911,-1.01821686376194,NA,-4.37876639124817,-2.69902674413897,8.38458932782847,9.81629671500665,3.51329581274802,6.19117464458847,2.69453432912706,-3.78434546033964,-6.63535678055187,5.8777723504104,-1.97230031749024,1.72964729350365,7.08531278041504,-6.2912179687026,4.09717065809531,4.22146935985315,2.99653663834627,-5.25202909835166,-4.2631986172535,-3.21328402677613,-2.95561711544575,5.82574249765483,-1.13396780919819,-5.58358203804402,-3.855191324147,-6.24578717316648,-7.22793180820651,6.91186950126934,7.12472067465895,7.69766368812842,7.44125813128264,4.5527535623543,2.10429251342897,1.86462818872346,2.28821052958887,3.5265945153922,1.6828137173341
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",-4.70738037680988,-4.92494649664473,-4.37876639124817,NA,-3.21482042428122,1.13837149304414,1.14983047901503,-0.475736175174201,0.709092631647841,-0.765052610089797,-5.26205501042013,-4.73582339935456,0.699886633097341,-2.53569868913284,-1.26614663901177,0.627094080183248,-3.17066852797312,-0.377290578513197,-0.840884416568489,-1.89033216570087,-4.25250643317883,-3.73651810839023,-3.75460417766975,-4.2666576799747,-0.0870446714943167,-4.68648479208902,-3.58312875266731,-3.48885555371166,-4.24953045901458,-4.12257947700719,-0.0427293329681308,1.22472594935021,1.35801217128033,1.0502372545376,-0.219442355894225,-1.67127820756151,-1.3295534759017,-0.729791970982389,-0.476031470659252,-1.37917008295952
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",-4.44080672953418,-4.20679013444958,-2.69902674413897,-3.21482042428122,NA,0.899587841721985,1.34244735422909,0.217219573040182,0.410369787999828,0.635116490301623,-4.29838184902336,-4.67971100761116,2.84592548380827,-2.29945648593221,-0.894006092671087,0.958791637833546,-3.43637406917962,-0.187671633713809,0.0585724291419856,-1.95721460677169,-3.54940571301628,-2.83465024334831,-3.34839999700966,-3.42236556910476,0.0623571624715002,-3.11637727259998,-3.49831864568109,-3.45996655426741,-4.14371240554945,-4.71886030703885,-0.125935935785472,2.06438273273121,1.54599505769305,0.956848867061018,-0.162142186476463,-1.46394897541314,-1.02785374068827,0.533454092511728,0.382292319174195,-1.20535362737272
"1642.MS00628",6.58582562223607,1.54772676688757,8.38458932782847,1.13837149304414,0.899587841721985,NA,-2.64650246719368,-2.42472807459953,-2.93548368553308,-3.95459141465291,7.11352084960983,6.16784383072155,-2.19993936511848,1.54236891584377,-3.3850566501621,-4.10987091236212,0.700922010527993,-2.21087896404867,-1.83595227309947,-1.81690502825494,1.99459007484098,0.361722420006524,0.810273581172972,3.05501771904356,-3.98739225076129,0.557590998403154,0.233038083492125,1.04868384729296,0.891325671982383,5.62755200800993,-2.27141129891212,-3.24203675589379,-2.45640914351494,-3.70767347382292,-3.7686930935644,-3.48829592204214,-1.95649356027211,-4.45802512903781,-3.43841169198353,-1.4976912393077
"1642.MS00450",8.08344578598732,1.18106366581713,9.81629671500665,1.14983047901503,1.34244735422909,-2.64650246719368,NA,-2.84844231084586,-2.28178624074192,-3.88238405881668,8.40296480254962,7.96407960609999,-4.07443297605814,2.00489210963675,-3.06879329627031,-4.60429774487542,0.751223471506223,-2.45754610742883,-2.50332342462516,-1.71949640945484,0.820278777944083,0.20330719891364,0.462089478860061,2.44913600412491,-3.32368166428484,0.0945031836710186,0.546483938101279,1.18298520072382,0.986269639884001,7.30068559974766,-1.93096396447231,-3.3658092122767,-3.25834755974455,-4.576237444136,-4.13195173556062,-3.76896051418597,-1.89839471709984,-6.09561930981579,-3.85520476997293,-1.82559203782557
"1642.MS00517",1.96795147018049,-0.257015330480101,3.51329581274802,-0.475736175174201,0.217219573040182,-2.42472807459953,-2.84844231084586,NA,-3.08847415624049,-4.70282938213689,2.28793258663722,1.94197701359952,-4.928706714592,0.338928222092794,-3.43149643329453,-4.12753353729926,-0.861667610956205,-3.47396633226561,-3.76254375039332,-2.53171855180402,-0.619111749748329,-0.499144988331063,-0.515074291024552,0.174234810586416,-4.7589277011034,-0.659015191223367,-0.845012018692923,-0.128344104143499,-0.113337257248935,0.529770531437443,-2.26628504660019,-2.93267821522142,-3.96477345678799,-3.9827489477426,-5.59474015836873,-4.98157053863008,-2.69086985036086,-5.39446848644044,-4.32336125882464,-3.82833094450352
"1642.MS00639",4.66303513224268,0.884395166993655,6.19117464458847,0.709092631647841,0.410369787999828,-2.93548368553308,-2.28178624074192,-3.08847415624049,NA,-4.30164449777755,6.08332697814723,4.6814743632201,-4.157543266552,1.66649296105039,-4.49622379345867,-3.15005051137413,-0.0290701304918693,-3.1862766805212,-2.5829449104411,-1.78725489959969,0.458937252519035,-0.0409416389017134,0.258212394605707,1.50527953218704,-4.21349809818982,-0.0545635761873119,-0.217232351029809,0.415337464098641,0.292110235972259,5.35994184539809,-1.94284722639581,-3.10421427245339,-3.58572484226767,-3.69916059776289,-4.0860996266475,-3.92004632829058,-1.9817738898978,-5.04559736554298,-4.82283225008685,-3.10308999325922
"1642.MS00502",0.874185375797916,-0.221342365852075,2.69453432912706,-0.765052610089797,0.635116490301623,-3.95459141465291,-3.88238405881668,-4.70282938213689,-4.30164449777755,NA,1.77572241764675,0.584448838708346,-3.5010816777006,-0.140518385243827,-5.05775453776983,-4.9945037212201,-0.93797809733393,-4.52868466560386,-4.96066479276094,0.26004871178784,-1.00006224378364,-0.677388825756286,-0.80817207412653,-0.273827485894922,-4.0380636483791,-0.790869567158998,-1.13884116972983,-0.646480629119626,-0.352874491449314,0.198263573216957,-3.28765182121551,-2.87304896743663,-4.61177358258759,-3.62803642136997,-5.09616308905305,-4.7305209325575,-0.947701978391184,-4.7312772971541,-4.77840828906027,-3.93098312601505
