"","1642.MS00516","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00621","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00428","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00472","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00408","1642.MS00549","1642.MS00592","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00336","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00436","1642.MS00335","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00392","1642.MS00573","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00419","1642.MS00449","1642.MS00617","1642.MS00430","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00443","1642.MS00343","1642.MS00440","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00346","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00516",0,0.9016,0.4986,0.972,0.916,0.9386,0.5046,0.9078,0.9618,0.5476,0.9128,0.4772,0.4482,0.4698,0.8892,0.6948,0.9226,0.5394,0.6076,0.9196,0.9002,0.513,0.476,0.9548,0.5638,0.5118,0.51,0.5268,0.9516,0.9628,0.9062,0.88,0.5204,0.6554,0.5024,0.96,0.5172,0.6676,0.9586,0.8896
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0.9016,0,0.8754,0.8854,0.6074,0.8038,0.8906,0.634,0.838,0.8972,0.6488,0.8838,0.8758,0.8886,0.8308,0.9418,0.7114,0.894,0.9098,0.65,0.627,0.9106,0.8938,0.823,0.9014,0.8918,0.8864,0.8924,0.8402,0.8956,0.6266,0.7662,0.9076,0.903,0.884,0.8878,0.9028,0.907,0.8544,0.7934
"1642.MS00621",0.4986,0.8754,0,0.9574,0.8922,0.9178,0.5404,0.8852,0.9464,0.5318,0.8874,0.5226,0.4664,0.4598,0.8712,0.7472,0.896,0.5254,0.656,0.8898,0.8742,0.5526,0.5074,0.9422,0.5582,0.5082,0.478,0.5416,0.9376,0.948,0.8824,0.8584,0.5298,0.6442,0.516,0.9402,0.54,0.7004,0.9418,0.8622
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",0.972,0.8854,0.9574,0,0.913,0.6566,0.9588,0.9176,0.6356,0.9566,0.9018,0.9634,0.9614,0.9586,0.9464,0.9616,0.8784,0.9584,0.9596,0.883,0.9282,0.9666,0.963,0.5896,0.9704,0.9674,0.9698,0.9574,0.348,0.6416,0.8818,0.937,0.973,0.9622,0.9546,0.5108,0.9704,0.9674,0.4214,0.9358
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.916,0.6074,0.8922,0.913,0,0.8398,0.9048,0.5028,0.8898,0.909,0.6184,0.8946,0.8918,0.9064,0.8536,0.9584,0.7224,0.9156,0.9236,0.5782,0.5346,0.921,0.9118,0.8794,0.9158,0.9082,0.9042,0.9086,0.8618,0.905,0.6106,0.7702,0.9194,0.9254,0.9058,0.906,0.9156,0.9284,0.8772,0.818
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",0.9386,0.8038,0.9178,0.6566,0.8398,0,0.9198,0.8468,0.553,0.9194,0.7922,0.9232,0.9204,0.9244,0.875,0.9296,0.837,0.9138,0.9234,0.8302,0.8428,0.9312,0.9198,0.5204,0.9278,0.9278,0.93,0.9224,0.6218,0.727,0.7806,0.843,0.9362,0.9312,0.919,0.6642,0.9306,0.9358,0.6466,0.8636
"1642.MS00428",0.5046,0.8906,0.5404,0.9588,0.9048,0.9198,0,0.8998,0.9408,0.5342,0.9028,0.4484,0.4862,0.528,0.8824,0.5908,0.9026,0.4812,0.5336,0.903,0.898,0.441,0.517,0.941,0.5132,0.5208,0.592,0.4558,0.935,0.9554,0.8996,0.8806,0.5362,0.566,0.4434,0.9418,0.4938,0.5824,0.9428,0.8792
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9078,0.634,0.8852,0.9176,0.5028,0.8468,0.8998,0,0.8816,0.9002,0.6558,0.8862,0.881,0.8986,0.8518,0.9512,0.7036,0.8992,0.914,0.603,0.54,0.9102,0.9042,0.8722,0.9062,0.9002,0.9076,0.8962,0.8748,0.9062,0.6274,0.7724,0.9086,0.9178,0.8962,0.9088,0.9018,0.9228,0.8744,0.8244
"2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences",0.9618,0.838,0.9464,0.6356,0.8898,0.553,0.9408,0.8816,0,0.9428,0.8822,0.95,0.9438,0.95,0.9276,0.9374,0.8362,0.9356,0.9376,0.8538,0.907,0.9508,0.9486,0.416,0.9534,0.9558,0.9572,0.947,0.6786,0.845,0.8686,0.9208,0.962,0.9374,0.9408,0.7398,0.9554,0.9488,0.6112,0.9296
"1642.MS00472",0.5476,0.8972,0.5318,0.9566,0.909,0.9194,0.5342,0.9002,0.9428,0,0.9066,0.5556,0.5178,0.5502,0.8856,0.6758,0.9084,0.5718,0.6336,0.9082,0.8964,0.5532,0.5582,0.9378,0.6084,0.5788,0.582,0.5464,0.9378,0.956,0.8972,0.878,0.5946,0.663,0.5108,0.9436,0.5676,0.7042,0.945,0.879
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9128,0.6488,0.8874,0.9018,0.6184,0.7922,0.9028,0.6558,0.8822,0.9066,0,0.8966,0.8894,0.896,0.8162,0.953,0.71,0.9032,0.9226,0.6272,0.594,0.9236,0.9034,0.8678,0.9132,0.9036,0.8958,0.9044,0.8674,0.8812,0.4346,0.6868,0.9184,0.9204,0.903,0.8922,0.9128,0.9218,0.882,0.7746
"1642.MS00408",0.4772,0.8838,0.5226,0.9634,0.8946,0.9232,0.4484,0.8862,0.95,0.5556,0.8966,0,0.473,0.503,0.8668,0.6304,0.9044,0.5142,0.5296,0.8994,0.8834,0.45,0.4908,0.9442,0.4988,0.4842,0.5368,0.4924,0.9398,0.9512,0.8928,0.8572,0.4968,0.6078,0.4758,0.9484,0.4988,0.5898,0.9442,0.8664
"1642.MS00549",0.4482,0.8758,0.4664,0.9614,0.8918,0.9204,0.4862,0.881,0.9438,0.5178,0.8894,0.473,0,0.4472,0.8702,0.7018,0.898,0.5124,0.6146,0.8928,0.8776,0.5134,0.4822,0.9398,0.5412,0.49,0.488,0.494,0.9366,0.9498,0.8884,0.8536,0.5034,0.6382,0.4876,0.9464,0.5076,0.6726,0.9418,0.8652
"1642.MS00592",0.4698,0.8886,0.4598,0.9586,0.9064,0.9244,0.528,0.8986,0.95,0.5502,0.896,0.503,0.4472,0,0.87,0.7452,0.909,0.5328,0.6506,0.9044,0.8954,0.5454,0.4924,0.9436,0.556,0.4938,0.4732,0.5298,0.935,0.949,0.8944,0.8666,0.5076,0.6542,0.5276,0.9432,0.5122,0.7026,0.9446,0.8668
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8892,0.8308,0.8712,0.9464,0.8536,0.875,0.8824,0.8518,0.9276,0.8856,0.8162,0.8668,0.8702,0.87,0,0.9262,0.8582,0.8754,0.8902,0.8652,0.814,0.8914,0.8896,0.9262,0.888,0.8782,0.884,0.876,0.91,0.928,0.8064,0.5626,0.8834,0.8994,0.8762,0.917,0.8804,0.9044,0.927,0.509
"1642.MS00336",0.6948,0.9418,0.7472,0.9616,0.9584,0.9296,0.5908,0.9512,0.9374,0.6758,0.953,0.6304,0.7018,0.7452,0.9262,0,0.9434,0.6602,0.5102,0.9502,0.9502,0.5522,0.6698,0.9476,0.6942,0.709,0.782,0.6442,0.9514,0.9688,0.9482,0.9402,0.7176,0.6836,0.608,0.9542,0.6716,0.6234,0.955,0.93
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9226,0.7114,0.896,0.8784,0.7224,0.837,0.9026,0.7036,0.8362,0.9084,0.71,0.9044,0.898,0.909,0.8582,0.9434,0,0.9034,0.9166,0.5692,0.7648,0.9162,0.9134,0.818,0.9214,0.9098,0.906,0.9,0.8732,0.9136,0.6788,0.835,0.9256,0.9222,0.9062,0.9036,0.916,0.9282,0.837,0.8546
"1642.MS00436",0.5394,0.894,0.5254,0.9584,0.9156,0.9138,0.4812,0.8992,0.9356,0.5718,0.9032,0.5142,0.5124,0.5328,0.8754,0.6602,0.9034,0,0.578,0.9086,0.8978,0.5278,0.5678,0.9352,0.4944,0.489,0.556,0.468,0.9396,0.9514,0.9006,0.8786,0.5168,0.5518,0.4752,0.9444,0.4828,0.6376,0.9366,0.877
"1642.MS00335",0.6076,0.9098,0.656,0.9596,0.9236,0.9234,0.5336,0.914,0.9376,0.6336,0.9226,0.5296,0.6146,0.6506,0.8902,0.5102,0.9166,0.578,0,0.9206,0.9144,0.4684,0.5902,0.936,0.5934,0.6062,0.684,0.5792,0.9406,0.9542,0.9154,0.8992,0.6238,0.6118,0.5538,0.9468,0.6102,0.5874,0.9408,0.8986
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9196,0.65,0.8898,0.883,0.5782,0.8302,0.903,0.603,0.8538,0.9082,0.6272,0.8994,0.8928,0.9044,0.8652,0.9502,0.5692,0.9086,0.9206,0,0.6798,0.9206,0.913,0.8314,0.92,0.9116,0.9036,0.8996,0.8542,0.9076,0.604,0.807,0.9264,0.9212,0.9038,0.892,0.9196,0.9282,0.8404,0.8422
"2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9002,0.627,0.8742,0.9282,0.5346,0.8428,0.898,0.54,0.907,0.8964,0.594,0.8834,0.8776,0.8954,0.814,0.9502,0.7648,0.8978,0.9144,0.6798,0,0.915,0.8986,0.8964,0.9026,0.8908,0.889,0.8922,0.8824,0.899,0.5802,0.7206,0.9038,0.9114,0.8916,0.9056,0.898,0.9144,0.8958,0.781
"1642.MS00392",0.513,0.9106,0.5526,0.9666,0.921,0.9312,0.441,0.9102,0.9508,0.5532,0.9236,0.45,0.5134,0.5454,0.8914,0.5522,0.9162,0.5278,0.4684,0.9206,0.915,0,0.501,0.9488,0.543,0.5382,0.5978,0.5142,0.9468,0.9638,0.9184,0.8944,0.5546,0.6114,0.492,0.9502,0.5422,0.5932,0.9508,0.8962
"1642.MS00573",0.476,0.8938,0.5074,0.963,0.9118,0.9198,0.517,0.9042,0.9486,0.5582,0.9034,0.4908,0.4822,0.4924,0.8896,0.6698,0.9134,0.5678,0.5902,0.913,0.8986,0.501,0,0.9512,0.6048,0.5502,0.529,0.569,0.9476,0.959,0.8994,0.8738,0.5746,0.6688,0.5262,0.952,0.5622,0.6472,0.9554,0.8822
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.9548,0.823,0.9422,0.5896,0.8794,0.5204,0.941,0.8722,0.416,0.9378,0.8678,0.9442,0.9398,0.9436,0.9262,0.9476,0.818,0.9352,0.936,0.8314,0.8964,0.9488,0.9512,0,0.9516,0.9488,0.9488,0.9446,0.615,0.7922,0.8462,0.916,0.9562,0.9456,0.937,0.6722,0.9518,0.9506,0.5518,0.926
"1642.MS00419",0.5638,0.9014,0.5582,0.9704,0.9158,0.9278,0.5132,0.9062,0.9534,0.6084,0.9132,0.4988,0.5412,0.556,0.888,0.6942,0.9214,0.4944,0.5934,0.92,0.9026,0.543,0.6048,0.9516,0,0.4524,0.5574,0.463,0.9486,0.9614,0.9108,0.8828,0.4488,0.5828,0.5194,0.958,0.5012,0.6602,0.9506,0.8898
"1642.MS00449",0.5118,0.8918,0.5082,0.9674,0.9082,0.9278,0.5208,0.9002,0.9558,0.5788,0.9036,0.4842,0.49,0.4938,0.8782,0.709,0.9098,0.489,0.6062,0.9116,0.8908,0.5382,0.5502,0.9488,0.4524,0,0.497,0.4658,0.9468,0.9584,0.8972,0.8754,0.417,0.62,0.5014,0.9568,0.481,0.6896,0.947,0.882
