"","1642.MS00516","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00621","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00428","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00472","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00408","1642.MS00549","1642.MS00592","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00336","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00436","1642.MS00335","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00392","1642.MS00573","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00419","1642.MS00449","1642.MS00617","1642.MS00430","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00443","1642.MS00343","1642.MS00440","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00346","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00516",0,1,-0.953,1,1,1,-0.952,1,1,-0.565,1,-1,-1,-1,1,0.928,1,-0.6,0.186,1,1,-0.968,-1,1,-0.255,-0.918,-0.92,-0.811,1,1,1,1,-0.922,0.921,-0.974,1,-0.93,0.744,1,1
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",1,0,1,0.996,-0.552,0.982,1,-0.135,0.98,1,0.382,1,1,1,1,1,0.992,1,1,0.431,-0.214,1,1,0.922,1,1,1,1,0.946,0.919,0.00800000000000001,1,1,1,1,0.947,1,1,0.982,1
"1642.MS00621",-0.953,1,0,1,1,1,-0.653,1,1,-0.724,1,-0.882,-1,-1,1,1,1,-0.755,0.923,1,1,-0.562,-0.98,1,-0.379,-0.92,-0.998,-0.534,1,1,1,1,-0.836,0.892,-0.889,1,-0.671,0.972,1,1
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",1,0.996,1,0,1,-0.996,1,1,-0.996,1,1,1,1,1,1,1,0.984,1,1,0.994,1,1,1,-1,1,1,1,1,-1,-0.998,0.986,1,1,1,1,-1,1,1,-1,1
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.552,1,1,0,1,1,-1,1,1,-0.394,1,1,1,1,1,0.984,1,1,-0.82,-0.992,1,1,1,1,1,1,1,0.992,0.972,-0.477,1,1,1,1,0.994,1,1,0.998,1
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",1,0.982,1,-0.996,1,0,1,1,-0.998,1,0.936,1,1,1,1,1,1,1,1,0.996,1,1,1,-1,1,1,1,1,-1,-0.976,0.851,1,1,1,1,-0.996,1,1,-0.992,1
"1642.MS00428",-0.952,1,-0.653,1,1,1,0,1,1,-0.79,1,-1,-0.996,-0.848,1,-0.763,1,-0.998,-0.951,1,1,-1,-0.97,1,-0.971,-0.882,0.417,-1,1,1,1,1,-0.848,-0.655,-1,1,-0.99,-0.774,1,1
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.135,1,1,-1,1,1,0,1,1,0.341,1,1,1,1,1,0.934,1,1,-0.612,-0.99,1,1,1,1,1,1,1,0.996,0.95,-0.208,0.998,1,1,1,0.992,1,1,1,1
"2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences",1,0.98,1,-0.996,1,-0.998,1,1,0,1,1,1,1,1,1,1,0.962,1,1,1,1,1,1,-1,1,1,1,1,-0.944,-0.086,0.998,1,1,1,1,-0.944,1,1,-1,1
"1642.MS00472",-0.565,1,-0.724,1,1,1,-0.79,1,1,0,1,-0.491,-0.93,-0.483,1,0.791,1,-0.00900000000000001,0.613,1,1,-0.608,-0.65,1,0.597,0.151,0.241,-0.594,1,1,1,1,0.312,0.952,-0.948,1,-0.25,0.965,1,1
