"","1642.MS00343","1642.MS00336","1642.MS00346","1642.MS00408","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00436","1642.MS00443","1642.MS00428","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00549","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00392","1642.MS00617","1642.MS00440","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00573","1642.MS00335","1642.MS00592","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00516","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00449","1642.MS00419","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00621"
"1642.MS00343",0,0.0215691863189,0.0160407239747,0.0240852836609,0.0922749300301,0.0800923485294,0.0757467558498,0.0790881911705,0.0782944645053,0.0957061609767,0.0284833354742,0.0224866757837,0.0305888507092,0.0212135696978,0.0841051663163,0.0752673946765,0.0284744264248,0.080272330825,0.0226520933319,0.0220010028471,0.0376355188619,0.0226776114925,0.076094001166,0.0257452323048,0.0833141559345,0.0810998002966,0.0304170540859,0.0214255270927,0.0358338423871,0.0774378849014,0.032821163331,0.0956937955129,0.0285410419415,0.0235110761009,0.0836409569242,0.0803178741626,0.0858082761922,0.0739412767779,0.1070885711171,0.0355679329219
"1642.MS00336",0.0215691863189,0,0.0222475867999,0.0263224311528,0.0921341160701,0.0914066273595,0.0856120215981,0.0867774478836,0.0881777098852,0.0899811067748,0.0267397091125,0.0232908365061,0.031404161932,0.0216141022483,0.1067245212166,0.084661159284,0.031029522935,0.0929237474396,0.0244038409034,0.0221249298063,0.0412838494067,0.021054978529,0.0860770839358,0.0262316127479,0.0807603050291,0.0796651518575,0.0309583779234,0.0191643903339,0.0356301145099,0.0852617216403,0.0327701003623,0.094528205615,0.0297430455629,0.0279329645171,0.085353724668,0.078342952355,0.092985563794,0.0781081850739,0.1013887048831,0.0353967546356
"1642.MS00346",0.0160407239747,0.0222475867999,0,0.0265016376391,0.0768833264618,0.0773451822746,0.0741425375982,0.0724858298671,0.0717725704393,0.0780069244751,0.0317911039129,0.0253056482959,0.0352908900421,0.0226605595269,0.0848323455956,0.0780837437412,0.0312801254556,0.0771942253223,0.0257634560499,0.0240956721134,0.0407059992017,0.0264452518631,0.0723724380083,0.0282292528658,0.0735791584483,0.0700511845301,0.032536142196,0.0246768869413,0.0390232193975,0.0719453729249,0.0361865205766,0.0815996481176,0.0341232266032,0.0268679665158,0.0719670834637,0.0749493929035,0.0829916783606,0.0696151141133,0.0960871633464,0.0392963790056
"1642.MS00408",0.0240852836609,0.0263224311528,0.0265016376391,0,0.0944863552826,0.0749260172571,0.0728242858204,0.0762562172322,0.0776278006223,0.0940432244345,0.0209039198546,0.019913195988,0.0195915289128,0.0177870267694,0.0795296848831,0.0707182914476,0.018051474302,0.0749903584893,0.0187912449903,0.0170446155642,0.0215572672598,0.0181348842949,0.0724103391011,0.0200505686645,0.0863333081029,0.0739936982773,0.0189549608482,0.020988875658,0.0194441096994,0.0723805409661,0.0189080381417,0.1022080872714,0.018914207635,0.0190595780618,0.0866820836011,0.0838961112949,0.0764675418562,0.0742714874315,0.0992380475613,0.0203663650543
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",0.0922749300301,0.0921341160701,0.0768833264618,0.0944863552826,0,0.0557718506697,0.0482049387578,0.0644869230126,0.0671290265153,0.0159582345482,0.103880623552,0.1067122947036,0.1150337371963,0.0947305867967,0.0666493278886,0.060880827828,0.1033728781305,0.0546973221047,0.0969912359924,0.0957525958724,0.1181280811443,0.100481394664,0.0468569949902,0.1127116072598,0.0212792872316,0.0227427568521,0.104628194801,0.0867313232891,0.1163716877587,0.0567470606499,0.1139878123152,0.015728006222,0.1138161458772,0.109046307123,0.0184345356384,0.0258979939256,0.0607443578128,0.0554599785017,0.014667019875,0.1146195030407
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0800923485294,0.0914066273595,0.0773451822746,0.0749260172571,0.0557718506697,0,0.0262255733169,0.0438448516413,0.0382344087244,0.0490522980989,0.0805404165106,0.085279469009,0.0842954640207,0.0791792288448,0.0238227685662,0.0265018676645,0.0805657024086,0.0164863923208,0.0817337896654,0.0782751114736,0.0892945669025,0.0799667615025,0.0251715654769,0.0902269304224,0.0445794571101,0.0326743323957,0.0787701134848,0.0779582714248,0.0877565928218,0.0313503983994,0.0849161709352,0.0566106585711,0.0854180853954,0.0838418335976,0.0455489818281,0.0463942642978,0.0270479363159,0.0330889196804,0.0512806784828,0.0840898627368
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0.0757467558498,0.0856120215981,0.0741425375982,0.0728242858204,0.0482049387578,0.0262255733169,0,0.0463578419266,0.0409507841363,0.0392466509366,0.0800937638045,0.0840339022061,0.0854328940351,0.0775782198596,0.0276809558633,0.0256082495787,0.0816999832103,0.0247799225146,0.0800898788853,0.0759228397158,0.0889840056947,0.0776854767695,0.0258347817314,0.091347065501,0.0352288136525,0.0293383609574,0.0796986420091,0.0724828352813,0.0890480479909,0.0369109490888,0.0880887486195,0.0481620157733,0.0847585439411,0.0823680199596,0.0384815138016,0.0374097175686,0.0276522358649,0.03024458097,0.0484869854887,0.0855699888953
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0790881911705,0.0867774478836,0.0724858298671,0.0762562172322,0.0644869230126,0.0438448516413,0.0463578419266,0,0.0195982776272,0.0734442541477,0.0823821527309,0.0870389810754,0.0895208573271,0.0818004065918,0.0450894223235,0.0507926726324,0.0872311467752,0.0420878155914,0.08088272228,0.0789883849457,0.0960406849046,0.0849988783387,0.0510862726347,0.0937859403655,0.0644397804718,0.0463673026871,0.0799480967728,0.0740463074803,0.0924342137669,0.0195496008117,0.0918463441562,0.08306472993,0.0929208854084,0.0871351746146,0.0701119599678,0.0565836610877,0.0590417009973,0.0543070843346,0.0787857529893,0.090186723477
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0782944645053,0.0881777098852,0.0717725704393,0.0776278006223,0.0671290265153,0.0382344087244,0.0409507841363,0.0195982776272,0,0.070486499358,0.0828220289475,0.089609890023,0.0939806537703,0.079543879714,0.0434714272018,0.0466086740718,0.085699468039,0.037347331299,0.0819359155494,0.079558397959,0.0975068481808,0.0845586862034,0.046524410703,0.0941648699325,0.0630530697438,0.0486536684446,0.0803761114385,0.0755897438147,0.0939457427275,0.0229010482269,0.091629481802,0.0809670702444,0.0947609892435,0.0907631947747,0.0710886711349,0.0606323870299,0.0514310503808,0.0537103097016,0.073803231072,0.0904590884486
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.0957061609767,0.0899811067748,0.0780069244751,0.0940432244345,0.0159582345482,0.0490522980989,0.0392466509366,0.0734442541477,0.070486499358,0,0.1008151593509,0.1040810726629,0.1135505825056,0.0937932801754,0.0595085420377,0.0458632627604,0.1036966061407,0.0470948465877,0.0935663842701,0.0939401714829,0.1142397492377,0.0975982292514,0.034372040488,0.1124343194504,0.0144270597181,0.0196858165029,0.0985644547429,0.0845740943365,0.1147173123181,0.0548283849502,0.1135893072007,0.0121272824947,0.1116287482466,0.1075939120624,0.0117746826955,0.0164927942816,0.0499643075359,0.0377742851351,0.0140751127574,0.1119893302874
"1642.MS00472",0.0284833354742,0.0267397091125,0.0317911039129,0.0209039198546,0.103880623552,0.0805404165106,0.0800937638045,0.0823821527309,0.0828220289475,0.1008151593509,0,0.022712051594,0.0249161006914,0.0201348299892,0.0805313895413,0.0773028976398,0.0201457419063,0.0808037411547,0.0209873942458,0.0196060416226,0.0253806712364,0.019570221451,0.0793954689546,0.0229002300807,0.0901414461207,0.0812373923796,0.0203971290053,0.0248897662506,0.0214798489074,0.0797661108724,0.0214620992512,0.1093176514959,0.0219271299973,0.0254564151128,0.0930197157427,0.0880231478052,0.0829838877872,0.0773665863939,0.107563499362,0.0212758365182
"1642.MS00436",0.0224866757837,0.0232908365061,0.0253056482959,0.019913195988,0.1067122947036,0.085279469009,0.0840339022061,0.0870389810754,0.089609890023,0.1040810726629,0.022712051594,0,0.0220185296329,0.017809580965,0.0845302150394,0.0808721914331,0.0212749055459,0.0862047794978,0.0183280098156,0.018286802867,0.0273794472091,0.0173574142595,0.0837574259107,0.0192312941465,0.0946381506208,0.0845472873681,0.0238036331012,0.0216035303202,0.0239899054607,0.0849133742552,0.0230623913583,0.1112014829102,0.0199259127912,0.0182278232708,0.0950924137311,0.0898478222823,0.0880469409732,0.0833678633642,0.1120877606748,0.0254987349761
"1642.MS00443",0.0305888507092,0.031404161932,0.0352908900421,0.0195915289128,0.1150337371963,0.0842954640207,0.0854328940351,0.0895208573271,0.0939806537703,0.1135505825056,0.0249161006914,0.0220185296329,0,0.0218699913135,0.0834118480518,0.0817833922692,0.0211229883963,0.0850985155474,0.0205168743721,0.0203821358636,0.0228705701092,0.0212878961915,0.0865062016375,0.0215064060481,0.1033116621834,0.0879860926275,0.0223060321714,0.0250596338219,0.0204924288609,0.0854648364195,0.0216362773394,0.1253399671173,0.0180852598453,0.0181525670817,0.1034709112997,0.0987823794926,0.0870742642165,0.0893381055013,0.1186374029702,0.022921848826
"1642.MS00428",0.0212135696978,0.0216141022483,0.0226605595269,0.0177870267694,0.0947305867967,0.0791792288448,0.0775782198596,0.0818004065918,0.079543879714,0.0937932801754,0.0201348299892,0.017809580965,0.0218699913135,0,0.0829995966641,0.0753454437916,0.0202867406326,0.0792037415419,0.0173046673147,0.0167517094167,0.0267513230609,0.0175695036949,0.0757431771662,0.0191234088435,0.0851676409413,0.0774285789201,0.021316688011,0.0192276152353,0.0226838924413,0.075908615775,0.0221516830761,0.1000635828113,0.0210173180703,0.0205506263258,0.0869248045898,0.0836073987557,0.0806994388871,0.0735216737784,0.101511658832,0.023877625107
