"","1642.MS00343","1642.MS00336","1642.MS00346","1642.MS00408","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00436","1642.MS00443","1642.MS00428","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00549","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00392","1642.MS00617","1642.MS00440","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00573","1642.MS00335","1642.MS00592","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00516","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00449","1642.MS00419","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00621"
"1642.MS00343",NA,-4.11664710794662,-4.57170884765626,-3.26315472266294,-1.121336852401,1.45351189830784,0.875765920621267,1.64012265157517,1.99278795738379,0.0645806001092854,-3.37617326009671,-2.94853456015519,-1.6075697641222,-3.74161809102479,2.25121595692442,0.0906649458921053,-2.08449277986244,1.55108872941945,-4.003208925484,-3.94140719175104,-0.326710095571578,-3.58897831543519,0.252075054100511,-2.99113420220446,-1.07529758075878,-0.985991611455233,-2.12501063317386,-2.11690826784524,-0.842492386405357,1.11333648447802,-1.15693284707316,-0.775000724113376,-2.0081477610001,-2.5097426379327,-1.33662494813894,-1.34937538745331,2.43541033236368,-0.534184954202289,-0.200709098849166,-0.238230456596102
"1642.MS00336",-4.11664710794662,NA,-4.09828326118064,-3.62699954599078,-1.17636951484644,1.15516133375177,0.684436269096815,3.93138583195741,4.43665457283976,-0.750318478370872,-3.56940775457254,-4.32628251712627,-2.86851546184612,-4.22048768580692,2.81517824321651,0.0298189469703296,-3.15050684518523,1.63759365750135,-3.18788294367907,-4.39759972749621,-0.393881293310643,-4.82831008684149,0.615545801674828,-2.59116788838271,-1.27765782311715,-0.99942715727341,-3.36891560664704,-5.13379669145855,-2.01452683953053,0.323899386124294,-2.5144399005026,-0.859617721253495,-2.74892073641904,-3.74799561831191,-1.26938945837431,-1.27772446248994,1.2755708154068,-0.681193370124246,-1.06172438577968,-1.97600915127027
"1642.MS00346",-4.57170884765626,-4.09828326118064,NA,-2.35828435869007,-2.28357186935076,0.800881473579252,-0.257026769130262,0.609698850868516,0.712101704362452,-1.536407493128,-3.37732955199312,-3.05256955834977,-1.45363537727094,-3.06493925429161,1.48897687393655,0.211661757942734,-2.66644596295726,0.562425450815448,-2.91877333264377,-3.1439797465409,-0.382361448048826,-2.64830403549767,-0.920212533134339,-2.58986714689562,-1.9056331904166,-2.16710344951059,-2.57539701236858,-2.37527487189943,-1.02358101367644,-0.474489027661543,-1.31697806015619,-1.92695038341551,-1.13071105807551,-2.24336430973404,-2.51949101125761,-1.98538054178866,1.62337105421156,-1.8767664291702,-1.16267952453104,-0.732878143314419
"1642.MS00408",-3.26315472266294,-3.62699954599078,-2.35828435869007,NA,-0.559874146036052,1.46458755209148,1.63883260739022,5.57000518926826,6.23179585491177,0.287999100716037,-4.563262992853,-4.19459214237331,-2.40795748005389,-3.96015294077188,3.05643679214414,0.467243673134174,-4.9055680253831,1.84928880795331,-3.96365195814785,-5.42100799713219,-1.95167766465433,-4.35434838911969,0.483399727052583,-3.07073072428475,-0.402645035138239,-1.12805794139912,-3.45422448839704,-3.57777512335257,-3.22248009753469,1.55456855676911,-4.14902511943495,0.117790008173465,-2.93131980328532,-3.85048349771869,-0.538536319020847,-0.695584189901303,1.79654081279214,0.602002231966443,-0.554774643902248,-3.98361313366257
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",-1.121336852401,-1.17636951484644,-2.28357186935076,-0.559874146036052,NA,-2.25782770829818,-3.45271378438639,-3.69796853357482,-3.08039908825202,-7.12915408628493,0.323945250411696,0.732627841685609,1.03448420585483,-0.517607922814848,-2.65192025948059,-3.38179788950047,0.296441331009996,-2.86993779811233,-0.383773250580791,-0.654659348301086,1.75212958946258,0.0582733570150178,-4.26932860684227,0.998443487211469,-7.24849121311009,-5.4405513628185,0.0414632206255828,-1.45509505327092,1.6973568242926,-3.53099435216135,1.14753506239932,-7.12920188496783,1.17311748003681,0.621028345962552,-5.39075101568,-3.18167477512575,-3.14718143692366,-3.57820475951089,-6.2239819195051,1.67968817338787
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",1.45351189830784,1.15516133375177,0.800881473579252,1.46458755209148,-2.25782770829818,NA,-7.04203257630705,-4.67263097631547,-5.52981159650296,-2.79880901956146,3.75347293740626,5.69112572701366,5.69595250199682,2.81378378512073,-7.6169991423013,-7.88260274270825,4.0427999296179,-6.56185222037971,5.6126803345629,1.25491721855152,8.80085254597208,3.52406600188214,-6.94819012434157,7.27660495765647,-3.22073974304982,-4.46205354897484,1.33699098656481,0.667911319310096,8.2599033356514,-7.46782667428868,4.51745992512894,-2.94677678188322,6.90428477887784,4.18975408552822,-4.33172252912724,-3.38642004025515,-6.28917700787659,-4.50272646417294,-3.46297807162053,8.08243160919766
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0.875765920621267,0.684436269096815,-0.257026769130262,1.63883260739022,-3.45271378438639,-7.04203257630705,NA,-5.43576715208364,-6.08681723834029,-2.99019339819367,4.69838339771416,6.43130117106784,5.86989944158368,3.13998181702698,-6.18237469793424,-6.89787262329679,5.37308652056262,-7.43732275088969,5.25763142322984,1.11964327219275,9.16395136450646,3.85903789407648,-8.57282790785317,7.84079285740319,-6.25803702420743,-7.25261621176945,1.99114154895126,0.0313407256249283,9.31369607098372,-7.37939981369282,6.08836138968451,-3.77433331540018,7.06673083714666,4.61881765202953,-3.46891447638112,-5.97697581717503,-5.24480768895884,-7.7753426359783,-4.17013938811803,9.36091805428457
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",1.64012265157517,3.93138583195741,0.609698850868516,5.57000518926826,-3.69796853357482,-4.67263097631547,-5.43576715208364,NA,-6.56525307988718,-1.69334937225175,5.57994942663924,7.96085826383587,7.97682776639746,6.74155837038184,-4.76908366378673,-5.01467827668612,8.55461594504359,-4.86258923292423,4.87776513015416,5.54092302079655,10.5401642102952,8.02036489753083,-5.63968543637173,9.49782911442705,-2.41497431748935,-4.19872653387935,5.03212093945851,2.2926690676507,8.7361183686313,-8.35097740447826,9.59153629845954,-1.90247306149771,8.74431562322456,6.39010968591386,-1.95655609948976,-3.77369744169621,-2.68677471714825,-3.697609391629,-1.79829789625705,9.85350167164712
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",1.99278795738379,4.43665457283976,0.712101704362452,6.23179585491177,-3.08039908825202,-5.52981159650296,-6.08681723834029,-6.56525307988718,NA,-1.6264038177519,6.94302963185144,8.81363952561074,9.72230017407331,6.29490592837992,-4.97120696936431,-5.51949600946266,7.93698508737449,-5.8010058476842,6.14719505110817,5.9158964152779,11.3905708889545,8.12899710771023,-6.27963076118732,9.70929297406698,-2.25282820896952,-3.16843907759344,5.55817655565333,2.35654592541173,11.4913292279254,-4.09132862396148,9.72418627453713,-1.76528786004053,10.0926142023272,8.03795386829837,-1.68601957950445,-2.69195258094867,-3.62300016213592,-4.00005938582951,-1.98076543146477,10.8245681348769
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.0645806001092854,-0.750318478370872,-1.536407493128,0.287999100716037,-7.12915408628493,-2.79880901956146,-2.99019339819367,-1.69334937225175,-1.6264038177519,NA,1.15144611640582,1.53228637110057,1.97890020207938,0.437251748639366,-1.90601999975975,-3.06617463777745,1.43756543536547,-1.91380911720136,0.280440860531063,-0.0658554861928731,2.54320064798711,0.769551143989307,-7.12336663654011,2.11878385987668,-7.61314386204566,-4.95392077010353,0.313394162891257,-0.820383487126507,2.68689985364627,-2.98776523038086,2.31659052804321,-6.73783532652663,2.27665070493641,1.56925477193496,-7.79340369105111,-6.3946146277915,-2.1488428715331,-4.05169157565297,-5.2492844848779,2.46294107926701
