"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00621","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00627","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00370","1642.MS00484","1642.MS00596","1642.MS00530","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00628","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00612","1642.MS00435","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00527","1642.MS00611","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00502","1642.MS00338","1642.MS00440","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0,0.6166,0.6612,0.9212,0.8668,0.9064,0.8812,0.9242,0.9364,0.651,0.9736,0.9518,0.9324,0.9266,0.8898,0.9352,0.9286,0.6626,0.9268,0.9434,0.9294,0.8106,0.9546,0.9296,0.6182,0.8948,0.6156,0.7306,0.7476,0.9612,0.8758,0.9434,0.7348,0.9426,0.707,0.9482,0.9538,0.9212,0.6612,0.9062
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0.6166,0,0.5712,0.9248,0.857,0.8874,0.854,0.9258,0.9414,0.4004,0.9818,0.952,0.9332,0.9316,0.8868,0.9376,0.9308,0.6766,0.9292,0.945,0.9296,0.7784,0.9522,0.937,0.3868,0.8768,0.4034,0.6072,0.7436,0.9572,0.8336,0.9366,0.7076,0.949,0.5924,0.9454,0.9536,0.9276,0.7368,0.8174
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",0.6612,0.5712,0,0.9316,0.8644,0.885,0.8624,0.9344,0.9456,0.5946,0.9824,0.9552,0.9388,0.937,0.907,0.9402,0.9362,0.6032,0.9344,0.9522,0.9398,0.7656,0.9604,0.9432,0.5988,0.8836,0.5966,0.5528,0.801,0.962,0.8628,0.9446,0.7438,0.9494,0.5666,0.955,0.957,0.9336,0.7412,0.874
"1642.MS00621",0.9212,0.9248,0.9316,0,0.8762,0.8852,0.8928,0.4502,0.5492,0.9294,0.9234,0.5966,0.4812,0.4924,0.8712,0.5622,0.4578,0.938,0.5106,0.4814,0.4962,0.9186,0.582,0.4836,0.9396,0.8742,0.9268,0.941,0.9148,0.6702,0.8528,0.5594,0.9042,0.5654,0.9142,0.5852,0.7384,0.516,0.945,0.898
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8668,0.857,0.8644,0.8762,0,0.6418,0.4766,0.882,0.9122,0.8628,0.9698,0.9366,0.889,0.8984,0.8426,0.9022,0.8818,0.7722,0.8742,0.908,0.889,0.7264,0.93,0.895,0.881,0.6856,0.845,0.865,0.8944,0.9498,0.6728,0.9142,0.8814,0.9124,0.841,0.9302,0.9448,0.8924,0.8142,0.6962
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9064,0.8874,0.885,0.8852,0.6418,0,0.6496,0.8778,0.915,0.8846,0.9748,0.9354,0.886,0.9018,0.8518,0.9058,0.8802,0.854,0.8708,0.9064,0.8908,0.7998,0.9234,0.8928,0.8992,0.54,0.8748,0.8594,0.8952,0.9472,0.6848,0.9176,0.8808,0.9084,0.826,0.9272,0.9424,0.8962,0.8764,0.742
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8812,0.854,0.8624,0.8928,0.4766,0.6496,0,0.886,0.9162,0.8432,0.9694,0.9378,0.8966,0.902,0.8348,0.9092,0.8926,0.7852,0.882,0.9134,0.8928,0.6972,0.9332,0.9022,0.87,0.698,0.8264,0.8696,0.8968,0.9486,0.6344,0.9162,0.8916,0.9196,0.8464,0.9314,0.9432,0.8962,0.8086,0.664
"1642.MS00627",0.9242,0.9258,0.9344,0.4502,0.882,0.8778,0.886,0,0.5534,0.934,0.9184,0.6312,0.45,0.4824,0.8706,0.5736,0.4218,0.938,0.4762,0.472,0.4984,0.9196,0.5694,0.4742,0.945,0.8652,0.9276,0.9454,0.92,0.6798,0.8562,0.5764,0.9064,0.5538,0.919,0.5988,0.7446,0.54,0.9526,0.9002
"1642.MS00486",0.9364,0.9414,0.9456,0.5492,0.9122,0.915,0.9162,0.5534,0,0.9446,0.8938,0.5454,0.547,0.478,0.8872,0.5668,0.544,0.9494,0.618,0.539,0.5646,0.9348,0.567,0.5634,0.9548,0.905,0.9386,0.9552,0.9246,0.6096,0.8888,0.5132,0.9136,0.5794,0.9292,0.5622,0.6954,0.5156,0.9606,0.9302
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.651,0.4004,0.5946,0.9294,0.8628,0.8846,0.8432,0.934,0.9446,0,0.9844,0.9556,0.935,0.9358,0.9028,0.9416,0.9342,0.6664,0.936,0.9454,0.9356,0.7554,0.953,0.936,0.377,0.872,0.3704,0.5902,0.783,0.96,0.8402,0.9428,0.75,0.9492,0.6078,0.9516,0.9538,0.9372,0.7274,0.8266
"1642.MS00370",0.9736,0.9818,0.9824,0.9234,0.9698,0.9748,0.9694,0.9184,0.8938,0.9844,0,0.9068,0.9228,0.9018,0.9714,0.8596,0.9198,0.9784,0.9244,0.9192,0.8998,0.9828,0.809,0.9244,0.9846,0.98,0.9866,0.9872,0.9734,0.7156,0.9734,0.8378,0.9732,0.8774,0.981,0.7434,0.7186,0.8656,0.9782,0.9824
"1642.MS00484",0.9518,0.952,0.9552,0.5966,0.9366,0.9354,0.9378,0.6312,0.5454,0.9556,0.9068,0,0.6256,0.5468,0.9274,0.5816,0.6404,0.962,0.7116,0.6032,0.6112,0.9488,0.607,0.6398,0.9628,0.9342,0.9516,0.9672,0.9444,0.6148,0.9254,0.509,0.9378,0.6668,0.9486,0.581,0.7222,0.5364,0.9664,0.948
"1642.MS00596",0.9324,0.9332,0.9388,0.4812,0.889,0.886,0.8966,0.45,0.547,0.935,0.9228,0.6256,0,0.4922,0.8832,0.5832,0.4518,0.9442,0.4946,0.4754,0.5308,0.922,0.5614,0.4842,0.9474,0.8726,0.93,0.9444,0.9256,0.644,0.8746,0.5766,0.9148,0.5296,0.9186,0.5942,0.7486,0.5548,0.9544,0.9116
"1642.MS00530",0.9266,0.9316,0.937,0.4924,0.8984,0.9018,0.902,0.4824,0.478,0.9358,0.9018,0.5468,0.4922,0,0.8726,0.5482,0.4806,0.9392,0.5598,0.4892,0.525,0.927,0.5538,0.5186,0.9454,0.89,0.9312,0.9502,0.9198,0.6114,0.876,0.5094,0.9088,0.5578,0.9248,0.563,0.7078,0.497,0.9502,0.9188
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8898,0.8868,0.907,0.8712,0.8426,0.8518,0.8348,0.8706,0.8872,0.9028,0.9714,0.9274,0.8832,0.8726,0,0.889,0.8678,0.9196,0.8698,0.8924,0.8698,0.8976,0.9186,0.8804,0.9266,0.814,0.8928,0.9332,0.7326,0.9364,0.7094,0.903,0.7336,0.9014,0.8852,0.9148,0.9288,0.8762,0.9158,0.8138
"1642.MS00427",0.9352,0.9376,0.9402,0.5622,0.9022,0.9058,0.9092,0.5736,0.5668,0.9416,0.8596,0.5816,0.5832,0.5482,0.889,0,0.5856,0.9426,0.6156,0.6058,0.527,0.9334,0.5902,0.606,0.952,0.898,0.9358,0.9508,0.9234,0.6396,0.8804,0.5696,0.9134,0.6256,0.9274,0.5966,0.6444,0.4972,0.951,0.9206
"1642.MS00628",0.9286,0.9308,0.9362,0.4578,0.8818,0.8802,0.8926,0.4218,0.544,0.9342,0.9198,0.6404,0.4518,0.4806,0.8678,0.5856,0,0.9364,0.4848,0.4592,0.5178,0.9208,0.574,0.4674,0.9462,0.8706,0.9292,0.9458,0.9182,0.6826,0.8646,0.6012,0.9094,0.5398,0.9232,0.6132,0.7454,0.5524,0.951,0.9044
