"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00621","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00627","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00370","1642.MS00484","1642.MS00596","1642.MS00530","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00628","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00612","1642.MS00435","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00527","1642.MS00611","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00502","1642.MS00338","1642.MS00440","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0,-0.992,-0.95,1,0.946,0.998,0.992,1,1,-0.952,1,1,1,1,0.997,1,1,-0.954,1,1,1,0.0800000000000001,1,1,-0.992,0.998,-0.99,-0.83,-0.648,1,0.976,1,-0.76,1,-0.826,1,1,1,-0.956,0.998
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",-0.992,0,-0.996,1,1,1,0.99,1,1,-1,1,1,1,1,1,1,1,-0.839,1,1,1,0.182,1,1,-1,1,-1,-0.996,-0.514,1,0.937,1,-0.724,1,-0.986,1,1,1,-0.652,0.815
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",-0.95,-0.996,0,1,0.98,0.992,0.964,1,1,-0.996,1,1,1,1,1,1,1,-0.998,1,1,1,-0.43,1,1,-0.994,0.998,-0.994,-1,0.0589999999999999,1,0.962,1,-0.678,1,-1,1,1,1,-0.67,0.976
"1642.MS00621",1,1,1,0,1,1,1,-0.998,-0.517,1,0.894,0.261,-0.95,-0.962,1,-0.329,-0.996,1,-0.762,-0.96,-0.885,1,0.0680000000000001,-0.942,1,1,1,1,1,0.869,1,-0.273,1,-0.26,1,-0.089,1,-0.761,1,1
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",0.946,1,0.98,1,0,0.054,-1,1,1,0.998,1,1,1,1,1,1,1,0.637,1,1,1,0.832,1,1,0.98,0.753,0.986,0.977,1,1,0.777,1,1,1,0.994,1,1,1,0.59,0.723
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.998,1,0.992,1,0.054,0,0.355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.95,1,0.939,1,1,0.762,1,1,1,0.984,1,1,1,0.998,0.953
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.992,0.99,0.964,1,-1,0.355,0,1,1,0.989,1,1,1,1,1,1,1,0.822,1,1,1,0.508,1,1,0.953,0.897,0.944,0.984,1,1,0.28,1,1,1,1,1,1,1,0.471,0.165
"1642.MS00627",1,1,1,-0.998,1,1,1,0,-0.447,1,0.805,0.765,-0.998,-0.968,1,-0.119,-1,1,-0.976,-0.978,-0.863,1,-0.16,-0.98,1,1,1,1,1,0.934,1,0.02,1,-0.416,1,0.129,1,-0.47,1,1
"1642.MS00486",1,1,1,-0.517,1,1,1,-0.447,0,1,0.18,-0.753,-0.568,-0.989,1,-0.45,-0.563,1,0.617,-0.629,-0.282,1,-0.402,-0.387,1,1,1,1,1,-0.196,1,-0.922,1,-0.245,1,-0.577,0.862,-0.889,1,1
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",-0.952,-1,-0.996,1,0.998,1,0.989,1,1,0,1,1,1,1,1,1,1,-0.849,1,1,1,-0.159,1,1,-1,1,-1,-0.998,-0.029,1,0.958,1,-0.433,1,-0.99,1,1,1,-0.693,0.894
