"","1642.MS00612","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00629","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00484","1642.MS00435","1642.MS00621","1642.MS00611","1642.MS00551","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00530","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00627","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00370","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00520","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00440","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00502","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00628","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00612",0,0.1105882924404,0.0273309807959,0.1090542718998,0.0259057391239,0.0933284440984,0.0301123659307,0.1075365896181,0.0971721365033,0.1044063743081,0.0280498687048,0.025930197078,0.0219250693071,0.0231728602306,0.0253463203421,0.1025420190761,0.0211997969452,0.0980091051562,0.0219114297338,0.0212307780874,0.0988670538697,0.1078335220535,0.0390183193194,0.1113423242333,0.1148167101891,0.0914519736369,0.0249873626515,0.0242935293573,0.1088047013631,0.021554157245,0.0263717727684,0.1087703928913,0.1110282755714,0.0241712664402,0.0991493494646,0.0929250731603,0.0955400178192,0.0934217319481,0.0211266772908,0.1139809521372
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",0.1105882924404,0,0.0887843550205,0.026940860176,0.1092229865202,0.0510883899272,0.0935577958517,0.0334106211994,0.0457984945777,0.0120520800917,0.1233103586508,0.0923989901064,0.1069642707877,0.1002197397289,0.0940450149251,0.0281926860852,0.0966255698435,0.0372336839172,0.1010669582739,0.1013170667601,0.0479530774102,0.031282448134,0.0892740061207,0.1131685754833,0.0464274881568,0.0525990106558,0.1001859844964,0.0912372873704,0.0324055660787,0.0983820270114,0.0904804273542,0.0463493076581,0.0344860675281,0.0897035422083,0.0291788373451,0.0604425028179,0.0465792601876,0.0397753315579,0.098271204551,0.0474905352006
"1642.MS00629",0.0273309807959,0.0887843550205,0,0.0894305251208,0.0335974732662,0.0748923437817,0.0305847946956,0.0891264038222,0.0814649526527,0.084996143005,0.0393761360931,0.0257194926703,0.0242453697811,0.0269515519634,0.0260064340622,0.0845545900077,0.0240581310659,0.0796229660331,0.0231940981721,0.0219054810434,0.0777007879183,0.0874150744093,0.0396822619888,0.0995188910778,0.0979971863556,0.0729861247092,0.0308350268326,0.0301690449136,0.0903114590873,0.0275550157645,0.0279431954906,0.0916946272381,0.0906747759385,0.028654792655,0.0792942345757,0.0741154551964,0.0755791223454,0.0747060084184,0.0228807072153,0.0929682163861
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0.1090542718998,0.026940860176,0.0894305251208,0,0.1103160258703,0.0507163016662,0.0941034830254,0.021206011835,0.0336461435103,0.0276869900959,0.1218245353038,0.0942917237175,0.1106140859661,0.1050955327463,0.0954485349574,0.0217171997904,0.1003696974247,0.024403613939,0.1036869395081,0.1048856711559,0.0467978827611,0.0196621542068,0.0871299337551,0.0975598809388,0.0250536627273,0.053105842135,0.1012877874925,0.0907543201771,0.0187867210583,0.1115750095268,0.0901493895904,0.0248136252113,0.0169294864934,0.0942346172665,0.0575782856665,0.0617476493167,0.0542357888107,0.0471991113699,0.1043027598117,0.0244298091512
"1642.MS00522",0.0259057391239,0.1092229865202,0.0335974732662,0.1103160258703,0,0.0973037951958,0.0262284603298,0.1114074250754,0.0968015311096,0.1023274970926,0.0195199523618,0.0243525045998,0.0245464550959,0.0263971442635,0.028614493713,0.1062631933572,0.0211438050367,0.0987329891612,0.0256126021963,0.0259434887662,0.1018448583619,0.1097605468574,0.0331743120912,0.0999719986985,0.1123881343107,0.0947216886702,0.0227764210708,0.0216663185848,0.1090408422905,0.0190157656843,0.021510340767,0.1085458475412,0.1129013471385,0.0210955824611,0.0975616002025,0.1055507160435,0.1003313920403,0.094768915437,0.0265168415869,0.1155329447765
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0933284440984,0.0510883899272,0.0748923437817,0.0507163016662,0.0973037951958,0,0.0837498985871,0.0383713715463,0.0279266628328,0.0480336197511,0.1142405331942,0.0758558152736,0.0869893718015,0.0868312853999,0.0849199222403,0.0368507127651,0.0861115473263,0.0382300395076,0.0873866601527,0.0844850285922,0.0177275052291,0.0406844814779,0.0859679277247,0.1186353624866,0.0425780706231,0.0271214780983,0.0878826432668,0.0882825985977,0.0437645119224,0.105610617689,0.0814315063623,0.0354355934135,0.0422316592668,0.0867465203283,0.0479556322106,0.0313136121396,0.0260402035574,0.0249533056009,0.0853764843621,0.0473538972654
"1642.MS00427",0.0301123659307,0.0935577958517,0.0305847946956,0.0941034830254,0.0262284603298,0.0837498985871,0,0.09593088714,0.0830204093699,0.086018572028,0.0274048953722,0.0218440586992,0.0261983699567,0.0293172318071,0.0268609374464,0.0890582355722,0.02312112193,0.084112464886,0.0269409433082,0.0275914799089,0.0864207185275,0.0944633928535,0.0233922741834,0.0816273141507,0.0983465760309,0.0843516398058,0.0269994016868,0.0234564354765,0.0925368531897,0.0243102028839,0.0201910507972,0.0937444994101,0.0965498544587,0.0236982172811,0.0832961835815,0.092854437691,0.0831435490239,0.0803897205147,0.027626358037,0.1029515925135
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.1075365896181,0.0334106211994,0.0891264038222,0.021206011835,0.1114074250754,0.0383713715463,0.09593088714,0,0.0288587623342,0.0365362471493,0.1270688806622,0.0934704344141,0.1046572779042,0.0999576600111,0.0948493947658,0.0123442452393,0.0985944932215,0.0211186693388,0.1012768321437,0.0986228930858,0.0378282628731,0.0134175512734,0.0960804265394,0.1157764456609,0.0296239543246,0.0475342078294,0.0995748106063,0.0932184312687,0.0195243012108,0.1171663671734,0.0938436495824,0.0214827179715,0.0120509154753,0.0941180563647,0.0616088790815,0.0557355871814,0.037933602525,0.0420497145968,0.0999854304986,0.0215658144601
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",0.0971721365033,0.0457984945777,0.0814649526527,0.0336461435103,0.0968015311096,0.0279266628328,0.0830204093699,0.0288587623342,0,0.0469761361998,0.1075038293982,0.0800172639282,0.0920165768221,0.089079006871,0.0842472819482,0.0272045153572,0.0874402654459,0.0283068830344,0.0908426259549,0.0894170445713,0.0287723526124,0.0367601462392,0.0753186675125,0.0965356180968,0.0228374480672,0.0366186364165,0.0870059712232,0.082626938545,0.0281551792425,0.0865917546213,0.0815833526654,0.0226888568034,0.030793875628,0.08324676148,0.0593784564213,0.0581668299273,0.0363420800971,0.0349287462432,0.0905280371306,0.0300832207639
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.1044063743081,0.0120520800917,0.084996143005,0.0276869900959,0.1023274970926,0.0480336197511,0.086018572028,0.0365362471493,0.0469761361998,0,0.1196864663728,0.0875313526543,0.1064379884223,0.0950421469036,0.090095375159,0.0280050036488,0.0935294761956,0.0350341786841,0.0964685591657,0.0941516093736,0.0466098769627,0.0293132283865,0.0843009862117,0.1089640919847,0.0460145653577,0.0541234003097,0.0938138874221,0.0835395667406,0.0312377084087,0.1090968552475,0.0860385270693,0.046989767046,0.0336139553492,0.0826529831342,0.0232980246923,0.0593048394432,0.0448887596215,0.0384030306862,0.093842719395,0.0439447630874
