"","1642.MS00612","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00629","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00484","1642.MS00435","1642.MS00621","1642.MS00611","1642.MS00551","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00530","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00627","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00370","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00520","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00440","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00502","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00628","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00612",NA,2.48232291038081,-0.885722584208559,0.881062175130577,-1.93703920489944,5.6663138414187,-1.54635651133148,1.15931141144128,1.67687457126413,1.00851465083845,-4.09535922421587,-2.61620726398446,-2.17773510757503,-1.88888543631369,-1.67890402525624,0.736362684830618,-4.34537016521075,1.12629132209425,-3.28626386241233,-2.73322763701555,7.33776332795567,1.53736045007394,-1.12620161872775,0.404624808522787,2.33726512304643,4.58501217297332,-1.92038250471128,-3.50502278351212,0.570712654028294,-3.90368613341001,-2.33912846690664,1.43599870871976,0.359832868357115,-3.21072663369461,8.45902421098604,5.98277089451671,4.27537921972957,7.60432592950017,-2.87299425031693,1.1778311721698
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",2.48232291038081,NA,0.364847823297813,-5.41567859593445,2.12026798250511,-4.30663601928083,0.352762998585338,-3.29966987181741,-3.46829244355193,-8.14483065743164,3.61792703081538,0.736976554158952,2.98653362517295,1.61050679661124,0.117175612660851,-4.1289627398243,1.10937277407782,-3.34203899977473,1.81918119894065,1.78306474002581,-4.72365014369681,-5.13790901572375,-0.795963824218597,-2.1682402999748,-4.06336172680081,-4.16551162603953,0.507326501112189,-0.423663663755733,-2.52363249324624,0.739877740172776,0.65595344079602,-3.09776183173536,-3.69787847063175,-0.293571244906977,-5.82829171713729,-2.60763677962154,-4.14535574898417,-3.49545457087187,1.58917067560127,-3.35532720283374
"1642.MS00629",-0.885722584208559,0.364847823297813,NA,-1.24342307032469,-1.22136326671302,1.37621592060712,-2.28001522924136,-0.532143163505875,0.196596461503242,-0.233154013169833,-1.14867702889254,-3.68293778625021,-3.36775723540077,-1.8029451683682,-1.42072929332969,-0.76396648829719,-5.30703426721017,-0.925211830187316,-3.37283490346054,-3.54471578874427,2.55568558831601,-0.852453802614834,-1.78872372390812,-2.15259919527147,-0.00627241891189788,0.838854749399079,-0.83720716848413,-3.58717321611385,-0.667398847529874,-2.62060403971291,-3.66952691799907,0.0799782639301725,-1.04162511473502,-3.97339652624364,3.56254755977498,1.98324613922445,0.325437810391372,2.57094132006592,-2.60790642160273,-0.451872264475515
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0.881062175130577,-5.41567859593445,-1.24342307032469,NA,0.670795155213501,-4.97159930596134,-1.00018225401524,-5.35596980299956,-5.5812395119943,-5.94245721184511,1.98606529887294,-0.678875087994142,1.85207630043536,0.756685012137421,-0.944972517503676,-7.17220335595585,-0.087489271096551,-4.87846751240989,0.481156967422591,0.767370089976392,-5.37546796991623,-7.08387669477881,-1.83931169349646,-3.56419444203533,-5.26882143819196,-5.20263362748551,-0.534838260716635,-1.12562583637667,-6.19525917670221,0.818636154872294,-1.10870267488355,-5.7717999011065,-7.83775048007288,-0.921891256411207,-4.51349384670541,-3.87197505605138,-4.49358268392748,-5.09547567578656,0.797923502509393,-5.13319386282167
"1642.MS00522",-1.93703920489944,2.12026798250511,-1.22136326671302,0.670795155213501,NA,4.90880956095891,-1.60922106471084,1.3422989815246,1.31377402263565,1.24941193293389,-5.63315356182061,-3.72362897852829,-2.62600335902272,-2.98931403509466,-2.04902012645459,0.813744133753207,-3.04225048215337,0.883179820909626,-3.33714645037061,-2.44719245135422,5.97659506571664,1.54034980449419,-1.36689471420394,0.0862859210104324,1.69889740216519,3.96961337388368,-3.76120043035695,-3.24450148168552,0.428754051498242,-3.51144721502702,-3.74924544378649,1.17437642001732,0.380118739720535,-3.75162985550375,9.2754105209974,6.69661202382918,4.57971896279407,5.79960573734001,-2.87301865138817,0.760875361960868
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",5.6663138414187,-4.30663601928083,1.37621592060712,-4.97159930596134,4.90880956095891,NA,1.93896465287637,-6.92464300388739,-2.38765905125443,-2.92249361556201,10.1269587760719,1.44304703418052,6.77572450363975,4.50879555589616,1.35034320899311,-3.80604941154604,3.0827085615543,-5.88751281333782,5.35791966481752,4.68170213254198,-7.86279428828744,-6.32341555750383,0.0733355166676735,-1.1451632172945,-4.98576766408142,-8.38548584635213,1.24569129041729,0.301747405359223,-3.0693211060663,3.59397701883266,2.97831152490306,-2.46331309612011,-5.622418102043,0.812178825483084,-6.697793153844,-7.67501297552628,-9.50824255109152,-10.2063786067233,4.85514151176787,-4.01742016725324
"1642.MS00427",-1.54635651133148,0.352762998585338,-2.28001522924136,-1.00018225401524,-1.60922106471084,1.93896465287637,NA,-0.215928147450685,-0.280792942213847,-0.320326527522063,-1.72484939711851,-2.40391492946074,-1.86739204477347,-2.18489210111715,-2.91510126981832,-0.713192370449004,-2.47439840790393,-0.928037844847917,-2.35770812142883,-1.47167846132832,2.70875998630908,-0.359903767365965,-3.05815225539662,-3.03682334016927,-0.400039774063926,1.7578303128662,-1.90384517082362,-2.45849051297986,-0.816428636723203,-2.0979644661004,-2.53467250998027,-0.022237171310759,-0.792469875025222,-2.24579826705854,2.64037069777339,4.58440947550301,0.874321686081258,2.21150612679113,-2.25329517744431,-0.0731913152425195
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",1.15931141144128,-3.29966987181741,-0.532143163505875,-5.35596980299956,1.3422989815246,-6.92464300388739,-0.215928147450685,NA,-5.68929681558994,-2.42139326994847,2.45240106830652,-0.0969796577587501,1.03598863161864,0.546674447680976,-0.333703717078152,-1.70904442738265,0.230260975551671,-4.21793516948384,0.806920674315436,0.45198295236987,-7.75596783102378,-3.1491310934498,-0.673656424830685,-2.06161506272074,-5.26800925973383,-3.69705382526719,0.0167074654926519,-0.63732177700086,-1.76115370179905,1.51872397517372,-0.188641654023752,-2.8504587576019,-2.59059409815489,-0.560269194350427,-2.6284198738438,-2.56137724124119,-5.61342543985693,-3.37638960572429,0.760492758987839,-4.05606382849959
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",1.67687457126413,-3.46829244355193,0.196596461503242,-5.5812395119943,1.31377402263565,-2.38765905125443,-0.280792942213847,-5.68929681558994,NA,-2.57751802545288,2.34137031829905,-0.217691734059985,1.51527379708138,0.750399766351577,-0.25534611245909,-5.75774512249636,0.275353280198541,-4.97557584318898,1.26214009450302,1.11787433476602,-2.53538281268525,-5.62264494343911,-1.31590263726975,-2.57698225717986,-4.80375653849341,-3.02392293532234,-0.198145607561452,-0.557093898996127,-6.72622936979808,0.113976267890937,0.0988413590164043,-6.35313689605003,-6.76788653154877,-0.299352130151716,-2.35222169640918,-0.597144716879275,-5.13046221446029,-2.99870587932806,1.29414875040103,-6.44314476697194
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",1.00851465083845,-8.14483065743164,-0.233154013169833,-5.94245721184511,1.24941193293389,-2.92249361556201,-0.320326527522063,-2.42139326994847,-2.57751802545288,NA,1.97095612780552,-0.055876320158775,1.7063940292156,0.494984597140608,-0.0921155316932886,-5.380021414824,0.470903626188242,-2.84143359754304,0.737228055015787,0.518314937210476,-3.09370164624141,-6.75810140281823,-0.369836872743468,-1.3096813898944,-3.0802664851739,-2.63850286275214,0.428364476545983,0.153858913599552,-3.8347230084887,1.25563982531032,0.152908668152971,-2.91773910619338,-2.67709717724364,-0.0376602512503008,-5.82328622539364,-1.90926142954741,-2.96880852521765,-2.44998403362514,0.591929117443077,-2.88468653913036
