"","1642.MS00608","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00622","1642.MS00488","1642.MS00598","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00625","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00421","1642.MS00605","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00526","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","1642.MS00366","1642.MS00524","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00494","1642.MS00615","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00332","1642.MS00341","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","1642.MS00499","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00608",0,0.9016,0.5204,0.553,0.493,0.9348,0.5524,0.9376,0.958,0.9644,0.554,0.488,0.8972,0.711,0.5184,0.9058,0.8986,0.9504,0.4948,0.786,0.5654,0.9588,0.548,0.5282,0.5156,0.9552,0.9556,0.8846,0.7636,0.6768,0.9324,0.9074,0.549,0.9556,0.5384,0.9666,0.6096,0.5212,0.8888,0.8762
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0.9016,0,0.872,0.9056,0.8902,0.7718,0.879,0.8718,0.864,0.8872,0.8852,0.894,0.6206,0.9146,0.8918,0.6162,0.7148,0.828,0.8808,0.9472,0.8866,0.847,0.9074,0.8758,0.8986,0.823,0.9,0.6784,0.9444,0.911,0.868,0.634,0.884,0.8878,0.9028,0.8972,0.8972,0.879,0.7934,0.7468
"1642.MS00622",0.5204,0.872,0,0.536,0.4758,0.9294,0.4252,0.922,0.9448,0.9568,0.537,0.518,0.8616,0.7014,0.494,0.8764,0.8558,0.9366,0.4634,0.8042,0.4962,0.9498,0.561,0.4764,0.5402,0.9462,0.9534,0.856,0.7934,0.6728,0.9182,0.878,0.544,0.9476,0.5414,0.9602,0.5066,0.4986,0.8574,0.8464
"1642.MS00488",0.553,0.9056,0.536,0,0.5488,0.9418,0.5466,0.9274,0.9538,0.9576,0.5684,0.5674,0.909,0.6906,0.5006,0.9214,0.9028,0.9474,0.5224,0.7734,0.5312,0.9474,0.56,0.5146,0.55,0.9512,0.9628,0.8942,0.7526,0.6952,0.9234,0.9146,0.5166,0.9528,0.4976,0.9622,0.5632,0.5154,0.8918,0.9014
"1642.MS00598",0.493,0.8902,0.4758,0.5488,0,0.9368,0.4894,0.9262,0.9492,0.9598,0.5726,0.4852,0.887,0.7184,0.4974,0.9,0.888,0.9422,0.4888,0.8116,0.5164,0.9534,0.5634,0.503,0.5022,0.9534,0.9446,0.8808,0.797,0.6908,0.9244,0.897,0.5556,0.9542,0.5484,0.9602,0.5372,0.5128,0.8848,0.8746
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.9348,0.7718,0.9294,0.9418,0.9368,0,0.9302,0.8636,0.8014,0.7818,0.9294,0.9326,0.7606,0.9406,0.9324,0.755,0.8642,0.6506,0.9268,0.9608,0.938,0.6844,0.934,0.9182,0.9302,0.5592,0.7758,0.8274,0.959,0.9364,0.8752,0.7584,0.9188,0.7832,0.9374,0.8222,0.944,0.9208,0.9048,0.8736
"1642.MS00625",0.5524,0.879,0.4252,0.5466,0.4894,0.9302,0,0.915,0.9478,0.9524,0.5506,0.5368,0.867,0.7046,0.5014,0.8814,0.8696,0.9348,0.4582,0.8064,0.4708,0.9462,0.5626,0.4928,0.5488,0.9442,0.9534,0.8632,0.7914,0.6796,0.913,0.8788,0.5466,0.9436,0.5512,0.958,0.484,0.5166,0.8604,0.8504
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",0.9376,0.8718,0.922,0.9274,0.9262,0.8636,0.915,0,0.716,0.6688,0.9168,0.927,0.8742,0.9348,0.9298,0.8912,0.838,0.6898,0.913,0.9628,0.9316,0.7524,0.9218,0.9062,0.931,0.7934,0.8074,0.8244,0.951,0.9332,0.4572,0.8794,0.915,0.6098,0.9304,0.6724,0.9444,0.9092,0.835,0.8924
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",0.958,0.864,0.9448,0.9538,0.9492,0.8014,0.9478,0.716,0,0.5364,0.9466,0.9534,0.8694,0.9556,0.949,0.8796,0.8894,0.542,0.946,0.9794,0.9522,0.6324,0.952,0.9382,0.9502,0.7478,0.9014,0.884,0.9728,0.9566,0.7802,0.8732,0.944,0.6386,0.9576,0.5838,0.9596,0.9412,0.9168,0.9102
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.9644,0.8872,0.9568,0.9576,0.9598,0.7818,0.9524,0.6688,0.5364,0,0.955,0.9626,0.8794,0.9616,0.9546,0.886,0.9038,0.5018,0.9532,0.9764,0.9602,0.6218,0.9574,0.9464,0.9532,0.7024,0.8604,0.8912,0.9706,0.9582,0.752,0.8904,0.9472,0.5692,0.9626,0.4528,0.9686,0.9472,0.9206,0.931
