"","1642.MS00608","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00622","1642.MS00488","1642.MS00598","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00625","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00421","1642.MS00605","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00526","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","1642.MS00366","1642.MS00524","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00494","1642.MS00615","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00332","1642.MS00341","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","1642.MS00499","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00608",0,1,-0.866,-0.496,-0.98,1,-0.415,1,1,1,-0.409,-0.98,1,0.998,-0.886,1,1,1,-0.964,1,-0.094,1,-0.644,-0.722,-0.927,1,1,1,1,0.959,1,1,-0.528,1,-0.737,1,0.711,-0.841,1,1
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",1,0,1,1,1,0.996,1,1,0.978,0.946,1,1,-0.142,1,1,-0.194,0.954,0.964,1,1,1,0.99,1,1,1,0.918,0.992,0.875,1,1,1,0.024,1,0.956,1,0.984,1,1,1,0.99
"1642.MS00622",-0.866,1,0,-0.728,-1,1,-1,1,1,1,-0.673,-0.822,1,0.998,-0.968,1,1,1,-1,1,-0.948,1,-0.434,-0.988,-0.661,1,1,1,1,0.952,1,1,-0.552,1,-0.633,1,-0.925,-0.946,1,1
"1642.MS00488",-0.496,1,-0.728,0,-0.621,1,-0.553,1,1,1,-0.188,-0.16,1,0.98,-0.964,1,1,1,-0.826,1,-0.728,1,-0.48,-0.898,-0.641,1,1,1,0.996,0.994,1,1,-0.914,1,-0.979,1,-0.303,-0.902,1,1
"1642.MS00598",-0.98,1,-1,-0.621,0,1,-0.98,1,1,1,0.012,-0.986,1,1,-0.968,1,1,1,-0.982,1,-0.857,1,-0.387,-0.943,-0.968,1,1,1,1,0.99,1,1,-0.424,1,-0.564,1,-0.631,-0.902,1,1
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",1,0.996,1,1,1,0,1,0.982,0.165,-0.726,1,1,0.99,1,1,0.976,1,-0.968,1,1,1,-0.865,1,1,1,-1,-0.742,1,1,1,1,0.984,1,-0.7,1,-0.235,1,1,1,1
"1642.MS00625",-0.415,1,-1,-0.553,-0.98,1,0,1,1,1,-0.34,-0.495,1,0.996,-0.938,1,1,1,-0.998,1,-0.992,1,-0.299,-0.944,-0.569,1,1,1,1,0.982,1,1,-0.492,1,-0.389,1,-0.97,-0.805,1,1
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.982,1,0,-0.872,-0.99,1,1,1,1,1,1,0.956,-0.888,1,1,1,-0.49,1,1,1,0.0940000000000001,-0.424,0.884,1,1,-1,1,1,-1,1,-0.988,1,1,0.95,0.998
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",1,0.978,1,1,1,0.165,1,-0.872,0,-1,1,1,0.996,1,1,0.997,1,-1,1,1,1,-0.996,1,1,1,-0.664,0.908,0.998,1,1,-0.32,0.998,1,-0.996,1,-1,1,1,1,1
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",1,0.946,1,1,1,-0.726,1,-0.99,-1,0,1,1,0.916,1,1,0.952,0.99,-1,1,1,1,-1,1,1,1,-0.961,0.161,0.96,1,1,-0.857,0.961,1,-1,1,-1,1,1,1,1
"1642.MS00421",-0.409,1,-0.673,-0.188,0.012,1,-0.34,1,1,1,0,-0.363,1,0.00499999999999989,-0.888,1,1,1,-0.956,0.361,-0.308,1,-0.848,-0.725,0.398,1,1,1,-0.098,-0.465,1,1,-0.998,1,-0.851,1,0.728,-0.929,1,1
"1642.MS00605",-0.98,1,-0.822,-0.16,-0.986,1,-0.495,1,1,1,-0.363,0,1,1,-0.898,1,1,1,-0.878,1,-0.221,1,-0.595,-0.536,-0.854,1,1,1,1,0.976,1,1,-0.179,1,-0.401,1,0.381,-0.646,1,1
