"","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00526","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00605","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00622","1642.MS00421","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","1642.MS00574","1642.MS00341","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00499","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00377","1642.MS00615","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0,0.0153877663478,0.1080443302508,0.0421444013825,0.089871081995,0.0294929226416,0.0458312475185,0.0862412266069,0.0317412758343,0.0828908449152,0.0953093347074,0.0352036963274,0.039349224373,0.1004886557517,0.0569288247039,0.0218086424903,0.0816784234348,0.1060989405639,0.034405825857,0.1160982870536,0.0199375308364,0.1108733931461,0.0150172069907,0.1064840289793,0.0950152174847,0.0814180794064,0.0367895619634,0.0995141452901,0.0933438731894,0.0817897914594,0.0151329354002,0.0151227680115,0.0898395476544,0.0254713898827,0.0938571193414,0.0908398604752,0.1091649017076,0.0361831404765,0.0985374928473,0.0197224048686
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.0153877663478,0,0.1101006240534,0.0473710027212,0.090554181084,0.0222130876786,0.0655693130367,0.0857636525101,0.0347044356811,0.0756023582253,0.0961091307681,0.0376098880742,0.0418471987499,0.0997231381604,0.0593141811761,0.0180076809468,0.0766976193619,0.1090093637948,0.0377920456138,0.1072325291683,0.0206871518921,0.1120604302005,0.0178812886548,0.1045350178451,0.0986712786648,0.0808897427768,0.0516946209298,0.1046879030375,0.0981647443096,0.0785540008471,0.0219608301111,0.0195412745947,0.0898583778042,0.0273708447373,0.0929270468962,0.0871090349427,0.106117095559,0.0398556709213,0.0965750181453,0.0200922434987
"1642.MS00608",0.1080443302508,0.1101006240534,0,0.0917663849607,0.0203384344499,0.1154761703269,0.07900103054,0.0230029160576,0.1034636892077,0.0391748132903,0.0235728714004,0.0928241096468,0.0884019341218,0.0250688244843,0.0946233499162,0.1047370926107,0.0379772283678,0.0202586048484,0.0904888030199,0.0247839263949,0.1233005888475,0.0288487741456,0.1235960852822,0.0253898359137,0.0228482189005,0.0226450678105,0.0927314495234,0.0238566924799,0.0217935061405,0.0325616499698,0.1072106815049,0.1154159007317,0.0226548445942,0.1060860340462,0.0248236189927,0.0341717246817,0.0204669865173,0.0903406791215,0.0183918304864,0.1208292087543
"2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0421444013825,0.0473710027212,0.0917663849607,0,0.0829317356474,0.0770919744381,0.0293292939611,0.0789504598002,0.0366353283388,0.0756079600934,0.0824705476487,0.0314098349042,0.0213909611209,0.0885972703986,0.0270898550477,0.0429077258494,0.0841794681541,0.0904173889697,0.0309714140386,0.0962206700073,0.0514147948118,0.0937401988917,0.0509124106002,0.0864829037606,0.0832645440931,0.0719755282307,0.027906774821,0.0811117580089,0.0797627623228,0.0749806138422,0.0475043371239,0.0469327880715,0.0786984679105,0.0358565677164,0.0769992971225,0.085064393913,0.0931981278155,0.0314145104283,0.0839967063185,0.0482994183826
"1642.MS00577",0.089871081995,0.090554181084,0.0203384344499,0.0829317356474,0,0.1008793178935,0.0856886898284,0.0202439367834,0.0874387443413,0.0325914368455,0.0193957153764,0.0851409879255,0.0794874330133,0.0225732156961,0.0840837231009,0.0912354103038,0.032121315329,0.0211204673796,0.0809995440172,0.0209239698804,0.1025223051535,0.0265348445155,0.107110199259,0.0235709995204,0.0224817751449,0.0210481608305,0.0917377078527,0.0210585429624,0.0187423061239,0.0316985078679,0.0921205330061,0.094623982077,0.0206611730745,0.0856317177751,0.0221398442467,0.0316602450336,0.02269110788,0.0827531756514,0.0214418553211,0.1048267736334
"2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences",0.0294929226416,0.0222130876786,0.1154761703269,0.0770919744381,0.1008793178935,0,0.0531309410374,0.095900470606,0.0319501459636,0.0756920553115,0.1096759317206,0.0538333726305,0.0546896977127,0.1138666335578,0.0657756298431,0.0344399114021,0.0847877960115,0.1153466567125,0.0635443293789,0.1376409868773,0.0214901506111,0.1391960032245,0.0290247883893,0.123714361946,0.1155005642496,0.0917444924895,0.0585806291617,0.1300742294354,0.1115082419082,0.0812660134296,0.0376490301207,0.0340846584841,0.102589383109,0.0304094886359,0.1196112461348,0.0889528359859,0.1300802988954,0.0623874846394,0.1148316414715,0.0267685796637
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0458312475185,0.0655693130367,0.07900103054,0.0293292939611,0.0856886898284,0.0531309410374,0,0.0728770994312,0.0394846422911,0.0888234945537,0.0768065118444,0.0379809360628,0.0322295010863,0.0809006766753,0.0351133529785,0.0518383755137,0.0881742634626,0.0799841925908,0.0347606292749,0.0881922602165,0.0389746667973,0.0864132897516,0.0539225732888,0.0797756910432,0.075111581064,0.0670159207795,0.0292039648549,0.0738884770115,0.071273997373,0.0661585215159,0.0539657014199,0.0569190009181,0.0713427138777,0.0400131068988,0.0705145062782,0.076275688099,0.0855387817813,0.0339520175793,0.074504292599,0.0541142033822
"1642.MS00440",0.0862412266069,0.0857636525101,0.0230029160576,0.0789504598002,0.0202439367834,0.095900470606,0.0728770994312,0,0.0832911224509,0.0263934073558,0.0207787824418,0.0762314021302,0.0730609821329,0.0203296195119,0.080681060735,0.0837194211083,0.0237672116942,0.0232480102924,0.075046803144,0.0219344174479,0.0986353161315,0.0287731810568,0.1026401057538,0.0233798711075,0.0249033108921,0.0183609365141,0.0810816869866,0.022341753661,0.0210645676285,0.0253958166835,0.09006461577,0.0904079525163,0.0205308686808,0.0828779555175,0.0222615208809,0.0243238584545,0.025572023947,0.0758099506798,0.0229778785516,0.099180172676
"2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences",0.0317412758343,0.0347044356811,0.1034636892077,0.0366353283388,0.0874387443413,0.0319501459636,0.0394846422911,0.0832911224509,0,0.0778037938152,0.0927913580099,0.0462637774298,0.0362534615042,0.0957534524141,0.0368726309043,0.0454871957168,0.0839731099494,0.1054120263961,0.0482457329479,0.1096298543369,0.0265411181893,0.1115626104669,0.0312465691404,0.1017801435015,0.0933656772962,0.0785236872348,0.0492928665213,0.0975469435331,0.0912576245396,0.0783672426493,0.0346946251493,0.0376489942801,0.0875063662117,0.0108571306512,0.0873721588317,0.0879272645996,0.1002933445867,0.0520508231229,0.0941248211561,0.0270563624237
"1642.MS00366",0.0828908449152,0.0756023582253,0.0391748132903,0.0756079600934,0.0325914368455,0.0756920553115,0.0888234945537,0.0263934073558,0.0778037938152,0,0.0391704093904,0.0788427616288,0.0745601737879,0.0292283089278,0.0738067861083,0.076684992911,0.0172958968607,0.037107914446,0.0791112848589,0.036333041197,0.0887354903257,0.043857966903,0.0963279601287,0.0412317941702,0.0389450094725,0.0268120739531,0.093832749778,0.0437896890797,0.0359158971181,0.0198994913238,0.0866330924901,0.085846470017,0.0350653123273,0.0739195294189,0.0411928934879,0.0193873233035,0.0422363675836,0.0798792993279,0.0408552257348,0.0933581901905
