"","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00526","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00605","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00622","1642.MS00421","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","1642.MS00574","1642.MS00341","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00499","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00377","1642.MS00615","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",NA,-6.95827730699411,2.14922464587589,-5.33611493600718,-0.216165305804438,-6.04076564620072,-4.85946804564476,-0.323821707227318,-5.38808846996006,-1.77562522954352,1.09118164735785,-5.76824442053073,-4.94746661330912,1.41326771684055,-3.88635869142095,-6.22393346161792,-2.19284516004411,2.48867518811708,-4.48112966336557,3.67448133713934,-5.71941809952923,3.21530278149036,-5.39997047144534,2.60614612327723,1.20689598977609,-1.25934651354587,-5.6335127700322,2.00213452686873,0.762648234499089,-1.83313247983855,-6.4080731148692,-5.8115200949071,0.722252376131454,-5.8173694693635,1.26594591778694,-0.655559864022661,3.05110023464896,-6.34103924913056,1.14616490607134,-5.24893896314896
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",-6.95827730699411,NA,1.48273322551276,-4.72928560206755,-0.345197902549239,-6.37145368481108,-1.80784718181952,-0.405420882361192,-5.49733221946901,-1.88171561084499,0.524979792110763,-6.37644559136686,-3.19245829541857,0.616756378378541,-2.95778397283326,-7.84913371479984,-2.16772718231742,1.52726801890774,-3.31086209321669,1.50048968893568,-7.76988165773492,2.05358775459592,-7.74383741801954,1.38750878830129,0.896947714850369,-1.07099071095346,-1.87287796824446,1.34358966185882,0.559737811427143,-1.62064985309753,-5.62656427582879,-6.42861154420514,0.111958816148388,-6.32644035227,0.356619566466777,-0.905884841795119,1.47753549312783,-3.07579258603193,0.491099135544308,-6.66874441585053
"1642.MS00608",2.14922464587589,1.48273322551276,NA,7.34047408480321,-3.0989683480375,1.67835981254081,4.54809326726164,-2.93326769631079,3.05125120335202,-2.7851741132434,-2.28722417222136,7.57798781798529,7.24568820981636,-2.65466324179912,9.46195141490187,4.30049241592086,-3.10484239563226,-4.58152534784064,6.57499196430886,-1.78609765339386,2.54131890584079,-1.40312249729458,1.31391650207673,-2.43447663626665,-2.02202953114781,-3.5329113469974,8.19776877375168,-2.66257029811792,-1.83120698445429,-2.72036762648177,0.873175364077709,3.23977769457673,-2.77925950736663,2.61312235349453,-2.18617213769483,-2.69693021546714,-3.08821684295192,6.7061814307428,-5.02060332972908,0.733524884723758
"2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.33611493600718,-4.72928560206755,7.34047408480321,NA,6.99467623924558,-1.69833477941594,-8.61651571715345,4.67724750552477,-7.06636737238364,0.182136871688973,5.41837196164633,-7.80836132438011,-6.04427263177056,6.67609644224715,-7.03786349976387,-5.15370195811728,1.15872081134806,7.15868058552747,-8.59672518176475,7.86407702329946,-5.23141788710867,9.96648029052735,-6.53612735951605,8.47525188406544,7.76725817174183,2.53921325196377,-9.58886129041544,6.83092716328019,6.13717884281935,0.153725770971912,-5.72451675746123,-5.45942632588415,5.45901374880552,-5.99325968548635,4.86856624479516,2.65155922569152,8.05408396442946,-8.83744182276321,5.02696311550803,-5.79559462116903
"1642.MS00577",-0.216165305804438,-0.345197902549239,-3.0989683480375,6.99467623924558,NA,-0.0178690151447664,3.47223415121062,-4.86336710136684,-0.0182092456910363,-3.84295457714328,-4.77982650774495,2.55140997295898,1.95654203883865,-4.15944088170899,9.30367766296241,1.21488740125509,-3.47499132046365,-3.78431313318802,1.52689256307053,-3.61940713763601,-0.143161233100431,-1.14017897165661,0.00036817386321764,-1.93294370004163,-2.45867621063992,-5.25372554938732,3.81723037900376,-4.81566526731627,-4.85550622851528,-2.72323811158594,-0.840407954814607,0.122540662240355,-4.65818681272857,0.668179118637605,-2.97539821523177,-3.47548269747592,-2.65912439731847,1.79100195941523,-3.40896487931626,-0.319519105788318
"2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences",-6.04076564620072,-6.37145368481108,1.67835981254081,-1.69833477941594,-0.0178690151447664,NA,-2.23361158457015,-0.107778243398845,-6.9370634751343,-2.45914503369092,0.962205973902995,-5.82323252728205,-6.07107887983605,0.923737886622102,-2.76623794808572,-5.59866846293698,-2.082175730594,1.84398327974888,-3.26262782139419,3.74574371347577,-6.56786080967812,3.18515805027668,-6.38202527340456,2.43829577190528,1.45257918114001,-0.831303852025243,-4.85063508982727,2.96205963826282,1.09515611072706,-2.29757113829978,-5.96800944851184,-5.64108790895288,0.712967350666117,-6.86264221489184,2.18160197964051,-1.04333093233418,3.34224541972773,-4.6566708985383,1.43269793831432,-6.3907281302187
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",-4.85946804564476,-1.80784718181952,4.54809326726164,-8.61651571715345,3.47223415121062,-2.23361158457015,NA,3.35628912645552,-5.58942919982186,0.571851366720146,5.15412835386636,-5.84197740554366,-8.09812364568274,4.76076492915682,-8.28952010748077,-2.61413461849834,1.05496184479593,5.45385248746634,-7.32653488859686,6.10736513996519,-4.51409758636869,8.30273315223399,-3.54031068085452,7.21587395299616,6.58770408924101,1.3683129147353,-8.83012931799786,5.7313897491658,3.68808618856976,-0.803747928650706,-3.81234916215261,-4.45817384536128,3.69690596802284,-5.65266415845247,3.51637929765361,1.105531906762,6.90457325246088,-7.69164428298345,3.15856189159117,-2.81046901072465
"1642.MS00440",-0.323821707227318,-0.405420882361192,-2.93326769631079,4.67724750552477,-4.86336710136684,-0.107778243398845,3.35628912645552,NA,0.0867679237746731,-4.24480843342883,-4.04567514418575,3.45781455215529,2.970318616416,-3.89354572639616,7.63585612537934,0.971938061752101,-5.55933282473012,-3.3975187172303,1.96088530543997,-2.89108156079282,-0.239469068889862,-1.44274030718511,-0.0773561035867817,-2.92091443283192,-1.88825838622026,-4.91263318255643,4.8225226830257,-4.67820139464225,-3.5146980507408,-2.87405672922389,-0.888971746097392,-0.107390256721994,-4.62143409032348,0.0390933472110283,-4.04420725640539,-3.57370117244595,-1.88628681244725,2.2822255894597,-2.88048930526811,-0.549096855588425
"2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences",-5.38808846996006,-5.49733221946901,3.05125120335202,-7.06636737238364,-0.0182092456910363,-6.9370634751343,-5.58942919982186,0.0867679237746731,NA,-1.84150915692171,1.37595706555866,-5.79367803079129,-5.70435004354901,1.73315019312257,-4.51215645838403,-5.48169559266121,-1.62319574123536,4.05902959773496,-6.84285282838847,4.30816770856886,-5.21638109578246,4.41168647238429,-5.06092361062322,3.27277999676217,2.00407962040752,-1.02644710152428,-6.07016989111658,2.93038582763466,1.49754708400011,-1.90161439533005,-5.25883615840307,-5.30330480137066,0.97965821962584,-7.48198185991926,1.3768592402157,-0.638135232447374,2.6477969054789,-5.74244095150168,1.30845342214423,-5.6213585163839
"1642.MS00366",-1.77562522954352,-1.88171561084499,-2.7851741132434,0.182136871688973,-3.84295457714328,-2.45914503369092,0.571851366720146,-4.24480843342883,-1.84150915692171,NA,-2.45834740594873,-0.665981435558151,-1.08937825927887,-3.56660940795763,0.25964209370292,-1.47936891358972,-4.9716257696679,-3.26273219172921,-0.757689218633742,-2.28345862599548,-1.9407219035738,-1.63658355419159,-1.3387474671444,-1.93923633223046,-2.98196606903486,-4.78290137093189,0.795284068347949,-1.54565762418879,-3.25133539591133,-4.30037108596765,-1.80410179799979,-1.43860759554661,-3.98037998322604,-2.33757200602213,-1.72675457733307,-5.1603206174332,-2.53100576435409,-0.763807214048665,-2.84445478607389,-1.43177496688325
