"","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00421","1642.MS00518","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00574","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00520","1642.MS00508","1001.SKB8","1642.MS00523","1642.MS00570","1642.MS00442","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences",0,0.9166,0.456,0.889,0.8988,0.867,0.9104,0.8656,0.9222,0.6868,0.7946,0.9286,0.9044,0.8324,0.8972,0.6968,0.8516,0.8032,0.6852,0.7992,0.6432,0.976,0.888,0.81,0.9012,0.8994,0.8746,0.9172,0.9516,0.9466,0.9676,0.924,0.9372,0.9166,0.851,0.9212,0.6688,0.602,0.7946,0.5788
"1642.MS00351",0.9166,0,0.919,0.5408,0.6126,0.9588,0.6198,0.9584,0.623,0.918,0.9352,0.5202,0.6084,0.8882,0.6278,0.8804,0.9494,0.952,0.928,0.9444,0.9072,0.9924,0.6018,0.906,0.6298,0.964,0.9568,0.5294,0.714,0.6896,0.9884,0.6488,0.742,0.578,0.9464,0.5972,0.9276,0.8848,0.886,0.914
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.456,0.919,0,0.8992,0.906,0.8474,0.9108,0.8454,0.921,0.6746,0.7782,0.927,0.906,0.8348,0.9012,0.7046,0.8484,0.7852,0.7058,0.7796,0.6816,0.9748,0.897,0.8076,0.9022,0.8984,0.8696,0.9172,0.9486,0.9478,0.9648,0.9228,0.9406,0.9174,0.8456,0.9172,0.6434,0.6198,0.8178,0.5818
"1642.MS00421",0.889,0.5408,0.8992,0,0.494,0.9578,0.5074,0.954,0.5146,0.9,0.9228,0.607,0.5112,0.8714,0.5396,0.8528,0.935,0.9438,0.9116,0.932,0.8848,0.9912,0.4962,0.896,0.5508,0.9538,0.946,0.536,0.6226,0.6098,0.9864,0.5796,0.6352,0.5356,0.9422,0.5456,0.917,0.8612,0.8612,0.894
"1642.MS00518",0.8988,0.6126,0.906,0.494,0,0.956,0.4918,0.953,0.4688,0.9068,0.9214,0.6662,0.456,0.8852,0.5316,0.8708,0.9354,0.947,0.9166,0.9306,0.8914,0.989,0.475,0.8936,0.5416,0.953,0.951,0.575,0.5746,0.5704,0.9846,0.553,0.6228,0.5374,0.9414,0.5312,0.9168,0.875,0.8794,0.9036
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",0.867,0.9588,0.8474,0.9578,0.956,0,0.957,0.5406,0.9614,0.9006,0.668,0.9604,0.9482,0.9476,0.9474,0.9118,0.7098,0.5014,0.9044,0.6334,0.9024,0.9702,0.9536,0.6816,0.9632,0.7412,0.6784,0.959,0.9678,0.974,0.953,0.961,0.9732,0.963,0.6074,0.9634,0.6068,0.8862,0.9448,0.8792
"1642.MS00471",0.9104,0.6198,0.9108,0.5074,0.4918,0.957,0,0.9562,0.4582,0.9104,0.9312,0.6556,0.5046,0.9024,0.5796,0.884,0.94,0.9464,0.922,0.9346,0.8956,0.9922,0.5286,0.911,0.5878,0.9552,0.952,0.5976,0.501,0.5278,0.9886,0.573,0.562,0.5748,0.943,0.588,0.9222,0.8872,0.8976,0.9106
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.8656,0.9584,0.8454,0.954,0.953,0.5406,0.9562,0,0.9566,0.888,0.5956,0.9564,0.9438,0.9332,0.9434,0.8974,0.6164,0.5076,0.892,0.5804,0.8868,0.9598,0.9518,0.6876,0.9622,0.6212,0.596,0.9552,0.9664,0.9704,0.9572,0.9574,0.9762,0.962,0.51,0.9602,0.5716,0.8772,0.9342,0.866
"1642.MS00548",0.9222,0.623,0.921,0.5146,0.4688,0.9614,0.4582,0.9566,0,0.922,0.9338,0.6674,0.4788,0.9044,0.5472,0.8954,0.9452,0.9546,0.9306,0.9404,0.9118,0.994,0.5018,0.9216,0.5706,0.9608,0.9566,0.5906,0.5034,0.5062,0.9916,0.5348,0.5568,0.5554,0.951,0.5492,0.9314,0.9008,0.9032,0.9192
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.6868,0.918,0.6746,0.9,0.9068,0.9006,0.9104,0.888,0.922,0,0.7736,0.9284,0.9054,0.8274,0.8976,0.7314,0.831,0.857,0.675,0.8326,0.5198,0.9908,0.893,0.8246,0.8916,0.9034,0.8658,0.9084,0.9532,0.9404,0.9792,0.9176,0.947,0.907,0.878,0.912,0.7676,0.6762,0.8054,0.6138
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.7946,0.9352,0.7782,0.9228,0.9214,0.668,0.9312,0.5956,0.9338,0.7736,0,0.9404,0.9202,0.908,0.9206,0.853,0.5386,0.6364,0.8336,0.6306,0.7654,0.9772,0.9208,0.6934,0.93,0.663,0.5618,0.9218,0.9544,0.9536,0.9626,0.9408,0.9614,0.9336,0.6058,0.933,0.619,0.8076,0.8962,0.788
"1642.MS00377",0.9286,0.5202,0.927,0.607,0.6662,0.9604,0.6556,0.9564,0.6674,0.9284,0.9404,0,0.6654,0.9096,0.6968,0.8976,0.9442,0.9468,0.9384,0.9392,0.9178,0.9872,0.6766,0.9086,0.7074,0.9628,0.9572,0.6506,0.7258,0.7128,0.9856,0.6932,0.7586,0.6804,0.9466,0.6926,0.934,0.9062,0.9062,0.9244
"1642.MS00474",0.9044,0.6084,0.906,0.5112,0.456,0.9482,0.5046,0.9438,0.4788,0.9054,0.9202,0.6654,0,0.8816,0.5138,0.865,0.9308,0.9344,0.9098,0.9196,0.8938,0.9928,0.4554,0.884,0.5354,0.9462,0.9474,0.5498,0.5722,0.5934,0.99,0.5156,0.64,0.5288,0.933,0.5176,0.9136,0.8724,0.8754,0.8974
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8324,0.8882,0.8348,0.8714,0.8852,0.9476,0.9024,0.9332,0.9044,0.8274,0.908,0.9096,0.8816,0,0.873,0.6282,0.907,0.9196,0.8068,0.8968,0.8254,0.9916,0.8716,0.7892,0.8818,0.9228,0.9332,0.888,0.9364,0.9286,0.9844,0.9028,0.9286,0.8928,0.91,0.8834,0.8692,0.6238,0.509,0.787
"1642.MS00536",0.8972,0.6278,0.9012,0.5396,0.5316,0.9474,0.5796,0.9434,0.5472,0.8976,0.9206,0.6968,0.5138,0.873,0,0.8584,0.9346,0.938,0.9084,0.9204,0.8904,0.9946,0.4842,0.8846,0.5168,0.951,0.9498,0.5642,0.6642,0.653,0.9908,0.538,0.7028,0.5518,0.9342,0.538,0.9156,0.8642,0.869,0.892
"2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences",0.6968,0.8804,0.7046,0.8528,0.8708,0.9118,0.884,0.8974,0.8954,0.7314,0.853,0.8976,0.865,0.6282,0.8584,0,0.8676,0.8804,0.7132,0.8414,0.6914,0.9848,0.8498,0.7326,0.8728,0.9,0.9028,0.8758,0.9308,0.9228,0.9724,0.894,0.9172,0.8848,0.8758,0.8828,0.7986,0.5784,0.595,0.6896
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",0.8516,0.9494,0.8484,0.935,0.9354,0.7098,0.94,0.6164,0.9452,0.831,0.5386,0.9442,0.9308,0.907,0.9346,0.8676,0,0.6808,0.8426,0.6104,0.837,0.9858,0.932,0.6794,0.9394,0.4992,0.3694,0.941,0.9608,0.9598,0.9742,0.9476,0.9684,0.9478,0.5596,0.9436,0.6686,0.8458,0.8964,0.8202
"2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences",0.8032,0.952,0.7852,0.9438,0.947,0.5014,0.9464,0.5076,0.9546,0.857,0.6364,0.9468,0.9344,0.9196,0.938,0.8804,0.6808,0,0.8732,0.55,0.8634,0.9704,0.939,0.6916,0.9494,0.729,0.6416,0.9468,0.9632,0.9678,0.9514,0.9536,0.9686,0.9516,0.5392,0.9482,0.5182,0.8446,0.9152,0.8288
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",0.6852,0.928,0.7058,0.9116,0.9166,0.9044,0.922,0.892,0.9306,0.675,0.8336,0.9384,0.9098,0.8068,0.9084,0.7132,0.8426,0.8732,0,0.8124,0.6792,0.989,0.9052,0.812,0.9046,0.876,0.8814,0.9166,0.9554,0.9494,0.9818,0.9224,0.9522,0.9174,0.8762,0.9232,0.8034,0.6554,0.7764,0.5752
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",0.7992,0.9444,0.7796,0.932,0.9306,0.6334,0.9346,0.5804,0.9404,0.8326,0.6306,0.9392,0.9196,0.8968,0.9204,0.8414,0.6104,0.55,0.8124,0,0.8438,0.982,0.9294,0.6664,0.9354,0.6158,0.64,0.9344,0.9556,0.9556,0.963,0.9398,0.9652,0.9442,0.4966,0.9408,0.5952,0.8104,0.8836,0.771
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.6432,0.9072,0.6816,0.8848,0.8914,0.9024,0.8956,0.8868,0.9118,0.5198,0.7654,0.9178,0.8938,0.8254,0.8904,0.6914,0.837,0.8634,0.6792,0.8438,0,0.983,0.8788,0.8154,0.8784,0.9022,0.8738,0.8996,0.944,0.9338,0.979,0.9062,0.9394,0.8982,0.8698,0.9024,0.7558,0.631,0.7728,0.6028
"1001.SKM9",0.976,0.9924,0.9748,0.9912,0.989,0.9702,0.9922,0.9598,0.994,0.9908,0.9772,0.9872,0.9928,0.9916,0.9946,0.9848,0.9858,0.9704,0.989,0.982,0.983,0,0.9948,0.9794,0.9934,0.9902,0.9842,0.9882,0.995,0.9948,0.6788,0.9922,0.994,0.9948,0.9686,0.995,0.9756,0.9816,0.994,0.9864
"1642.MS00574",0.888,0.6018,0.897,0.4962,0.475,0.9536,0.5286,0.9518,0.5018,0.893,0.9208,0.6766,0.4554,0.8716,0.4842,0.8498,0.932,0.939,0.9052,0.9294,0.8788,0.9948,0,0.8894,0.4994,0.9526,0.95,0.5622,0.6082,0.6136,0.9894,0.5184,0.651,0.5186,0.9374,0.5258,0.912,0.861,0.8658,0.8886
