"","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00421","1642.MS00518","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00574","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00520","1642.MS00508","1001.SKB8","1642.MS00523","1642.MS00570","1642.MS00442","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences",0,1,-1,1,1,0.876,1,0.961,1,0.89,0.978,1,1,1,1,0.914,0.958,0.938,0.361,0.91,0.475,1,1,1,1,1,0.992,1,1,1,1,1,1,1,0.954,1,0.046,-0.017,1,-0.541
"1642.MS00351",1,0,1,-0.682,0.303,1,0.417,1,0.488,1,1,-0.948,0.269,1,0.646,1,1,1,1,1,1,1,0.183,1,0.673,1,1,-0.804,0.988,0.818,1,0.865,0.998,-0.177,1,0.116,1,1,1,1
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",-1,1,0,1,1,0.586,1,0.786,1,0.728,0.924,1,1,1,1,0.938,0.932,0.811,0.633,0.739,0.847,1,1,0.994,1,0.998,0.982,1,1,1,0.994,1,1,1,0.912,1,-0.37,0.2,1,-0.576
"1642.MS00421",1,-0.682,1,0,-0.951,1,-0.892,1,-0.837,1,1,-0.00800000000000001,-0.844,1,-0.462,1,1,1,1,1,1,1,-0.874,1,-0.233,1,1,-0.626,0.133,-0.236,1,0.19,0.417,-0.568,1,-0.446,1,1,1,1
"1642.MS00518",1,0.303,1,-0.951,0,1,-0.956,1,-0.994,1,1,0.813,-1,1,-0.678,1,1,1,1,1,1,1,-0.988,1,-0.511,1,1,-0.105,-0.636,-0.715,1,-0.37,0.176,-0.619,1,-0.713,1,1,1,1
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",0.876,1,0.586,1,1,0,1,-1,1,0.998,-0.962,1,1,1,1,1,-0.852,-1,0.994,-0.988,1,0.928,1,-0.94,1,-0.791,-0.932,1,1,1,0.744,1,1,1,-0.99,1,-1,0.988,1,0.96
"1642.MS00471",1,0.417,1,-0.892,-0.956,1,0,1,-1,1,1,0.654,-0.907,1,0.0509999999999999,1,1,1,1,1,1,1,-0.704,1,0.293,1,1,0.242,-0.976,-0.944,1,-0.053,-0.652,-0.0659999999999999,1,0.12,1,1,1,1
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.961,1,0.786,1,1,-1,1,0,1,0.996,-0.996,1,1,1,1,0.996,-0.982,-1,0.994,-1,0.99,0.815,1,-0.919,1,-0.987,-0.998,1,1,1,0.844,1,1,1,-1,1,-1,0.988,1,0.938
"1642.MS00548",1,0.488,1,-0.837,-0.994,1,-1,1,0,1,1,0.828,-0.982,1,-0.497,1,1,1,1,1,1,1,-0.895,1,-0.099,1,1,0.161,-0.98,-0.986,1,-0.643,-0.719,-0.375,1,-0.571,1,1,1,1
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.89,1,0.728,1,1,0.998,1,0.996,1,0,0.856,1,1,1,1,0.992,0.768,1,0.117,0.99,-0.968,1,1,0.996,1,1,0.966,1,1,1,1,1,1,1,1,1,0.982,0.769,1,-0.255
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.978,1,0.924,1,1,-0.962,1,-0.996,1,0.856,0,1,1,1,1,1,-1,-0.878,0.996,-0.92,0.826,1,1,-0.474,1,-0.964,-1,1,1,1,0.956,1,1,1,-0.984,1,-0.885,0.994,1,0.953
"1642.MS00377",1,-0.948,1,-0.00800000000000001,0.813,1,0.654,1,0.828,1,1,0,0.794,1,0.978,1,1,1,1,1,1,1,0.913,1,0.992,1,1,0.655,0.986,0.897,1,0.964,0.998,0.941,1,0.962,1,1,1,1
