"","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","1642.MS00570","1642.MS00523","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00471","1001.SKB8","1642.MS00508","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00574","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00518","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00548","1642.MS00421","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","1642.MS00524"
"1642.MS00377",0,0.0338515088453,0.0861315386001,0.1012746066248,0.0991191041717,0.0883940989932,0.0908058581651,0.0885644338132,0.0870091061365,0.0205007412596,0.0368362757922,0.0367815760226,0.091686481483,0.0932736744128,0.0946538065517,0.0908747561481,0.0328008256405,0.0861238288382,0.0314268075916,0.1537603199889,0.0296412960335,0.0898934143165,0.1069379960731,0.0821359730613,0.0803121115074,0.0281483544962,0.0348267230091,0.1011421072787,0.0903746560917,0.1705902074459,0.0355418449037,0.095472267817,0.0329904995258,0.0336186170751,0.0263851295762,0.0889141740483,0.0330506309098,0.1035283060134,0.0330806251165,0.0395938304766
"1642.MS00474",0.0338515088453,0,0.0911727549998,0.1001367167034,0.1032726965732,0.0915525418001,0.0915083278412,0.0889156962495,0.0889298949032,0.0309622286725,0.0260084180602,0.0228543485863,0.0939110172088,0.1049830957057,0.0964327824151,0.0970041062028,0.020320894996,0.0883607201341,0.019850369492,0.1650765698345,0.0188480797863,0.0907346304593,0.1120509087528,0.0894215085911,0.0843241705606,0.0236641763702,0.0197606840951,0.1058122843346,0.0896247708933,0.177288736796,0.0193414623476,0.0965203660171,0.0193859982862,0.0191320236082,0.0222882109743,0.0900613488275,0.0226961682759,0.1078506376909,0.02307867868,0.0243171261505
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0861315386001,0.0911727549998,0,0.0770880893525,0.0672726970107,0.0484201396087,0.0629069240817,0.0273490767638,0.0489897068309,0.0798248535814,0.0877262607009,0.1097795839475,0.0607570097147,0.0740200664287,0.0686159886789,0.0214381437283,0.0843344030272,0.0385321878146,0.0859733103127,0.1273477017218,0.080622590661,0.0565728249646,0.0697328633441,0.0345618820998,0.0244745376539,0.0879583525227,0.088348156458,0.07422361182,0.051957913922,0.1336471725415,0.0907011706039,0.0446106107781,0.0907048523358,0.0944790394252,0.0778096288957,0.05188990465,0.0921403988048,0.0796314302609,0.0925746380041,0.0957357541456
"2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences",0.1012746066248,0.1001367167034,0.0770880893525,0,0.0152244563802,0.0352377160534,0.0204921936866,0.0505825820227,0.0350858320027,0.1029729125174,0.0966902646378,0.1201699357043,0.0168388106775,0.0148400583176,0.0209482112157,0.0765856682347,0.0988990510623,0.0435322457927,0.0951918112498,0.0918629187233,0.0901295034349,0.025640416917,0.027276345073,0.0308091954585,0.047719756139,0.1045863790733,0.1059844479645,0.0157627809613,0.051377967016,0.1031908598141,0.0999741531173,0.0485740794508,0.0959513734194,0.1010694623323,0.0894496068877,0.0455202859137,0.1080862145211,0.0193933470508,0.1095230633091,0.1090845813059
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.0991191041717,0.1032726965732,0.0672726970107,0.0152244563802,0,0.0445631194437,0.0202443662131,0.0504862983151,0.0438043071759,0.1042766154436,0.1018960713312,0.1215450196013,0.0169738275659,0.0113376992553,0.0175357461799,0.0730019726329,0.0989636691263,0.0466504480793,0.0985000584493,0.0700621598,0.0907721290593,0.0287839059715,0.0187664622791,0.0267754182792,0.0493332294446,0.1044856267134,0.1070462650316,0.0124825259111,0.0601005053128,0.0852776603431,0.1012140418291,0.0522655397389,0.0941919512713,0.1008661640962,0.0918948675209,0.0504282541644,0.112343493157,0.0170735446511,0.1090342356191,0.1116939502779
"2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0883940989932,0.0915525418001,0.0484201396087,0.0352377160534,0.0445631194437,0,0.033913229528,0.029680417811,0.0175014395961,0.080628596059,0.0883558848719,0.1093054161745,0.034691133613,0.0415854289993,0.0435478247466,0.0461477152617,0.0850875232681,0.0250780091415,0.0837312635688,0.1049336757301,0.0852794529116,0.0234333647399,0.0553719652521,0.0365731918714,0.0290970657196,0.0884165040966,0.0882635019386,0.0429496044893,0.0297399675027,0.1166409984301,0.0870359580621,0.0321422630031,0.0910974646453,0.089755426982,0.0765981625508,0.0321059783223,0.0928701122386,0.0476650698448,0.0931362225474,0.0942371609391
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.0908058581651,0.0915083278412,0.0629069240817,0.0204921936866,0.0202443662131,0.033913229528,0,0.0396634192718,0.0330409565076,0.0867844856427,0.092289233823,0.1096290911079,0.0215561336773,0.02145476374,0.0165900677503,0.0594503925782,0.0883836128014,0.0330303371698,0.0858727496955,0.0988577039339,0.0829850989792,0.0252769917961,0.0251078354858,0.0288226870305,0.0398957601752,0.0899924725869,0.0926611613416,0.0211745858063,0.0331624349461,0.1169376494064,0.0888545907001,0.0378542859945,0.0873662175722,0.0911503874305,0.0801766909158,0.0316514897354,0.0967157984606,0.017878426142,0.0961390463245,0.0973710720596
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0885644338132,0.0889156962495,0.0273490767638,0.0505825820227,0.0504862983151,0.029680417811,0.0396634192718,0,0.0304569285222,0.0806320960162,0.0895012419966,0.1071612209083,0.0397975686691,0.0517591114965,0.0473969381974,0.0239750211013,0.0826060566764,0.0238039469954,0.0839770225855,0.117341951886,0.0840384683733,0.035360325316,0.0599061769599,0.0330240008816,0.026828015301,0.0889466557127,0.0857458010941,0.0481052181704,0.0337879919139,0.1283948826359,0.0885618863488,0.0297456934488,0.0911648510084,0.0909363207306,0.0767086091076,0.036402961621,0.0918791370914,0.0534862966084,0.0924718380804,0.0928476648806
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0870091061365,0.0889298949032,0.0489897068309,0.0350858320027,0.0438043071759,0.0175014395961,0.0330409565076,0.0304569285222,0,0.0790734461879,0.0877430998664,0.1066700787225,0.0322406740728,0.0418448377234,0.0421140781857,0.0465013768333,0.0828068258765,0.0226379946637,0.0831677993006,0.1021810200508,0.0831202827349,0.0230490799923,0.0540410239653,0.0366822302104,0.0306657661598,0.0857252718629,0.0867422069029,0.0406573389246,0.0304414572665,0.1121004177479,0.0881206260856,0.0310043305548,0.0897767755237,0.0912082794567,0.0753586454521,0.0303729530668,0.091051922011,0.0465844304408,0.091030321823,0.0912904661952
"1642.MS00351",0.0205007412596,0.0309622286725,0.0798248535814,0.1029729125174,0.1042766154436,0.080628596059,0.0867844856427,0.0806320960162,0.0790734461879,0,0.0349582195303,0.0355770181428,0.092511342649,0.0970714185555,0.0921091459371,0.080536649839,0.02930979869,0.0808738788931,0.0270636933723,0.1560868313193,0.0290621993785,0.0836698855173,0.1065170953194,0.0792797774418,0.0726558733527,0.0237741544744,0.0308064424518,0.1041908632479,0.0825403212393,0.1690937535043,0.0319489872764,0.0914311179506,0.0328538105339,0.0301102891855,0.0236902212782,0.0819715288619,0.0296206510077,0.1049714322356,0.0299750721669,0.0347761836388
"1642.MS00570",0.0368362757922,0.0260084180602,0.0877262607009,0.0966902646378,0.1018960713312,0.0883558848719,0.092289233823,0.0895012419966,0.0877430998664,0.0349582195303,0,0.0309063038732,0.095039015369,0.0987681126365,0.0947636323231,0.088991100184,0.0276427577743,0.0881637897943,0.0249041897601,0.2058246102791,0.0216914841749,0.0924774258129,0.1068103136379,0.0888263929532,0.08200041815,0.0310631070955,0.0263430515945,0.1037961580865,0.0873384727921,0.2266462023327,0.0273239552106,0.0950172092637,0.0238296153419,0.0229158885552,0.0269390847309,0.0904169700615,0.0295261255254,0.1049759208724,0.0319897482772,0.0315861181074
"1642.MS00523",0.0367815760226,0.0228543485863,0.1097795839475,0.1201699357043,0.1215450196013,0.1093054161745,0.1096290911079,0.1071612209083,0.1066700787225,0.0355770181428,0.0309063038732,0,0.1128521408742,0.1221961161447,0.1139823880033,0.1167466782434,0.0227602040666,0.1009571557904,0.0252585783181,0.1741193080006,0.0227390675397,0.1116705855453,0.1287039799635,0.1068669712513,0.1020825009178,0.0255561959333,0.0256994025629,0.1269824309967,0.1035856210997,0.18874479134,0.0262698594401,0.1093397807741,0.0233574096125,0.0241815635727,0.0270301636149,0.1029777826624,0.0241881535937,0.1250228925675,0.0237671436727,0.0238464894905
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",0.091686481483,0.0939110172088,0.0607570097147,0.0168388106775,0.0169738275659,0.034691133613,0.0215561336773,0.0397975686691,0.0322406740728,0.092511342649,0.095039015369,0.1128521408742,0,0.0181936039226,0.0189055222852,0.0615243159085,0.0910538838922,0.0329353459303,0.0875040560412,0.0714760762867,0.0837141883738,0.0208862118566,0.0242348021327,0.0254172082359,0.039811654358,0.0969435065781,0.0989993431284,0.0152006548687,0.0477807141948,0.0926805912706,0.0941028272516,0.037667004179,0.0907954540149,0.0947057325794,0.0820463711299,0.0422195985266,0.1014037628662,0.0194153736678,0.1008211579456,0.1048354603537
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",0.0932736744128,0.1049830957057,0.0740200664287,0.0148400583176,0.0113376992553,0.0415854289993,0.02145476374,0.0517591114965,0.0418448377234,0.0970714185555,0.0987681126365,0.1221961161447,0.0181936039226,0,0.0212891846332,0.0766474702472,0.1014264420736,0.0499383036558,0.0984483969925,0.1382609031224,0.0886505668303,0.0242535844769,0.0254136559195,0.0280131335506,0.050381952736,0.1028743382461,0.1077305500353,0.0127295974211,0.0572011837338,0.156184387968,0.1015254739304,0.0510850311554,0.093723837829,0.1038240654148,0.0914797800214,0.0538792635424,0.1110856626908,0.0185756330977,0.1089114427066,0.1147107054139
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",0.0946538065517,0.0964327824151,0.0686159886789,0.0209482112157,0.0175357461799,0.0435478247466,0.0165900677503,0.0473969381974,0.0421140781857,0.0921091459371,0.0947636323231,0.1139823880033,0.0189055222852,0.0212891846332,0,0.066904466317,0.0931358346606,0.0381861996488,0.0896171020254,0.0867043284115,0.0860669561603,0.0270125584348,0.0179948374689,0.0285191211464,0.0435552586733,0.0988400349409,0.0984338889127,0.0172591251789,0.0427709030062,0.0992480648567,0.09643457224,0.0422730645287,0.0904357314826,0.0973451685169,0.0844744216546,0.0379111107383,0.1023966208675,0.0134004004315,0.1031021015269,0.1046165929468
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0908747561481,0.0970041062028,0.0214381437283,0.0765856682347,0.0730019726329,0.0461477152617,0.0594503925782,0.0239750211013,0.0465013768333,0.080536649839,0.088991100184,0.1167466782434,0.0615243159085,0.0766474702472,0.066904466317,0,0.087518328088,0.0373604142837,0.0875253551699,0.1445663273764,0.0844138513121,0.0531995711798,0.0749499846454,0.0368272485219,0.026757701153,0.0951960440925,0.0922905716521,0.0746369679831,0.0449078140614,0.1439107649421,0.0941843734113,0.0453530928647,0.0950804413437,0.0971094696303,0.0805881911426,0.051030590491,0.0998329127875,0.0792886295194,0.1008483192112,0.1005121219204
