"","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","1642.MS00570","1642.MS00523","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00471","1001.SKB8","1642.MS00508","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00574","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00518","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00548","1642.MS00421","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","1642.MS00524"
"1642.MS00377",NA,-2.04419262855412,2.34051310180273,0.374843664153522,-0.684803640292274,1.73220529224511,-0.423586845923236,2.97905540621327,1.33062840525114,-4.57418169571616,-2.85562855374926,-1.69139387899217,-0.518315044929502,-1.340531113815,-1.00089551004343,3.71376777516029,-1.22580352819226,1.11772635510678,-2.48582430157015,0.307283135067156,-3.21268479632686,0.11139879896876,-0.178591065179675,-0.559904677805487,1.6086225641894,-2.3149652508758,-2.17289329565465,-0.290882768847002,2.72887240982851,1.60474213409829,-2.24307157090681,1.63983762062309,-2.72852145737201,-1.98321188242094,-4.23407180267526,1.46503402092515,-2.04932572710825,-0.520752570109248,-2.81825631722843,-1.18707881192437
"1642.MS00474",-2.04419262855412,NA,8.81714306509757,1.42254350787382,0.40469012542809,6.50354258784326,0.70403525606182,7.25097043972073,4.84088009436025,-1.71213860190517,-5.27149616256053,-3.55556381360672,0.906922303550655,-0.0963109503086302,0.164486413313439,10.3743472218919,-0.888585378155257,4.71829046494218,-4.16700573674468,1.24379009196787,-6.7779771009663,1.60970152931593,1.46024785663922,1.67683905460171,7.39944560726044,-4.29953180548921,-4.66499622051761,0.88247525713557,7.7485307634987,2.66858383517321,-3.98127512223853,4.96187594104817,-6.50198631133347,-4.74096094110032,-4.29306295847217,5.17839762104202,-3.3864194681867,0.89741208399691,-3.48049721373945,-2.46617543503176
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",2.34051310180273,8.81714306509757,NA,-2.71597310419643,-4.3303489823652,-6.44832558556112,-3.1322025416066,-8.05033671255451,-6.74809336392208,1.66219251045201,7.17051106118117,11.8851042223656,-3.61402678174686,-2.42897422698249,-2.84028021783618,-6.76494838975942,1.53390893237078,-7.96178923750362,7.46095544662511,-1.11380838651493,6.0730496936212,-3.91437765264088,-3.08407786772995,-4.06820736789073,-8.10558323466908,5.38270803723744,8.26322411597489,-2.13959284785381,-5.32346126383583,-1.5812962660445,7.86160444493338,-6.66760505197959,7.59108093142379,8.14909151680885,4.79436934364896,-5.7894703668856,7.77366897726712,-2.3328372371168,7.10656592505005,10.1714313028908
"2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences",0.374843664153522,1.42254350787382,-2.71597310419643,NA,-5.77266118159929,-5.57939382617003,-3.91553189703211,-3.14048467330387,-4.78816562227725,0.756113885638051,-0.488640267208925,4.39569133596792,-7.36575466486919,-5.79243581750112,-7.19289259387047,-2.23693648875952,0.602281486853335,-3.68715731094641,0.147887491449253,-2.22400273828136,-0.73271044616006,-2.92400580073984,-5.75230490576254,-5.44153551009882,-5.46064914293181,1.6957420564385,2.32620612317417,-7.45669778615541,-3.55973651732573,-3.02482314290562,0.752394714188587,-4.25071207355431,-0.428858431246372,0.63638214414397,-0.562107617649927,-4.8994484014174,2.14242575613457,-6.515764000615,2.40761579416724,2.84406408085628
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",-0.684803640292274,0.40469012542809,-4.3303489823652,-5.77266118159929,NA,-4.92104152001936,-3.4638815893098,-4.82772982562794,-5.41431279218972,-0.408640104101606,-0.787430521659615,2.76059031064553,-6.51344455117315,-6.14115187257575,-5.26509098792095,-3.68476996030576,-0.14583665511375,-4.35419413285912,-0.496377078734019,-3.16818786055656,-1.0268476295032,-4.00895720815173,-5.47702195483686,-4.61651472855423,-5.63724124913221,0.150414382938804,0.64131165498937,-5.69807823485116,-3.49299714175099,-4.17156091378226,-0.32816214154796,-4.42460690329491,-1.00650161008741,-0.452087147804694,-1.53022952948378,-4.6425360675102,0.951651353751322,-5.44986857568647,0.586411037138676,1.19949904487929
"2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences",1.73220529224511,6.50354258784326,-6.44832558556112,-5.57939382617003,-4.92104152001936,NA,-5.00179870020842,-4.67249603797755,-6.72466636754401,1.03317200801184,0.583230140927195,11.9893502693112,-4.60562497985662,-6.56218704507749,-5.36526795164552,-5.36652860558548,1.4297550019741,-7.40000098965461,1.65509620568125,-1.66060926544108,0.0726144256704639,-6.07716611171121,-5.09157089334516,-5.31120186154623,-9.78910329950838,4.36516983277151,6.82203645342553,-3.00058372855099,-7.1729395907687,-1.80676462984553,3.79329352870002,-6.8290451573422,0.666539949773896,2.91897657260627,1.60039361717493,-7.33607320014132,6.17398190940522,-4.85481649149344,6.70938025760414,8.41328284683287
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",-0.423586845923236,0.70403525606182,-3.1322025416066,-3.91553189703211,-3.4638815893098,-5.00179870020842,NA,-4.05032654967356,-5.01126544333752,-0.835026974887811,-0.556807489358354,2.97965452526856,-4.30824185856155,-3.94233498856096,-3.42065654723965,-3.17703644182179,0.171255364556537,-4.51640739176547,-0.430433672455656,-1.83706935619986,-0.912691165840474,-4.31505051954744,-4.06777450105401,-4.49387303941804,-5.63612629053352,0.354677225662577,0.752319367043278,-3.58033491975523,-3.28945470839549,-1.91503648465538,-0.00547790853824225,-4.80958908026623,-0.759649323884885,0.175125170717961,-0.995735634991527,-4.48023527996458,0.88405575043957,-3.45115219378341,1.02795088354376,1.50410907726812
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",2.97905540621327,7.25097043972073,-8.05033671255451,-3.14048467330387,-4.82772982562794,-4.67249603797755,-4.05032654967356,NA,-4.15949586194811,2.24453387522892,0.902188148460507,13.2921440368766,-3.85239466216193,-4.94045737516808,-4.20113915442024,-6.90778988903352,1.69981758410596,-5.31848601852186,2.2526764241391,-1.10002142542537,0.320830799323718,-4.43770383780943,-4.56679849828231,-4.87317820277477,-5.85483578560658,5.94499968043469,7.6622821907345,-2.63846718962874,-4.76031434641214,-1.21936486195242,5.3621076124221,-5.7474001042466,0.86753606065351,3.53686156342882,2.84561710221019,-5.16795762728134,9.1323036402314,-3.88961741919548,8.9632843132035,10.8417352990593
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",1.33062840525114,4.84088009436025,-6.74809336392208,-4.78816562227725,-5.41431279218972,-6.72466636754401,-5.01126544333752,-4.15949586194811,NA,0.227725106020843,0.302873208854748,10.6452048055957,-4.87873343310946,-2.71623921811661,-5.53171877913242,-6.32130922196893,1.04564412862259,-8.06666623641528,1.28781737540818,-1.91675699963742,-0.147468248833805,-5.30536492351983,-5.9268821527032,-5.03582186030288,-9.16648454129481,3.092929750523,5.21855076085308,-3.69068161517896,-8.06966254690883,-2.36797863395772,3.46725164650712,-7.3904485060695,0.413441732847602,2.76926319831156,0.716573682152562,-8.46961444080147,4.87543082320372,-4.91435327396001,5.13458416808758,6.74740951967485
"1642.MS00351",-4.57418169571616,-1.71213860190517,1.66219251045201,0.756113885638051,-0.408640104101606,1.03317200801184,-0.835026974887811,2.24453387522892,0.227725106020843,NA,-3.19662227552674,-1.51334717793457,-0.339825595143606,-1.07478049701165,-1.25518071941093,2.3625098798346,-1.10013543582167,0.866962326523439,-3.13773064652713,0.529382504464837,-2.82343460896102,-0.560897905633659,0.100809560996838,-0.833950960521755,0.609261994192571,-2.06897178422771,-2.12428520433739,0.115430199510146,2.33045501555233,1.65643013764449,-2.20476089779999,1.87014606694505,-2.35888595585722,-2.20014127461649,-3.68653825344543,0.798971215775906,-1.57424306485008,-0.319387623656699,-1.38227148186903,-0.671540040488917
