"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00379","1642.MS00452","1642.MS00541","1642.MS00478","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00482","1642.MS00638","1642.MS00581","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00577","1642.MS00582","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00558","1642.MS00433","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00503","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00555","1642.MS00345","1642.MS00447","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0,0.8934,0.9624,0.8994,0.888,0.6112,0.939,0.9294,0.931,0.9416,0.8812,0.61,0.9662,0.568,0.5776,0.8574,0.727,0.9366,0.9482,0.935,0.9364,0.6298,0.9644,0.9334,0.9408,0.6688,0.7738,0.9384,0.9298,0.636,0.7004,0.9428,0.8918,0.9424,0.7738,0.9194,0.9344,0.9538,0.9528,0.8708
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8934,0,0.9418,0.615,0.7598,0.8892,0.906,0.8906,0.9116,0.9238,0.6564,0.9106,0.952,0.8798,0.916,0.6772,0.808,0.916,0.9328,0.9016,0.9138,0.8646,0.9548,0.9116,0.9114,0.8278,0.8914,0.9042,0.8802,0.9502,0.7714,0.9148,0.7602,0.9124,0.8196,0.889,0.9066,0.9334,0.933,0.632
"1642.MS00599",0.9624,0.9418,0,0.9432,0.9272,0.956,0.7136,0.6706,0.6908,0.7114,0.947,0.9738,0.8282,0.9628,0.9748,0.9468,0.9462,0.6998,0.7328,0.682,0.6716,0.9522,0.8476,0.7066,0.6754,0.9576,0.9698,0.7044,0.6958,0.9826,0.9448,0.7212,0.9254,0.711,0.9458,0.681,0.728,0.8248,0.7092,0.9348
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8994,0.615,0.9432,0,0.7558,0.8916,0.9088,0.9,0.9188,0.9264,0.6434,0.8948,0.9582,0.8652,0.9058,0.6894,0.7386,0.9194,0.9356,0.9088,0.921,0.8638,0.9602,0.9212,0.9126,0.8166,0.8634,0.907,0.8802,0.9442,0.7252,0.9162,0.7702,0.9238,0.8002,0.894,0.9094,0.9438,0.9382,0.5376
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.888,0.7598,0.9272,0.7558,0,0.8264,0.8892,0.8524,0.879,0.8986,0.787,0.9172,0.9432,0.8896,0.9204,0.745,0.8678,0.8978,0.9168,0.8762,0.8966,0.75,0.949,0.8894,0.8976,0.8752,0.9384,0.8824,0.8624,0.9482,0.831,0.8966,0.5494,0.9028,0.862,0.8542,0.8792,0.9272,0.915,0.7412
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",0.6112,0.8892,0.956,0.8916,0.8264,0,0.9286,0.9206,0.9106,0.928,0.8876,0.7104,0.9612,0.7432,0.7762,0.8394,0.7472,0.9262,0.9424,0.925,0.9346,0.3996,0.9628,0.9218,0.9366,0.7306,0.8822,0.9264,0.9208,0.6986,0.7066,0.9346,0.8096,0.9372,0.8266,0.9102,0.9262,0.9498,0.9454,0.8682
"1642.MS00379",0.939,0.906,0.7136,0.9088,0.8892,0.9286,0,0.5652,0.6168,0.6182,0.9012,0.9578,0.6466,0.946,0.948,0.9126,0.9286,0.6356,0.599,0.6306,0.6324,0.9184,0.6566,0.6396,0.602,0.933,0.9528,0.6124,0.5378,0.9756,0.9066,0.6388,0.8816,0.538,0.9198,0.6168,0.6806,0.6846,0.5318,0.8982
"1642.MS00452",0.9294,0.8906,0.6706,0.9,0.8524,0.9206,0.5652,0,0.5214,0.5682,0.8984,0.9546,0.7644,0.941,0.9472,0.906,0.9234,0.5442,0.5894,0.5376,0.5714,0.9032,0.7696,0.5522,0.5494,0.9268,0.9568,0.585,0.5374,0.9696,0.9094,0.5784,0.8588,0.5668,0.9164,0.511,0.579,0.7412,0.5634,0.8824
"1642.MS00541",0.931,0.9116,0.6908,0.9188,0.879,0.9106,0.6168,0.5214,0,0.494,0.9128,0.9546,0.779,0.9326,0.9448,0.9208,0.9272,0.4654,0.5746,0.5526,0.5246,0.8978,0.7648,0.5262,0.5434,0.9278,0.9536,0.5656,0.6168,0.9678,0.914,0.5536,0.88,0.5866,0.9196,0.5336,0.612,0.7616,0.605,0.9038
"1642.MS00478",0.9416,0.9238,0.7114,0.9264,0.8986,0.928,0.6182,0.5682,0.494,0,0.923,0.9538,0.7708,0.9438,0.9528,0.929,0.9348,0.4908,0.5318,0.5628,0.5214,0.9204,0.7378,0.5256,0.5454,0.9366,0.952,0.5526,0.6182,0.9708,0.9196,0.5436,0.903,0.555,0.9256,0.5678,0.6218,0.7514,0.5656,0.9168
