"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00379","1642.MS00452","1642.MS00541","1642.MS00478","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00482","1642.MS00638","1642.MS00581","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00577","1642.MS00582","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00558","1642.MS00433","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00503","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00555","1642.MS00345","1642.MS00447","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0,0.998,1,0.994,1,-0.998,1,1,1,1,0.994,-0.992,1,-1,-0.998,0.885,-0.828,1,1,1,1,-0.99,1,1,1,-0.96,-0.443,1,1,-1,-0.93,1,0.996,1,-0.465,1,1,1,1,0.962
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.998,0,1,-0.225,1,1,1,1,1,1,0.744,1,1,1,1,0.437,0.994,1,1,1,1,1,1,1,1,0.998,1,1,1,0.998,0.996,1,1,1,1,1,1,1,1,0.188
"1642.MS00599",1,1,0,1,1,1,0.893,0.391,0.714,0.896,1,1,1,1,1,1,1,0.825,0.976,0.638,0.435,1,1,0.852,0.484,1,1,0.851,0.77,1,1,0.918,1,0.914,1,0.631,0.98,1,0.902,1
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.994,-0.225,1,0,0.996,1,1,1,1,1,0.316,0.999,1,1,1,0.568,0.593,1,1,1,1,0.996,1,1,1,0.992,0.998,1,1,0.996,0.838,1,0.998,1,1,1,1,1,1,-0.968
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,0.996,0,0.901,1,1,1,1,1,0.998,1,0.998,1,0.972,1,1,1,1,1,-0.026,1,1,1,1,1,1,1,1,1,1,-0.976,1,1,1,1,1,1,0.99
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",-0.998,1,1,1,0.901,0,1,1,1,1,1,-0.885,1,-0.535,-0.54,0.954,-0.344,1,1,1,1,-1,1,1,1,-0.554,0.988,1,1,-0.986,-0.739,1,0.727,1,0.839,1,1,1,1,0.996
"1642.MS00379",1,1,0.893,1,1,1,0,-0.372,0.513,0.666,1,1,-0.202,1,1,1,1,0.825,0.254,0.828,0.866,1,-0.031,0.825,0.46,1,1,0.559,-0.72,1,1,0.75,1,-0.75,1,0.644,0.994,0.762,-0.798,1
"1642.MS00452",1,1,0.391,1,1,1,-0.372,0,-0.872,-0.175,1,1,0.996,1,1,1,1,-0.624,0.159,-0.59,0.0389999999999999,1,1,-0.535,-0.429,1,1,0.15,-0.694,1,1,-0.178,1,-0.231,1,-0.913,0.112,0.996,-0.176,1
"1642.MS00541",1,1,0.714,1,1,1,0.513,-0.872,0,-0.967,1,1,1,1,1,1,1,-0.998,-0.245,-0.442,-0.822,1,1,-0.879,-0.616,1,1,-0.32,0.625,1,1,-0.649,1,0.044,1,-0.76,0.564,1,0.451,1
"1642.MS00478",1,1,0.896,1,1,1,0.666,-0.175,-0.967,0,1,1,1,1,1,1,1,-0.977,-0.78,-0.12,-0.792,1,0.984,-0.815,-0.421,1,1,-0.347,0.756,1,1,-0.716,1,-0.445,1,-0.073,0.822,1,-0.126,1
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.994,0.744,1,0.316,1,1,1,1,1,1,0,0.912,1,0.95,0.87,0.616,0.954,1,1,1,1,1,1,1,1,0.996,0.694,1,1,0.984,1,1,1,1,0.908,1,1,1,1,-0.678
"2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences",-0.992,1,1,0.999,0.998,-0.885,1,1,1,1,0.912,0,1,-1,-0.992,0.865,-1,1,1,1,1,-0.789,1,1,1,-1,-0.788,1,1,-1,-1,1,1,1,-0.901,1,1,1,1,0.976
"1642.MS00376",1,1,1,1,1,1,-0.202,0.996,1,1,1,1,0,1,1,1,1,1,1,1,0.998,1,0.119,1,1,1,1,1,0.992,1,1,1,1,0.988,1,1,1,0.173,0.958,1
"2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences",-1,1,1,1,0.998,-0.535,1,1,1,1,0.95,-1,1,0,-1,0.912,-0.964,1,1,1,1,-0.576,1,1,1,-1,-0.958,1,1,-0.978,-0.956,1,1,1,-1,1,1,1,1,0.985
"2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences",-0.998,1,1,1,1,-0.54,1,1,1,1,0.87,-0.992,1,-1,0,0.922,-0.671,1,1,1,1,0.0369999999999999,1,1,1,-0.962,-0.894,1,1,-0.95,-0.903,1,1,1,-0.889,1,1,1,1,0.974
"2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences",0.885,0.437,1,0.568,0.972,0.954,1,1,1,1,0.616,0.865,1,0.912,0.922,0,0.977,1,1,1,1,0.882,1,1,1,0.95,1,1,1,0.341,0.988,1,0.569,1,0.984,1,1,1,1,-0.1
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",-0.828,0.994,1,0.593,1,-0.344,1,1,1,1,0.954,-1,1,-0.964,-0.671,0.977,0,1,1,1,1,0.0229999999999999,1,1,1,-0.91,-0.275,1,1,-0.984,-0.996,1,1,1,-0.379,1,1,1,1,0.842
"1642.MS00600",1,1,0.825,1,1,1,0.825,-0.624,-0.998,-0.977,1,1,1,1,1,1,1,0,-0.448,-0.343,-0.817,1,0.992,-0.824,-0.812,1,1,-0.323,0.874,1,1,-0.598,1,0.15,1,-0.593,0.839,1,0.355,1
"1642.MS00482",1,1,0.976,1,1,1,0.254,0.159,-0.245,-0.78,1,1,1,1,1,1,1,-0.448,0,0.647,-0.562,1,0.998,-0.011,-0.362,1,1,0.462,0.299,1,1,-0.722,1,-0.431,1,0.544,0.774,1,-0.711,1
"1642.MS00638",1,1,0.638,1,1,1,0.828,-0.59,-0.442,-0.12,1,1,1,1,1,1,1,-0.343,0.647,0,-0.204,1,0.994,-0.848,-0.163,1,1,-0.65,0.0349999999999999,1,1,-0.39,1,-0.278,1,-0.918,-0.076,0.996,0.596,1
"1642.MS00581",1,1,0.435,1,1,1,0.866,0.0389999999999999,-0.822,-0.792,1,1,0.998,1,1,1,1,-0.817,-0.562,-0.204,0,1,1,-0.916,-0.978,1,1,0.214,0.551,1,1,-0.787,1,-0.054,1,-0.446,0.731,1,0.267,1
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",-0.99,1,1,0.996,-0.026,-1,1,1,1,1,1,-0.789,1,-0.576,0.0369999999999999,0.882,0.0229999999999999,1,1,1,1,0,1,1,1,-0.309,0.982,1,1,-0.9,-0.358,1,0.0129999999999999,1,0.871,1,1,1,1,0.99
"1642.MS00366",1,1,1,1,1,1,-0.031,1,1,0.984,1,1,0.119,1,1,1,1,0.992,0.998,0.994,1,1,0,0.247,1,1,1,0.941,1,1,1,-0.718,1,-0.72,1,1,1,-0.964,0.964,1
"1642.MS00577",1,1,0.852,1,1,1,0.825,-0.535,-0.879,-0.815,1,1,1,1,1,1,1,-0.824,-0.011,-0.848,-0.916,1,0.247,0,-0.663,1,1,-0.94,0.546,1,1,-1,1,-0.982,1,-0.635,0.47,0.779,0.369,1
"1642.MS00582",1,1,0.484,1,1,1,0.46,-0.429,-0.616,-0.421,1,1,1,1,1,1,1,-0.812,-0.362,-0.163,-0.978,1,1,-0.663,0,1,1,-0.533,-0.465,1,1,-0.341,1,-0.535,1,-0.577,0.173,1,-0.373,1
"2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences",-0.96,0.998,1,0.992,1,-0.554,1,1,1,1,0.996,-1,1,-1,-0.962,0.95,-0.91,1,1,1,1,-0.309,1,1,1,0,-0.839,1,1,-0.998,-0.998,1,1,1,-0.926,1,1,1,1,0.96
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",-0.443,1,1,0.998,1,0.988,1,1,1,1,0.694,-0.788,1,-0.958,-0.894,1,-0.275,1,1,1,1,0.982,1,1,1,-0.839,0,1,1,-0.55,-0.468,1,1,1,-1,1,1,1,1,0.986
"1642.MS00558",1,1,0.851,1,1,1,0.559,0.15,-0.32,-0.347,1,1,1,1,1,1,1,-0.323,0.462,-0.65,0.214,1,0.941,-0.94,-0.533,1,1,0,0.034,1,1,-0.655,1,-0.976,1,-0.168,0.783,0.998,0.198,1
"1642.MS00433",1,1,0.77,1,1,1,-0.72,-0.694,0.625,0.756,1,1,0.992,1,1,1,1,0.874,0.299,0.0349999999999999,0.551,1,1,0.546,-0.465,1,1,0.034,0,1,1,0.387,1,-0.579,1,-0.865,0.494,1,-0.16,1
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",-1,0.998,1,0.996,1,-0.986,1,1,1,1,0.984,-1,1,-0.978,-0.95,0.341,-0.984,1,1,1,1,-0.9,1,1,1,-0.998,-0.55,1,1,0,-1,1,0.996,1,-0.675,1,1,1,1,0.986
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",-0.93,0.996,1,0.838,1,-0.739,1,1,1,1,1,-1,1,-0.956,-0.903,0.988,-0.996,1,1,1,1,-0.358,1,1,1,-0.998,-0.468,1,1,-1,0,1,1,1,-0.441,1,1,1,1,0.908
"1642.MS00503",1,1,0.918,1,1,1,0.75,-0.178,-0.649,-0.716,1,1,1,1,1,1,1,-0.598,-0.722,-0.39,-0.787,1,-0.718,-1,-0.341,1,1,-0.655,0.387,1,1,0,1,-1,1,-0.308,0.698,0.813,0.375,1
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.996,1,1,0.998,-0.976,0.727,1,1,1,1,1,1,1,1,1,0.569,1,1,1,1,1,0.0129999999999999,1,1,1,1,1,1,1,0.996,1,1,0,1,1,1,1,1,1,0.963
"1642.MS00438",1,1,0.914,1,1,1,-0.75,-0.231,0.044,-0.445,1,1,0.988,1,1,1,1,0.15,-0.431,-0.278,-0.054,1,-0.72,-0.982,-0.535,1,1,-0.976,-0.579,1,1,-1,1,0,1,0.286,0.818,0.497,-0.772,1
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",-0.465,1,1,1,1,0.839,1,1,1,1,0.908,-0.901,1,-1,-0.889,0.984,-0.379,1,1,1,1,0.871,1,1,1,-0.926,-1,1,1,-0.675,-0.441,1,1,1,0,1,1,1,1,0.973
"1642.MS00630",1,1,0.631,1,1,1,0.644,-0.913,-0.76,-0.073,1,1,1,1,1,1,1,-0.593,0.544,-0.918,-0.446,1,1,-0.635,-0.577,1,1,-0.168,-0.865,1,1,-0.308,1,0.286,1,0,-0.332,1,0.635,1
"1642.MS00555",1,1,0.98,1,1,1,0.994,0.112,0.564,0.822,1,1,1,1,1,1,1,0.839,0.774,-0.076,0.731,1,1,0.47,0.173,1,1,0.783,0.494,1,1,0.698,1,0.818,1,-0.332,0,1,0.922,1
"1642.MS00345",1,1,1,1,1,1,0.762,0.996,1,1,1,1,0.173,1,1,1,1,1,1,0.996,1,1,-0.964,0.779,1,1,1,0.998,1,1,1,0.813,1,0.497,1,1,1,0,1,1
