"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00379","1642.MS00478","1642.MS00376","1642.MS00541","2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00345","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00503","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00600","1642.MS00555","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","1642.MS00558","1642.MS00630","1642.MS00577","1642.MS00452","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00482","1642.MS00447","1642.MS00366","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00433"
"2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences",0,0.0478470394335,0.0834012668009,0.0984462260099,0.0880593996642,0.0920221642046,0.0397886299946,0.0374524313987,0.0850722063598,0.0336653967509,0.0337432662372,0.0404332722209,0.0769297772621,0.0439632593988,0.030706966569,0.077992644998,0.0285971700252,0.0332216505726,0.0906114243656,0.0343752493375,0.0901967122631,0.0957415293029,0.0909967100288,0.0342114878594,0.0818352199753,0.082107076786,0.0813131746985,0.0833322908253,0.0820282971465,0.0331254475493,0.0994149359903,0.0989836627205,0.081061726351,0.0312835771407,0.0293360436765,0.0833650299062,0.0408793020317,0.0415891144125,0.0316878277431,0.0730790794909
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",0.0478470394335,0,0.110739700548,0.1253235073464,0.1010709870982,0.1162807444678,0.0214454337052,0.029965247145,0.1081375156316,0.0624458323463,0.0750995527182,0.0242138182285,0.1106903123369,0.0223505023641,0.0360323779189,0.1031886336911,0.0616967804439,0.0682044606641,0.128798378238,0.0626491497805,0.1323166158793,0.1264293161634,0.1356472510312,0.0245490949038,0.1351005178997,0.1140524377165,0.1103843450502,0.1092914546118,0.1075778854354,0.030202056655,0.1303558382053,0.1308561060462,0.0920670195306,0.0330076648586,0.0619901193897,0.1109232941763,0.0303951752707,0.0260386333099,0.0384258751322,0.1053479735618
"1642.MS00379",0.0834012668009,0.110739700548,0,0.0251079754468,0.0207300138728,0.0300669983497,0.1028864072016,0.0887639942671,0.0283563767727,0.0808076135146,0.0841636233088,0.0927615254869,0.0180981976351,0.0892026276273,0.0797466172875,0.0262572769473,0.078726105183,0.0867028148531,0.0301282488027,0.0817009756692,0.029379408673,0.0282928501112,0.0316630544176,0.0892018869652,0.0409991372396,0.0272938001834,0.0270305305696,0.0267390848703,0.024493462004,0.0838710393432,0.0236319149988,0.0226319132645,0.0233263534411,0.0836845374243,0.0819132820635,0.0286140529179,0.0905625962748,0.0919470022037,0.0795783446036,0.0217179897405
"1642.MS00478",0.0984462260099,0.1253235073464,0.0251079754468,0,0.0371459511957,0.0204774654486,0.1188449684198,0.1073644368149,0.0386679838356,0.1025078170485,0.1025476409805,0.1091946626589,0.0216312338582,0.1125865530842,0.0953684922761,0.0205663224815,0.1018035804021,0.1054179331801,0.0237983671292,0.0999200751477,0.0233125713375,0.0200992712239,0.0276654930294,0.1048120801475,0.0300758427364,0.0245949560258,0.0226884268311,0.0205295382628,0.0249809954608,0.1010609098436,0.0205791834399,0.0230777101786,0.0317476659056,0.1010042748462,0.1010880367309,0.0235400023315,0.1119070740026,0.1131246286392,0.0971730876459,0.0262666689394
"1642.MS00376",0.0880593996642,0.1010709870982,0.0207300138728,0.0371459511957,0,0.0414755272354,0.0979172981425,0.0889382291902,0.025431744163,0.0890216022629,0.093985945705,0.0904991258407,0.0297665569726,0.0806020150453,0.0842761043332,0.0354916387486,0.0891384493495,0.0974020071792,0.0431179996237,0.088691490666,0.0431347416788,0.0403031951829,0.0459264646016,0.0901509104928,0.0585787247507,0.0399824904393,0.0385057424567,0.0351959853302,0.0332318151907,0.08556924235,0.0359145432805,0.0364059739189,0.021456889921,0.0860827639514,0.0910197527754,0.0390251128062,0.0877372536892,0.0930734373213,0.0879977009084,0.0332795760162
"1642.MS00541",0.0920221642046,0.1162807444678,0.0300669983497,0.0204774654486,0.0414755272354,0,0.1090535936114,0.0967395017072,0.0417284296753,0.093917537329,0.0962782803486,0.0993683635991,0.0245796158197,0.104692904066,0.0882131321671,0.0191101948089,0.09054871729,0.0979499138364,0.025673541526,0.0889648415898,0.022323586585,0.0196000408509,0.0288019244332,0.0951374387249,0.0280475250137,0.0253137742131,0.0231088440603,0.0195993366683,0.0217470024991,0.0935218093935,0.0237160044606,0.0304327422029,0.0370464237025,0.093546425403,0.0916498030789,0.023735055033,0.1020741589222,0.1050196247756,0.0900274185788,0.0273584141446
"2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences",0.0397886299946,0.0214454337052,0.1028864072016,0.1188449684198,0.0979172981425,0.1090535936114,0,0.033582838781,0.0981638487198,0.0611427454381,0.0580795141303,0.029185685428,0.100337704805,0.0227614069255,0.0237274733225,0.0945376807253,0.0493215217411,0.0521897024239,0.1162879595719,0.0579794580597,0.1130715970967,0.1141521274207,0.1158847682502,0.0141312176847,0.1223339818983,0.1037829974126,0.103656529464,0.098644796876,0.0997820980225,0.0180414460166,0.1185998560415,0.1193357946661,0.0906149903907,0.0214666462667,0.0480867857783,0.1047653874489,0.0262770427343,0.0213488461068,0.0256380026013,0.096778247844
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",0.0374524313987,0.029965247145,0.0887639942671,0.1073644368149,0.0889382291902,0.0967395017072,0.033582838781,0,0.085854585633,0.0295009741667,0.0511538913771,0.0111636193851,0.0869067585486,0.0226530232223,0.0308537745167,0.0816607787424,0.0422946949207,0.0521252570705,0.1060012969251,0.0286086518598,0.1042268778401,0.1056988235346,0.1029317060566,0.0255033626408,0.0920722577454,0.0919991169921,0.0898819678864,0.0893198918111,0.0884693156303,0.0285293074396,0.1087329813032,0.1112876358718,0.0790111721007,0.0314263349845,0.0464893145254,0.0907441960764,0.0366345517571,0.0342996284291,0.0328969256717,0.078762861533
"1642.MS00345",0.0850722063598,0.1081375156316,0.0283563767727,0.0386679838356,0.025431744163,0.0417284296753,0.0981638487198,0.085854585633,0,0.0807902779325,0.0861163600244,0.0899350473751,0.0345558780453,0.0858169923186,0.0793938479162,0.0402883047666,0.1004369562257,0.0927470007855,0.0493150475012,0.0851712534859,0.0444321548429,0.0416621882333,0.0447474466836,0.0876479853813,0.0604751882368,0.0441081023597,0.0409076521968,0.0382000771782,0.0346280716939,0.0859534136574,0.0416351449108,0.0421526812109,0.025196186491,0.0835789923661,0.084954571825,0.0397137151653,0.088074920477,0.0953221623369,0.0893575335547,0.0379941385343
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0336653967509,0.0624458323463,0.0808076135146,0.1025078170485,0.0890216022629,0.093917537329,0.0611427454381,0.0295009741667,0.0807902779325,0,0.0396606208601,0.034401061327,0.0801850002426,0.0571528732249,0.0421147356149,0.0788323016087,0.0374298643425,0.0480480638892,0.09683217639,0.019690048886,0.0926135215031,0.1006761127661,0.0898972730241,0.0491726652692,0.080752971733,0.0835676092978,0.0816117270751,0.0863639596596,0.0843612699431,0.0452028583562,0.094677505596,0.1025673303593,0.0776449659996,0.0490839688387,0.0373341523684,0.0838013030492,0.0562943268261,0.061050514378,0.0431787501507,0.0727437131862
