"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00379","1642.MS00478","1642.MS00376","1642.MS00541","2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00345","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00503","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00600","1642.MS00555","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","1642.MS00558","1642.MS00630","1642.MS00577","1642.MS00452","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00482","1642.MS00447","1642.MS00366","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00433"
"2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences",NA,-6.10742611243999,2.35418517742877,6.08416998878106,-0.0585628316029477,4.84304304965972,-7.24388904501159,-7.1659827880397,-0.340233180816511,-7.78520700570694,-6.01264430421398,-6.88942392272709,0.00223352924601754,-6.5993968184873,-5.94743918558864,0.0400043111341025,-8.46326528182173,-7.63374620616441,5.53275453015234,-7.57439489443491,4.01333183525864,5.80699363322504,5.26156640374996,-6.44235046266875,-0.329259093309496,1.22579083276895,2.96150921789059,1.03420688591829,2.45228730335143,-5.25623750521892,6.226146202973,6.77320241379579,-0.903395829754831,-4.99434157431197,-9.22183172034279,2.17162863074002,-6.46711184448072,-6.86917248693286,-7.47585853990042,0.0737072836629191
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",-6.10742611243999,NA,-0.591500242454578,1.00329546228004,-2.09952494856806,0.0633402157396318,-5.04978175091345,-7.29585409648665,-1.47506832415941,-4.45018872530921,-3.71262485490053,-6.41212175024812,-0.5298976993703,-6.04389882433572,-6.02904905945531,-1.06152115931594,-5.00179329674225,-4.36496998726594,1.81589172498415,-4.83764910950831,1.27779817889818,1.19863551664656,1.59521452801582,-4.64197422545975,0.185081228104074,-0.112122192890075,-0.306747211410444,-0.681095791226953,-0.840994111425339,-4.83994058089711,1.40120953681522,1.65755822744131,-2.03160760346782,-4.36981592133427,-5.06201453391976,-0.364735276524928,-4.37864679527773,-5.80767951691512,-6.65715974760391,-0.957285979250777
"1642.MS00379",2.35418517742877,-0.591500242454578,NA,-4.40905206802763,-5.0328140116278,-2.40536604935067,-0.0351824845438767,0.674372815750173,-3.55629875192027,3.69004968106598,4.00545721955495,0.393792054497838,-5.22640859569721,-1.38594291067762,-0.424715409420745,-2.61252944020031,2.64189108734734,4.52794054139102,-2.54148320186646,3.55553571118513,-3.3249194467924,-3.96644249889056,-3.56175418076782,-0.586483257904874,-0.703973000955613,-3.54635845533315,-3.91768427249471,-4.09182400774364,-3.60366954347428,-0.647084734110989,-4.38887804537606,-3.79370636722446,-5.24226581749652,-0.378816876236894,3.4978745858546,-3.0287302818204,-0.498050791700432,-1.29445330989341,0.19660304407539,-3.21011305303595
"1642.MS00478",6.08416998878106,1.00329546228004,-4.40905206802763,NA,-2.76067192991178,-4.4208815177136,2.10385287392587,4.01629900380126,-2.76658097523846,8.8249643587167,8.35940815321793,3.26647479073057,-4.49917832310913,1.92453255257535,1.77024090911459,-3.20690068710929,9.59692413722795,9.93932522522366,-3.11131450438532,8.11933874958646,-2.54755020947643,-3.53070414662565,-2.61761855867009,2.4432947907988,-1.23859690505047,-3.05649724936437,-4.16788449760855,-3.85492808852711,-2.86815938394878,2.21693610908614,-4.19480045204107,-3.72417685333884,-3.43979789985383,2.29862850927056,9.26607042411619,-4.73150266657868,0.837007396007489,2.07465063531118,3.44966526817152,-2.81407450153954
"1642.MS00376",-0.0585628316029477,-2.09952494856806,-5.0328140116278,-2.76067192991178,NA,-2.18859135794,-1.48513563721563,-1.09015036191201,-3.62454862103608,0.634465650044527,1.22049330990282,-1.28524979887148,-3.04503487412854,-2.99779070238501,-0.974837625278644,-2.55676554247438,0.594392412660407,1.45429946345374,-2.51175779942063,0.448978173147207,-2.70868566472318,-2.57087316775857,-2.50589682971636,-1.39799734965121,-0.719982477867902,-2.24098805222132,-2.57717524564711,-2.9435764828394,-2.89349747253075,-1.46920677889639,-2.88322265633514,-2.55297271583238,-3.62452522310341,-1.31331807607733,0.906071534562875,-2.44547285410422,-1.22799851824596,-1.95732201360794,-0.526078835058745,-2.51758692482475
"1642.MS00541",4.84304304965972,0.0633402157396318,-2.40536604935067,-4.4208815177136,-2.18859135794,NA,0.747673502134602,2.63833131967095,-2.24560778437042,7.79542457011241,7.0943909025056,2.27431962463158,-3.8193908436598,0.928993456736359,0.747508024715401,-4.87508593910548,6.57907894898126,7.82097961588481,-2.78534628909877,6.28240309027501,-2.73908205871383,-4.1523048736381,-2.96048448945728,0.905061761024655,-0.832874435067663,-2.99694120145667,-3.47908707933639,-5.38432936420509,-4.39076681657233,1.03860687987868,-4.33382269097721,-2.00135875216615,-2.58332011948036,1.11027225535913,6.44100946495068,-4.05051860766229,0.210040432321573,0.857696075537185,1.92594352712123,-2.55458965087909
"2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences",-7.24388904501159,-5.04978175091345,-0.0351824845438767,2.10385287392587,-1.48513563721563,0.747673502134602,NA,-6.1774019353314,-1.24587925369095,-4.03373221064084,-4.16318338723472,-5.24178815626804,-0.384229877154182,-4.93897282238376,-5.43733071282945,-0.838992847710746,-5.20872030231804,-4.99265199059747,2.03501038434023,-4.90486157744253,1.19689546756678,1.36482753740719,1.61005499063605,-5.46311552699503,0.305585877441548,0.106263379032746,0.55621681459915,-0.520521940983632,-0.221510305437264,-6.78710047334621,1.69193070658064,2.01442587720101,-1.61111107884698,-3.38983273945442,-5.76652045740672,0.320710900822622,-3.72862902740119,-3.442544767705,-6.47383163794849,-0.451420840786275
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",-7.1659827880397,-7.29585409648665,0.674372815750173,4.01629900380126,-1.09015036191201,2.63833131967095,-6.1774019353314,NA,-1.26604676842125,-4.95447844860602,-5.0223756460195,-7.47252092547931,-0.0718084557493264,-6.76540332290465,-6.59663989093813,-0.570865542232056,-6.18818181026291,-5.29881986296586,4.22030937510728,-5.67604432912783,3.07682837687585,4.00256990241318,3.1029678439624,-6.39820230228516,-0.336490780469394,0.972482660862219,1.8915744418999,0.566209668207215,1.14355713464842,-5.90859525055541,3.39024336794598,3.92486894181628,-1.72751909717371,-5.64770127135637,-6.30414364095889,1.14349176895295,-6.11678088442325,-5.46471977410928,-6.53751100824469,-0.391748124383651
"1642.MS00345",-0.340233180816511,-1.47506832415941,-3.55629875192027,-2.76658097523846,-3.62454862103608,-2.24560778437042,-1.24587925369095,-1.26604676842125,NA,-0.0837244114797426,0.660418591295812,-0.654660484099314,-2.30789903014399,-2.10327191948284,-1.24098061593441,-1.62823893814025,2.93565904374172,1.58393135375769,-1.21058975791205,0.842288082958122,-2.59756918436122,-2.44731836640479,-2.14817692789028,-1.57250160598936,-0.310281200465658,-1.39376996282043,-2.50884096003851,-2.72622013394479,-3.65159738311032,-1.50754384471552,-2.67505325927376,-1.83619369183646,-3.28940657064222,-1.24465625594713,0.244688584204974,-3.05463402560148,-1.07715010928708,-1.5927414789145,-0.353933757155388,-3.33287954513483
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",-7.78520700570694,-4.45018872530921,3.69004968106598,8.8249643587167,0.634465650044527,7.79542457011241,-4.03373221064084,-4.95447844860602,-0.0837244114797426,NA,-6.33000763973878,-4.56347679415386,1.17822767759079,-4.61520155083179,-5.33446498143058,0.866132366629097,-6.83442259321124,-4.44922164703871,9.6860548619718,-6.6435026034534,6.83960002773312,8.9861087211502,7.65011391909963,-5.0384724452259,-0.121764177720803,3.34471890864547,5.74899490921403,2.69816280550528,5.76697254602105,-5.2776420461701,6.27027337761752,10.1776812582288,-0.903348992883918,-4.33700839032339,-8.11696637038997,4.33783098431817,-4.53980548187816,-4.39891335628139,-4.68837779523178,2.7767212698944
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",-6.01264430421398,-3.71262485490053,4.00545721955495,8.35940815321793,1.22049330990282,7.0943909025056,-4.16318338723472,-5.0223756460195,0.660418591295812,-6.33000763973878,NA,-4.90271793972331,1.61850556292313,-4.48058763314652,-2.67840339869597,1.47722747643329,-5.68682717993492,-6.32239543353516,7.99152157745759,-5.95020541352453,5.69028956412472,8.44633297752041,7.13519450246617,-5.15312687564687,-0.0795888933522757,3.14747439804594,4.99937084553522,2.80699665086694,4.22716512241567,-4.60002149328465,6.39176193170111,8.32214973664587,-0.283864000711658,-4.08047363849745,-6.08728608370127,3.506637401695,-1.754101658855,-5.08927321787086,-4.61493009706971,2.72269559461348
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",-6.88942392272709,-6.41212175024812,0.393792054497838,3.26647479073057,-1.28524979887148,2.27431962463158,-5.24178815626804,-7.47252092547931,-0.654660484099314,-4.56347679415386,-4.90271793972331,NA,1.15455460117347,-6.86927444116204,-5.1490777411972,0.719318304903682,-5.79178867163766,-4.99757339898197,3.16382443471907,-4.45482031144344,2.66672596618817,3.39213733861072,2.68805579189305,-5.3372098795117,0.0273418262060551,1.53550011523991,1.22289628500945,1.64620633108857,0.875007766727728,-4.74780479515575,2.6647150600681,2.7627331250341,-1.70139881513272,-5.05026445362912,-6.39470701436046,1.44563222564801,-5.27826614406404,-5.31771864557072,-5.966782330087,-0.29649889278529
"1642.MS00438",0.00223352924601754,-0.5298976993703,-5.22640859569721,-4.49917832310913,-3.04503487412854,-3.8193908436598,-0.384229877154182,-0.0718084557493264,-2.30789903014399,1.17822767759079,1.61850556292313,1.15455460117347,NA,-0.777579030522012,-0.381654563323733,-2.31991846225653,4.41325702681338,1.389894975538,-4.41213550719976,0.991425810380464,-2.00432657447129,-5.05844244609245,-3.71525026284757,-0.414500077026347,-0.624931225038735,-4.30095188693876,-5.36810338185298,-4.48199039622264,-3.27457647881439,-0.721696182765061,-4.75005144046175,-3.20535792339424,-2.97830172948201,-0.399721617289371,1.22023264325602,-3.71752961390266,-0.542214204715251,-0.951757484637029,-0.247954709993131,-4.90622774650799
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",-6.5993968184873,-6.04389882433572,-1.38594291067762,1.92453255257535,-2.99779070238501,0.928993456736359,-4.93897282238376,-6.76540332290465,-2.10327191948284,-4.61520155083179,-4.48058763314652,-6.86927444116204,-0.777579030522012,NA,-6.71055208129489,-1.04683877888038,-5.16905316140017,-4.28176271778761,1.94252471512243,-4.92310607347618,2.18838605852604,1.89905989587754,2.45902149258823,-4.86366541743531,-0.357948668477245,-0.221691867863664,0.317874303288248,-0.38814338066933,-0.290252818088531,-5.37559265650391,1.75995097384873,1.26410181783499,-2.44321488835492,-4.30432385314706,-5.62707610250935,-0.265967811594036,-5.53986055065762,-6.36962571930089,-7.17520856556278,-1.32713616309731
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",-5.94743918558864,-6.02904905945531,-0.424715409420745,1.77024090911459,-0.974837625278644,0.747508024715401,-5.43733071282945,-6.59663989093813,-1.24098061593441,-5.33446498143058,-2.67840339869597,-5.1490777411972,-0.381654563323733,-6.71055208129489,NA,-0.527290403186471,0.718170621648086,-5.44946866060397,6.32322614885311,-5.7409303143812,1.16661371975426,1.93519102109583,1.24557247745575,-4.38392903619391,-0.405379880244981,0.293785280457508,0.563957301848563,-0.0650595434227142,0.01601653627475,-6.45952321593978,0.801366482477727,1.43038759762196,-1.49422193068876,-3.40683241486574,-2.64431669297439,0.416793967747064,-5.25093643192584,-5.95611054807657,-6.72745309327812,0.0478977665932878
"1642.MS00503",0.0400043111341025,-1.06152115931594,-2.61252944020031,-3.20690068710929,-2.55676554247438,-4.87508593910548,-0.838992847710746,-0.570865542232056,-1.62823893814025,0.866132366629097,1.47722747643329,0.719318304903682,-2.31991846225653,-1.04683877888038,-0.527290403186471,NA,4.55303615826186,1.0389310054619,-2.89313091250034,0.535087224975762,-1.63505282680388,-4.07332274331826,-1.6921283315415,-0.809972347390018,-0.560377736172532,-2.80992249534647,-3.80032964968014,-3.81433845644716,-2.85753867915492,-0.87552182800389,-3.18511542928825,-0.982486963615397,-2.45981498323169,-0.672882474819106,0.956777884578289,-3.94356221754619,-0.622248694626534,-1.3718412239458,-0.430610501213261,-3.50628818878687
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",-8.46326528182173,-5.00179329674225,2.64189108734734,9.59692413722795,0.594392412660407,6.57907894898126,-5.20872030231804,-6.18818181026291,2.93565904374172,-6.83442259321124,-5.68682717993492,-5.79178867163766,4.41325702681338,-5.16905316140017,0.718170621648086,4.55303615826186,NA,-6.57413655329591,8.26691585727037,-8.48184069330466,5.93503419423119,8.51993987600018,6.83784802635839,-3.53957352307981,-0.201067678714062,5.20920864784866,4.77194985791636,5.30981491076935,3.1291524581054,-2.14355332333573,5.79076483024039,7.70892022460955,2.94435282459462,-1.42920638781374,-6.64400308921503,5.67394226797117,1.99672521794542,-5.35503417956793,-3.73185941207133,0.308313104153289
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",-7.63374620616441,-4.36496998726594,4.52794054139102,9.93932522522366,1.45429946345374,7.82097961588481,-4.99265199059747,-5.29881986296586,1.58393135375769,-4.44922164703871,-6.32239543353516,-4.99757339898197,1.389894975538,-4.28176271778761,-5.44946866060397,1.0389310054619,-6.57413655329591,NA,8.96178535015168,-6.23742561249135,6.90397263342921,9.12794933451987,7.16178938124174,-4.51595293780384,0.175078152244441,3.17266255796256,5.89048491274194,2.50487782352644,5.12686171671169,-4.72800107550565,6.77820756074709,8.96562003351858,0.176600555969863,-3.68567781630288,-7.27265575043673,4.48830132560311,-3.72282429036116,-4.56581379344443,-6.34460742795509,2.74117734368486
