"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00544","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00384","1642.MS00387","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00476","1642.MS00629","1642.MS00575","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00469","1642.MS00339","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00505","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0,0.909,0.6972,0.7962,0.6528,0.9098,0.8832,0.6174,0.9118,0.92,0.9084,0.9372,0.8142,0.804,0.9112,0.7192,0.7984,0.9204,0.6812,0.8532,0.8266,0.9164,0.851,0.5994,0.71,0.912,0.5316,0.9218,0.9152,0.7974,0.5714,0.5796,0.9176,0.4866,0.9244,0.5648,0.9376,0.8394,0.9178,0.7888
"1642.MS00544",0.909,0,0.9016,0.8852,0.9412,0.475,0.51,0.9204,0.5706,0.4928,0.5438,0.5158,0.8818,0.8936,0.5028,0.904,0.887,0.448,0.952,0.861,0.8902,0.556,0.8982,0.9198,0.9516,0.5732,0.9314,0.529,0.5772,0.8856,0.908,0.9128,0.4336,0.9222,0.63,0.9178,0.701,0.9086,0.6282,0.8908
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",0.6972,0.9016,0,0.8598,0.6446,0.9026,0.8826,0.7438,0.91,0.9198,0.9046,0.9298,0.8598,0.866,0.9112,0.4686,0.8608,0.9096,0.8616,0.7452,0.8684,0.9032,0.8662,0.6644,0.8744,0.9036,0.7122,0.9236,0.9208,0.8688,0.7268,0.6964,0.9064,0.6766,0.9354,0.7168,0.93,0.8736,0.917,0.8682
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7962,0.8852,0.8598,0,0.8758,0.8976,0.876,0.8014,0.905,0.9046,0.8746,0.9302,0.5876,0.6544,0.892,0.841,0.5798,0.9084,0.892,0.753,0.5684,0.9072,0.649,0.8368,0.9142,0.896,0.8674,0.9128,0.9278,0.6652,0.7482,0.7982,0.9048,0.826,0.9386,0.8276,0.931,0.673,0.9108,0.616
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.6528,0.9412,0.6446,0.8758,0,0.947,0.9366,0.6722,0.9506,0.9562,0.9416,0.9588,0.8878,0.885,0.9512,0.6606,0.8614,0.9504,0.7924,0.8868,0.8972,0.9468,0.8494,0.5576,0.8098,0.9468,0.6644,0.956,0.9528,0.8752,0.637,0.618,0.9474,0.6696,0.953,0.639,0.9638,0.8382,0.9508,0.8676
"1642.MS00384",0.9098,0.475,0.9026,0.8976,0.947,0,0.501,0.9278,0.5392,0.5462,0.6198,0.5174,0.8952,0.9064,0.5654,0.909,0.9032,0.5034,0.9472,0.8722,0.8964,0.5224,0.911,0.9224,0.9516,0.535,0.937,0.5536,0.4672,0.8972,0.9124,0.9182,0.4618,0.9298,0.6458,0.9248,0.6268,0.92,0.5634,0.8984
"1642.MS00387",0.8832,0.51,0.8826,0.876,0.9366,0.501,0,0.9062,0.5142,0.5222,0.5392,0.6474,0.8632,0.8744,0.4992,0.8884,0.8696,0.5644,0.9376,0.8346,0.8788,0.4894,0.893,0.9076,0.93,0.4884,0.9214,0.5648,0.6146,0.8692,0.8798,0.8908,0.552,0.909,0.6314,0.8968,0.6662,0.899,0.5996,0.872
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.6174,0.9204,0.7438,0.8014,0.6722,0.9278,0.9062,0,0.924,0.9346,0.9148,0.9462,0.7654,0.7806,0.9266,0.7566,0.802,0.934,0.7528,0.8698,0.8456,0.931,0.8448,0.6792,0.8032,0.9232,0.6912,0.9372,0.936,0.782,0.6044,0.5028,0.9288,0.6086,0.9344,0.5216,0.9448,0.8196,0.931,0.786
"1642.MS00427",0.9118,0.5706,0.91,0.905,0.9506,0.5392,0.5142,0.924,0,0.5642,0.6156,0.6284,0.8928,0.9054,0.549,0.9142,0.9068,0.5896,0.9518,0.8782,0.909,0.4964,0.917,0.932,0.9582,0.4808,0.9422,0.5718,0.5956,0.9014,0.9238,0.915,0.5706,0.9304,0.6156,0.9226,0.6466,0.9206,0.5876,0.91
"1642.MS00476",0.92,0.4928,0.9198,0.9046,0.9562,0.5462,0.5222,0.9346,0.5642,0,0.5668,0.5748,0.887,0.9044,0.492,0.9244,0.9082,0.5284,0.9548,0.8808,0.9074,0.5424,0.9228,0.9322,0.9614,0.5196,0.938,0.5286,0.6412,0.9054,0.9176,0.926,0.523,0.933,0.6072,0.9294,0.6948,0.9194,0.6354,0.9074
