"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00544","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00384","1642.MS00387","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00476","1642.MS00629","1642.MS00575","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00469","1642.MS00339","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00505","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0,1,-0.524,0.998,-0.977,1,1,-0.858,1,1,1,1,1,0.998,1,-0.404,0.998,1,-0.816,1,1,1,1,-0.982,-0.891,1,-0.996,1,1,0.994,-0.932,-0.974,1,-1,1,-0.988,1,1,1,0.998
"1642.MS00544",1,0,1,1,1,-0.986,-0.756,1,-0.112,-0.948,-0.266,-0.896,1,1,-0.867,1,1,-1,1,1,1,-0.152,1,1,1,0.25,1,-0.717,-0.407,1,1,1,-1,1,0.826,1,0.946,1,0.475,1
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",-0.524,1,0,1,-0.96,1,1,-0.005,1,1,1,1,1,1,1,-1,1,1,0.952,0.155,1,1,1,-0.822,0.808,1,-0.513,1,1,1,-0.177,-0.576,1,-0.812,1,-0.378,1,1,1,1
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.998,1,1,0,0.988,1,1,0.996,1,1,1,1,-0.323,0.704,1,0.984,-0.299,1,1,1,-0.772,1,0.277,0.98,0.998,1,1,1,1,0.736,0.972,0.964,1,0.958,1,0.998,1,0.217,1,0.292
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",-0.977,1,-0.96,0.988,0,1,1,-0.926,1,1,1,1,0.998,0.998,1,-0.936,0.942,1,-0.12,0.998,0.999,1,0.836,-1,-0.199,1,-0.928,1,1,0.982,-0.984,-0.988,1,-0.93,1,-0.98,1,0.729,1,0.968
"1642.MS00384",1,-0.986,1,1,1,0,-0.906,1,-0.723,-0.477,0.786,-0.904,1,1,-0.169,1,1,-0.923,1,1,1,-0.762,1,1,1,-0.601,1,-0.485,-0.998,1,1,1,-1,1,0.911,1,0.108,1,-0.58,1
"1642.MS00387",1,-0.756,1,1,1,-0.906,0,1,-0.834,-0.71,-0.27,0.816,1,1,-0.852,1,1,-0.099,1,1,1,-0.924,1,1,1,-0.904,1,-0.103,0.253,1,1,1,-0.448,1,0.911,1,0.724,1,0.0669999999999999,1
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",-0.858,1,-0.005,0.996,-0.926,1,1,0,1,1,1,1,0.86,0.95,1,0.054,0.996,1,-0.203,1,1,1,1,-0.711,-0.086,1,-0.554,1,1,0.94,-0.892,-0.998,1,-0.968,1,-1,1,0.99,1,0.969
"1642.MS00427",1,-0.112,1,1,1,-0.723,-0.834,1,0,-0.261,0.672,0.478,1,1,-0.479,1,1,0.101,1,1,1,-0.931,1,1,1,-0.97,1,-0.173,-0.214,1,1,1,-0.339,1,0.578,1,0.471,1,-0.249,1
"1642.MS00476",1,-0.948,1,1,1,-0.477,-0.71,1,-0.261,0,0.099,-0.296,1,1,-0.947,1,1,-0.706,1,1,1,-0.461,1,1,1,-0.7,1,-0.707,0.564,1,1,1,-0.82,1,0.573,1,0.934,1,0.556,1
"1642.MS00629",1,-0.266,1,1,1,0.786,-0.27,1,0.672,0.099,0,0.989,1,1,-0.189,1,1,0.546,1,1,1,0.796,1,1,1,0.661,1,0.91,1,1,1,1,0.428,1,0.998,1,1,1,0.998,1
"1642.MS00575",1,-0.896,1,1,1,-0.904,0.816,1,0.478,-0.296,0.989,0,1,1,0.17,1,1,-1,1,1,1,0.606,1,1,1,0.647,1,-0.837,-0.84,1,1,1,-0.996,1,-0.77,1,1,1,0.947,1
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,-0.323,0.998,1,1,0.86,1,1,1,1,0,-0.531,1,0.99,-0.183,1,1,1,0.189,1,0.79,0.996,1,1,1,1,1,-0.478,0.957,0.82,1,0.962,1,0.988,1,0.142,1,0.136
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.998,1,1,0.704,0.998,1,1,0.95,1,1,1,1,-0.531,0,1,1,0.407,1,0.958,0.999,0.966,1,0.886,0.994,1,1,0.996,1,1,-0.996,0.811,0.928,1,0.991,1,0.974,1,0.582,1,-0.862
"1642.MS00492",1,-0.867,1,1,1,-0.169,-0.852,1,-0.479,-0.947,-0.189,0.17,1,1,0,1,1,-0.706,1,1,1,-0.598,1,1,1,-0.515,1,-0.728,0.941,1,1,1,-0.827,1,0.342,1,0.99,1,0.876,1
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",-0.404,1,-1,0.984,-0.936,1,1,0.054,1,1,1,1,0.99,1,1,0,0.992,1,0.977,0.04,0.996,1,0.993,-0.754,0.78,1,-0.0590000000000001,1,1,1,-0.319,-0.504,1,-0.749,1,-0.096,1,0.998,1,1
