"","1642.MS00505","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00577","1642.MS00396","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00492","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00629","1642.MS00339","1642.MS00387","1642.MS00344","1642.MS00588","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00476","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00384","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00575","1642.MS00544","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00505",0,0.072400877051,0.0162683859537,0.0193108353584,0.0738944290322,0.0749047376965,0.0876610965138,0.0697582459246,0.0687665040796,0.0177149996569,0.0715730203443,0.0743381452596,0.0993966303838,0.070832937395,0.0677585260923,0.0731408619274,0.0198063629101,0.0815594533147,0.0157958748428,0.0764290135092,0.0223020076734,0.0226575934492,0.0194873945314,0.0247751689603,0.0248474740045,0.0765535559078,0.0719466092202,0.0186189661521,0.0742913026249,0.072059289247,0.0742388064643,0.0175349829598,0.0726902122329,0.081824619583,0.0313586348128,0.0183960275064,0.0684091447046,0.0192626255532,0.0151543112483,0.0698206123194
"2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences",0.072400877051,0,0.0819964244646,0.0843755671156,0.0165070804275,0.0454109407482,0.0193150454543,0.016549114562,0.0424076041858,0.0844421301781,0.0299781610394,0.0278410252211,0.0434635568252,0.0272344663813,0.033072989574,0.0358948784034,0.077357481961,0.0196779577112,0.0869433243209,0.0164926940463,0.0733037047948,0.0670903441665,0.0710211931044,0.0682430883964,0.0882128828891,0.0151237996497,0.0331708211738,0.0740908811718,0.0200421385409,0.0176577226052,0.037923529931,0.0831162886092,0.0199401168291,0.0169568227419,0.077688403096,0.0719702780571,0.0291982300196,0.0837560783151,0.0718826215497,0.0308872814029
"1642.MS00577",0.0162683859537,0.0819964244646,0,0.0206692590443,0.0793001061848,0.0835211803657,0.0967383111173,0.0777325244977,0.0788679755002,0.019238075392,0.0807633824604,0.0843067299788,0.0994486071381,0.0792083590799,0.0781454262797,0.0822079466427,0.0209765137097,0.0892851738833,0.0180991518079,0.0835203539654,0.022442434136,0.0232804270294,0.021331169433,0.0267726622993,0.022569574391,0.0835934483024,0.0808439379888,0.019651781475,0.0836355190892,0.0774492017467,0.0840813751631,0.0187272907925,0.0797058011028,0.0871066945721,0.0328058202775,0.0199045146316,0.0779031673694,0.0188169216768,0.0171057403807,0.0784110787092
"1642.MS00396",0.0193108353584,0.0843755671156,0.0206692590443,0,0.084879989797,0.08126361755,0.1002383835413,0.081256905725,0.0787512417221,0.02284993873,0.0821458329869,0.0890782823716,0.0876783066946,0.0842396267598,0.079665976486,0.0833066942934,0.0187322376628,0.0916838846988,0.0219732475963,0.0886407974312,0.0264721224338,0.0199265288786,0.018464386611,0.0198957512222,0.0260706868108,0.0880150315879,0.0816608654297,0.0186239541596,0.083507403064,0.0814437408663,0.086445462273,0.0202113657383,0.0807244739756,0.0936456274014,0.0235543805834,0.0175938053421,0.0797691923512,0.0234591171577,0.0206196722043,0.0798501107582
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.0738944290322,0.0165070804275,0.0793001061848,0.084879989797,0,0.0396115376427,0.0215659249722,0.0184465782855,0.0416201271677,0.0853826385019,0.0288366562041,0.0291806170748,0.0429138772907,0.0283036855638,0.028696549218,0.0318359663855,0.0784164309305,0.0224252271147,0.0859562931063,0.0178740394516,0.0715825387135,0.0658258969582,0.0726802431865,0.0705132523282,0.0845072151784,0.0141911693441,0.0341284027688,0.0741502252532,0.0238423796463,0.0223750285115,0.0376236014749,0.081954705222,0.0209839755762,0.0205395607012,0.0835364900428,0.0701457453766,0.0281419749138,0.0805085474507,0.0735504461427,0.0306455467593
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0749047376965,0.0454109407482,0.0835211803657,0.08126361755,0.0396115376427,0,0.0509956853138,0.037650013851,0.0315628269158,0.0868780828187,0.0336855463801,0.0458682685806,0.0246598540562,0.0488743096806,0.0250467432786,0.0339481040985,0.0784000287338,0.0620400118474,0.0811308146054,0.0422308330487,0.0715315738787,0.0783254668006,0.0710309082387,0.0740155087423,0.0913375620147,0.038414458252,0.0308418045761,0.0745319509429,0.0455198567215,0.0482700389779,0.022545912583,0.0782671897846,0.0379840209772,0.0546510042496,0.0835991536248,0.0704017233607,0.0275162980066,0.0873624273462,0.0723212814824,0.0275087698572
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.0876610965138,0.0193150454543,0.0967383111173,0.1002383835413,0.0215659249722,0.0509956853138,0,0.0211434745869,0.0431238018393,0.1033315523231,0.0401146192006,0.0190249394153,0.0454959442441,0.0211835816863,0.0495559384113,0.0348077083272,0.090861698688,0.0183648879748,0.1015674502869,0.018911666864,0.0862116697746,0.0814938046498,0.0865918281113,0.0768967458623,0.1055576308069,0.0211910156481,0.0338956725614,0.0862238994248,0.0150295254847,0.0178004360073,0.0462069984114,0.0981692986294,0.0197383469653,0.0189569684839,0.0935423133127,0.0844852664151,0.0422705384411,0.0972398469634,0.0862019370865,0.0388767132911
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.0697582459246,0.016549114562,0.0777325244977,0.081256905725,0.0184465782855,0.037650013851,0.0211434745869,0,0.0386079953822,0.0804519882609,0.0325953752128,0.0277934484875,0.0357374063144,0.0257278018619,0.0371082624919,0.0364840998188,0.073913022375,0.0207829940196,0.0855190217225,0.015151348476,0.0730259379735,0.061744025638,0.0692212971285,0.0654826256223,0.0837582774989,0.0177806025647,0.0337233441752,0.072556023002,0.0217506117669,0.0189092189145,0.0351513163261,0.0834642998751,0.0204259201452,0.017670846247,0.0741881762448,0.0708251081686,0.0314495661123,0.0809604118718,0.0691199168512,0.0306513092604
"2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0687665040796,0.0424076041858,0.0788679755002,0.0787512417221,0.0416201271677,0.0315628269158,0.0431238018393,0.0386079953822,0,0.0848816708555,0.0355451502152,0.0251329226366,0.0355398793901,0.0237180861267,0.0355711051359,0.0363109234567,0.0742762380848,0.0488171606094,0.0812878576917,0.0382787968754,0.0689307709406,0.0684764152414,0.0669160961659,0.0670126468214,0.0858353383086,0.0413312690557,0.0316794264448,0.0708704603272,0.0353042043263,0.0449431155546,0.0393191181754,0.0749731447532,0.0341104371324,0.0402831789637,0.0770339877278,0.0638703411838,0.0346907245978,0.0799748993285,0.0689970661906,0.0321595988288
"1642.MS00469",0.0177149996569,0.0844421301781,0.019238075392,0.02284993873,0.0853826385019,0.0868780828187,0.1033315523231,0.0804519882609,0.0848816708555,0,0.0788737613553,0.0922609392562,0.0963796553872,0.0853772591931,0.0833407280909,0.0894471828129,0.0240473249772,0.0961393043359,0.0198117804717,0.0917530374113,0.0259382524971,0.0223002766969,0.0239876386303,0.0302768300436,0.0221381529569,0.0911536502404,0.0820583048455,0.0207877566495,0.0895929378119,0.0828248086862,0.0881685205648,0.0185164167457,0.0862073436918,0.0956253178683,0.0374004972136,0.0208109921298,0.079880966504,0.0192051535665,0.0186202830016,0.0823484079915
