"","1642.MS00505","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00577","1642.MS00396","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00492","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00629","1642.MS00339","1642.MS00387","1642.MS00344","1642.MS00588","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00476","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00384","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00575","1642.MS00544","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00505",NA,-0.753284900459428,-3.89208453248419,-3.57782236832414,-0.638470589461065,0.858282042878655,-0.262866350911364,1.27917668629927,0.547098349301858,-3.35516983067253,0.447213691478079,-0.292046268797159,4.4155437532033,0.271651344332027,5.59156505929305,-0.108293356762861,-2.09407944357984,-0.580551304300093,-4.21253593749192,-0.651585609697403,-3.20515388476506,-3.55641579938767,-2.42272470417335,-2.83474005220186,-2.2749446165409,-0.299020336949698,0.292579008385394,-4.16719167608431,-0.623217397768308,-0.962571463059908,1.1629853716862,-3.46608487724759,-0.201856740092685,-0.0423422815309778,-2.05726934633914,-4.07786819031009,0.0859599672153565,-3.60750500971932,-4.58525659436396,0.494957844985221
"2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences",-0.753284900459428,NA,0.321817487998873,1.07135910466844,-2.86880042781882,-3.23872267163914,-5.94164054799557,-8.1089737100875,-4.81974017377398,1.12073638686836,-5.16089037996333,-4.66029335360363,-1.28606433856175,-2.879000574924,-3.74255747840383,-4.40233094780764,-0.13071539876709,-5.06688338257294,1.75515347538288,-5.2894551602115,-0.11407565372551,-1.21432506456585,0.289235013415155,-1.69879931424075,2.04079758277414,-6.5029758536932,-4.84547695878297,-0.382369149470671,-5.77485285540499,-5.29819641427048,-3.65474083271903,0.765037954601234,-4.5468386848388,-5.71823401755825,-0.626788378071854,-0.890657289748627,-4.41629916483062,-0.136382218054244,-0.634313309753879,-4.95238390456162
"1642.MS00577",-3.89208453248419,0.321817487998873,NA,-3.14544767084381,0.0256173704111089,3.08735256549447,0.550543354939797,2.68200159808961,2.93716250014939,-3.46588960438651,2.80404402999077,0.776844233743984,6.87614024012781,0.802150097564832,8.73733404700176,1.05824875086935,-2.32838754610425,-0.0431016112618527,-4.13506050182933,0.160291487883218,-3.72728263070788,-3.76759334217231,-2.9754653734224,-2.62543975655202,-3.38872436313921,0.590015298488647,2.1620093478222,-4.24877699917971,0.341436199203167,-1.27499739811808,3.96786532391655,-4.35923336334847,0.958466204010357,0.662214955581975,-1.94194708939713,-3.987829611269,2.08653057619249,-3.56676252484276,-5.00156325417085,2.60604976489065
"1642.MS00396",-3.57782236832414,1.07135910466844,-3.14544767084381,NA,1.47249718050772,5.36615618013572,1.11756641624842,2.44876988229865,7.55797748715112,-3.37087713189035,6.55113887374677,2.18419421180711,9.93016092958409,0.971398266949287,7.98158720797841,1.97584465153425,-2.26035939730874,0.237248498773434,-2.88900614399844,1.36547151324947,-3.01674496429919,-5.19056221557996,-3.85697579649093,-4.21047147513659,-3.6149124760014,1.94896453441755,4.93027983214141,-4.32637821114032,0.99267044689268,-0.961893806449948,9.55659785452389,-4.18408104738532,1.91387722624437,2.1777276531094,-2.34112305655344,-4.63671708241605,5.63308603160251,-4.09625299595963,-3.67630021611731,6.36442048519877
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",-0.638470589461065,-2.86880042781882,0.0256173704111089,1.47249718050772,NA,-4.22530635874874,-4.74804181830438,-3.93782217883221,-4.64009616269815,1.25406178203231,-5.00768878855023,-4.54502197954184,-1.66938088329447,-3.34408205542055,-3.42157403603968,-6.11430240407542,-0.0424459197034575,-3.26161716711507,1.67342421556779,-3.67937180691542,-0.297316245715874,-1.40886157587663,-0.00188152460296981,-1.22645648379872,1.07975577256854,-3.37980731465785,-4.51627719527421,-0.454532176462624,-4.59341983189205,-2.36835879886878,-3.38147196719174,0.476665917463115,-3.73035247859566,-3.95009838993247,0.289117675225993,-0.971292921583321,-4.15084720885641,-0.433002357250968,-0.434299941783868,-4.67229994723888
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",0.858282042878655,-3.23872267163914,3.08735256549447,5.36615618013572,-4.22530635874874,NA,-2.60493666921405,-4.43299437756663,-6.29298766516419,4.6160185256802,-4.658744587158,-3.23411382828072,-4.41547076131646,-2.30977430635011,-5.23245083292902,-3.30504408733053,2.48523267945048,-1.35816856093382,5.52526250516948,-3.35295161204607,3.11618394831832,0.928608682465254,3.00741459778641,0.998136596810716,6.05139664467043,-3.89333559130504,-4.52027168633606,3.59606747719682,-3.63333063961157,-2.37899061388031,-5.78126948136917,3.52875245931969,-3.48329844442102,-2.63421105344237,1.94652397354583,0.628899345493314,-6.2792558547649,1.949242992121,1.52061545754681,-5.0120503751759
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",-0.262866350911364,-5.94164054799557,0.550543354939797,1.11756641624842,-4.74804181830438,-2.60493666921405,NA,-7.38720108204243,-3.02437656030115,1.15213737177658,-6.43024528835558,-7.401841293311,-4.34028913407763,-8.06531559293248,-2.38544054359326,-4.75252879247163,-0.0351599196295565,-6.11608616415247,1.26500690667375,-4.99419510656672,-0.120507719277237,-0.925888100686935,0.0900001338678609,-1.1756931554345,1.47461920115113,-5.47700871712812,-2.80051412642308,-0.293970273329708,-5.9744390884507,-2.48498988378535,-4.66359343618446,0.697420763511496,-7.35315287280893,-3.15662561287899,0.0475167668021294,-0.519785195860719,-3.10185966320382,0.129440330019403,-0.239913918358244,-6.07829576460921
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",1.27917668629927,-8.1089737100875,2.68200159808961,2.44876988229865,-3.93782217883221,-4.43299437756663,-7.38720108204243,NA,-5.94703804593262,2.29917038355637,-6.4903470023849,-4.57674630199458,-4.16898965229985,-2.61656019038447,-4.61758975847801,-5.10360403725097,0.222297184385499,-6.24683930185079,3.97943605835543,-4.46988225219685,0.741117321371362,-1.29223026081442,0.917620528625916,-1.02515770789808,3.42029370495653,-7.21709814947967,-6.15080105054894,0.362318883342984,-7.11426609459166,-6.84272285570322,-4.41955094422754,2.65307605093412,-6.28453036367112,-6.28351143840293,0.0314114914932288,0.877388299077921,-6.22332759475933,2.20168145490624,1.10812222822324,-6.72124362394648
"2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences",0.547098349301858,-4.81974017377398,2.93716250014939,7.55797748715112,-4.64009616269815,-6.29298766516419,-3.02437656030115,-5.94703804593262,NA,5.92136386730733,-7.98349131200783,-5.38387999437858,-6.34235340200211,-4.53450775962891,-7.75597931755724,-6.68879740782798,3.0405419328516,-2.39481563766027,8.32760327946305,-5.27640607510255,4.27212246047604,0.107531925068028,4.63939660196584,0.757659501448964,6.872008649858,-4.67961088500006,-9.01380161506354,4.64491057416645,-5.6276513885249,-6.62244434542245,-5.57493556635673,3.84897626832945,-4.90814890071534,-4.50955528670462,1.58383777630486,0.231299334261073,-7.6417558707951,1.43334105161853,1.39011354039699,-9.01323243240401
"1642.MS00469",-3.35516983067253,1.12073638686836,-3.46588960438651,-3.37087713189035,1.25406178203231,4.6160185256802,1.15213737177658,2.29917038355637,5.92136386730733,NA,3.42761307826864,2.12684149268056,9.40041918042559,0.971568359063846,8.51485349704981,2.39236219438542,-1.51002046407368,0.495985260391912,-3.06447262678515,1.40028882582632,-2.5766327022639,-3.82968898594315,-1.1741338078483,-2.27168131728137,-2.38163692198176,2.16184579131743,3.5114427985826,-3.39590856952196,1.46601924698042,0.448977668944878,7.05141430541491,-4.30029470174509,2.61049036804128,2.15833505073854,-1.54173002683928,-4.10380664387417,3.63083132634583,-3.42630741846571,-4.57007731361231,4.76041669285867
