"","1642.MS00517","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00348","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00462","1642.MS00361","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00468","1642.MS00502","1642.MS00443","1642.MS00441","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"1642.MS00517",0,0.9118,0.9626,0.8992,0.5778,0.9486,0.9426,0.5234,0.9114,0.9594,0.9442,0.9112,0.5496,0.6878,0.5678,0.9572,0.5694,0.6636,0.9358,0.9472,0.5518,0.5276,0.662,0.9568,0.4846,0.8956,0.482,0.5026,0.5616,0.464,0.899,0.5552,0.9492,0.9148,0.9328,0.9188,0.9076,0.55,0.8796,0.535
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9118,0,0.8868,0.569,0.9144,0.8502,0.7942,0.8782,0.8876,0.869,0.8108,0.9012,0.925,0.9594,0.924,0.8578,0.9102,0.9218,0.8352,0.8234,0.9508,0.886,0.9242,0.8678,0.9046,0.607,0.9186,0.9338,0.926,0.9088,0.545,0.9406,0.832,0.5388,0.8232,0.6892,0.63,0.92,0.7492,0.9322
"2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences",0.9626,0.8868,0,0.8954,0.9646,0.5876,0.7212,0.9498,0.8778,0.5076,0.7182,0.8394,0.9604,0.982,0.97,0.5812,0.9684,0.9674,0.6324,0.637,0.9746,0.9524,0.9636,0.5438,0.96,0.8962,0.9674,0.9676,0.965,0.9622,0.8936,0.9724,0.6708,0.8954,0.6678,0.9122,0.8994,0.9652,0.9378,0.9722
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8992,0.569,0.8954,0,0.9002,0.8516,0.8284,0.8578,0.8564,0.8778,0.8222,0.8766,0.9098,0.9516,0.9104,0.865,0.8976,0.9106,0.821,0.8418,0.9452,0.8684,0.9158,0.8794,0.8836,0.526,0.9044,0.9226,0.9028,0.894,0.5686,0.932,0.8612,0.4682,0.8298,0.6268,0.6324,0.9016,0.7142,0.9196
"1642.MS00429",0.5778,0.9144,0.9646,0.9002,0,0.9468,0.9404,0.5484,0.9148,0.9604,0.9406,0.9112,0.614,0.705,0.6348,0.958,0.6242,0.6442,0.9412,0.9444,0.6646,0.5838,0.6066,0.9564,0.5472,0.9034,0.6224,0.6362,0.5872,0.571,0.9056,0.6702,0.9472,0.9174,0.938,0.9216,0.9174,0.5176,0.9036,0.5966
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.9486,0.8502,0.5876,0.8516,0.9468,0,0.4312,0.9296,0.783,0.5716,0.4994,0.7402,0.9466,0.9714,0.9554,0.4954,0.9514,0.9522,0.4948,0.3848,0.9646,0.9368,0.9452,0.5262,0.9392,0.8802,0.9536,0.9576,0.953,0.948,0.8614,0.9618,0.6088,0.8694,0.5698,0.8764,0.8694,0.9488,0.911,0.9588
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",0.9426,0.7942,0.7212,0.8284,0.9404,0.4312,0,0.9188,0.764,0.6904,0.492,0.7326,0.9416,0.962,0.9506,0.6128,0.9392,0.9486,0.513,0.5202,0.9576,0.928,0.9416,0.6774,0.9334,0.8736,0.9476,0.95,0.946,0.9382,0.8122,0.9544,0.7102,0.8438,0.568,0.882,0.858,0.9412,0.9056,0.9518
"1642.MS00387",0.5234,0.8782,0.9498,0.8578,0.5484,0.9296,0.9188,0,0.874,0.9432,0.9106,0.884,0.5966,0.7176,0.566,0.9386,0.555,0.6136,0.92,0.9234,0.6786,0.482,0.602,0.9396,0.4736,0.8582,0.545,0.605,0.505,0.5118,0.863,0.6772,0.9272,0.888,0.909,0.8948,0.878,0.497,0.8466,0.6074
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.9114,0.8876,0.8778,0.8564,0.9148,0.783,0.764,0.874,0,0.8832,0.7634,0.3732,0.9136,0.9492,0.9216,0.8302,0.9194,0.927,0.7574,0.8074,0.9412,0.875,0.9164,0.8562,0.903,0.8678,0.9148,0.9254,0.9078,0.9024,0.8616,0.9346,0.821,0.8754,0.7416,0.8728,0.8584,0.9084,0.8572,0.9264
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",0.9594,0.869,0.5076,0.8778,0.9604,0.5716,0.6904,0.9432,0.8832,0,0.6876,0.8304,0.958,0.978,0.9648,0.5102,0.9642,0.9654,0.659,0.5938,0.9716,0.9446,0.9586,0.4024,0.955,0.8784,0.9628,0.9656,0.963,0.9598,0.8766,0.9724,0.5638,0.8668,0.5798,0.8928,0.8578,0.9632,0.9218,0.9692
