"","1642.MS00517","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00348","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00462","1642.MS00361","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00468","1642.MS00502","1642.MS00443","1642.MS00441","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"1642.MS00517",0,1,1,1,-0.138,1,1,-0.775,1,1,1,1,-0.451,0.459,-0.17,1,-0.133,0.868,1,1,-0.792,-0.69,0.84,1,-0.97,1,-0.991,-0.96,-0.349,-0.996,1,-0.618,1,1,1,1,1,-0.484,1,-0.724
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0,0.825,-0.698,1,0.96,0.803,1,1,0.992,0.953,1,1,1,1,0.791,1,1,0.966,0.754,1,1,1,0.932,1,-0.299,1,1,1,1,-0.841,1,0.897,-0.927,0.9,0.57,0.167,1,0.956,1
"2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences",1,0.825,0,0.922,1,-1,-0.922,1,0.618,-1,-0.926,-0.079,1,1,1,-1,1,1,-0.998,-0.986,1,1,1,-1,1,0.923,1,1,1,1,0.924,1,-0.978,0.928,-0.978,0.977,0.947,1,1,1
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.698,0.922,0,1,0.956,0.978,1,1,0.998,0.986,1,1,1,1,0.873,1,1,0.898,0.912,1,1,1,0.982,1,-0.952,1,1,1,1,-0.674,1,0.994,-1,0.928,-0.373,0.179,1,0.738,1
"1642.MS00429",-0.138,1,1,1,0,1,1,-0.413,1,1,1,1,0.558,0.663,0.842,1,0.746,0.692,1,1,0.747,0.257,0.117,1,-0.512,1,0.589,0.603,0.0840000000000001,-0.187,1,0.92,1,1,1,1,1,-0.792,1,0.174
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",1,0.96,-1,0.956,1,0,-1,1,-0.026,-0.996,-1,-0.571,1,1,1,-1,1,1,-1,-1,1,1,1,-0.998,1,0.998,1,1,1,1,0.98,1,-0.984,0.984,-0.994,0.994,0.989,1,1,1
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",1,0.803,-0.922,0.978,1,-1,0,1,0.171,-0.833,-1,-0.396,1,1,1,-0.996,1,1,-1,-1,1,1,1,-0.938,1,1,1,1,1,1,0.95,1,-0.679,0.996,-1,1,1,1,1,1
"1642.MS00387",-0.775,1,1,1,-0.413,1,1,0,1,1,1,1,0.475,0.836,-0.047,1,-0.183,0.318,1,1,0.88,-0.94,0.14,1,-0.982,1,-0.591,0.189,-0.857,-0.822,1,0.972,1,1,1,1,1,-0.896,1,0.466
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",1,1,0.618,1,1,-0.026,0.171,1,0,0.992,0.282,-1,1,1,1,0.26,1,1,-0.107,0.366,1,1,1,0.744,1,1,1,1,1,1,1,1,0.687,1,-0.331,1,1,1,1,1
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",1,0.992,-1,0.998,1,-0.996,-0.833,1,0.992,0,-0.832,0.658,1,1,1,-1,1,1,-0.924,-0.984,1,1,1,-1,1,0.998,1,1,1,1,0.996,1,-1,0.996,-0.996,1,0.992,1,1,1
