"","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00429","1642.MS00348","1642.MS00468","1642.MS00411","1642.MS00366","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00640","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00441","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00583","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00502","1642.MS00554","1642.MS00387","1642.MS00517","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00462","1642.MS00520","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00443","1642.MS00361","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",0,0.0284104360766,0.0198043916398,0.1160734585538,0.053294226709,0.0163989496593,0.0325862243644,0.1066363646425,0.1053316587388,0.1132533788326,0.1084946666059,0.0946047248911,0.0161679762856,0.1204981392177,0.0469819912723,0.0170649345853,0.0482957272816,0.0136505829241,0.0223279937741,0.0523211217863,0.0425538933388,0.1113232693634,0.0575713848308,0.0552754386001,0.1307967755201,0.0156220547624,0.1274736848301,0.1051616470998,0.1214105506051,0.1020607206748,0.1039238149522,0.0262716456847,0.1107298616962,0.104512115332,0.053157979162,0.0519032178629,0.1183562747953,0.1200894800512,0.1022586992784,0.0472581507902
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",0.0284104360766,0,0.0127207109347,0.1053433464069,0.0382421408134,0.0330000136619,0.0174935476139,0.1000890011374,0.0950511924033,0.1081213220192,0.0985053638684,0.0839583919999,0.0211179763599,0.1151633615248,0.0394141566152,0.0201143235547,0.0483887225681,0.0280965578029,0.0179052859816,0.0447196878077,0.0307874895816,0.1022034064183,0.0575483272624,0.051453282896,0.1263834402332,0.0257256262975,0.1197325709557,0.0979928140612,0.112821972764,0.0930541621734,0.0980403726951,0.0188789656658,0.1066246894808,0.0967217435065,0.0419270214275,0.0459237918722,0.1123512361077,0.1134142351771,0.0919256305467,0.0526729464015
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.0198043916398,0.0127207109347,0,0.1048904009418,0.0442462548595,0.0223312973209,0.0165497509594,0.0991492908812,0.0963230688178,0.1040981590944,0.0979694759096,0.0859839725505,0.0174032336303,0.1141351659852,0.0411313233132,0.0142324971183,0.0507477630546,0.0222178025313,0.0125544225086,0.0462296161523,0.0296158657282,0.1018575360353,0.0534699518429,0.0519017024304,0.1246085317906,0.0184807560676,0.1193042855952,0.0979349034749,0.1114218458123,0.0920888537842,0.0950081041477,0.0179755207398,0.1053907804981,0.0984847152161,0.0362401558384,0.0433870178227,0.1142468619732,0.1141904918085,0.0930465583627,0.051564480052
"1642.MS00415",0.1160734585538,0.1053433464069,0.1048904009418,0,0.0896631590959,0.1047098305446,0.099630347526,0.0222694131712,0.0259943867262,0.0240432214503,0.0190195266612,0.0278489815231,0.0980222612722,0.0277997919568,0.0895023960429,0.1206602655629,0.0920367752795,0.1081513647992,0.1051899759049,0.0860135604416,0.098426259369,0.0195146032305,0.0813323911136,0.0840560931456,0.0252253929787,0.1164388885315,0.0258831300329,0.0253151708452,0.025439331537,0.0218431214743,0.0232904609327,0.098810595536,0.024203712418,0.0248909081357,0.0897956057024,0.0912180466393,0.0261326148029,0.0209679303368,0.0227686554783,0.0931799657167
"2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences",0.053294226709,0.0382421408134,0.0442462548595,0.0896631590959,0,0.0485832227825,0.0387003953449,0.0836580669199,0.085128048455,0.0882282704987,0.0843009955623,0.08285371527,0.0421154787404,0.0996411145533,0.0212899233943,0.0487993768951,0.0252572020337,0.0518015123646,0.0453779682175,0.0224037377342,0.0505736797586,0.0877097965945,0.0384172492075,0.0268751961994,0.1059635210068,0.0544892078769,0.1022774984629,0.0873729748364,0.0981918814295,0.0751547325254,0.0797372468174,0.0408255355033,0.086799167753,0.0920277244261,0.0493276593466,0.028920295327,0.1045789990757,0.0945522083619,0.0837090090684,0.0280220989415
"2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences",0.0163989496593,0.0330000136619,0.0223312973209,0.1047098305446,0.0485832227825,0,0.0298417501128,0.0947842096944,0.095144241161,0.1027113469404,0.0960654759153,0.0869017082098,0.0193586968752,0.1106182765049,0.0412534362732,0.0234731211542,0.0525468526116,0.0174882618651,0.0280688654267,0.0523412115777,0.045453776372,0.0995539824891,0.0579019228439,0.0479693269385,0.1173049906032,0.0201104075366,0.1160336703234,0.0943531542488,0.1097823708138,0.0909099515164,0.0928123141391,0.0265528965658,0.1001186547329,0.0946153367642,0.0525730787764,0.0489361379176,0.1081945392762,0.109711802563,0.0923905910779,0.0429455452871
"2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences",0.0325862243644,0.0174935476139,0.0165497509594,0.099630347526,0.0387003953449,0.0298417501128,0,0.0930670930788,0.0904926186298,0.1032816672442,0.0929819972434,0.0813161219828,0.0262877646912,0.107207792869,0.0387021748941,0.025424128713,0.0567331216026,0.0301718764318,0.0190457340848,0.0437080835394,0.0288768627388,0.0975341959554,0.0608206117409,0.0502237897854,0.1166948742109,0.0321577020346,0.109906559842,0.0935333654001,0.1074776028665,0.08596200063,0.0921205640821,0.0217268919399,0.0995091427464,0.0933331373656,0.0316036455471,0.0426341917251,0.1083046664839,0.1060010300758,0.0885543529648,0.0466056795243
"1642.MS00429",0.1066363646425,0.1000890011374,0.0991492908812,0.0222694131712,0.0836580669199,0.0947842096944,0.0930670930788,0,0.0275662591925,0.0286707406148,0.0245175113947,0.0268788218405,0.0934926155903,0.029489662329,0.0823482753915,0.1091323461327,0.0894575469279,0.0984838479389,0.0970208250242,0.0805074698345,0.098010267507,0.0252311666314,0.0803000058556,0.0830395599987,0.0345228035611,0.1099677584535,0.0336006194679,0.0276512654321,0.0261200587897,0.0246553190508,0.0248578195497,0.0998131631422,0.0304932635496,0.0262604690312,0.0904319113539,0.0877464208648,0.0286979888758,0.0298075673652,0.0240843880881,0.0904085349777
"1642.MS00348",0.1053316587388,0.0950511924033,0.0963230688178,0.0259943867262,0.085128048455,0.095144241161,0.0904926186298,0.0275662591925,0,0.0362919993347,0.0275865192206,0.0218728769563,0.0909013062635,0.0417395900142,0.0868361470941,0.1109995088762,0.0964153189499,0.1018697055474,0.0977466284708,0.0870252972548,0.0910651538327,0.0315178242292,0.0802209075625,0.085385311272,0.0470164413135,0.117258705946,0.0471881613339,0.0402753470432,0.0401416644379,0.02799614577,0.0345499910156,0.0938436520703,0.0374155840219,0.0392238879094,0.0834399370172,0.085427046733,0.0421214862693,0.0369364665996,0.0219754609108,0.0909319658422
"1642.MS00468",0.1132533788326,0.1081213220192,0.1040981590944,0.0240432214503,0.0882282704987,0.1027113469404,0.1032816672442,0.0286707406148,0.0362919993347,0,0.0214150210287,0.0355975505154,0.1017786194996,0.0237638831487,0.0869070687352,0.1198520044027,0.1059159716461,0.1089378415236,0.1047911452756,0.0959142035014,0.0979298000129,0.0210195827614,0.0846581908143,0.0850407399414,0.0239227914371,0.1137170024931,0.024772671692,0.0201009838647,0.0217924930231,0.0239660978943,0.0205276626196,0.0992049868632,0.0220565205143,0.0229270599659,0.0912909274901,0.0869175219224,0.0232531678747,0.0222188534172,0.0290216242799,0.0889332313229
