"","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00429","1642.MS00348","1642.MS00468","1642.MS00411","1642.MS00366","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00640","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00441","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00583","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00502","1642.MS00554","1642.MS00387","1642.MS00517","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00462","1642.MS00520","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00443","1642.MS00361","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",NA,-6.03902901320519,-5.61012069534109,1.123088015742,-4.65460081133503,-5.62752359531327,-5.36158464206883,0.0294354902511816,-0.465472479074629,0.760719276340412,0.598877155164535,-1.75572458951611,-5.88467374744078,2.13010975962374,-7.67114883936666,-5.79257637015617,-6.40475143892087,-6.30005666075555,-4.57211904428255,-6.27280595641048,-4.92503061819561,0.598253924108037,-4.56884016435289,-4.56069582743499,3.29205431682423,-5.65985235785926,3.10875949041573,-0.50051714523859,1.78574866134717,0.186109867576838,-0.189414487011457,-5.47989875786611,1.60950239719668,-0.615955451504398,-4.5152635384974,-7.05133795185906,0.54362876724477,1.91013164027909,-0.722923966691079,-5.90098238087598
"2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences",-6.03902901320519,NA,-8.79967140968479,1.71256382121006,-4.68114122895032,-4.93391041208602,-6.4736384351767,0.785081933544454,-0.131542694682312,1.57442714272947,0.903473607080815,-1.78520264743151,-7.18116536585256,3.80339044244373,-4.98168947542869,-4.68679360318051,-3.30114601069126,-6.0227306363219,-6.38060249442763,-4.27458016191195,-6.83073278599034,1.27290594179413,-3.3138710179953,-4.10454562672874,4.72234741069554,-7.0861646014632,5.13958907977972,0.0169096062019062,2.70527673566866,1.49102213985683,0.593326138902627,-7.41016150543754,3.00496000874746,-0.301574206767661,-5.37841226891197,-5.29049804050995,1.48393658691867,3.1246693312286,-0.538269172592374,-2.05854453787298
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",-5.61012069534109,-8.79967140968479,NA,0.176429714109226,-4.77053019312459,-5.21725850052206,-7.69496065627721,-0.398849114460007,-0.784954850530326,0.0767890223715394,-0.264398661969488,-2.07813303519006,-7.83273376523597,1.90041495447261,-7.66720610027384,-3.7997344027077,-5.04926237005194,-5.81254229523795,-5.99973827743481,-5.98705687242781,-5.24261841802516,0.0429728135287636,-4.30143179101833,-4.69788218924808,3.01622943392862,-7.19446069783738,3.05427921991319,-0.810133797333736,1.11561535840032,-0.301170029566629,-0.63530173034956,-6.56851506872663,1.18233969611867,-0.732810476540886,-5.45341163231479,-7.40764006941516,0.551578254990927,1.61825133716513,-1.42597604943717,-3.72044496109261
"1642.MS00415",1.123088015742,1.71256382121006,0.176429714109226,NA,5.47007761901212,0.554598847328383,0.674794115033577,-4.52343461837747,-4.22779400802487,-4.03957596929006,-4.27349446113586,-4.95939546504218,0.573913363627084,-4.36501266791485,3.67844226763427,1.6818302258524,4.67771656053959,0.497344650353913,0.593626995258881,4.03637614989204,1.47654505319754,-5.19513367274538,3.03399676537155,3.58303599588038,-3.66405401697213,-0.000943008796612316,-2.8402117079267,-4.10521125845172,-3.47086473242177,-3.64536091739772,-4.23766701309011,0.273236240037107,-3.9757689279565,-3.83387650154299,0.523581769206196,2.82979458720299,-5.83304759718211,-3.66089055986619,-6.18235528419764,4.25940016928825
"2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences",-4.65460081133503,-4.68114122895032,-4.77053019312459,5.47007761901212,NA,-5.39486743803515,-4.67893141055636,3.42854972274809,1.67189261438653,2.64034685890419,2.81701879207909,-0.720787692542061,-6.19696580163472,8.09854490446119,-9.58105155701214,-6.15105104565874,-7.9128916669733,-4.70973995394522,-5.02158332617525,-7.87105932479616,-5.31992709415666,2.5736589730262,-6.6763816100169,-9.37384287091077,11.0068042883821,-4.59873634437844,10.4446537642521,0.987135851604541,5.65855549544539,2.69329371275818,0.900862810794366,-4.34275656696108,7.19179411896085,0.635906746949651,-5.18682076505482,-9.32679193485859,3.42831267363323,7.27466614834291,1.72279181679771,-3.4947524028189
"2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences",-5.62752359531327,-4.93391041208602,-5.21725850052206,0.554598847328383,-5.39486743803515,NA,-5.55321730447847,-0.738335239839108,-0.650327278625865,0.275016876559909,-0.13115380332782,-1.97373263090126,-5.88608856380892,1.94955450337909,-6.70508526472861,-4.28166678482991,-4.20095400524148,-5.74597752750714,-3.57411362934815,-4.6424035565388,-4.36636500110196,0.0756765795244207,-4.47775571219795,-5.68438717957198,3.2230238148087,-5.29774600694082,3.25873843844042,-0.781803041771493,1.49101024114863,-0.257185314086116,-0.821194548887804,-6.03979173027558,1.01617317774737,-0.846015960760159,-4.44744649930336,-6.07427540059668,0.32498048075308,1.67622758191776,-1.31778504747759,-5.31247399210321
"2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences",-5.36158464206883,-6.4736384351767,-7.69496065627721,0.674794115033577,-4.67893141055636,-5.55321730447847,NA,-0.260603579669577,-0.713137998176832,0.769716169860133,-0.0434402965520809,-1.88596829140874,-6.066674358511,1.99419619245232,-6.13970756025282,-4.40125339997209,-1.30720846490211,-5.3712610920865,-6.98111260015443,-4.70527733891015,-7.39874874462585,0.436805260696914,-2.48289742596199,-4.35651906074793,3.0079685944429,-5.47065784789665,4.17044026018445,-0.469254811711632,1.5463773474843,0.589578925510064,-0.219397185561529,-6.02335191823526,1.39654388573021,-0.548290746047801,-7.3858785659291,-5.88318159518418,0.854540921718838,1.63724546424021,-0.860334095126124,-3.05367534129623
"1642.MS00429",0.0294354902511816,0.785081933544454,-0.398849114460007,-4.52343461837747,3.42854972274809,-0.738335239839108,-0.260603579669577,NA,-3.50771289110727,-3.58424899888222,-3.93705400745153,-5.67057959746033,-0.534228635141591,-2.53013684866006,1.51120655075315,0.184272813653912,4.13648945301047,-0.735465871272039,-0.461105244844221,2.08858493537178,1.50057537850824,-3.34165790338911,2.58280011769899,3.20558710934654,-2.11120105713791,-0.70697179554597,-2.17791460554125,-3.83440615992656,-3.12847033458406,-4.41690293814882,-4.43319134184533,0.149600052625053,-2.57369811513323,-3.0474820453523,0.646014991416045,2.46300246298953,-4.80633569038538,-2.46505981957446,-6.31562213136888,3.60095912501043
"1642.MS00348",-0.465472479074629,-0.131542694682312,-0.784954850530326,-4.22779400802487,1.67189261438653,-0.650327278625865,-0.713137998176832,-3.50771289110727,NA,-2.58406529969456,-2.97876698960503,-4.07566169016819,-0.786188269240176,-1.97773412085152,1.18839296158844,-0.110350738230676,3.71460053732426,-0.657033230925886,-0.468379307154426,1.96945388332217,0.426623499385065,-2.70554077355005,1.52770428622331,1.63569002844801,-0.748988528810357,0.0112398929389979,-0.535372140142358,-0.984789666943413,-1.96725716134624,-2.66406727433902,-2.92299815466965,-0.416466452240079,-1.74460476013895,-2.07661955935242,-0.845837433736045,1.04881367483709,-2.89512393073613,-2.11829165082522,-4.08614239468208,2.48287925828504
"1642.MS00468",0.760719276340412,1.57442714272947,0.0767890223715394,-4.03957596929006,2.64034685890419,0.275016876559909,0.769716169860133,-3.58424899888222,-2.58406529969456,NA,-3.72929274554025,-3.24216659141321,0.729926043691303,-4.1015276923469,1.46337690374546,1.37962967777933,5.73132011393424,0.593464589913628,0.438444854599666,4.23243834216992,2.2924923961161,-4.74150995001285,2.81259197568457,1.75838693919852,-3.64285199266727,-0.288506359200689,-2.68184064074162,-4.86866100630015,-4.76621530490392,-1.94427320299297,-4.34033199186975,0.242989690526267,-3.89217453853656,-4.11645912105385,0.824297607985044,1.10858109327092,-4.40785239931579,-3.41951350751068,-4.57306541401168,2.17245788507126
