"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00515","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00403","1001.SKD8","1642.MS00541","1642.MS00479","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00408","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00383","1642.MS00600","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00603","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00492","1642.MS00437","1642.MS00418","1642.MS00559","1642.MS00363","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00584","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00636","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00506"
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0,0.9188,0.7948,0.9098,0.5932,0.9088,0.9616,0.9142,0.9112,0.6366,0.9228,0.9074,0.6558,0.9084,0.918,0.534,0.9196,0.4952,0.9112,0.9162,0.91,0.9188,0.9026,0.8266,0.7998,0.9346,0.851,0.934,0.625,0.9222,0.8628,0.7976,0.9252,0.8142,0.5376,0.6494,0.6294,0.907,0.5616,0.913
"1642.MS00515",0.9188,0,0.92,0.5148,0.9592,0.534,0.9898,0.4792,0.4602,0.9626,0.5134,0.509,0.9412,0.5562,0.4998,0.9318,0.5114,0.935,0.4556,0.5234,0.5176,0.49,0.579,0.9042,0.9234,0.502,0.9156,0.5442,0.9488,0.5048,0.884,0.9058,0.5436,0.9132,0.9612,0.956,0.9228,0.5084,0.9092,0.5278
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.7948,0.92,0,0.9038,0.892,0.8926,0.9718,0.9178,0.9158,0.8918,0.9244,0.9062,0.814,0.9038,0.9214,0.8326,0.905,0.8812,0.9074,0.9148,0.9102,0.919,0.9058,0.7586,0.8956,0.9416,0.6884,0.936,0.8154,0.919,0.7822,0.6074,0.9274,0.5226,0.8744,0.8154,0.7414,0.9004,0.8158,0.9094
"1642.MS00428",0.9098,0.5148,0.9038,0,0.9514,0.479,0.984,0.537,0.481,0.9506,0.5324,0.4484,0.9398,0.4824,0.5546,0.9214,0.5662,0.9266,0.5282,0.4974,0.486,0.514,0.5012,0.9038,0.9126,0.561,0.906,0.5592,0.9446,0.563,0.8806,0.9066,0.5058,0.8992,0.956,0.942,0.9178,0.5366,0.8802,0.53
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",0.5932,0.9592,0.892,0.9514,0,0.951,0.97,0.9564,0.9524,0.4976,0.9578,0.9536,0.5358,0.949,0.9614,0.5814,0.9566,0.612,0.9586,0.9578,0.9564,0.9624,0.955,0.9184,0.8038,0.964,0.914,0.9676,0.7736,0.957,0.9154,0.9018,0.963,0.8934,0.4572,0.7772,0.7754,0.9488,0.6372,0.9576
"1642.MS00403",0.9088,0.534,0.8926,0.479,0.951,0,0.9878,0.5394,0.5344,0.9508,0.5596,0.48,0.9316,0.517,0.5768,0.9194,0.4952,0.9216,0.5048,0.4832,0.4908,0.522,0.5516,0.8898,0.9118,0.6062,0.895,0.6052,0.9374,0.5256,0.8586,0.8922,0.549,0.886,0.954,0.9432,0.9098,0.5158,0.9248,0.5696
"1001.SKD8",0.9616,0.9898,0.9718,0.984,0.97,0.9878,0,0.99,0.9878,0.9664,0.989,0.9898,0.9776,0.9844,0.9872,0.9688,0.9878,0.955,0.9882,0.9904,0.9874,0.9886,0.9858,0.9922,0.9844,0.9886,0.972,0.989,0.9334,0.991,0.983,0.9818,0.9892,0.974,0.9666,0.9252,0.9612,0.988,0.9766,0.9886
"1642.MS00541",0.9142,0.4792,0.9178,0.537,0.9564,0.5394,0.99,0,0.5098,0.9526,0.5348,0.548,0.938,0.5828,0.4654,0.9224,0.5516,0.9258,0.5088,0.5792,0.5478,0.533,0.629,0.905,0.9086,0.5394,0.9212,0.59,0.9436,0.5142,0.88,0.9164,0.5866,0.9112,0.9582,0.9416,0.9196,0.5336,0.9164,0.592
"1642.MS00479",0.9112,0.4602,0.9158,0.481,0.9524,0.5344,0.9878,0.5098,0,0.9482,0.517,0.475,0.9304,0.5542,0.5264,0.9182,0.5368,0.9244,0.4792,0.5258,0.517,0.4952,0.5422,0.9042,0.9206,0.505,0.9102,0.5134,0.943,0.5262,0.8802,0.9064,0.5098,0.9046,0.9526,0.949,0.9176,0.5078,0.857,0.4944
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.6366,0.9626,0.8918,0.9506,0.4976,0.9508,0.9664,0.9526,0.9482,0,0.9578,0.952,0.521,0.9504,0.9572,0.6162,0.9572,0.6366,0.9606,0.958,0.9578,0.9616,0.9526,0.9214,0.815,0.9628,0.8966,0.9684,0.7692,0.958,0.9008,0.8924,0.9618,0.8964,0.4788,0.7544,0.7548,0.9484,0.7012,0.9596
