"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00515","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00403","1001.SKD8","1642.MS00541","1642.MS00479","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00408","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00383","1642.MS00600","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00603","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00492","1642.MS00437","1642.MS00418","1642.MS00559","1642.MS00363","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00584","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00636","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00506"
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0,1,1,1,-1,1,0.978,1,1,-1,1,1,-0.846,1,1,-1,1,-1,1,1,1,1,1,1,0.714,1,1,1,-0.96,1,1,0.996,1,1,-1,-0.974,-0.824,1,-0.988,1
"1642.MS00515",1,0,1,-0.903,1,-0.705,1,-0.994,-0.998,1,-0.921,-0.917,1,-0.488,-0.938,1,-0.874,1,-1,-0.861,-0.848,-0.974,-0.234,1,1,-0.952,1,-0.678,1,-0.912,1,1,-0.709,1,1,1,1,-0.919,1,-0.834
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0,1,0.974,1,1,1,1,0.948,1,1,0.982,1,1,0.998,1,1,1,1,1,1,1,1,1,1,0.717,1,0.961,1,1,-0.352,1,-0.99,0.976,0.602,0.879,1,0.996,1
"1642.MS00428",1,-0.903,1,0,1,-0.984,1,-0.744,-0.986,1,-0.758,-0.998,1,-0.986,-0.406,1,0.016,1,-0.747,-0.954,-0.97,-0.876,-0.952,1,1,-0.256,1,-0.39,1,-0.078,1,1,-0.947,1,1,1,1,-0.571,1,-0.773
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",-1,1,0.974,1,0,1,0.976,1,1,-1,1,1,-1,1,1,-1,1,-0.996,1,1,1,1,1,1,-0.364,1,0.998,1,-0.659,1,0.998,0.995,1,0.976,-1,-0.654,-0.709,1,-0.998,1
"1642.MS00403",1,-0.705,1,-0.984,1,0,1,-0.66,-0.679,1,-0.351,-0.984,1,-0.834,0.121,1,-0.904,1,-0.897,-0.988,-0.936,-0.766,-0.596,1,1,0.638,1,0.445,1,-0.643,1,1,-0.536,1,1,1,1,-0.785,1,-0.124
"1001.SKD8",0.978,1,1,1,0.976,1,0,1,1,0.954,1,1,1,1,1,0.99,1,0.947,1,1,1,1,1,1,1,1,1,1,0.51,1,1,1,1,1,0.966,0.334,0.988,1,1,1
"1642.MS00541",1,-0.994,1,-0.744,1,-0.66,1,0,-0.945,1,-0.814,-0.636,1,-0.043,-1,1,-0.436,1,-0.931,-0.133,-0.55,-0.776,0.572,1,1,-0.73,1,-0.023,1,-0.89,1,1,-0.116,1,1,1,1,-0.761,1,0.0740000000000001
"1642.MS00479",1,-0.998,1,-0.986,1,-0.679,1,-0.945,0,1,-0.893,-0.988,1,-0.489,-0.802,1,-0.632,1,-0.986,-0.785,-0.842,-0.951,-0.742,1,1,-0.943,1,-0.904,1,-0.784,1,1,-0.925,1,1,1,1,-0.897,1,-0.968
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",-1,1,0.948,1,-1,1,0.954,1,1,0,1,1,-1,1,1,-0.998,1,-0.994,1,1,1,1,1,1,-0.434,1,0.954,1,-0.78,1,0.975,0.958,1,0.966,-1,-0.806,-0.862,1,-0.978,1
"1642.MS00486",1,-0.921,1,-0.758,1,-0.351,1,-0.814,-0.893,1,0,-0.886,1,-0.096,-0.683,1,-0.127,1,-0.84,-0.751,-0.668,-0.924,-0.029,1,1,-0.684,1,-0.267,1,-0.678,1,1,-0.726,1,1,1,1,-0.496,1,-0.61
"1642.MS00408",1,-0.917,1,-0.998,1,-0.984,1,-0.636,-0.988,1,-0.886,0,1,-0.986,-0.113,1,-0.796,1,-0.89,-1,-0.988,-0.948,-0.99,1,1,-0.011,1,-0.869,1,-0.754,1,1,-0.998,1,1,1,1,-0.842,1,-1
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",-0.846,1,0.982,1,-1,1,1,1,1,-1,1,1,0,1,1,-0.974,1,-0.84,1,1,1,1,1,1,0.998,1,1,1,-0.293,1,1,0.942,1,0.953,-1,-0.565,-0.631,1,-1,1
"1642.MS00383",1,-0.488,1,-0.986,1,-0.834,1,-0.043,-0.489,1,-0.096,-0.986,1,0,0.44,1,0.352,1,-0.316,-0.897,-0.886,-0.654,-0.879,1,1,0.548,1,0.149,1,0.333,1,1,-0.436,1,1,1,1,-0.078,1,-0.442
"1642.MS00600",1,-0.938,1,-0.406,1,0.121,1,-1,-0.802,1,-0.683,-0.113,1,0.44,0,1,-0.106,1,-0.758,0.322,-0.232,-0.716,0.748,1,1,-0.942,1,0.0800000000000001,1,-0.745,1,1,0.03,1,1,1,1,-0.659,1,0.308
"2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences",-1,1,0.998,1,-1,1,0.99,1,1,-0.998,1,1,-0.974,1,1,0,1,-1,1,1,1,1,1,1,-0.19,1,1,1,-1,1,0.998,0.998,1,1,-1,-0.944,-1,1,-1,1
"1642.MS00603",1,-0.874,1,0.016,1,-0.904,1,-0.436,-0.632,1,-0.127,-0.796,1,0.352,-0.106,1,0,1,-0.978,-0.725,-0.376,-0.854,0.498,1,1,0.416,1,0.289,1,-0.846,1,1,0.314,1,1,1,1,-0.892,1,-0.492
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",-1,1,1,1,-0.996,1,0.947,1,1,-0.994,1,1,-0.84,1,1,-1,1,0,1,1,1,1,1,1,-0.298,1,1,1,-0.939,1,1,1,1,1,-1,-0.882,-0.764,1,-0.986,1
"1642.MS00492",1,-1,1,-0.747,1,-0.897,1,-0.931,-0.986,1,-0.84,-0.89,1,-0.316,-0.758,1,-0.978,1,0,-0.938,-0.854,-0.99,0.0589999999999999,1,1,-0.634,1,-0.394,1,-0.961,1,1,-0.386,1,1,1,1,-0.916,1,-0.839
"1642.MS00437",1,-0.861,1,-0.954,1,-0.988,1,-0.133,-0.785,1,-0.751,-1,1,-0.897,0.322,1,-0.725,1,-0.938,0,-1,-0.982,-0.703,1,1,0.22,1,0.0089999999999999,1,-0.57,1,1,-0.952,1,1,1,1,-0.605,1,-0.74
"1642.MS00418",1,-0.848,1,-0.97,1,-0.936,1,-0.55,-0.842,1,-0.668,-0.988,1,-0.886,-0.232,1,-0.376,1,-0.854,-1,0,-0.97,-0.651,1,1,-0.371,1,0.308,1,-0.467,1,1,-0.986,1,1,1,1,-0.462,1,-0.582
"1642.MS00559",1,-0.974,1,-0.876,1,-0.766,1,-0.776,-0.951,1,-0.924,-0.948,1,-0.654,-0.716,1,-0.854,1,-0.99,-0.982,-0.97,0,-0.38,1,1,-0.775,1,-0.418,1,-0.858,1,1,-0.923,1,1,1,1,-0.922,1,-0.886
"1642.MS00363",1,-0.234,1,-0.952,1,-0.596,1,0.572,-0.742,1,-0.029,-0.99,1,-0.879,0.748,1,0.498,1,0.0589999999999999,-0.703,-0.651,-0.38,0,1,1,0.602,1,-0.936,1,0.688,1,1,-0.996,1,1,1,1,0.464,1,-0.994
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.571,1,1,1,0.569,0.583,1,0.994,1,1,1,1,1,1
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.714,1,1,1,-0.364,1,1,1,1,-0.434,1,1,0.998,1,1,-0.19,1,-0.298,1,1,1,1,1,1,0,1,1,1,0.994,1,0.831,1,1,1,0.452,0.984,1,1,0.986,1
"1642.MS00584",1,-0.952,1,-0.256,1,0.638,1,-0.73,-0.943,1,-0.684,-0.011,1,0.548,-0.942,1,0.416,1,-0.634,0.22,-0.371,-0.775,0.602,1,1,0,1,-0.426,1,-0.107,1,1,-0.446,1,1,1,1,0.099,1,-0.303
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.717,1,0.998,1,1,1,1,0.954,1,1,1,1,1,1,1,1,1,1,1,1,1,0.571,1,1,0,1,1,1,0.262,0.641,1,0.845,1,1,1,1,1,1
"1642.MS00571",1,-0.678,1,-0.39,1,0.445,1,-0.023,-0.904,1,-0.267,-0.869,1,0.149,0.0800000000000001,1,0.289,1,-0.394,0.0089999999999999,0.308,-0.418,-0.936,1,1,-0.426,1,0,1,0.075,1,1,-0.99,1,1,1,1,0.161,1,-1
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",-0.96,1,0.961,1,-0.659,1,0.51,1,1,-0.78,1,1,-0.293,1,1,-1,1,-0.939,1,1,1,1,1,1,0.994,1,1,1,0,1,1,0.998,1,0.988,-0.924,-1,-1,1,-0.866,1
"1642.MS00636",1,-0.912,1,-0.078,1,-0.643,1,-0.89,-0.784,1,-0.678,-0.754,1,0.333,-0.745,1,-0.846,1,-0.961,-0.57,-0.467,-0.858,0.688,1,1,-0.107,1,0.075,1,0,1,1,-0.122,1,1,1,1,-0.94,1,-0.348
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,0.998,1,1,1,1,0.975,1,1,1,1,1,0.998,1,1,1,1,1,1,1,0.569,0.831,1,0.262,1,1,1,0,0.992,1,1,1,1,1,1,1,1
"2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences",0.996,1,-0.352,1,0.995,1,1,1,1,0.958,1,1,0.942,1,1,0.998,1,1,1,1,1,1,1,0.583,1,1,0.641,1,0.998,1,0.992,0,1,-0.847,0.998,0.916,0.998,1,0.976,1
"1642.MS00438",1,-0.709,1,-0.947,1,-0.536,1,-0.116,-0.925,1,-0.726,-0.998,1,-0.436,0.03,1,0.314,1,-0.386,-0.952,-0.986,-0.923,-0.996,1,1,-0.446,1,-0.99,1,-0.122,1,1,0,1,1,1,1,0.139,1,-0.998
"2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,-0.99,1,0.976,1,1,1,1,0.966,1,1,0.953,1,1,1,1,1,1,1,1,1,1,0.994,1,1,0.845,1,0.988,1,1,-0.847,1,0,0.996,0.828,0.99,1,0.988,1
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",-1,1,0.976,1,-1,1,0.966,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,0.452,1,1,1,-0.924,1,1,0.998,1,0.996,0,-0.847,-0.87,1,-1,1
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",-0.974,1,0.602,1,-0.654,1,0.334,1,1,-0.806,1,1,-0.565,1,1,-0.944,1,-0.882,1,1,1,1,1,1,0.984,1,1,1,-1,1,1,0.916,1,0.828,-0.847,0,-0.997,1,-0.896,1
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",-0.824,1,0.879,1,-0.709,1,0.988,1,1,-0.862,1,1,-0.631,1,1,-1,1,-0.764,1,1,1,1,1,1,1,1,1,1,-1,1,1,0.998,1,0.99,-0.87,-0.997,0,1,-0.749,1
"1642.MS00630",1,-0.919,1,-0.571,1,-0.785,1,-0.761,-0.897,1,-0.496,-0.842,1,-0.078,-0.659,1,-0.892,1,-0.916,-0.605,-0.462,-0.922,0.464,1,1,0.099,1,0.161,1,-0.94,1,1,0.139,1,1,1,1,0,1,-0.625
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",-0.988,1,0.996,1,-0.998,1,1,1,1,-0.978,1,1,-1,1,1,-1,1,-0.986,1,1,1,1,1,1,0.986,1,1,1,-0.866,1,1,0.976,1,0.988,-1,-0.896,-0.749,1,0,1
"1642.MS00506",1,-0.834,1,-0.773,1,-0.124,1,0.0740000000000001,-0.968,1,-0.61,-1,1,-0.442,0.308,1,-0.492,1,-0.839,-0.74,-0.582,-0.886,-0.994,1,1,-0.303,1,-1,1,-0.348,1,1,-0.998,1,1,1,1,-0.625,1,0
