"","1642.MS00492","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00403","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00506","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00363","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00479","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00418","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00603","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00383","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00584","1642.MS00486","1642.MS00541","1642.MS00636","1642.MS00600","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00438","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00437","1642.MS00515","1642.MS00408","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00559"
"1642.MS00492",0,0.0904304189609,0.0863385926896,0.0213488872984,0.0855211396418,0.0194372726404,0.0923793708943,0.1171789448917,0.0237227583426,0.0921437595924,0.0190776190544,0.0879447440091,0.1630383882657,0.0874403871336,0.0916455631128,0.0221781734094,0.0842151284923,0.0217278722727,0.0844967235349,0.022297845621,0.09628128183,0.0207057384515,0.0234579537558,0.1152447066294,0.0233250864349,0.0189420264925,0.0210457025775,0.0204259563193,0.0225898141159,0.0896008343753,0.0217905656967,0.0984121548467,0.0210849084273,0.0855396058642,0.1107346175569,0.0208541135922,0.0182207262744,0.0189809045334,0.1050516685619,0.0201929784039
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",0.0904304189609,0,0.0217528743994,0.0794225312689,0.0155149323308,0.0836837285991,0.0402382631948,0.0225293190416,0.0712001129494,0.0347687132196,0.0846559772413,0.0292362250391,0.0861679441521,0.0355890515467,0.0197255838702,0.0872951654718,0.0457998179557,0.0817385544346,0.0413336960964,0.0914268211222,0.0213953011307,0.0894444037985,0.0812266206202,0.0186386893995,0.1002444472427,0.1042935948909,0.0925390952304,0.0917642380762,0.097978010696,0.0200887451338,0.0846670268525,0.0261752045634,0.0878877597439,0.0324550683426,0.0179517319228,0.0821892571654,0.0920435188566,0.076562928155,0.0288492114922,0.0886179031173
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",0.0863385926896,0.0217528743994,0,0.0751606029079,0.0224621329492,0.0789932964251,0.0390633247971,0.0266217301113,0.0675942397062,0.0367327608222,0.0798414492217,0.0297246675762,0.0843688309171,0.0350538447951,0.0231688227542,0.0813794418417,0.040539548939,0.0765159360323,0.0469554403254,0.0889752265649,0.0199206536185,0.0825195651661,0.0746213190722,0.0245553124134,0.0957920400075,0.0937208867966,0.087651070318,0.0864028720723,0.0956843679637,0.0225550097614,0.0798087631788,0.0178217704052,0.0838947271023,0.0308709523652,0.0311773629781,0.0785641780506,0.0870423854564,0.0728971551068,0.0264610865194,0.0823361536996
"1642.MS00403",0.0213488872984,0.0794225312689,0.0751606029079,0,0.0758580263906,0.0225934342291,0.0779911298119,0.1038150545961,0.0202197261482,0.0764378571972,0.0207228400125,0.0749638825867,0.149259778985,0.0742546912664,0.0818430123308,0.0207958699395,0.071492255087,0.0188621934637,0.0742390195979,0.023489714043,0.0838740596439,0.0225744037526,0.020973733193,0.1004813396518,0.02852747869,0.0219558086987,0.023884274902,0.0234089895352,0.0251666466246,0.0770459467228,0.0215987341557,0.0847028144904,0.0237064065136,0.0741527434435,0.0979858036566,0.0197746485881,0.0215425066071,0.0184315966675,0.0920127005021,0.0220022527965
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",0.0855211396418,0.0155149323308,0.0224621329492,0.0758580263906,0,0.0778304131902,0.0413343836516,0.026877975643,0.06321209629,0.031821556355,0.0789100559186,0.0306444203122,0.0897246881434,0.0338364105258,0.0232564182483,0.0818420595915,0.0433510375794,0.0763205889128,0.0438287242898,0.0869498738823,0.0237477673335,0.0824802131779,0.0754896305486,0.0226237239088,0.09399353262,0.0987492093061,0.0888123017948,0.0864642133772,0.0958902569856,0.0204673522621,0.077576636523,0.0249870373423,0.0813242072885,0.0280183698894,0.0234237357817,0.0766501563215,0.0878362881692,0.0714087420033,0.0264573594536,0.0825655245526
"1642.MS00506",0.0194372726404,0.0836837285991,0.0789932964251,0.0225934342291,0.0778304131902,0,0.0908350590051,0.1071998751342,0.0215720515292,0.0805438237772,0.0187539087865,0.0787472182819,0.1531707544859,0.0795820181467,0.0892343546477,0.0213463296246,0.0750227520659,0.0220129642148,0.0790606028217,0.0216624150417,0.0860646784988,0.0207350408834,0.0237333618045,0.1006820083457,0.0229341213186,0.0209177440765,0.0225804744183,0.0225687315774,0.0235542596084,0.0805976279537,0.0201311090091,0.0873735001247,0.0207415490921,0.0768909682333,0.0994993222469,0.0219001445068,0.0193451929628,0.0196186156501,0.0940376005553,0.0188420944317
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.0923793708943,0.0402382631948,0.0390633247971,0.0779911298119,0.0413343836516,0.0908350590051,0,0.0346700650757,0.0673093489568,0.0455656839822,0.0830726739261,0.0465297483994,0.0965403391208,0.0448464394902,0.0306428460958,0.0884831790167,0.026799987572,0.0789058639889,0.0580329231707,0.0951436191582,0.0263847053644,0.0851996025624,0.0780053962601,0.0402998002773,0.1023245415303,0.102393546365,0.091577888951,0.0925204889914,0.1005044283455,0.0385362164044,0.0819844242146,0.0413274917817,0.0967264707221,0.0512578113573,0.0401967153991,0.0838373341121,0.103648471664,0.0756697476574,0.0442263157065,0.0876978411699
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.1171789448917,0.0225293190416,0.0266217301113,0.1038150545961,0.026877975643,0.1071998751342,0.0346700650757,0,0.0938165058404,0.0490159293822,0.1089872022679,0.0462825118109,0.0716620328243,0.0477481638125,0.0172401505593,0.1121169555985,0.0581815824873,0.1039124734284,0.059614796667,0.1179476736649,0.0174342665711,0.1111155116318,0.1061630207878,0.0157056176176,0.126414715963,0.130109400383,0.1163424733919,0.1141534564338,0.1207984129314,0.02567645396,0.1087551541018,0.0255050068343,0.1108673885012,0.0502430517727,0.0142184554919,0.1107435220208,0.1188784286425,0.102232541154,0.0241426998855,0.1142285291577
"1642.MS00363",0.0237227583426,0.0712001129494,0.0675942397062,0.0202197261482,0.06321209629,0.0215720515292,0.0673093489568,0.0938165058404,0,0.0668809505119,0.0225676252183,0.0675224684248,0.1239200287949,0.0688715873382,0.0730401313269,0.020385781617,0.0639012425723,0.0193113483707,0.0683093788407,0.0263115349411,0.0736841969538,0.024264162495,0.0204209312621,0.0864616863009,0.0290458545584,0.0226230560244,0.0271775269838,0.027649525258,0.0288324411281,0.0650634616768,0.0212715996342,0.069466386992,0.0242181505582,0.0662850487338,0.0847642477765,0.0211592664688,0.0232749645198,0.0188325833055,0.0774269199729,0.0239584418705
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0921437595924,0.0347687132196,0.0367327608222,0.0764378571972,0.031821556355,0.0805438237772,0.0455656839822,0.0490159293822,0.0668809505119,0,0.0844326517516,0.017935917477,0.1051921415794,0.0289876959269,0.0419243027581,0.0890227482053,0.0387977659979,0.0784792715757,0.03899879377,0.0906005581505,0.0382533684431,0.0858472583905,0.0788379318133,0.0477727467228,0.1011877982662,0.1033448621416,0.0954630652744,0.092515292295,0.1009603968426,0.0333649958439,0.0830285107602,0.0316374484639,0.0868545246417,0.0258219086732,0.0493477806581,0.0799661624946,0.0925647182399,0.0749544028337,0.0372454945491,0.0877187654003
