"","1642.MS00492","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00403","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00506","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00363","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00479","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00418","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00603","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00383","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00584","1642.MS00486","1642.MS00541","1642.MS00636","1642.MS00600","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00438","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00437","1642.MS00515","1642.MS00408","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00559"
"1642.MS00492",NA,0.122425296393552,1.00475793355836,-3.13760289071648,1.11071739729176,-5.03334604984309,0.589507464304162,0.947804813463674,-3.21215965210026,6.57268191578574,-4.0684925203291,6.15979957770938,2.36472042525956,5.07110338093348,0.568782677589296,-3.54077325865185,5.72283191548271,-3.26377981056712,2.33147521918872,-1.40770943428345,1.3772010288391,-4.44840368737561,-3.84306627072396,1.66089622923195,-2.5363819882894,-3.74670395147061,-5.3412820725325,-4.31527059965339,-2.1736010962741,2.7604604484866,-3.64538056419317,0.877626525507924,-4.81200516211565,5.48757219289427,0.845194659735518,-3.92003565817914,-5.39335687446888,-5.57900139309607,1.1004924585883,-1.39811441187844
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",0.122425296393552,NA,-6.69977498317443,-0.697174754897213,-2.98917565871756,-0.64338752921528,-2.71186975127308,-4.97513750959623,-1.51530638582812,-2.71742521608914,-0.385813437862985,-5.77288851421463,-2.84971213224675,-2.81152694308153,-3.91106997487466,0.211471043788958,-2.86063065413476,-0.637669075441924,-2.86494546570308,0.440334317454148,-6.1128729181939,0.161171049048142,-0.573220812107495,-5.53358560939796,0.793867296689351,1.16526174101115,0.118895007734483,0.26035749132498,0.637606768970765,-6.98826388457336,-0.437208009738763,-5.20318165416925,-0.263678621884887,-2.48682337577132,-4.45561659512745,-0.691039051227206,0.0581239684034682,-1.09648074949661,-4.73746193763487,-0.120529153719267
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",1.00475793355836,-6.69977498317443,NA,-0.197243007761669,-4.09799670614746,-0.249106576161028,-2.50456827204485,-5.59995835780723,-1.3325822930353,-2.0764999908237,-0.0330025809992507,-3.16188887891363,-2.9461458845362,-2.86300288639284,-7.25987993278207,2.68553120883905,-5.70211584904617,-0.317035992923996,-2.0633223371455,1.71784208370094,-6.41542418903431,0.755935303365915,0.388890805763012,-6.59766936830768,1.56302984303888,1.489979793929,0.758021141894697,0.762881828736741,1.98248821367423,-7.17681645857121,-0.254059788606735,-4.9615395623982,-0.0377604643021021,-7.00587457276899,-5.40964319894734,-0.13602705905365,0.666691150435918,-0.825418129993389,-4.54863322215177,0.405403004512587
"1642.MS00403",-3.13760289071648,-0.697174754897213,-0.197243007761669,NA,-0.239493044934163,-4.27735415362217,-0.396547642035395,-0.0401467765272425,-3.54131573797883,2.92320600205548,-5.56322398869605,2.97589850579976,1.06267228165619,1.41852124427998,-0.52039435183773,-3.30467832328663,2.34636749440839,-4.57965103677594,0.882954037865796,-1.17778974497096,-0.0585794556949606,-3.40567172901784,-3.4828409988854,0.295443380033696,-1.99054094872054,-3.11062445619139,-3.6312545931817,-2.93549070047926,-2.23916018334842,0.155728742228363,-3.52414909994551,-0.0829974407853649,-4.85070594464172,2.32418619148724,-0.565755963693342,-4.06686650182415,-4.67334400421804,-4.16860942029865,-0.0841535163132774,-1.40305700283397
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",1.11071739729176,-2.98917565871756,-4.09799670614746,-0.239493044934163,NA,0.286184201523091,-2.63892462138976,-3.97894240652492,-1.88089552604438,-5.15791983123986,0.467157727479141,-5.11771894674896,-3.37430476948455,-4.82228430683025,-3.57836626028074,0.958776159094697,-4.9011477996548,-0.0621209627118589,-3.18324455898894,1.71430425938788,-3.19132148176582,0.682120232221959,-0.254906349493062,-3.12080941753968,2.38330796180599,3.05479176464094,1.28232123134494,1.17548862397393,3.009369687404,-5.70711114876405,0.672232018583991,-4.16659009428875,1.15101541998249,-5.13895479951018,-3.55287305438276,-0.554701189810394,1.0990421283068,-0.976766141367041,-3.64646633978224,0.438909913536564
"1642.MS00506",-5.03334604984309,-0.64338752921528,-0.249106576161028,-4.27735415362217,0.286184201523091,NA,0.941025491894526,-0.0680238629908154,-4.52100299089043,1.04220052854825,-6.41456436741749,1.05369203028204,1.12602233698989,0.790469569761691,-0.309939456832805,-4.65779974297756,0.755692715815302,-4.70573037875236,0.826803045543622,-3.44691961129017,-0.333868637747743,-4.50290030345601,-3.07234168029546,-0.281549648335215,-3.5054279172315,-3.17052823721622,-5.20742352593261,-3.44923063647028,-5.36280723036228,1.13471303834439,-4.91719973303486,-0.410937354367862,-5.30667769848175,0.85430745111704,-0.737650956985695,-3.89965267678033,-5.89028667655536,-4.99537986642464,-0.432133303783836,-5.43293366700634
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.589507464304162,-2.71186975127308,-2.50456827204485,-0.396547642035395,-2.63892462138976,0.941025491894526,NA,-2.55949668710241,-0.80405861078525,-2.90776345841362,0.0902280196299836,-2.90125001777608,-2.60741102059531,-2.9937117067276,-3.96749362459065,0.32937555414274,-6.40005722507409,-0.0993204351914141,-1.69480896076508,1.00104628634525,-6.87742452059784,0.209386498003054,-0.475328269887381,-3.05923734672619,1.18538472024372,1.272090868502,0.518427100745284,0.637414311115717,1.22199829086415,-2.65400817451315,0.141931405552349,-2.56954310735099,1.43702365328664,-2.70024470305386,-2.73332615842027,-0.0809241617156564,1.58746396893327,-0.307505992310138,-2.95381637176638,0.16861495414778
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.947804813463674,-4.97513750959623,-5.59995835780723,-0.0401467765272425,-3.97894240652492,-0.0680238629908154,-2.55949668710241,NA,-0.963423868242828,-3.63325814514246,0.300089952665258,-7.70159969121961,-3.8257863992574,-3.54953518339291,-7.41301103493818,0.694173403156079,-3.21927732316746,0.00244236964349173,-3.08306701141643,1.27958611372678,-6.74698554781939,0.61879804510886,0.176968748020931,-6.44581037464534,1.61162425972587,1.94737896058074,0.913761799050432,0.753227683201358,1.19955285273662,-5.90434571804101,-0.0156389719587593,-5.41822230621419,-0.00499932950903794,-3.50535777094996,-5.58852720432209,0.461464698207652,0.975264333072107,-0.236347773946871,-5.61017794541297,0.645917559146421
"1642.MS00363",-3.21215965210026,-1.51530638582812,-1.3325822930353,-3.54131573797883,-1.88089552604438,-4.52100299089043,-0.80405861078525,-0.963423868242828,NA,-1.31701081646915,-4.41663770691844,-0.966967567747916,-1.0072166942359,-0.940666903252539,-1.59378884899963,-4.36025723674813,-1.03862458622094,-4.87642157801773,-0.504063744331452,-1.32840583553562,-1.34733922157247,-3.77952825442219,-3.66921771127247,-1.30517320890527,-1.25569826667662,-3.48925641037878,-3.41804376200767,-2.31186784981084,-1.71430520916912,-1.43410386175394,-3.57641541809356,-1.59889977721897,-4.70132157967578,-1.10401332320114,-1.94541388485676,-3.40504683361181,-3.70129896272614,-4.43553990971284,-1.52022783489233,-1.26388337681436
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",6.57268191578574,-2.71742521608914,-2.0764999908237,2.92320600205548,-5.15791983123986,1.04220052854825,-2.90776345841362,-3.63325814514246,-1.31701081646915,NA,2.72499147270571,-9.35999917837482,-2.38316367160595,-7.43211867149985,-4.66979940030201,6.67669794849427,-8.26056951567167,1.90823221522296,-2.6004346567276,7.7253636700355,-4.27347285625947,5.09833377879273,1.8791535307617,-3.97519981281554,7.09241402137513,6.90914266156909,6.35184925770041,6.68148482668646,7.40608137651476,-6.49860487998978,1.29152228291258,-3.73251244189892,1.29499702277861,-6.58792545638119,-4.93411497518933,2.47742416835588,5.12968134330288,0.74588851956352,-6.24659338020623,3.78527098556481
"1642.MS00479",-4.0684925203291,-0.385813437862985,-0.0330025809992507,-5.56322398869605,0.467157727479141,-6.41456436741749,0.0902280196299836,0.300089952665258,-4.41663770691844,2.72499147270571,NA,1.99892041364465,0.808056447974371,1.82740529619947,-0.49181944878065,-4.94323475798103,1.86473625126114,-4.2234739665749,1.38785547131556,-2.33471143346222,0.351453009855211,-5.76709758577671,-3.73799522030127,0.472694723136883,-2.55062984099075,-5.01524495427446,-5.90336372430233,-5.0509211821139,-4.12723824462831,1.64962309654576,-5.03522278249274,-0.0255468222186493,-5.74441577071879,1.47131491437819,-0.295304186774258,-5.00324674427946,-5.47753410911157,-4.54738728656911,0.152691529114054,-4.97218752521532
"2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences",6.15979957770938,-5.77288851421463,-3.16188887891363,2.97589850579976,-5.11771894674896,1.05369203028204,-2.90125001777608,-7.70159969121961,-0.966967567747916,-9.35999917837482,1.99892041364465,NA,-2.66218896168338,-10.2180438286948,-5.2650377641511,6.11180102602336,-8.35994944746679,1.84576959364887,-2.61853466744532,8.01323343144811,-4.93000384741852,5.32187028447137,2.14454152774094,-5.96806772169788,6.41934643576363,7.16013844804855,5.27412869352382,5.92171287543233,6.5673283408159,-6.84946891768581,1.0227575668486,-2.90609885662365,1.0461089915764,-6.26472439337311,-7.15905034614566,3.06880047047424,4.72333342393627,0.334384276943053,-3.54328602147725,3.12811721362631
