"","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00351","1642.MS00512","1642.MS00479","1642.MS00562","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00604","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","1642.MS00565","1642.MS00374","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00337","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00640","1642.MS00391","1642.MS00611","1642.MS00436","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00615","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00584","1001.SKB8","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00439","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00498","1642.MS00619"
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0,0.5474,0.9048,0.574,0.891,0.9244,0.9204,0.9076,0.9076,0.7264,0.9084,0.8718,0.9194,0.9184,0.9188,0.7078,0.947,0.8128,0.9256,0.9292,0.9006,0.9156,0.5782,0.9164,0.7064,0.907,0.935,0.978,0.7994,0.8084,0.7702,0.5866,0.9126,0.9118,0.8116,0.9136,0.906,0.894,0.913,0.9022
"2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences",0.5474,0,0.9018,0.4488,0.883,0.9138,0.9104,0.8964,0.8958,0.705,0.9004,0.8518,0.9112,0.9094,0.907,0.6292,0.9436,0.798,0.9186,0.919,0.8876,0.8998,0.5734,0.9002,0.6034,0.8852,0.9276,0.9758,0.7928,0.7888,0.68,0.578,0.907,0.9036,0.7768,0.9044,0.8914,0.8836,0.907,0.8918
"1642.MS00428",0.9048,0.9018,0,0.8976,0.4502,0.5248,0.5208,0.481,0.4902,0.8728,0.5806,0.8952,0.5546,0.524,0.5802,0.9174,0.6234,0.9256,0.556,0.4746,0.5868,0.4812,0.903,0.6044,0.9002,0.9498,0.561,0.9886,0.9316,0.9234,0.8806,0.8992,0.4954,0.5006,0.9178,0.6648,0.9418,0.5366,0.4922,0.565
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.574,0.4488,0.8976,0,0.8784,0.9124,0.9086,0.902,0.8944,0.6786,0.9044,0.8658,0.9138,0.9084,0.9116,0.6454,0.943,0.8034,0.9208,0.9212,0.8896,0.8972,0.5162,0.9016,0.627,0.8818,0.9326,0.9706,0.809,0.8162,0.717,0.5506,0.9098,0.91,0.7584,0.9122,0.8806,0.8798,0.9054,0.8954
"1642.MS00401",0.891,0.883,0.4502,0.8784,0,0.52,0.541,0.4812,0.4918,0.8564,0.5306,0.8886,0.547,0.5382,0.5884,0.9012,0.6816,0.921,0.5488,0.535,0.538,0.474,0.8916,0.5714,0.885,0.9484,0.5548,0.9902,0.9252,0.9138,0.8584,0.8902,0.5072,0.4792,0.9128,0.6216,0.9436,0.5084,0.5024,0.5126
"1642.MS00351",0.9244,0.9138,0.5248,0.9124,0.52,0,0.6552,0.6152,0.6168,0.8886,0.6312,0.9074,0.6392,0.6574,0.6012,0.928,0.6082,0.939,0.6584,0.5972,0.6352,0.5324,0.923,0.665,0.9204,0.9646,0.667,0.9884,0.945,0.938,0.889,0.9212,0.5092,0.575,0.9322,0.7012,0.9538,0.6256,0.616,0.6276
"1642.MS00512",0.9204,0.9104,0.5208,0.9086,0.541,0.6552,0,0.4634,0.4594,0.887,0.6064,0.905,0.5528,0.4742,0.6668,0.9254,0.7104,0.925,0.5284,0.5214,0.601,0.585,0.9112,0.5766,0.9126,0.9508,0.5326,0.9882,0.9344,0.9292,0.8912,0.913,0.612,0.5946,0.921,0.6672,0.9438,0.5598,0.498,0.6002
"1642.MS00479",0.9076,0.8964,0.481,0.902,0.4812,0.6152,0.4634,0,0.4462,0.8834,0.5254,0.901,0.5264,0.4602,0.6432,0.916,0.6972,0.9282,0.4922,0.511,0.5492,0.5342,0.9078,0.5604,0.9038,0.9506,0.505,0.9892,0.9326,0.9234,0.8802,0.9046,0.5598,0.519,0.9242,0.6194,0.9432,0.5078,0.4266,0.5366
"1642.MS00562",0.9076,0.8958,0.4902,0.8944,0.4918,0.6168,0.4594,0.4462,0,0.8676,0.5302,0.901,0.5302,0.437,0.6478,0.917,0.6888,0.9312,0.5338,0.5028,0.5304,0.5422,0.9038,0.5546,0.9054,0.957,0.531,0.9898,0.934,0.9252,0.8726,0.9006,0.5642,0.5698,0.9288,0.6192,0.945,0.4954,0.4844,0.5282
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.7264,0.705,0.8728,0.6786,0.8564,0.8886,0.887,0.8834,0.8676,0,0.8776,0.845,0.8982,0.8878,0.895,0.7262,0.9282,0.8852,0.9102,0.9038,0.8656,0.882,0.7426,0.884,0.7126,0.914,0.9218,0.9804,0.8754,0.869,0.7092,0.7184,0.8836,0.895,0.8562,0.8882,0.884,0.8518,0.8932,0.8692
